train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;10299.93001343563;0.3202114074009694;81.81818181818181;39.87159224938459;82521.58268175535;0.8526246067028622;11601.964239116105;10275.455568129786;10046.30129117869;10164.395739910684;11503.221623592292;11914.174496171083;12750.95959993827;12974.103451856656;12944.724511562139;13510.068970101403;12231.001998700956;12155.890179126854;[587.7977608838955, 1560.2614318702144, 1240.0577088213104, 1024.376260089317, 965.4223764077087, 5119.427503828916, 8705.417400061731, 11328.322548143344, 11862.86348843786, 16931.630029898595, 17989.432001299043, 16894.159820873145]
1990-01_2022-02;2022-03_2023-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2372.795162249307;0.17732199590995154;63.63636363636363;-4.844342293138004;37546.81599688665;inf;13115.695446999554;11167.09926668043;11619.98111773532;11464.059897332803;12096.035243653652;12027.53622788125;13263.050565666475;13886.603704596135;13272.799374013146;14108.691993553062;13267.470316394087;13547.376477078378;[2985.8705530004463, 3934.50173331957, 674.1798822646797, 1532.3661026671962, -430.6462436536531, -1920.0682278812492, -2089.499565666476, -2444.489704596135, -1391.0603740131464, -1156.2869935530616, -3538.6213163940865, -3218.0654770783785]
1990-01_2021-02;2021-03_2022-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1767.0429632204819;0.10589995962335265;72.72727272727273;-4.880146005940055;20950.063313466708;0.9136608661247413;23065.792878827404;16736.23417329645;12908.05130195897;12518.52070518;15008.337141053451;15188.086669628754;16038.451473793557;14665.001278459431;12833.328259486441;12927.963192728677;10704.73126033581;9734.314987152817;[-2665.4998788274024, 406.49182670355003, 2538.849698041029, 250.4922948200001, -2437.0051410534506, -2308.3356696287537, -2790.331473793556, -1248.189278459431, -1065.974259486442, 227.05580727132292, -273.8922603358096, 1347.7590128471838]
1990-01_2020-02;2020-03_2021-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;5538.178503676783;0.29181581476036117;45.45454545454545;27.248426388163853;131512.240204638;0.866189471255131;8519.703832260842;9484.923095502392;10342.87217028988;10327.91199014028;10074.768927903273;9687.858958886132;9924.435865957206;10241.230632810506;10311.696844411072;10315.80695919409;9600.257508836721;9249.779003523841;[756.7521677391578, -1645.6200955023924, -2033.9481702898793, -1210.4179901402786, 634.0550720967276, 2559.0050411138673, 6201.668134042793, 8001.418367189495, 5502.048155588929, 8735.17004080591, 7081.774491163278, 9644.328996476159]
1990-01_2019-02;2019-03_2020-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2705.5477507517226;0.28222458219220153;72.72727272727273;-27.138184630002783;32284.965914998527;0.7885695559023647;9148.907650526904;10410.350590014154;11731.708575100496;11636.834466947337;11996.707264334324;11743.893515944032;12196.722467399866;11936.163350561039;10998.885609737856;12105.918723101373;12035.705089870426;11941.562539962595;[-597.1436505269048, -1184.2795900141537, -2812.841575100496, -3699.868466947337, -3577.379264334324, -3867.5845159440314, -3797.0904673998666, -2474.9373505610383, -1813.7366097378563, -624.9327231013722, -2703.465089870426, -2278.5285399625955]
1990-01_2018-02;2018-03_2019-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4497.7092559896555;0.3129549072086415;72.72727272727273;34.372304622921355;53728.61148115542;1.3228589550207457;6656.679589143481;6978.7624900592045;7373.360550344882;6990.277370816378;7302.392468535793;7409.477810815446;7859.684218378842;7657.889891858623;7480.476628728771;7980.056942880097;7641.016626978881;7570.1531708333;[1148.3524108565189, 517.1185099407958, 1512.3734496551187, 4387.810629183622, 5083.768531464207, 5476.349189184553, 5829.561781621157, 7771.901108141376, 5583.094371271229, 5335.709057119902, 2982.28137302112, 932.9018291667007]
1990-01_2017-02;2017-03_2018-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1284.5437523593682;0.1393609376204135;63.63636363636363;-2.2546187917895133;20306.028808993688;0.25252599411675064;7180.885201165091;7374.129538562269;7816.5622208620125;7766.801497199886;8201.196394500103;8147.9518173284905;8438.49688158372;8363.260289172611;8271.617446823007;8839.076378890617;8490.535903103944;8335.837620676495;[-237.9352011650908, -829.1635385622685, -1408.5122208620123, -1941.5814971998861, -1684.3163945001024, -687.0268173284903, 447.3021184162808, 73.71671082738976, 1289.2585531769928, 2616.245621109383, 902.1230968960554, -683.8606206764953]
1990-01_2016-02;2016-03_2017-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;8257.470997984625;0.9447517511729023;45.45454545454545;-91.53020553145936;198432.53114071628;2.5393303320984257;19091.39367327069;16652.44681710256;15245.11376914711;15666.368750888392;17727.286425527058;17672.11728980004;18004.944246173683;17769.40654936604;17049.019017326467;18197.069527745345;16624.09570565212;15528.653520400505;[-9618.37967327069, -7114.146817102559, -5561.58476914711, -6839.118750888392, -8145.4364255270575, -8055.467289800041, -8595.044246173684, -8471.706549366038, -7716.869017326468, -8830.469527745345, -9723.195705652119, -9404.773520400504]
1990-01_2015-02;2015-03_2016-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4090.0838702974183;0.20547696616915526;81.81818181818181;10.106572355398528;32566.588803009025;0.5852800520807375;19624.13578623021;14824.705266661604;13296.421169341269;13607.811007042945;15888.510603448976;16152.18352911603;17119.540410364076;17737.89273479588;17528.00399455747;17920.328483168163;16711.37132754062;16617.50994970312;[97.21421376978833, 6430.201733338396, 5302.41383065873, 4335.938992957055, 3203.4893965510237, 3931.766470883971, 4341.124589635925, 4915.00726520412, -1682.553994557471, -323.4284831681616, -2535.97382754062, -5863.614949703118]
1990-01_2014-02;2014-03_2015-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3427.455311826322;0.19993168598877867;36.36363636363637;2.5728271798761555;94746.97774130452;0.7442859198485665;12253.87645968275;12702.654181460926;13347.355894255466;13478.8557548869;13910.888497571712;13324.960325929107;14169.616729280671;14117.246402638684;13506.929415395949;14534.345534315935;13630.386345055771;12342.914127694576;[142.24454031724963, -829.8751814609259, -3103.3558942554664, -3605.6057548868994, -2901.188497571711, -2279.0303259291068, -2020.9307292806716, 351.60359736131613, 1607.820584604051, 5426.254465684064, 4742.06365494423, 6730.089872305425]
1990-01_2013-02;2013-03_2014-02;MS;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3867.8427583451066;0.2508265024947694;63.63636363636363;27.323376144589258;61326.76884778229;1.134464556016728;6444.671063772187;7550.4853141971735;8594.369421934522;8670.709767803566;9401.11289783064;8890.982609462086;8941.24472203621;8905.813416765965;8449.376550108316;8919.566907363163;8421.722639999623;8118.442315988366;[3826.704936227813, 1932.145685802826, 241.12057806547818, 724.398232196434, 1176.7671021693586, 1842.7473905379138, 1853.1352779637891, 3569.0265832340356, 3767.543449891684, 7751.093092636836, 6102.293360000376, 5300.789544011634]
