train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;22934.940498323827;0.048566765989323524;81.81818181818181;0.16714391549413057;181048.5330068698;0.37617520483973804;447969.21923358866;423124.9488245094;421699.4955382886;379595.96700895746;403708.41027671593;389521.62276370527;378958.5822667481;375659.6931150383;372309.5521522998;402728.83266166924;351236.23885997804;349264.90138337464;[-41048.94623358868, -35830.26482450939, 24016.708461711416, 27369.338991042518, 10535.416723284055, 14595.183236294717, -2621.283266748127, 1751.6138849616982, 343.18484770023497, 17855.552338330774, 21168.203140021942, -30272.860383374617]
1990-01_2022-02;2022-03_2023-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;46580.377427784224;0.11076327243119856;54.54545454545455;3.4541004969696325;919049.6766327749;inf;340427.3649523182;341631.32942313084;361092.0342069101;376619.3220583036;377785.2474088624;369863.6010009999;369760.1097261735;364558.52371190203;344120.3304621921;377850.662446017;336176.06515717367;327047.4754288599;[-31675.645952318213, -34998.46942313085, -23298.81020691013, -76639.88405830355, 3062.6055911376025, 27456.925999000086, 18947.577273826464, 33371.131288098, 39806.94053780788, 78822.61955398298, 46310.44684282632, 72207.14757114014]
1990-01_2021-02;2021-03_2022-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;44647.702855060044;0.11670653796490656;72.72727272727273;10.30551514491458;529521.9168989667;0.6793075764569617;253461.95790780356;263342.9705905085;272122.5148457623;287748.60296879895;284237.8325128517;271679.5158300403;275702.1497188336;284669.11241495836;286737.1462445613;315956.635865109;302284.1554277392;287543.1783271749;[7211.344092196436, -34207.31959050847, 20035.148154237715, 15971.236031201028, 49548.00748714834, 55337.44516995968, 60959.55228116637, 58377.01058504166, 35246.531755438715, 86472.45613489102, 9854.666572260787, 24171.849672825076]
1990-01_2020-02;2020-03_2021-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;26456.104557521547;0.08056895332734462;81.81818181818181;-0.24844805592854144;209211.42423886168;0.21138094776873212;264102.57757849764;266667.47221133596;267160.25919893134;272362.19437659625;275807.3997013759;270505.54455471865;267573.7018991818;270985.1785894391;269951.98572892474;280661.4857903199;271084.2597884076;269228.67059139156;[-20436.64857849764, -53501.449211335974, -26377.32419893134, -6083.3613765962655, 1499.837298624101, -6606.3215547186555, 13356.004100818187, 23586.781410560943, 14822.01827107527, 52557.53120968008, 17222.6972115924, -18084.62659139157]
1990-01_2019-02;2019-03_2020-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;36387.153827646594;0.12116503319005185;81.81818181818181;-11.107329495830419;288384.58397392783;0.352128922871283;263142.5516161804;279247.2048576682;295200.1071017581;318472.74299466517;325338.64637068356;308961.9454640673;301944.28214061476;313773.2549021521;312070.1835745589;339683.5784262678;318666.51811376656;304307.29223199707;[9549.252383819607, 4973.124142331828, -17337.12310175813, -60699.25099466517, -35320.29537068354, -31779.056464067253, -41125.418140614755, -36088.4079021521, -44934.83757455886, -33080.65942626778, -46089.56411376654, -36035.843231997045]
1990-01_2018-02;2018-03_2019-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;92688.58584446521;0.3032647120459889;81.81818181818181;-28.19210391740013;741907.3818735423;0.8866555524002712;337046.223456022;333402.2180657743;350120.08575060684;353775.8395276391;378053.12930471;373658.1510802697;365572.93072806194;393868.49782256177;386100.5586353677;421189.20734924375;383384.93479007384;368984.97352825216;[13068.588543977996, -6832.4970657742815, -84623.42675060686, -35447.14252763911, -90033.02730471, -86252.82908026973, -108704.39472806195, -119046.7288225618, -122711.01263536775, -113309.73234924377, -109720.46479007386, -113969.54852825217]
1990-01_2017-02;2017-03_2018-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;39419.72011249775;0.09568187658142412;54.54545454545455;-3.4944459949045106;777509.6234692028;0.5227333007910981;399165.870106263;382457.46285405837;374608.5262885284;359029.8633095423;373757.4156598308;381461.06932230777;372731.75900323654;378900.49551779544;383172.89939229423;411944.8231305188;385018.36645596323;382916.9002144577;[19530.995893736952, 6079.8201459416305, 28996.28971147159, 42170.89669045771, 25791.310340169235, -8335.073322307784, -21848.941003236512, -34321.068517795415, -53403.580392294214, -25361.855130518787, -47941.71945596323, -86173.2382144577]
1990-01_2016-02;2016-03_2017-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;42630.81772059561;0.09545327023227018;81.81818181818181;9.833435865544002;337393.43549188646;1.229871289722678;357302.6222680349;349372.9876511722;338816.07138503407;331935.58029091114;341297.63452428934;336440.5438699971;343391.8030392448;350025.1596294184;339453.17081910017;373107.1642665239;334598.4331628303;324081.99686840887;[45682.06973196508, 27612.534348827787, 11361.238614965929, 11703.94270908885, 17979.74447571067, 31061.610130002897, 27242.320960755227, 28818.08237058163, 54236.02418089984, 78602.95573347609, 64568.80383716972, 50432.665131591144]
1990-01_2015-02;2015-03_2016-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;61042.26358768357;0.16319676436924707;72.72727272727273;-15.914559109585433;725190.3424309725;1.2450122404492587;448413.71136064426;432890.2214288621;410976.4091149127;398064.5658425613;408176.29376380215;403178.06536449946;406347.9892528508;407499.1222287886;387437.44014524634;425393.56107118423;400522.1444473767;376469.9525987356;[-78166.81636064424, -67736.7134288621, -71727.37711491267, -53293.66684256133, -53066.617763802176, -80451.55536449945, -84319.96325285081, -63877.203228788625, -56186.34214524634, -4965.415071184223, -47002.63344737672, -12691.348598735582]
1990-01_2014-02;2014-03_2015-02;MG;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;43227.724492470166;0.08995773092911141;72.72727272727273;7.106013169747544;512180.00805871043;0.714661911498412;420263.5172873402;402855.08266967087;385507.1327908949;372190.4548278581;385597.92121943476;381044.9935724449;380614.0423077273;387204.4179664549;376597.7306729853;386714.01201896946;376091.6314157594;372265.9449279409;[-28606.829287340166, 20157.46733032912, 32277.770209105103, 23553.85617214191, 31247.289780565246, 36213.88642755512, 43086.27469227271, 61449.00203354511, 13958.012327014701, 87120.18898103054, 57588.15858424059, -24102.409927940927]
