train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1609.0189166066307;0.052756005402719415;63.63636363636363;4.74416985882647;25373.064551782583;1.123862030609215;27874.282858259485;26719.278692264987;26386.35356652415;25595.410361430288;25590.4641934004;26058.867122471842;25071.733004734047;25450.755412587776;25681.628167243904;25996.41497949735;25294.687685540735;24603.490570428334;[1311.3765617405152, -955.7623922649873, 999.2841134758492, 1797.8450685697135, 1458.4959465995998, 2318.7904875281565, 620.2669952659526, 1560.8913274122242, 579.8247327560966, 1031.891180502651, 3165.8123144592646, 1566.7865995716675]
1990-01_2022-02;2022-03_2023-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1500.0710460399819;0.04397289178734893;81.81818181818181;4.322149618647699;11838.90544737634;inf;26579.723889903587;25913.25460053703;25396.460833664332;25203.11333861275;25092.780217574054;25234.84286551737;24211.072453581502;24252.934724312752;24657.417256040622;24801.794788301053;24212.065370043827;23758.89061983689;[135.35039009641332, -254.18032053703064, 461.9286563356691, 650.12941138725, 178.35927242594698, 2352.887204482631, 1039.6304464184977, 1032.4638256872495, 2632.256653959379, 2453.136371698947, 2311.6864399561746, 527.573150163109]
1990-01_2021-02;2021-03_2022-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;954.6830248942357;0.03538312758376353;72.72727272727273;-2.5539317182351557;11289.314228647367;0.7679162626908355;28433.590800998998;27120.155377939867;26554.417542291023;26424.832145189015;25586.91673236539;26290.96350133335;25241.330840657683;25612.94943332028;25213.872016875674;25682.043779983072;25269.856433734254;24414.524484588248;[-733.1850009989976, -1616.3166079398688, -557.3468922910215, -1023.9480851890148, 1156.9981276346116, -898.9182113333518, -978.8254106576824, -585.5545033202798, -1282.5785368756733, 316.1029600169277, -867.0194737342536, -695.3904245882477]
1990-01_2020-02;2020-03_2021-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1806.1036270628126;0.06613788246908807;72.72727272727273;6.649706583314834;21381.572812947914;2.084966879339518;25471.00644414729;24837.96411341124;24838.516112478883;24190.175863833574;24454.448924345907;24938.083215797193;23832.701593908885;23921.99470806991;23627.168574805335;24540.767148692357;23753.178305299738;22699.897260258615;[1224.8395658527115, 1094.7279165887594, 1726.9929475211175, 2443.760726166427, 2740.5782456540946, 1384.7211342028058, 1926.3020260911144, 1646.1429719300904, 1461.3386751946637, 2443.236471307642, 1467.1332847002632, 1176.838249741384]
1990-01_2019-02;2019-03_2020-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1007.5730906216692;0.034306460549888056;81.81818181818181;1.0610623461431277;7947.818568029491;0.42945590468833994;24783.96523566946;24815.20397974181;24345.27543336396;23843.89261419918;24207.91854885622;24683.59633498414;22997.68786210311;23213.36945385129;23593.751104484687;23650.86515954689;23488.5893709853;22914.897730075983;[-1374.4543656694623, -190.68223974181092, 67.36768663604016, -1286.744064199178, 1042.601381143777, -369.2358249841418, 640.6509078968884, 1420.750116148709, -229.1569044846874, 1910.1765104531078, 1040.117149014699, 401.5732799240177]
1990-01_2018-02;2018-03_2019-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1294.7615144752021;0.04335890524420435;54.54545454545455;2.655917671651406;25509.170757097916;0.48387643631470956;24099.789935957746;23708.015311932213;24151.539256871398;22349.11189352671;24065.82015320927;24369.216486884743;22098.832379931966;23056.470715075295;22306.11075514358;23230.796304474472;23141.07995066664;22762.876521523758;[-172.31529595774555, 911.1386780677858, -1961.9559268713965, 2927.58375647329, -185.8147232092706, 1162.0570631152586, 812.5824800680348, 983.7611649247046, 1287.67547485642, 695.2942755255281, 1290.6537493333599, -129.20985152375943]
1990-01_2017-02;2017-03_2018-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1588.7303723075952;0.05610964608608963;72.72727272727273;5.633834261634898;18801.27447449676;0.5514968036747344;23752.17350286445;22863.431718946144;22793.73746668737;21975.820214232164;22227.84354664273;22549.062569407746;21466.748687952324;21915.041575082723;21517.676721907803;22239.610705008898;22277.6392352367;21740.301403514048;[2209.390207135548, -170.5857089461424, 2140.4273933126315, 1545.5656057678352, 1895.7579033572692, 2661.4541505922534, 2049.221072047676, 739.4119549172756, 764.6189680921962, 1369.7687249911032, 723.1198247633001, 31.29279648595184]
1990-01_2016-02;2016-03_2017-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1204.4447611030703;0.03941322826155932;63.63636363636363;2.752368691684905;18986.26272357206;0.3053669822570542;23612.575978239794;22983.811031598387;22624.168821397532;22314.76752065415;22514.66037388751;22449.382985443408;21871.53250096619;22084.33366286653;21984.009519339197;22472.538263972707;21966.748536064504;21737.433391834966;[459.887791760204, -454.22770159838547, 800.7623386024679, 730.562189345852, -566.2201538875088, 3115.979334556592, 907.5019190338098, 293.64640713347035, 389.5647606608036, 1848.6736960272938, 845.5177639354952, -769.0964318349652]
1990-01_2015-02;2015-03_2016-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;721.7216637584091;0.027795380125467343;63.63636363636363;0.5252453874511334;11373.29313218315;0.2104702723675889;24682.623628842768;24098.002873344372;23566.741204440666;22925.472923388854;22860.008837930265;22703.578799514173;22617.309626926304;22536.55024312993;22240.371607997316;22793.5672107395;22231.347201732515;21762.007816083424;[-401.91166884276754, -59.388743344370596, -653.1578744406652, 327.0832366111463, 1328.4150720697362, 701.3161304858259, -300.3132469263037, 666.6997568700717, -1046.4060279973164, 973.0867792604986, -639.714951732516, 556.4360239165762]
1990-01_2014-02;2014-03_2015-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1254.9213798023923;0.04416496659014785;72.72727272727273;1.9199028247629684;14844.436050962828;0.3834955706755848;24978.1739758203;24432.740994243755;23631.626476147812;22773.73496494498;23039.21561466998;22959.395519261132;22372.710264481695;22400.82070202071;22408.91097352766;22640.453632761637;21850.897588671312;21324.875310354357;[-1811.2446258203017, -366.16671424375454, -0.733356147811719, -1018.1498249449796, 1864.9601053300175, 304.18962073886723, 912.4853855183064, 1490.8369079792901, -373.13198352766267, 2102.4702772383644, 1718.2618313286875, 555.6554896456437]
1990-01_2013-02;2013-03_2014-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2518.475265742645;0.09722984617858438;81.81818181818181;8.965436739667625;19934.648259467736;0.7414520722258662;23296.86246654976;22438.560587419102;21861.80779633522;20912.962938412642;21079.765777484827;20905.882367259826;20212.847275484743;20689.59681335234;20408.509746400385;20432.14507961247;19794.656350803238;19353.34085034715;[-1223.556306549759, 1582.103892580897, 994.8387836647817, 590.4746215873565, 3342.9316825151727, 2668.313282740175, 1848.8266345152588, 3121.16289664766, 1652.7593635996163, 2996.760630387529, 4542.698719196764, 2640.2461096528496]
1990-01_2012-02;2012-03_2013-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2152.908973567334;0.07763562851579449;63.63636363636363;7.222147920708355;33973.12202867782;0.3298244771604302;21065.70215265934;20592.334955233793;20330.949741525685;19686.91153912999;19552.0058074437;19518.42643767448;19021.934474360227;18924.18462194024;18713.34467753854;19076.238886032374;18687.982479658916;18331.99392465431;[435.25798734065756, -997.2305752337925, 238.59246847431496, 249.25868087001072, 731.0898825562981, 1823.13334232552, 208.65036563977264, 2792.2193680597593, 2433.56999246146, 3829.688653967627, 4035.459550341082, 2396.9118753456896]
1990-01_2011-02;2011-03_2012-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1755.309424671012;0.07503222093711508;81.81818181818181;7.584347492644172;13877.0983184725;0.23080680541551307;19576.424345887288;19128.295800212636;18842.277490846936;18390.08483876034;18229.158331816132;18275.796918828226;17736.018266696614;17618.698012911253;17661.411034810535;17861.010163994095;17355.84597706103;16928.996140067473;[107.97233411271372, 14.072479787362681, 812.1644291530647, 847.2438412396587, 1052.7130481838685, 2514.982101171776, 1899.2389833033849, 1456.178797088749, 1624.657405189464, 3239.4300560059055, 1933.532642938968, 2356.0926299325256]
1990-01_2010-02;2010-03_2011-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1560.347919606833;0.07081822083759413;72.72727272727273;6.500456014719331;18475.515648182645;0.16898658547378156;18540.643541394686;18277.752872226698;18145.277373023688;17539.045345807695;17193.897021409164;17193.838153332974;16721.484878169373;16673.862756181978;16590.368374193244;16703.845228596532;16199.334273403943;15777.894030332931;[6.033998605314991, -145.04997222669772, -566.1690930236873, 295.25356419230593, 1732.396538590834, 1412.3538766670245, 1883.562221830627, 1137.945213818024, 1736.4540858067558, 2835.591361403469, 2124.764406596056, 1838.0118096670685]
1990-01_2009-02;2009-03_2010-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1429.9298754057918;0.07302717726121427;54.54545454545455;6.543736728150871;28191.09955965598;0.1492119575634006;17875.746478119778;17389.814289199297;17164.378470941094;16581.68847501858;16421.743540661784;16396.586363165636;15938.954913974456;15687.667322797412;15633.656229513173;16130.4332129674;15621.125895611087;14981.00890979651;[-820.8805381197781, -30.339649199297128, 455.15699905890506, 1102.5772749814168, 2081.408819338216, 1571.953866834363, 1753.3095760255455, 2065.97216720259, 950.7713104868271, 2020.3639770326008, 1398.3668543889144, 1162.703680203489]
1990-01_2008-02;2008-03_2009-02;MA;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1324.8209824633864;0.06436720490284967;45.45454545454545;6.442650049975376;31329.226166059358;0.11251547117210121;16311.02601071213;16168.360994560078;16000.72853274074;15525.040558656516;15406.348387404576;15404.720602796155;15057.255201258155;15084.69955976072;15164.960566651995;15129.512532640578;14773.122488656436;14569.594415639083;[-95.80681071213075, 272.5067554399229, 908.9290772592576, 717.1412813434836, 1332.9650225954229, 1482.0919172038448, 1738.748418741845, 2028.8275002392802, -47.65328665199377, 2386.665907359422, 1646.3195413435624, 341.0758743609167]
