train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;5129.510577666906;0.3378356634114275;63.63636363636363;34.00054804888241;81524.54582560612;1.1942904412606161;10691.663967423447;8443.49786287837;8936.045776505369;10506.838107433565;9737.847075773727;8833.53434649913;8998.97126731679;9112.403765499932;9299.602336981034;10791.329761862418;10557.701385675515;10640.037357986532;[4880.041032576553, 5262.53813712163, 5777.775223494631, 2624.7178925664357, 3571.133924226273, 6063.023653500872, 5854.542732683209, 5920.553234500068, 6214.725663018966, 5800.053238137583, 3669.320614324486, 4403.678642013469]
1990-01_2022-02;2022-03_2023-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1938.2908612495817;0.15823434410627565;54.54545454545455;3.1061173128874553;38286.128641720046;inf;11853.105077365233;10572.277291082033;9886.264902837225;9682.663904531599;9279.682562142378;9773.257071937029;10332.091393109094;10651.99510145279;10385.286691864536;10623.76822967177;9733.391279349918;9619.940373979662;[561.4299226347666, 3049.2447089179677, 3513.549097162775, 2447.1940954684014, 528.008437857623, -1683.8380719370289, -2582.0913931090945, -1273.4201014527898, -663.3096918645351, -761.4572296717706, -1089.6872793499188, 1877.9406260203377]
1990-01_2021-02;2021-03_2022-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2532.9961696920686;0.20717416477973583;63.63636363636363;21.195758465961383;40114.840825759245;1.1777968315700673;11353.812842842872;9729.548407595386;8292.649747409576;8078.908679140279;8132.553054107245;8571.882857198168;9075.832024440751;9016.565993327571;7847.2852937380485;7654.904553029129;7565.517310273474;8260.393005485268;[1161.351157157129, 2841.0975924046143, 2214.725252590424, 1225.9933208597213, 3553.3449458927544, 2773.7601428018315, 2018.142975559249, 3244.925006672429, 3489.1297062619524, 3519.085446970871, 1033.8036897265256, 784.2269945147327]
1990-01_2020-02;2020-03_2021-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2458.771639941161;0.22867279817901046;54.54545454545455;-16.845245731576682;48642.47999607536;0.7594359267609253;14351.579785756605;12494.830744494171;9789.465603986733;9749.314757198126;10649.23709210767;11431.854793924953;11004.813808802908;10146.551788425888;9874.225503685315;9733.885770178074;8247.654984193166;8353.824456668244;[-3861.6317857566046, -5789.830744494171, -2529.566603986733, -625.380757198127, -2655.237092107671, -2341.9117939249536, -381.87380880290766, -228.73778842588763, -1365.3405036853146, 1223.629229821925, -547.6909841931665, 963.4185433317562]
1990-01_2019-02;2019-03_2020-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3540.081837483431;0.291541100878118;72.72727272727273;31.213067571709914;42256.720989680776;1.2915956366508952;6399.584819340797;5511.417745367637;5080.060092177076;5482.811902062396;6148.429528364655;7296.5229097639785;7583.415361986181;7908.478888946086;7826.231225876923;7615.128594732994;6531.8599318771885;6765.574618347756;[627.8151806592023, 2519.651254632364, 1724.8339078229246, 5813.070097937603, 5214.954471635345, 551.4310902360212, 1922.5166380138198, 2764.1221110539145, 4385.544774123076, 1916.649405267006, 2840.107068122812, 6088.308381652244]
1990-01_2018-02;2018-03_2019-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4566.487839908757;0.47455961832204996;45.45454545454545;52.645442568687585;108804.88159002438;0.8753300458619075;5570.601714812706;4419.277508875977;3285.663481086619;3373.8762253442596;3350.0070423079587;3357.830157632405;3198.143624195656;3215.355688494148;2508.2345512025227;2703.712840708344;2384.619393613698;3267.321381458473;[1019.7792851872946, 2256.7514911240232, 3660.1065189133815, 3016.1237746557404, 2025.9929576920413, 5172.169842367595, 6314.682375804343, 7869.355311505851, 8854.628448797477, 2885.069159291656, 1140.3806063863021, 959.6786185415272]
1990-01_2017-02;2017-03_2018-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1928.4444724550656;0.3549218244715095;45.45454545454545;27.24655874672121;45852.44537391533;0.23221002328894275;2229.0947263943176;2272.2998500010513;2592.774450044359;3007.9712413158936;3233.1640076514154;3442.9504217867297;3174.1261655074136;3205.091169360286;2733.437162503925;3164.3750381249997;2428.79084477052;2521.8815415355925;[-15.094726394317604, 1341.7001499989487, -582.7744500443591, -948.4712413158936, -908.1640076514154, -416.95042178672975, 2045.2098344925867, 1951.172830639714, 1792.9808374960749, 952.9199618750004, 4060.4831552294804, 3462.4034584644073]
1990-01_2016-02;2016-03_2017-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2992.100626633041;1.1186663588499652;81.81818181818181;-95.82064843744563;25014.85422267266;0.3804854136799996;5981.050235290964;5936.947806421129;5867.227997787798;5716.743393520013;5542.373054378512;5683.552320371767;5682.052045428376;6148.258526800478;6100.034425378837;6522.574474248693;5615.770503725044;5507.191152677152;[-2228.357235290964, -3196.149806421129, -3670.227997787798, -3687.7433935200133, -2342.3730543785123, -1153.3553203717665, -1687.190045428376, -3242.899526800478, -4191.037425378837, -2470.574474248693, -3284.7705037250444, -3246.971152677152]
1990-01_2015-02;2015-03_2016-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1718.3981605942404;0.25441498028172943;90.9090909090909;20.389565112238262;6954.747150327084;0.37510303332501044;6002.485156063656;4998.906836937735;4492.137788192009;4394.573479947053;4654.675403183574;5160.543343578149;5254.153319154306;5505.188075901772;5219.803012745348;5242.913169308626;4436.228091318815;4534.0250781209315;[1265.5148439363438, 1777.5831630622652, 2266.2622118079908, 2313.426520052947, 2178.3245968164256, 1794.4566564218512, 1748.1066808456944, 2388.811924098228, 1158.203987254652, 359.8368306913744, -1240.2280913188151, -670.0250781209315]
1990-01_2014-02;2014-03_2015-02;AM;etanolhidratado;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;656.9242623257442;0.08077868557782936;72.72727272727273;3.878896176493186;7781.837879788487;0.06456723415406189;3908.2246984372673;3926.541546389043;3938.741479252698;4171.821603812669;4174.586710288684;4420.890112076026;4435.10433691142;4623.107168686333;4398.703173751575;4685.174538198962;4081.8445657543907;3939.566227408637;[-182.2246984372673, -155.33854638904313, 249.887520747302, -502.8216038126693, 5.708289711315956, -139.34011207602543, -127.10433691142043, -245.10716868633335, 10.380826248424455, 728.8254618010378, 398.1554342456093, 2005.1137725913632]
