train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;32391.32798625024;0.10037260687757366;72.72727272727273;9.35647254939205;383932.354825051;1.1080468755567958;260059.56779192132;261489.90095291994;265433.51973580575;262447.60640286055;272485.6890935012;283564.35346958943;279068.05236548476;277785.1245103599;267854.935856681;264186.26581209624;257945.11696702059;255749.6221917253;[40516.63220807869, 8799.418047080078, 43340.74026419426, 26715.874597139482, 28430.8499064988, 32295.148530410544, 19167.41263451526, 34243.4574896401, 48312.47914331895, 43093.35718790378, 21518.39603297939, -15288.041191725293]
1990-01_2022-02;2022-03_2023-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;19629.066255774815;0.06437912076790171;54.54545454545455;-4.695645398462483;386895.5123023647;inf;276263.7898468992;273873.33468565095;280814.71634878597;282727.3659515959;285885.543256767;292413.66834623134;292208.27356557327;295256.48830018746;283413.231295563;273339.7841612266;266043.7622786246;261385.68642616097;[5804.461153100769, -7123.625685650972, -16859.657348785957, -33137.99395159588, -2942.9882567669847, 18781.416653768683, -9531.470565573254, -21365.53030018747, -29116.242295562988, -3049.3071612265776, -29502.676278624567, -22816.464426160965]
1990-01_2021-02;2021-03_2022-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;19338.931693785442;0.055105037120705365;63.63636363636363;5.078538953344333;304971.51977211895;1.066224330259665;256336.5088123409;259566.23652703615;261884.90867596978;273667.33904780436;276828.726561442;280299.17175001535;277057.33453350293;279400.0345268989;264617.2542570807;253877.00914736046;254348.55414794822;243915.39826242466;[40850.24118765909, 23474.08247296387, 23144.337324030203, -467.82304780435516, 25375.799438557995, 16553.66724998463, 10897.775466497056, 20562.910473101132, 8386.083742919262, 11087.748852639517, -8882.780147948215, -747.7532624246669]
1990-01_2020-02;2020-03_2021-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;25652.226806028466;0.08254654518502427;72.72727272727273;-3.0003325939308607;303856.245088645;0.8423247868652259;262082.40876216968;265630.26278850576;266649.5514282432;273366.8922298124;274780.00910895504;278463.0953741562;274835.3366356817;278135.6891830137;272254.2620463992;260843.2262561757;257874.90577709454;252575.12552042984;[-13567.644762169686, -52618.59678850576, -43234.32842824323, -31743.5792298124, -6372.228108955023, 1264.1066258437932, 12225.66836431832, 31218.219816986297, 1493.3959536008188, 21161.670743824303, 6616.82822290546, -20166.922520429827]
1990-01_2019-02;2019-03_2020-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;15660.474517698653;0.04804461127544788;63.63636363636363;-2.595987904202145;246915.07892224917;0.9458393082091149;245882.36242411574;258270.7435890346;266094.4278822489;278494.0889519847;275069.04920551146;276006.3906092131;276381.6917296192;281035.93659639003;277727.8281540423;265492.2093673277;264980.5085867783;262536.3161568351;[4041.9825758842635, 12905.10741096543, -2244.052882248885, -36297.1879519847, -847.6632055114605, 6632.227390786924, -11701.130729619239, 8537.69440360996, -10203.576154042326, -8367.593367327674, -17877.901586778316, -26255.321156835125]
1990-01_2018-02;2018-03_2019-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;23837.1796276842;0.07512092584414547;72.72727272727273;1.5967001521722584;282279.9492271473;0.9561669526288017;236861.01607305437;249559.03710938434;261401.6909926078;258814.90470545154;258609.5413885814;264081.7772376925;259451.36718017005;261871.33583700194;258276.23086725522;251668.70279997913;250202.05915978312;248974.00136993933;[28380.649926945654, 14117.51889061564, -60978.75999260778, 21335.987294548453, 12359.648611418612, 23132.31076230749, 1380.2628198299499, 20814.281162998086, 13814.738132744766, -1150.8877999791293, -6906.573159783118, -16651.066369939334]
1990-01_2017-02;2017-03_2018-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;20115.276953162967;0.06788140956745702;63.63636363636363;5.27836254896306;317325.79742085247;1.1663814035082893;228333.72748263905;235705.89112549;245197.08424997504;243681.32640450605;242271.55945054677;250251.1889812598;249337.57658925824;248899.70437839898;246209.57120706336;240251.98181640188;238516.42382042515;240258.8829960654;[40956.44181736096, 13527.046174510004, 13816.279050024954, 8424.201195493952, 18104.21674945322, 24533.89521874019, 13605.210510741774, 26362.552921601018, 17440.97759293663, 5352.906983598106, 3954.3881795748603, -23978.853996065387]
1990-01_2016-02;2016-03_2017-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;15534.591167651954;0.051564519861833504;45.45454545454545;-3.3517512248741133;367257.6371848012;0.6142661631407443;248876.7658717678;254289.42722728764;262011.97223886033;261596.0383226968;255880.2509281719;261560.72394795902;269119.79893868725;263401.45205634227;254802.9741749484;249548.3085522725;243966.6165027254;247898.36114903973;[11205.029128232214, 8584.218772712367, -9819.244238860323, -22418.812322696816, -9843.377928171918, 3700.5060520409606, -22393.967938687245, -2904.8590563422767, -7496.298174948402, 230.77844772749813, -13190.33540272541, -35311.09664903974]
1990-01_2015-02;2015-03_2016-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;29322.947479202874;0.10222480706811742;63.63636363636363;-9.700303790421051;463016.2598949891;2.4978043426723477;295932.14960778324;295072.21688144526;294238.4962869871;294228.17144902755;291984.16666388;290788.04909473116;293905.236041549;294731.4347948428;283232.3774653526;280248.82059151755;277631.1392448015;273782.40577566175;[-21668.974207783234, -20812.36888144526, -30519.10728698707, -29128.952449027565, -8911.91046387999, -9913.859194731165, -15608.715241549013, -14324.075894842797, -23981.90256535259, -23314.69599151754, -57887.09324480148, -50391.18877566175]
1990-01_2014-02;2014-03_2015-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;23885.86919279919;0.07061293559299624;81.81818181818181;0.3602220056308454;188783.3475008845;0.8318478824630724;291295.7848742472;286469.26812717627;283715.2019460722;283115.44025355065;284029.7909568789;284038.12284345087;283166.3923541658;284250.50283798546;281153.97851892747;279044.9591710904;278709.92459011107;276583.4240105764;[-21510.368874247186, 23629.621872823744, 17811.82605392777, -17507.274253550626, 6448.085043121071, 15490.393156549137, 25349.407645834202, 33068.84216201451, -4004.890518927481, -2244.2061710903654, -8692.176490111044, -55563.4390105764]
