train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4045.1589342307793;0.03860422309943841;72.72727272727273;-1.5354706285287079;47839.12615282938;1.1823689709465672;86662.31891700767;85003.12081337482;85598.45700322963;82807.37319776425;83779.00704907428;82222.21131309676;82560.42220288567;83448.9782761005;83236.36102145627;87538.87245983702;83296.86660077168;82465.27060462152;[-202.91891700767155, -5477.225813374811, 2511.5429967703676, -2624.5731977642427, -2682.307049074283, 1052.6036869032396, -1884.2222028856777, -2095.1782761005015, -1282.2610214562592, 5591.32754016298, 1865.0333992283122, -10024.670604621511]
1990-01_2022-02;2022-03_2023-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;7697.3326109568325;0.08388238391094598;72.72727272727273;-8.224041576606059;91181.74121240243;inf;93215.96814936587;88381.50340528745;90670.79582040572;91179.91209413356;93497.08330951963;90971.13762410091;90359.5087140892;88586.83042949637;86645.16042507332;95026.89058089475;87646.6262898682;87577.4244345216;[-8571.868149365866, -8152.465405287454, -5974.297820405714, -14382.22709413356, -11300.183309519634, -7686.018624100907, -7577.4287140891975, -3001.319429496376, -6531.65242507332, -1322.1905808947486, -3782.7262898682093, -4073.4244345215993]
1990-01_2021-02;2021-03_2022-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;10721.477806617664;0.1106020937031618;90.9090909090909;11.138880830163622;42718.782986460035;1.8813103059932768;77203.38062994374;70539.77926592733;70627.71458389547;74630.16001739331;82829.7545490188;76744.87091510145;83229.80764643714;86205.08225133778;74415.0265006438;88198.04131535452;79766.52147668165;70041.27651840761;[3639.219370056264, 7493.520734072677, 15645.135416104531, 16908.390982606696, 9645.875450981199, 11826.229084898558, 3427.724353562866, 4433.017748662227, 9006.773499356204, 13907.556684645475, 7789.178523318347, 13409.823481592393]
1990-01_2020-02;2020-03_2021-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;10429.03425565346;0.12256925363349667;72.72727272727273;-2.818999867277348;123715.98488905704;0.9257549315114257;80962.31650948766;77578.63859709926;74591.015215032;74569.8199935826;79555.27381337702;77606.87922158667;76009.36887185882;78549.50829618504;78142.19820610445;83118.71272298302;77717.79548125374;73524.49363186437;[-14884.419509487663, -18972.84759709926, -10740.415215032008, -9448.7199935826, -5438.173813377012, -6282.079221586668, 5435.831128141173, 8169.691703814955, 1276.8017938955454, 16501.501277016985, 8930.704518746265, -98.59363186437986]
1990-01_2019-02;2019-03_2020-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3269.653060062525;0.034396683463709755;81.81818181818181;3.1665000207818497;25790.8115964296;0.5036524074838068;77575.6067094873;73519.19381147921;72665.64577773094;73111.91291432221;75556.85133523092;73532.63813075001;72494.66857209147;77419.04843479242;76512.86434624268;82332.0068546831;78517.02338613424;73602.35050558475;[-168.70770948729478, 4815.20618852078, 2153.1542222690623, -1192.7129143222119, 2758.6486647690763, 3597.5108692499925, 2784.4314279085374, 3938.7515652075817, -157.3643462426844, 5276.1931453168945, 663.1766138657549, 5185.791494415258]
1990-01_2018-02;2018-03_2019-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3486.191292162218;0.04198462508794044;100.0;-1.116712488599322;63.37852521993046;0.40308375296325133;81088.5205159999;75837.83455176886;75130.45205519251;73204.10068238035;75922.05842026905;77931.38398721407;76267.59705612126;77278.13118792094;76372.08848621692;82227.52410537908;75923.70811256068;70857.4722469841;[2553.895484000095, -477.87155176885426, -2074.1770551925147, -4131.700682380353, -2835.1284202690586, -2280.430987214073, -6976.43805612126, -2566.0401879209385, -2571.873486216922, 3863.687894620918, 4233.891887439328, 3123.527753015893]
1990-01_2017-02;2017-03_2018-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3016.3042054146495;0.030151780504968032;63.63636363636363;0.8919899855390724;47534.32990193617;0.457834547155345;82185.66675237178;78089.10248557714;75931.18097115624;75946.6665578679;76808.13930881911;77111.86656705911;77946.6359697997;77531.25242426492;76651.7688950792;82309.53845073347;78427.62231994011;74744.63799862629;[548.333247628223, -2503.6024855771393, 1173.8190288437618, 2782.816442132098, -902.3893088191107, 1106.6874329408893, -3671.0459697996994, 1334.6995757350815, -718.0958950792119, 6542.902549266539, 5175.2216800598835, -2466.0209986262926]
1990-01_2016-02;2016-03_2017-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6470.4834501868445;0.05870100700273476;81.81818181818181;5.274538375948349;51106.776563376436;1.0038044379176567;80127.03723633575;76328.58987460064;72968.80714542945;73111.52534219445;74267.03129214403;73451.09368394558;75209.92840428537;74934.62737602914;73858.15827837375;76407.68805910647;72427.85861611352;71302.16026889072;[989.2627636642574, 1209.4101253993576, 3132.792854570551, 1245.6466578055552, 1918.4687078559655, 5516.1063160544145, 5212.571595714631, 3446.1706239708583, 3590.091721626246, 15917.00494089353, 11562.641383886483, -3938.160268890715]
1990-01_2015-02;2015-03_2016-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4478.900625649427;0.04567033465889134;72.72727272727273;-1.5674990638357138;52982.40956126408;0.4877763568718391;86491.14295976002;80580.00413435504;75951.69206295752;75519.26164117121;77262.39489483433;75556.83632441219;77160.70613532758;77127.56161094483;74518.55560407437;79652.14053574127;77022.19314653818;72880.72213214725;[-10935.642959760022, -3286.8221343550395, -4517.192062957518, -1579.9506411712064, 87.0251051656669, -3109.3363244121865, -2653.7351353275735, 2806.337389055174, -2072.8556040743715, 6509.597464258724, 403.30685346182145, 4000.777867852754]
1990-01_2014-02;2014-03_2015-02;ES;gasolinac;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;8969.331363925034;0.08178474880418327;81.81818181818181;7.476880374823105;70933.4533650031;1.160639383419204;78725.0409704643;74275.50560013334;71078.79989421817;70276.14771551233;72225.62983944517;71828.96103966929;71409.66590992773;71824.00569012135;71357.55669311412;72026.59970440934;71258.27206032877;70345.50719828717;[-4724.140970464301, 3872.2483998666576, 4211.772105781827, 1922.2082844876713, 3487.642160554824, 3261.4719603307167, 8084.349090072268, 12016.994309878646, 2755.043306885884, 20796.01329559066, 15269.727939671226, -920.0071982871741]
