train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;609.8220836503019;0.034261455487679886;63.63636363636363;1.7708563560993298;9611.794150028825;0.7657465497151746;14904.953989771244;14448.507410033844;15055.159209041385;14680.414036678396;14842.726102803595;15085.653054062333;14488.429428129637;14700.997667741225;14748.883316595731;14842.981814297611;14459.76099096472;14715.15316764955;[631.2960102287561, -119.26466003384485, 631.7121709586154, 798.0913933216034, -118.9761028035955, 600.8197759376671, -507.713848129637, 706.4026922587746, -475.3670165957319, 113.65405570238909, 1242.9582090352797, -313.1658476495504]
1990-01_2022-02;2022-03_2023-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;596.5304565855323;0.033904402540864964;81.81818181818181;-1.5097460914797391;4705.483973021469;inf;15362.243000501378;15088.562192772386;15265.866806344871;14908.617914310213;15092.981448853909;15183.2889927457;14887.580014991523;14978.220965965711;15037.107743084776;15323.050307393098;14871.384788050182;14974.62778768517;[377.4562794986232, -726.0857427723859, 109.68029365512848, -190.73385431021234, -379.05753885390914, 230.26172725429933, 297.0920850084767, -938.2028459657104, 206.981026915224, 368.440632606902, -1260.6981980501823, -786.7382976851695]
1990-01_2021-02;2021-03_2022-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;771.2559509495209;0.04268212463411435;63.63636363636363;-2.915368667683499;12159.058097831647;0.8844557121260058;16531.990882126753;15860.585461163886;15768.901314686616;15179.22518491136;15609.785124844406;15483.01950977153;15231.16260688959;15543.907657518224;15144.798681150449;15607.64419341209;15005.632077262455;14852.146466887825;[-1437.9003021267526, -884.244881163886, -624.9067446866156, 1177.4469150886398, -120.04780484440562, -419.3274797715294, -836.5448568895899, -643.4746875182245, -1041.4019411504487, 33.37392658791032, -313.99620726245485, -152.818566887825]
1990-01_2020-02;2020-03_2021-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;975.745206842963;0.05628235875639836;90.9090909090909;4.999266605830876;3865.002039152639;0.9548184173571121;14788.541644309827;14724.104210323356;14802.301351012531;14635.272950094793;15157.929709158372;14861.47657025005;14564.287961782906;15004.13056523633;14609.574627990176;14971.4746117327;14567.358393747567;14151.931141790885;[765.704735690173, 1030.095069676645, 969.3272689874684, 1095.3611099052068, 1278.2079708416277, 1499.5505997499495, 467.09609821709455, 162.69552476367062, -661.6489079901767, 1533.7753882673005, 439.0274762524332, 726.6539982091144]
1990-01_2019-02;2019-03_2020-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;721.0897749497032;0.04308975088378209;90.9090909090909;-2.198806909798768;2852.1788443402984;0.7793142443612143;14637.274666414849;14586.265628586134;14857.8806786264;14813.118898995232;15046.618898971217;15118.159216355358;14877.372515003895;15129.050190377093;15051.575618411354;15258.156892544052;15073.013238324085;14854.830564406153;[396.17461358515175, -254.46127858613363, 158.00338137360086, -1523.729408995232, 558.4716810287828, -789.0342163553578, -906.640635003896, 655.7632196229079, -318.2531584113549, -196.65508254405177, -772.1907783240858, -865.1584644061531]
1990-01_2018-02;2018-03_2019-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;614.391298805441;0.03275910388953255;90.9090909090909;-1.904952158109998;2427.3826744620446;0.9068150240364271;14617.11127477475;14303.267050706761;14791.894048996895;14558.074747996454;14952.5056736375;15192.830315868065;14873.68473896728;15122.087420983871;15211.765667480042;15431.68280817784;15287.386134886261;15291.40664685627;[424.6912652252504, 374.4430892932378, 344.53167100310384, 8.595542003546143, -89.53828363750108, -79.87198586806517, -674.1158989672804, -691.714230983871, -622.4305274800427, -377.15563817784096, -412.24483488626174, -1563.1584568562703]
1990-01_2017-02;2017-03_2018-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;987.0209763723183;0.051500419513846984;63.63636363636363;2.935596522153989;15564.371631547036;1.1054935262851497;14068.337217747088;13873.47127252187;14259.749068708246;14239.385020513411;14241.98485230947;14700.756944727056;14418.553874397261;14301.307627504606;14646.59244078164;14776.136565096935;14445.265550250631;14608.379506048992;[2338.004502252912, 72.56858747813021, 950.3451312917532, 566.3555294865891, 826.498847690531, 312.73822527294396, -161.10136439726193, 1435.743642495394, -906.8336407816405, 435.53208490306497, 346.8703197493687, -997.2490760489927]
1990-01_2016-02;2016-03_2017-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;550.909643029109;0.03315116448220042;81.81818181818181;0.07527478805453473;4345.457837443911;1.0115343191747306;14152.465846708244;13803.150336324286;13978.735619578152;14098.559392735888;14324.611221307317;14674.19898748434;14602.60962228201;14455.846841237424;14665.241891316691;15144.64394347081;14591.38371302041;14744.082452306218;[818.0504532917548, 337.672123675713, 331.26981042184707, 311.9514772641123, 186.80906869268256, -108.09753748434014, 269.8487077179889, -766.5950312374243, -227.66037131669145, 665.6875765291898, -734.0141430204094, -954.4212223062186]
1990-01_2015-02;2015-03_2016-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1383.9671986898875;0.08997928580532871;72.72727272727273;-8.82477103950166;16398.85886693384;1.8473198666472759;17068.63121173659;16746.094673871215;16290.33384524731;15980.610179012852;16238.524467743411;16212.510503808453;15957.662136673027;15988.61526126207;15757.90571246579;16115.065342423904;15694.3100818872;15414.41838347689;[-1080.5080217365885, -999.9588038712154, -1452.2722552473115, -665.2134390128522, -843.7690377434119, -1464.7641238084525, -992.7780766730266, -1352.7493212620702, -2216.8477424657904, -982.4258524239049, -1596.4513818872001, -2040.6158434768895]
1990-01_2014-02;2014-03_2015-02;AM;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;736.829098530778;0.039613276137612986;72.72727272727273;1.2916908084771634;8714.643735990066;0.4279704159078952;17108.11549725714;16791.720931541386;16391.464287414896;15944.007830035207;16224.531641909794;16261.746081569914;15834.91191040348;16038.621109796364;15846.782567184744;15904.513080150986;15726.18999834088;15503.316055171565;[-34.13904725714019, 458.8569684586146, 398.0647025851031, -948.1563800352069, 1265.6748780902053, 94.89159843008565, 661.8417095965196, 820.2683802036372, -686.5253171847435, 1033.0466998490137, 384.53283165912035, -915.2345351715649]
