train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;14878.37752026869;0.11623998874543291;63.63636363636363;10.085590050929799;235024.39859167783;1.1500033882289047;108771.17683301182;104208.94237130032;107520.19179836287;109577.3391155937;111359.69608762703;112514.07222146797;103822.37661724804;104390.8967408092;104711.14740150777;105784.22045600021;103541.03004831093;103034.25460403076;[10308.640166988174, -12140.607231300324, 22491.076301637135, 22108.10838440631, 16919.31111237296, 20553.665078532038, 11398.284582751963, 11560.413059190803, 9925.136998492235, 7927.453443999781, 14590.687351689063, 7848.104095969233]
1990-01_2022-02;2022-03_2023-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4737.203211583161;0.03938616159603591;72.72727272727273;2.2758158171250686;56024.961166922214;inf;103299.14167044357;100187.8658255032;102882.57710304527;110617.95868470371;110881.03829439126;109665.46090638242;103813.89525049359;101827.28593853733;102750.1724619794;104854.89358912411;99748.13380639857;101900.40490949375;[5119.4761295564385, -5740.6375655032025, 6707.783396954721, -2046.3318847037153, -798.9368943912559, 7007.597093617587, 2808.512349506418, 3088.755761462671, 2237.526838020596, 5739.870910875892, 7164.047393601431, -2120.908529493754]
1990-01_2021-02;2021-03_2022-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6227.730078500915;0.05430557439283714;90.9090909090909;-4.074088261685984;24661.988212298835;0.8761573434769738;108108.4828957631;106183.59848473032;106817.36080489395;114854.33193209644;116108.54787350041;115229.81057133277;109027.6931503363;107787.73058388958;107150.5539896986;109110.58332163397;105444.00149584256;105636.73347494988;[6484.807004236907, -1696.4480847303203, -3690.232204893953, -2405.165232096435, 1110.4503264995874, -4178.7000713327725, -8502.874350336308, -7864.741453889583, -8015.215219698599, -4470.469221633961, -9160.648235842556, -8949.204484949878]
1990-01_2020-02;2020-03_2021-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6024.541502744376;0.0391074942099492;72.72727272727273;3.2030758384587403;71248.92695923011;0.9053596987152692;102378.96844129583;104464.15167726608;106604.54084972868;111468.43682655199;114798.18686272316;112729.1216550278;105811.65754193235;106301.88976023778;104037.74208314734;103703.30906107891;102734.96352228751;101786.24205204051;[15591.000758704176, 8539.726922733913, 2144.0533502713224, 2165.6193734480185, 6324.684537276844, 2541.6319449721923, 1136.0942580676492, 2062.119339762212, -1531.7420831473428, 6385.8050389210985, 713.9911777124944, -3822.1714020405198]
1990-01_2019-02;2019-03_2020-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4813.527227400948;0.033062170891548746;63.63636363636363;1.2705453722716742;75862.83015426803;0.8662905006217042;104291.07861242373;103041.88652555221;107328.71831741587;116710.8974517044;119316.56350625768;113353.84953918715;105227.90784891426;103649.10705299336;104854.62948812761;104912.99064631712;102568.84275085056;101238.15004521697;[-92.33581242372748, 4781.037374447784, 5518.113182584129, -10065.743451704402, 2362.0143937423272, 2584.9674608128407, 797.7370510857436, 8910.33674700663, 56.977411872387165, 5049.270253682873, -1760.6452508505608, -1585.8819252169778]
1990-01_2018-02;2018-03_2019-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;9571.443594929584;0.05444328028305322;36.36363636363637;-0.9348398430184914;263971.6576846321;0.8241578239430326;107911.39517636884;108475.60581720101;119164.54276980448;115113.14590157277;123891.73561184958;121692.80664575996;107158.83516760777;109034.47757022052;108299.68542836301;109873.50072458223;104741.34643619861;105349.70174646923;[1443.7352236311563, 1436.580782798992, -22147.410519804485, 21126.669298427238, -10013.501911849584, 1683.8491542400297, 1343.2355323922238, 412.9699297794723, 2719.111671636987, -4351.988024582228, -971.5475361986173, -5099.082146469227]
1990-01_2017-02;2017-03_2018-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4745.59598320337;0.033991156928821806;54.54545454545455;-1.7255369424045184;93475.2147863372;0.44597887628801014;116611.77965596011;113402.5075438199;125118.0506085412;123007.28341724061;129435.94375575795;126639.13801986011;113146.48080967258;112961.11261685041;112459.00189116946;114218.09503934781;105830.4824483057;109599.35447778383;[7596.621044039886, -8525.139743819891, -3326.5977085412014, 54.43118275939196, -4222.108655757955, 1182.0016801398888, 2062.1085903274216, -4204.82671685041, -851.5329911694571, -3581.5652393478085, -1496.2107483057043, -8476.128077783826]
1990-01_2016-02;2016-03_2017-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6483.800470815847;0.047140799430112595;63.63636363636363;1.8452742792684087;102226.47365130552;0.4502203556694939;117259.24709765866;113892.13184359457;122226.3392365059;120688.88372712284;122571.47642357189;121390.45371397903;114589.51638896493;112004.76142697135;110670.20400288531;115281.17889997404;108826.75126213513;111096.5461129399;[1790.593502341333, -1596.8075435945793, -1821.1743365058937, 6104.201372877156, 3058.7880764281144, 9733.526386020952, 3762.998111035078, 2259.419773028654, 8336.605797114695, 11212.558400025955, -8108.776662135133, -8591.069712939905]
1990-01_2015-02;2015-03_2016-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2863.5989899272904;0.021605677058253264;100.0;1.2129517403908483;26.790493701315228;0.26398175218957165;112225.09797099576;112186.93556627736;119458.79144432567;121429.4544615194;125189.61379789528;122126.40106561487;116237.19410309041;113983.85172792511;109154.45109935701;115143.08527938345;105068.6611692948;105273.29202179342;[2299.3531290042447, 2021.0463337226392, -959.490744325667, 1128.2792384805944, 2257.9605021047173, 1622.2167343851324, -2671.7050030904065, -975.197727925115, -1824.815199357021, 4186.7535206165485, 3951.155830705189, 5877.72247820659]
1990-01_2014-02;2014-03_2015-02;MG;glp;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6071.248338888177;0.04382411304703122;81.81818181818181;3.3117606727607107;47914.23994018391;0.6358826111378875;111662.48313470666;113943.1176736826;115813.89251201302;115925.7861825143;119246.80332011887;113537.86648785397;109061.36756505567;110045.73372121647;103683.6210874589;108598.32123763612;103924.97066768097;101051.20125755899;[-2823.3110347066686, -3266.5814736825996, 2687.797687986982, -1698.844182514309, 8369.029979881132, 9716.057412146023, 6792.041834944335, 6274.485478783536, 4955.5492125410965, 11263.271162363875, -314.0884676809801, 3479.637542441007]
