train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;32363.376511944647;0.10027162400146895;72.72727272727273;9.328535556826443;383599.6324553417;1.1067661015012107;260295.71370045183;261625.18032607558;265300.22619153763;263003.97722608654;273021.07853813714;283446.54118932324;279229.6305622455;277738.9524160761;267931.5898984708;263924.77029902523;257505.90208372485;256034.94308433993;[40280.48629954818, 8664.138673924434, 43474.03380846238, 26159.503773913486, 27895.46046186285, 32412.96081067674, 19005.83443775453, 34289.6295839239, 48235.82510152919, 43354.85270097479, 21957.610916275124, -15573.362084339926]
1990-01_2022-02;2022-03_2023-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;19546.998324291777;0.06411286788150031;54.54545454545455;-4.697845227013532;385275.672176713;inf;276707.0420119989;274166.9233731094;280599.5495050977;282757.43327609985;286272.37018539273;292432.33522168203;292147.05970050883;294944.5547584605;283170.4911511086;273103.7386106714;265814.46273130365;261580.3592720317;[5361.208988001104, -7417.214373109455, -16644.490505097667, -33168.06127609985, -3329.815185392741, 18762.749778317986, -9470.25670050882, -21053.59675846051, -28873.50215110858, -2813.261610671412, -29273.376731303637, -23011.137272031687]
1990-01_2021-02;2021-03_2022-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;19283.892081393715;0.0547331517202442;72.72727272727273;5.121825833615536;228189.59240531703;1.0598174204718684;256610.90660852788;259423.1372884433;261626.9429957563;273377.3465812736;277030.35078448907;280118.7479950044;277309.9136784984;279443.90367789834;264591.1156901507;253558.81793870786;253269.63633800522;243986.6662629994;[40575.843391472124, 23617.18171155671, 23402.303004243673, -177.83058127359254, 25174.175215510943, 16734.09100499557, 10645.196321501571, 20519.041322101664, 8412.222309849283, 11405.940061292116, -7803.862338005216, -819.0212629994203]
1990-01_2020-02;2020-03_2021-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;25804.634434848253;0.08365541031189254;72.72727272727273;-2.958533205686949;305673.94430146815;0.854530194192603;262740.7686178106;265879.1134166523;266652.83064856107;273196.3748802076;274874.7230112911;278057.97511409025;274711.34079311095;277965.4659556932;271764.36920082266;260336.74428654392;257166.75000890763;252838.59353239255;[-14226.004617810628, -52867.447416652314, -43237.60764856107, -31573.06188020759, -6466.942011291103, 1669.2268859097385, 12349.66420688905, 31388.44304430677, 1983.2887991773314, 21668.152713456075, 7324.983991092362, -20430.390532392543]
1990-01_2019-02;2019-03_2020-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;15295.866251030466;0.0463244610286656;63.63636363636363;-2.5495769160406976;241154.98217697814;0.9121897425356328;247403.24778578206;258602.49615098385;265939.6839765469;277979.58436008997;275246.8518288514;276014.7086010102;276437.11822553474;281040.37006242835;277150.373911873;264665.10340572515;263766.47274497023;262265.3159993938;[2521.097214217938, 12573.354849016177, -2089.3089765469194, -35782.683360089955, -1025.4658288513892, 6623.90939898981, -11756.55722553475, 8533.260937571642, -9626.121911872993, -7540.487405725144, -16663.865744970244, -25984.32099939382]
1990-01_2018-02;2018-03_2019-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;23610.877965602667;0.07410873322282763;63.63636363636363;1.5895661922663809;372533.7518653419;0.9433081737722508;238148.67190345068;250072.40477438972;260924.64268379;258564.00915890312;258715.0915302886;263786.28492016555;259643.90746262492;261983.88946700364;258208.04849001067;251356.11684802666;249403.89115532962;249186.53108697146;[27092.994096549344, 13604.151225610258, -60501.711683789996, 21586.88284109687, 12254.098469711404, 23427.80307983444, 1187.7225373750844, 20701.72753299639, 13882.920509989315, -838.3018480266619, -6108.405155329616, -16863.59608697146]
1990-01_2017-02;2017-03_2018-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;19885.158869641724;0.06746563743616284;63.63636363636363;5.245759108575381;313692.0267657398;1.1591556080337018;229526.8147035819;236667.3051855739;245128.99467855392;243643.39768785748;242663.46887752545;250011.61997833833;249268.73319883554;248821.37399732365;246069.95838645415;240075.74843340676;237929.90562727727;240108.85402506823;[39763.354596418096, 12565.632114426087, 13884.368621446076, 8462.129912142525, 17712.307322474546, 24773.46422166165, 13674.053901164472, 26440.883302676346, 17580.59041354584, 5529.14036659323, 4540.906372722733, -23828.825025068218]
1990-01_2016-02;2016-03_2017-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;15357.514333976435;0.05082321408761859;45.45454545454545;-3.407480535984897;363066.38066789164;0.6048731989696902;249913.5498374955;255418.40568677502;262301.0212448025;261837.21289344854;256690.29886802842;261707.09725205335;268714.7267839628;263218.52470255556;254609.16991947102;249189.33943783594;243424.21398117;247586.12625246358;[10168.245162504521, 7455.240313224989, -10108.29324480251, -22659.986893448542, -10653.425868028426, 3554.132747946627, -21988.8957839628, -2721.9317025555647, -7302.493919471017, 589.7475621640624, -12647.93288117001, -34998.86175246359]
1990-01_2015-02;2015-03_2016-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;29240.54711817728;0.10221995953389124;63.63636363636363;-9.707978172708506;461715.081820447;2.499780477216078;296182.8723827582;295788.63165093045;294643.44915366225;294360.9796484497;292390.10137798864;290918.65924757277;293814.40998213564;294460.51324404124;283167.04271795857;279870.8306592558;276888.59924609616;273531.03225342656;[-21919.696982758178, -21528.783650930447, -30924.060153662227, -29261.76064844971, -9317.845177988638, -10044.469347572769, -15517.889182135637, -14053.15434404125, -23916.567817958567, -22936.706059255783, -57144.553246096155, -50139.815253426554]
1990-01_2014-02;2014-03_2015-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;23829.033504855754;0.07024804598583693;72.72727272727273;0.3494520600612875;282133.1458641181;0.8273274110485155;290956.7972495782;286645.4228644185;284056.3594924931;283450.24486135674;284353.14036967955;284094.3682670945;283161.84452702175;284170.18235007947;281116.58434496843;278918.38922371465;278472.71389143664;276543.76648289966;[-21171.381249578146, 23453.467135581537, 17470.668507506896, -17842.078861356713, 6124.735630320443, 15434.14773290552, 25353.95547297824, 33149.1626499205, -3967.4963449684437, -2117.636223714624, -8454.96579143661, -55523.78148289968]
