train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;726.1040780022124;0.46421872865251906;45.45454545454545;50.48392120715106;17306.681597100873;0.9982570515848422;494.0873805272372;588.149376950023;629.6538897810287;575.3916394975006;538.5753671424535;516.5954679124786;561.8090218040738;594.1124364755505;684.328775774288;774.0448068846805;792.9122979160181;774.4042682617107;[467.1286194727628, 245.47262304997696, 139.70811021897123, 153.13836050249938, 336.6686328575465, 737.2205320875214, 799.2589781959261, 832.5145635244495, 739.1452242257119, 1135.2401931153195, 1099.883702083982, 985.7507317382892];-1.920415775155949;0.3225186711720898;7;389;-3.447272819026727;-2.868998737588248;-2.5707433189709294;False
1990-01_2022-02;2022-03_2023-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;501.03589960951126;0.795491468023935;54.54545454545455;-52.752412908511324;10049.829712620189;inf;522.0537810811068;749.892631998849;1033.1430504929208;1338.0620231086082;1261.722290040763;1008.129776670471;916.1963553045133;873.0829318035484;937.0675943348301;1117.132474441229;1255.40128176216;1261.605686029816;[471.6442189188932, 240.66036800115103, -263.17505049292083, -537.4410231086082, -764.4032900407631, -560.680776670471, -501.6583553045133, -354.61693180354837, -219.87959433483013, -447.4094744412291, -684.2122817621599, -617.4266860298161];-2.111469445363933;0.23992776026105178;7;377;-3.4478152097574224;-2.8692371153451903;-2.5708704003405356;False
1990-01_2021-02;2021-03_2022-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;395.5220179119624;0.41680462791084033;54.54545454545455;-13.707900026994263;7864.409000517429;1.2828892017117428;1217.871741344155;1014.9576102173655;852.4261344842821;635.6476718583898;837.484345207104;1077.145607205821;1283.1348437560673;1431.0578214167936;1367.0787148643394;1344.5783992128286;1008.5935499657026;846.856670831608;[216.90825865584497, 272.1803897826344, 351.6518655157179, 418.2573281416102, 114.82565479289599, -166.1876072058211, -392.9668437560673, -625.9448214167935, -552.7777148643394, -632.4613992128286, -342.5815499657026, -218.07467083160793];-2.4050070770128555;0.14032818254940976;7;365;-3.4483935212959844;-2.8694912343676497;-2.571005879151811;False
1990-01_2020-02;2020-03_2021-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;323.15796590023683;0.3379029478558045;45.45454545454545;-13.012932775205377;7687.891643367992;0.6427115400543052;1313.8134424652314;1220.5771867272865;1133.368968446451;1131.7814355419493;1106.228527983964;980.0793531035164;963.323145236633;1025.5911404376905;1050.2468920462475;1145.9139934197976;1330.390227354702;1455.445482739256;[-403.9644424652314, -525.4261867272866, -488.27196844645096, -433.7644355419493, -313.84652798396417, -96.9153531035164, 225.26785476336693, 314.74585956230953, 173.02110795375256, 237.29700658020238, -181.616227354702, -102.07048273925602];-2.8050535853455583;0.05755551746754224;4;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2019-02;2019-03_2020-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;331.2193872143471;0.20126221383124743;54.54545454545455;14.71927423338678;6552.017782195304;0.4146865779694511;909.9044488494883;975.6963221044385;1128.0805279491613;1245.99804606079;1326.0269273410183;1274.7764598938538;1212.1665616858816;1167.7464610555844;1125.7446185077251;1192.671114512229;1132.483147488127;1152.5515721693075;[232.79555115051176, 531.0106778955616, 583.4704720508387, -27.650046060790146, -191.65692734101845, -285.86145989385386, 165.27243831411852, 366.2445389444156, 372.75138149227496, 442.2178854877709, 148.06885251187282, 52.7554278306925];-2.2077162984826613;0.20345681533771942;7;341;-3.449673193310592;-2.8700533746644323;-2.5713055939491403;False
1990-01_2018-02;2018-03_2019-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;327.48001325031913;0.24102174949817468;45.45454545454545;5.573984216143822;7774.579653826268;0.5209760604684934;898.3639179513277;1060.0181571659248;1141.2550449651567;1129.091087540227;1102.986218444145;1139.149083218465;1138.994196174887;1176.7017244261258;1259.2702031434194;1333.7358505614588;1291.5799508622868;1182.7327168026575;[256.3940820486723, -124.74515716592475, -148.3890449651567, 213.64591245977317, 253.51378155585508, 589.995916781535, 509.637803825113, 343.3132755738743, -82.65920314341929, -240.39785056145888, -387.07995086228675, -365.4327168026575];-2.8843978089684303;0.04719263491563432;1;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;True
1990-01_2017-02;2017-03_2018-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;337.64886654660046;0.3007513652911131;27.272727272727273;-1.949093300047203;10686.624612732621;0.5893787360292704;847.6091191511049;883.5233920140768;1006.1243860646409;1139.091019039744;1157.8272456704183;1118.9200742462306;1119.9232749970147;1141.305789839089;1058.6742922847532;995.962060291545;1009.9949020171257;1047.0055198214948;[1.890880848895108, -246.52339201407676, -249.62438606464093, -550.091019039744, -390.3272456704183, -205.92007424623057, 38.07672500298531, -156.17778983908886, 247.89770771524672, 638.1889397084551, 478.77609798287426, 154.35848017850526];-2.425713083887842;0.13461019632416693;4;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2016-02;2016-03_2017-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1048.3507749371201;0.9794690736969268;54.54545454545455;-92.510283478551;21097.962119271655;2.3422655127373235;1921.91307009408;1986.0675966777535;2039.7676929764475;1984.3060631921817;2154.653326689414;2217.9525368782606;2135.2012736768593;2170.7874509148764;2236.7286008505653;2230.0315003858877;2182.2207009197023;2305.637652450972;[-665.41307009408, -765.0675966777535, -908.2676929764475, -994.3060631921817, -1128.153326689414, -1072.1525368782607, -1092.1512736768593, -1014.7874509148764, -1107.1286008505654, -785.5315003858877, -1187.2207009197023, -1565.138652450972];-2.261258532696224;0.1847673464806483;7;305;-3.451973573620699;-2.8710633193086648;-2.5718441306100512;False
1990-01_2015-02;2015-03_2016-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;885.6153069046746;0.3164419988353279;72.72727272727273;31.377667823884515;10583.705487103543;0.4681414863789014;1952.2181644868124;1734.5122016598887;1640.092566687297;1470.2546714088137;1521.5912525978588;1414.3718558274447;1501.5239299374064;1614.6587737493574;1636.0000273766273;1691.956649882044;1603.619824212381;1545.8118670749654;[697.2168355131876, 499.48779834011134, 539.1074333127028, 791.2453285911863, 935.0087474021411, 987.6281441725553, 920.5760700625935, 1802.8412262506426, 1050.3999726233728, 778.8433501179561, 127.7801757876191, -293.0118670749655];-2.1974176812438824;0.20718402428502924;7;293;-3.452867117291862;-2.8714554160827745;-2.5720532321867466;False
1990-01_2014-02;2014-03_2015-02;RO;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;327.4281620938901;0.18554542393847742;36.36363636363637;-11.419649688886963;9053.818339062547;0.30938879488516485;1601.3698300529372;1676.358645863901;1749.5754817525856;1823.8381102228782;1776.2743612853374;1844.8951278298207;1847.9125620743805;1816.364607624758;1774.9773906939768;1779.0546052027835;1829.9066337227657;1753.1650745081172;[-210.36983005293723, -78.41864586390102, -286.32248175258565, -532.6271102228782, -193.9743612853374, -455.2951278298208, -358.61256207438055, -370.96460762475795, -196.97739069397676, 71.24539479721648, -117.30663372276581, 549.2349254918829];-2.094218024856699;0.24684590996606898;7;281;-3.4538376962008495;-2.8718811911083093;-2.5722803076202174;False
