train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2756.539494983839;0.37707135552881604;63.63636363636363;43.494666333104675;43860.256499648356;0.9567660863455117;2664.1850970845253;2678.6393444091236;2793.499074233707;2316.634827448832;2030.5458439291274;2208.706606054831;2805.1187710870668;3425.927644316794;3315.544693917708;3513.3369896759946;3207.57639884029;3164.0613898546326;[856.4479029154745, 607.4196555908766, 564.8029257662934, 867.7891725511681, 691.0091560708725, 1407.179393945169, 1743.3732289129334, 1983.0713556832056, 3256.434306082292, 4103.601010324006, 4730.56060115971, 5454.898610145367];-2.3034145531248535;0.17086907505974452;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1302.8702623986242;0.42300177544389034;54.54545454545455;-26.027483254450523;25890.57394703175;inf;2547.530353406163;3022.843196098382;3841.9597262052457;4106.931541188948;4110.114375148695;3814.6901744905663;3697.96777197369;3800.6893444155053;3734.2417245544148;4129.843732595193;4428.144809111448;4784.674432881924;[1632.6106465938365, 765.7918039016181, -274.13172620524574, -504.76854118894835, -1635.1373751486954, -1463.7731744905664, -1353.3657719736902, -1020.1473444155054, -990.8777245544147, -882.6827325951926, -1570.079809111448, -2207.517432881924];-2.2677724031997455;0.18257272081627818;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1268.165355664555;0.3288216428227609;72.72727272727273;-3.966992640821867;15160.768873248631;2.3387226945489044;3497.3186240705495;2782.596551228475;2538.471242102317;2437.5807550893423;2914.9455127692336;3318.2802629663556;3759.325699845735;4144.226066914714;4498.840404039012;4991.3465138916;4621.238974218959;4168.317645589319;[1869.3853759294502, 1601.6294487715245, 1303.1097578976833, 992.4442449106577, 251.85648723076656, 0.41573703364429093, -981.2346998457351, -798.5140669147136, -1213.8964040390124, -1542.9815138916001, -1775.5749742189587, -1373.018645589319];-2.2479143510296575;0.18931690003411938;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1334.6926147490453;0.3870131984111127;90.9090909090909;-27.860384607898304;5479.183027958719;0.729133544702763;5104.0886496908015;4640.947674823054;4439.813783580012;4455.251298117568;4629.139912304312;4571.344379459106;4522.521719180547;4578.4822416934885;4527.6364336886645;4545.942422011698;4543.414237414515;4629.029172639581;[-1471.1996496908014, -2481.1826748230537, -2591.5127835800117, -1880.2482981175676, -1275.224912304312, -413.4983794591062, -475.1757191805468, -237.3642416934881, -808.3884336886645, -12.178422011697876, -192.82423741451476, -186.4131726395808];-2.3019330564052902;0.17134528030506335;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;792.7556962824677;0.12801531893149926;45.45454545454545;1.7514802896598176;18770.96523446928;0.3424273631128546;5678.352340049392;5062.673393195965;4703.752796253512;4899.455356758378;5171.987662817165;5355.797689014225;5289.269196477739;5102.686193661392;4535.819056273735;4403.165864319842;4086.7128638209524;3753.833683131751;[-1118.3613400493923, -388.49139319596543, 256.1932037464876, -216.92635675837755, -360.33966281716494, -641.2786890142252, -620.2731964777386, 54.48280633860759, 446.79594372626434, 1747.3311356801587, 1145.9491361790479, 729.662316868249];-2.2147498581415546;0.20093572903598272;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2218.476448444551;0.3763851902299358;45.45454545454545;40.879743936507836;52768.37327502936;0.933966719569542;2231.6637349071316;2526.847186229619;2696.1266273604742;2669.8923398641796;2464.7395086179195;2348.0201776737063;2442.9293601040354;2924.5793044007432;3339.376778007965;3587.1147367468075;3277.771072890306;2912.967276524916;[857.0632650928683, 473.4888137703806, 387.68237263952597, 1595.5506601358206, 1816.6294913820802, 2608.2828223262936, 3495.3026398959646, 3993.179695599257, 2925.861221992035, 2132.3222632531924, 1556.4239271096935, 1268.4637234750835];-3.0827261375149284;0.02785822396670126;11;325;-3.450632157720528;-2.870474482366864;-2.5715301325443787;True
1990-01_2017-02;2017-03_2018-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;741.2987285572733;0.2637369268969036;45.45454545454545;0.406994694028165;17599.52829818245;0.6773670235657374;2057.282952537334;2190.7695168468745;2534.833587368098;2775.8340261008534;2767.391156595761;2573.1438312400333;2611.328454577767;2409.981888528204;2219.5836966852808;2212.441690536957;2401.2761574832766;2612.9382690116595;[13.461047462666102, -644.7695168468745, -768.891587368098, -930.6440261008534, -1082.891156595761, -99.64383124003325, 98.5985454222332, 262.2841114717962, 820.0413033147192, 1335.9123094630427, 993.8868425167234, 122.66573098834033];-2.9613657954111896;0.038663274548172415;11;313;-3.4514162625887037;-2.8708187088091406;-2.5717136883095675;True
1990-01_2016-02;2016-03_2017-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1694.8631194309328;0.6402376370599773;45.45454545454545;-57.69806930090502;40515.7499037257;2.9399857230523394;4769.154156154158;4473.229088571509;4176.738050150006;4287.742482691799;4366.730049362495;4280.919559824072;4740.519334419194;4398.031784118735;4490.853898610989;4532.197404771694;4208.528600573593;4215.059510408622;[-1319.654156154158, -1411.2290885715092, -617.3490501500055, -1136.2424826917986, -1231.7300493624953, -1268.4195598240722, -1896.019334419194, -1760.3307841187352, -2241.853898610989, -1960.894404771694, -2004.1286005735933, -2521.5595104086224];-2.387779726110869;0.1452152377662067;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1697.46291880467;0.3084653752561113;45.45454545454545;32.652303150230026;40326.17865204654;1.0480302526156813;3942.137319794797;3341.4581268869574;2760.606342152479;2427.484701239933;2765.8140349167843;2723.172842358104;2823.4967087498053;2862.026949169905;2931.0899105061676;3155.5712311285597;2955.4277411107732;3033.548732529907;[399.3626802052031, 851.945873113043, 1148.393657847521, 1492.4652987600666, 1209.1859650832157, 1558.327157641896, 3827.0642912501944, 2342.923050830095, 1811.6100894938322, 1426.32876887144, 724.0722588892268, 527.401267470093];-2.1191734612619335;0.23687507183993278;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PA;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;475.4927083753959;0.12026908987387014;54.54545454545455;1.5455403769073994;9385.965476672141;0.577077177688806;3004.8791527988797;2854.1384309536234;2629.57169237308;2475.6841443310736;2777.1152548089126;3025.511527085869;3029.6579539486206;3086.3682801066816;2809.4869962852754;2835.6774091902757;2838.2604841800153;2799.506253994956;[-322.37915279887966, -238.63843095362336, 47.92830762691983, -69.92414433107342, -76.5272548089124, -504.51152708586915, -469.6579539486206, -272.4182801066818, 126.86300371472453, 788.0225908097241, 458.78551581998454, 1068.7937460050443];-2.045487899632374;0.26699103210927655;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
