train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3015.8763931574017;0.0599701589871058;54.54545454545455;4.5808389560807345;59439.1682253116;0.7356153366181071;41613.40400205584;38810.2031743615;38647.91796787187;35606.40153900773;38862.11641373945;40315.02375423178;40969.546225989994;40229.74992048917;39858.67217313537;42969.1705396861;41803.477294357515;41352.36866996597;[1587.5959979441614, -495.2031743615007, 2909.5840321281285, 6912.599460992264, 2259.8835862605483, 1967.9762457682227, 243.45477401000244, 2648.750079510828, 1852.3278268646318, 3017.8294603139, 3374.5227056424847, -3185.8686699659665];0.19943473163426387;0.9722298719283236;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4537.530158914817;0.08835583359959077;72.72727272727273;6.170772560217198;53760.32371750231;inf;36555.854673508446;33648.89810910779;35622.094268488465;36767.30858448261;38834.75129100132;39172.71109398226;40159.4018461025;39057.537276827716;38019.34308098948;38816.396174981994;35867.47497144193;36901.1638432139;[-2217.3716735084454, 945.6018908922124, 352.4057315115351, -3953.808584482613, -1202.7512910013174, 3732.2889060177404, 3524.598153897503, 3894.3147231722833, 3098.156919010522, 9812.603825018006, 7988.872028558071, 3581.8361567860993];-0.17599074563252817;0.9413236013067812;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2484.2299275011105;0.05457173060200927;63.63636363636363;4.015572407707626;39176.039099811336;0.552679449237845;34251.6151250284;33913.422031035196;33554.48288574823;35803.71154781415;38499.300602753385;37615.21859487616;37217.04921126249;36662.80718890453;34514.8730068631;38016.31182931506;33255.47733694402;31747.72459258551;[-1115.9481250284007, -2196.4220310351957, 737.8671142517705, 15.788452185850474, 134.69939724661526, 978.2814051238383, 1840.9507887375075, 2958.5028110954663, 2853.6269931369025, 4272.188170684938, 2856.0226630559773, 4446.7754074144905];-0.5052970732864106;0.8909786564058437;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5553.08738444488;0.14798758001359177;63.63636363636363;-7.986142649359;87796.624724111;0.9661208800805471;37906.83586442932;38542.6992050562;37972.825466041555;36757.79956655326;38280.240100858544;37969.91473037028;36616.227273271776;37512.8547420801;36706.45372347903;38585.60203812672;38208.79710512728;37560.28821299069;[-6313.8358644293185, -9084.769205056196, -9527.825466041555, -6533.299566553258, -4205.740100858544, -3389.9147303702775, -59.22727327177563, 4387.8452579199, 3220.046276520967, 4558.138961873279, -682.7971051272834, -5842.288212990687];-0.18590317348231963;0.9401811942920155;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2957.93051153385;0.073918978111248;90.9090909090909;7.475314152970585;11738.79965756252;0.7390272784844986;33550.710698176015;33247.377957107106;33686.30456714079;33030.593839684596;33545.9286887709;33976.496005458575;33162.10327702524;34499.6953173065;34304.45841755469;36278.72255859588;35470.789681308306;34786.72916948096;[1361.7893018239847, 2928.1120428928916, 3296.2654328592107, 829.9061603154041, 3787.7343112290982, 3939.0039945414246, 2972.3967229747577, 4419.304682693502, 2744.0415824453084, 3102.2774414041196, 2468.710318691694, 1238.270830519039];-0.8817535511135549;0.7939218353033071;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2748.08907257841;0.06903483028020553;72.72727272727273;-6.61788775428269;32536.349439084166;0.36081107760168185;38101.549913624214;36323.538848214754;36329.78432696275;36200.826941837804;37470.14858443438;37723.30649980532;37069.32845670681;36294.976053935505;35763.70943933475;38444.23107314578;36915.96344292234;35730.36861678462;[149.67408637578774, -274.56784821475594, -692.6093269627454, -2324.086941837806, -3965.7485844343755, -1733.8054998053267, -5023.92745670681, -2104.8160539355013, -4231.378439334752, -3018.6460731457773, -1770.463442922337, -2467.868616784617];-0.3416096796577175;0.9194009191111876;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2371.9675846649875;0.04675258288869536;63.63636363636363;-3.9416254319153463;37397.55873906022;0.34950266413495046;39582.74369286568;38585.65978847797;38290.46395850389;36892.813641995825;37872.17904202578;39209.80612622416;39022.688973105585;38274.24455028593;38525.017372438044;40632.67598836731;40170.265839685504;39779.06586355984;[696.7563071343175, -1664.6597884779694, -253.96395850388944, -556.8136419958246, -453.1790420257821, -2188.4941262241628, -2616.1889731055853, -826.4745502859296, -1616.5323724380432, 508.460011632691, -2089.5728396855047, -6642.533863559838];0.7302053887844219;0.9904217890937691;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3914.9969849040726;0.09205223135699146;90.9090909090909;9.376533035949807;15567.717140797402;1.085447108074939;36161.6312444536;34363.83740090493;33402.541639195515;33147.48732737338;34061.31936716519;34491.47336715948;35821.54978228081;34555.43146672033;34025.31766964063;36029.76039148182;35104.66798925323;34758.37830505974;[2882.3687555463985, 1930.411599095074, 3320.468360804487, 2324.5706726266144, 2768.5806328348117, 3979.5266328405196, 3189.4512177191864, 3560.068533279671, 3904.18233035937, 7294.239608518183, 6132.832010746773, 1747.6216949402587];0.2587710805103517;0.9753718144397803;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2156.0526793977674;0.0518674308227084;72.72727272727273;-4.230072391825973;25510.80485033606;0.35174531783786;39445.99025463949;38104.97087060203;35306.4329409519;35044.27053394362;36671.68591588095;37100.20000906174;38087.97837406234;37089.85337936546;35638.8461761683;38614.089495764354;37420.12940558427;35096.21908442627;[-3824.5902546394864, -1402.470870602032, -580.4439409518964, -1443.7705339436216, -2329.8489158809534, -3948.7130090617356, -2953.478374062339, -752.3533793654569, -2099.8461761682993, 1099.910504235646, -521.0734055842768, 752.7809155737268];0.8545536939748077;0.9924676331883241;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;AL;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4046.94185458239;0.0828937340011048;72.72727272727273;7.252565555803081;47938.34620698036;0.8612372252729895;37949.34905644384;35660.82819664758;33212.1982076593;31896.755720792255;33699.938533723696;34569.0028099329;34969.81445664337;34907.36497549545;33327.21930951125;33652.73320746896;33543.89947514031;32354.59189775544;[-2819.3990564438427, 1534.8848033524264, 2480.006792340704, 1238.3502792077452, 2616.5614662763037, 1561.9971900671007, 2551.7455433566283, 4445.520024504549, 2291.2806904887475, 9034.266792531038, 7481.600524859692, -376.1118977554397];1.6713531351858015;0.9980566075841759;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
