train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1126.4654315962669;0.03158339876738406;72.72727272727273;2.2439300186032582;13318.701450333276;0.676497686881088;27386.04567407561;26852.129866667343;27180.81073126855;26330.39246419189;26817.574179052546;27102.321532427817;26175.217203440076;26510.90889227281;26157.509132407573;27000.708481582926;26030.88440641105;24924.11713810301;[1799.613745924391, -1088.6135666673435, 204.8269487314501, 1062.8629658081118, 231.385960947453, 1275.3360775721812, -483.21720344007554, 500.73784772718864, 103.94376759242732, 27.59767841707435, 2429.615593588951, 1246.1600318969904];-0.016356663353975325;0.9571583164774535;4;392;-3.44714244478345;-2.8689414326247995;-2.5707127699396084;False
1990-01_2022-02;2022-03_2023-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1468.15101377203;0.04483074959877669;63.63636363636363;4.46579316465581;23146.589238750897;inf;25961.969606283485;25251.89875464221;25444.21922578952;24725.569991060587;25432.38694304069;25305.730340677128;24346.531024822074;24722.275727823388;24307.011298465364;25406.737517400645;24410.054895246452;23550.597523217915;[753.1046737165161, 407.1755253577903, 414.17026421048286, 1127.672758939414, -161.2474530406871, 2281.9997293228735, 904.1718751779263, 563.1228221766141, 2982.662611534637, 1848.1936425993554, 2113.696914753549, 735.8662467820832];-0.4419357438666004;0.9028580576482934;3;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2021-02;2021-03_2022-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;888.5597732533722;0.032868451830881426;100.0;-2.752923733433592;12.646388884095705;0.7067508879068308;27178.64741681262;26520.208327124343;26671.885687332855;26081.06011019522;26521.737716258744;26354.23952500372;25663.998485496402;25884.2002175493;25354.34696396294;26566.8930181866;25336.811359903135;24316.518128658317;[521.7583831873817, -1016.3695571243443, -674.8150373328535, -680.1760501952194, 222.17714374125717, -962.1942350037207, -1401.4930554964012, -856.8052875493013, -1423.05348396294, -568.7462781866016, -933.9743999031343, -597.3840686583171];-0.10249887677691837;0.9491890661868856;3;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2020-02;2020-03_2021-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1578.4457040283007;0.05905955448530089;81.81818181818181;5.928324035791399;12467.868487820153;1.8587826560094471;25014.834374563878;24864.493208988344;25205.396373060972;24393.838352709714;25105.267421844554;24829.845729282504;24142.474523990062;24384.93924630892;23771.220929831296;25275.980114073398;23661.347189492386;22705.842276119856;[1681.0116354361235, 1068.1988210116542, 1360.1126869390282, 2240.098237290287, 2089.7597481554476, 1492.9586207174943, 1616.5290960099373, 1183.1984336910791, 1317.2863201687032, 1708.0235059266015, 1558.9644005076152, 1170.8932338801424];0.16134205663622453;0.9700081087757866;5;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2019-02;2019-03_2020-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;879.1578963831442;0.02962652373202911;100.0;0.5907144868156519;11.278418696311935;0.3675722319881419;24753.43605134392;24853.17691161683;24606.434021334528;24006.63110197892;24765.34602866588;24380.293396815257;23407.556372115047;23687.64790182377;23495.59206491481;24239.200570609493;23323.922031069098;22381.960107210085;[-1343.9251813439223, -228.65517161682874, -193.790901334527, -1449.4825519789192, 485.17390133411755, -65.93288681525883, 230.78239788495193, 946.4716681762293, -130.99786491481063, 1321.8410993905054, 1204.7844889309017, 934.5109027899161];-0.0576071530109804;0.9535007155762887;4;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2018-02;2018-03_2019-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1057.5083898813662;0.03486476694881691;45.45454545454545;0.8984626870723113;24993.946651678696;0.38651306843412225;24258.103766383032;23909.5784075249;24445.7630241658;23504.797314889696;24566.722053556008;24227.9774538779;23254.015395494403;23927.092679247937;23059.015109999757;24021.254189418636;23144.290194950147;22064.2624161511;[-330.6291263830317, 709.5755824750995, -2256.1796941657994, 1771.8983351103052, -686.7166235560071, 1303.2960961221033, -342.6005354944027, 113.1392007520626, 534.771120000245, -95.16360941863604, 1287.4435050498541, 569.4042538488975];0.0604556313666452;0.9632551764102407;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1025.1336699236924;0.03199446951841798;90.9090909090909;1.9341760030334685;4049.7454340854547;0.31729133060853937;23527.648561676786;22745.72527393118;23486.572579677628;22839.148448482174;23493.45246679799;23698.687717606696;22793.04324151644;23293.484971202826;22841.66860308384;23947.916849894442;23087.95565592305;22044.120516558956;[2433.9151483232126, -52.879263931179594, 1447.592280322373, 682.2373715178255, 630.1489832020088, 1511.829002393304, 722.9265184835604, -639.0314412028274, -559.3729130838401, -338.537419894441, -87.19659592305106, -272.52631655895675];0.06605425509145871;0.9636655665401325;6;318;-3.451082300831733;-2.87067210822307;-2.5716355136268345;False
1990-01_2016-02;2016-03_2017-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;918.5722174765688;0.027863971995521694;72.72727272727273;0.9086200106253457;10859.233078645462;0.21478012899398927;23411.095719834855;22651.015949154968;22993.044636416656;22697.931131566467;23252.642829364595;23031.35160940685;22595.86903888169;22790.355551528337;22533.629278473476;23698.73761027985;22405.3733296995;21647.691119593685;[661.3680501651434, -121.43261915496623, 431.88652358334366, 347.39857843353457, -1304.2026093645945, 2534.0107105931493, 183.1653811183096, -412.3754815283355, -160.05499847347528, 622.4743497201489, 406.89297030049784, -679.354159593684];-0.12044466184780965;0.9473637064775928;3;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2015-02;2015-03_2016-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;627.3666466452942;0.0217840553888813;72.72727272727273;-0.5513329195872962;7415.022157337656;0.16123738786563993;24426.31578880944;23871.34899625269;24010.18001895633;23242.000218485577;23693.316675462927;23225.97020398616;22839.96642606167;22928.011452225364;22434.181489160776;23625.659480220536;22280.147092627318;21416.897232418145;[-145.6038288094387, 167.26513374731076, -1096.5966889563279, 10.555941514423466, 495.10723453707396, 178.92472601383997, -522.9700460616696, 275.23854777463566, -1240.2159091607755, 140.99450977946253, -688.514842627319, 901.5466075818549];1.3014700081400066;0.9966171539403301;8;292;-3.4529449243622383;-2.871489553425686;-2.572071437887033;False
1990-01_2014-02;2014-03_2015-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1058.5482938803893;0.039507852208417786;81.81818181818181;0.6597245522617128;8352.326542263863;0.338715293818902;24794.567105518698;24373.471065786518;24334.295005212927;23326.980034628927;23786.54443872684;23281.642867311344;22740.3936632997;22901.25194544444;22412.410071852755;23435.23204407561;21966.23951475511;20991.459430380528;[-1627.6377555186991, -306.8967857865173, -703.4018852129266, -1571.3948946289274, 1117.6312812731594, -18.057727311344934, 544.8019867003022, 990.4056645555575, -376.6310818527563, 1307.691865924393, 1602.9199052448894, 889.0713696194725];1.2282681113599057;0.9961754866037839;4;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
