train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1068.5514669684967;0.05403894770208168;90.9090909090909;5.596603556240938;4231.5468731339315;0.7631921645264312;14537.755978975913;14034.411483910246;14225.303054524864;14338.981477181296;14255.2492537567;14684.918239612463;13964.675321621035;14311.245083156782;14452.922799507756;14575.83157443674;14398.078592499194;13940.65838640129;[2621.035691024086, 146.9109760897536, 716.8618054751369, 1220.6018528187033, 579.2072662433002, 1156.8498803875373, 121.9098183789647, 447.5230368432185, 334.165970492244, 808.5633555632612, 1235.2547375008053, 791.35248359871];-0.6748955315097671;0.8531454491286979;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;687.6951989986559;0.04171462560906299;63.63636363636363;3.3746799621607737;10841.469782193199;inf;14010.78909709211;13462.651413368325;13637.474853606518;13648.609411970794;14028.852080866362;13916.896549629239;12801.109007666559;12870.70700969708;13242.524882260106;14040.550533333291;13678.021108623816;13534.657826331488;[457.4264829078893, -457.3108333683249, 392.9671763934821, 315.1931280292065, -244.85208086636158, 1014.0599703707612, 825.2279523334419, 841.8256003029201, 1118.0149777398947, 358.3045366667084, 1070.8230913761836, -3.2773963314884895];-1.223298231673084;0.6634939712842791;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;899.7339401241093;0.05515791871907705;81.81818181818181;-5.066886395605532;7105.491289181987;0.8792787738716067;15656.541119278427;15321.031228422939;14926.119973460964;14884.564533091196;14928.08727048882;15002.9772230771;14513.217395523463;14558.964125392118;14347.677326235545;14573.685784360323;14243.393560632298;13881.567597238994;[-32.0827892784273, -797.0257984229393, -832.9315634609629, -52.530113091195744, 191.188089511179, -424.44099307709985, -1461.2427555234626, -1434.5528953921184, -1561.7316762355458, -638.5281743603227, -850.344650632298, -633.8411472389944];-0.31624078598287625;0.9231724472324563;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;758.8954146728366;0.04090955338553939;63.63636363636363;3.944989825870969;11963.591282540545;0.6816120173784312;14219.081595213771;14448.379234410582;14283.04703534038;14626.418400160694;14261.867127112087;14405.81821945792;13904.569070221762;14160.545404534061;14026.405148755475;14217.612093300097;14162.848137739984;13556.846673512475;[1172.4510147862293, 284.15156558941817, 795.9058646596204, 848.7283398393065, 1462.1220028879125, 865.9209105420796, 417.23708977823844, 329.54336546593913, -228.35623875547572, 934.0600066999032, 36.27324226001656, 75.11165648752467];-0.563754988184223;0.8789634174288395;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;738.6634369233097;0.04176433049559258;27.272727272727273;0.7040701685494833;23276.539082590145;0.9322410822070059;14370.777825712756;14063.895687595379;13811.175679926131;15052.773933402372;14150.442230653996;14673.047473411285;13796.752271133631;13400.249200987513;14281.911314142744;13942.477102557143;13805.182183209656;13126.613114799682;[-534.3611557127551, 295.94670240462074, 1045.5489600738692, -1578.987703402372, 851.8204493460034, -150.86993341128436, 26.86729886636931, 931.5895690124871, -669.4566041427443, 607.093547442857, 392.1602067903441, -22.756234799682716];-0.4436842236863065;0.9025456256824622;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1043.0072245031395;0.05338094469127689;45.45454545454545;0.752507612576252;24660.026414081418;0.9424662513070876;14539.488909177282;13820.826104903916;14304.451462102792;13796.008714972042;13885.346145297692;15069.807901969183;13650.707803883537;13885.772331946535;13708.88980779104;13942.905311625062;13676.462629719927;12939.330986411233;[-815.4454291772818, 797.4619350960838, -2280.1489221027914, 2297.2811450279587, 568.0813947023089, -130.24268196918274, -278.40164388353696, 99.8490480534656, 214.88736220895953, -319.91256162506215, 757.472150280073, 357.00234358876696];-0.6134497478649431;0.8679138816970116;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;605.5312139879096;0.03350957223133467;90.9090909090909;2.29355779161902;2392.5791834546694;0.9280580878726019;14025.256353646064;13629.270466292053;13838.137410491563;13250.897754283009;13421.849333393116;14829.586652170547;13387.735156545488;13667.824891671407;13271.84428544585;13817.704684904927;13971.217961916158;13011.074866199684;[1276.4052363539358, -304.57300629205383, 667.3988195084366, 957.8068557169918, 813.7013866068828, -140.1893821705471, 538.4773834545122, 206.08987832859202, 316.00401455414976, 7.657675095071681, -39.45528191615813, -446.7197961996844];-0.6151870200151186;0.8675133242772188;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;794.1800929984565;0.03454101268240074;81.81818181818181;1.8647273788749852;6264.696939477127;0.7980306831210395;13908.499358548996;13632.304593315643;13816.640969531518;13424.16954039843;13648.955212187555;13579.94081292512;13374.751172493012;13334.709174260473;13032.496939209364;13512.838394166683;13395.859510954393;13082.448384030391;[175.9915814510041, 211.45989668435686, 153.7557704684823, 299.29965960156915, -1002.0729621875544, 2349.54288707488, 123.32491750698864, 143.70930573952683, 171.13531079063614, 777.449645833316, 90.97925904560725, -421.18751403039096];-0.40549919380158944;0.9091765520456807;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;392.5011348607447;0.024653622886926723;72.72727272727273;0.010345060994869391;4639.698777151101;0.6054200746394861;14469.652171564867;14477.330957884293;14399.700258820545;13746.826668833026;13864.458381635042;13774.172851329427;13619.44970248282;13430.864062895722;13031.527945609829;13676.173465146212;13474.174626368083;12976.54593771125;[-276.71920156486703, -630.3237078842922, -576.7165588205444, 299.4595611669738, 575.967338364957, 447.87968867057316, -422.96057248281977, 278.3315871042778, -110.16019560982932, 72.55117485378832, -22.256146368083137, 382.01203228875056];0.041886698687443;0.9618620169642728;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PI;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;919.4585001313594;0.05775832793085165;72.72727272727273;5.355066742315024;10881.96536248354;1.2832655685246557;13549.575807800677;13663.846893548069;13424.129699805068;12835.07965445519;12933.826717632192;13135.272648189599;12894.751174993335;13011.242731954051;12526.986861671789;12903.37940380329;12777.59503720718;11890.140630385886;[-239.19718780067706, -173.2943535480681, 833.6221101949322, 481.85875554481026, 1570.6442923678078, 700.7146718104013, 934.9553450066651, 660.8061780459484, 309.80842832821145, 1502.3742161967093, 1263.5498927928202, 955.0332796141138];-0.36427248340852825;0.9158952700673247;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
