train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8933.119397306022;0.058617784992880805;72.72727272727273;4.481990710022832;105722.5485055834;1.511667536053439;124890.11934809932;119999.52872339563;122613.19488458906;121776.82197420776;122753.10764109601;128931.88084604456;127013.53898881987;128003.53239308637;125679.45868332006;123254.93372424376;124243.72513839541;124647.26012074799;[17023.830651900687, -6936.634723395633, 8689.71011541094, 2671.8990257922414, 4426.536358903992, 10622.440153955438, 934.3610111801245, 10468.40360691362, 7716.922316679935, 13280.67027575623, 5959.626861604585, -4763.868120747982];-1.1337179133317938;0.7014400537584987;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13980.3012484868;0.08418421357063605;63.63636363636363;-6.597146345544669;220643.60231419627;inf;127333.36150141727;116325.44041521661;128411.56384370355;144894.482627146;149596.7090992534;151834.07652974626;144976.71660275143;142834.58706945885;134245.09152665775;133784.03968291354;131433.23996901847;131060.10437030056;[4093.9024985827273, 5918.209584783384, -648.9968437035568, -26713.111627146005, -28735.23309925341, -17844.01152974626, -10424.873602751439, -3456.1490694588574, -3088.9905266577553, 1826.279317086446, -5864.019969018467, -16357.869370300556];-0.7744342710087789;0.8265167111471938;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25640.704394497152;0.13878817745600464;72.72727272727273;15.003268177056867;304344.86104162823;1.1758357129034684;116717.82366291917;108871.03644872035;105756.26841813205;107586.02621735477;117379.36385987811;120952.22900396732;128127.4862561402;133654.01634254574;126867.39151056149;127472.8383369443;118792.95839654664;102092.97397174663;[6970.154337080836, 1491.0655512796511, 7184.044581867944, 35860.98578264522, 28869.448140121895, 39942.93299603269, 37102.09174385981, 40926.60865745426, 24381.0334894385, 6819.02366305569, 621.5356034533615, 19472.183028253377];-1.0847919895603033;0.7210984239919221;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19324.859284040504;0.14915581008741682;63.63636363636363;-1.2102750417373243;305538.0902751928;1.0058817251064003;118089.94873357058;116374.07468807849;118025.37831907225;116875.89144766278;115048.5308869759;119710.85450380517;115632.77711667231;120484.51003616776;120520.44716908404;118196.15201491003;118721.23256273248;115452.22314603685;[-13707.652733570576, -37830.21768807848, -29109.34131907225, -15109.589447662787, -148.680886975897, -834.2475038051634, 10234.33288332769, 18718.06496383225, 13054.17383091597, 15272.764985089962, 29620.971437267523, -7058.8471460368455];-1.0894731101864332;0.7192515979200633;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7952.403290695641;0.05936659174517583;72.72727272727273;5.004064429473398;94118.5376874352;0.6532835101168107;110549.58121511077;103717.13224311091;102986.38923842878;106019.96243055031;109262.41445805426;116846.47986132797;113515.98183457456;120395.16343074135;116409.46115746604;116466.09478198003;113042.28278877081;105764.57848349561;[-5224.015215110761, 7616.489756889088, 10555.491761571218, -2123.177430550306, 5133.323541945734, 642.6601386720286, 3760.81716542544, 12305.717569258646, 10280.909842533962, 10661.587218019966, 10131.967211229188, 6580.221516504389];-1.1116588473381444;0.7104001672534435;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12818.33700824123;0.08320615688830661;63.63636363636363;-4.116892711854619;202299.6094938032;0.5224713588867411;105609.38785047279;114063.36446266511;122230.7673349938;117706.9966631358;117366.47857277824;124043.28345300337;122409.08766103715;121511.91315252318;115530.79502571897;116614.8326514989;113781.54883702834;110825.92652429218;[5343.619149527207, -10366.26646266511, -39162.846334993796, -1921.2746631358023, -7843.781572778244, -3127.068453003376, -9345.202661037154, 2165.709847476828, 4760.17997428104, 9434.8043485011, -571.1198370283382, -4791.240524292181];-1.151800982906018;0.6939787592848935;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9686.520983303932;0.059635352120788736;45.45454545454545;1.7934815697482458;229036.26712942816;0.40910373591108523;99518.15622181463;98445.19802137483;104167.15637380006;105509.614228118;106034.35228895054;108787.05160899143;109174.44626139425;114090.06671903045;116269.60651023634;115967.21801223735;116881.98695123979;117253.8882270528;[23658.105578185365, 1040.8974186251726, 1689.0564261999389, -4360.378328117993, -4914.7009889505425, 3506.4606910085713, 1448.8164386057615, 14127.679080969552, 3994.573789763672, 3297.69628776265, -3141.87195123978, -16384.331227052797];-1.1100228774373624;0.7110583911581143;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14905.613638960835;0.11968349237892266;63.63636363636363;-11.494919020993109;235476.9068223894;0.6882872526840751;114051.41534561607;111016.68459747949;122620.27580352557;129739.17145844402;126369.24307644865;128956.74385985473;127367.09943768759;121696.25261356242;123140.40309913315;126466.54289818386;117723.89941256626;117793.47130184503;[-7661.865345616068, -10374.56459747949, -19705.568803525573, -25032.17145844402, -24288.893076448643, -16977.342859854733, -9495.203437687596, -1484.0406135624216, -4141.214099133154, -1936.8138981838565, -10644.370712566262, -19496.863901845034];-0.8547056837662689;0.8025224835366852;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;29491.88892012677;0.22039771931453078;36.36363636363637;-19.669103416343678;815480.0640577734;1.773258309176283;158982.08896473254;147046.1301346026;138651.80483681947;136762.8546594873;137593.61678676336;141614.59670056566;149784.05152912758;153104.15288813206;149006.24222654576;152152.81593631042;154625.94355760963;154537.96883729845;[2005.5428352674644, -24117.9741346026, -15722.644836819469, 3499.6663405127183, -10308.680086763357, -30963.33860056565, -34508.29962912758, -27148.142088132052, -22131.109526545755, -31094.999536310424, -46327.00755760963, -54739.30783729846];2.2873439276847787;0.9989470029092434;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;27682.391911172293;0.1559886759971965;72.72727272727273;15.203628454638189;328785.12372358755;1.043365468488714;132291.5350321679;127765.22653981319;119968.02819475895;115799.00652546251;118446.12086881796;120332.42568951046;126284.30987497083;138844.5644585979;137096.21884181758;134125.686568915;133622.0998440268;120343.12574472539;[-10597.485032167911, 4480.278460186819, 24356.801805241033, 3031.9494745374977, 19078.691131182044, 35946.374310489526, 44328.446125029164, 38360.99454140212, 26849.911158182425, 35912.76643108501, 29228.210855973215, 22434.429255274605];0.6982870550940754;0.9898036227968044;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
