train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5077.349082579987;0.3364128199323216;63.63636363636363;33.668085207233176;80692.43412142566;1.182612476738245;12154.50020497156;11463.683648114442;9674.926274779335;8160.060473725635;7936.698428186163;8907.172760454507;9471.403023720273;9955.825767530236;10184.650280243619;9812.407862358787;9036.449685450174;10378.795977308506;[3417.2047950284395, 2242.352351885558, 5038.894725220665, 4971.495526274365, 5372.2825718138365, 5989.385239545494, 5382.110976279726, 5077.131232469765, 5329.677719756381, 6778.975137641215, 5190.572314549827, 4664.9200226914945];-0.4424079268292901;0.9027737686477353;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2553.9580003667993;0.21763407505745644;27.272727272727273;-1.8554089548900272;80676.35289581891;inf;10838.883138619287;9103.561461646927;9539.557791102281;10265.205736555086;10640.144032954833;11155.639010897221;11470.80435558608;11412.2684724113;10682.123453305356;11292.847684538376;11065.281244222186;11194.672872733205;[1575.651861380713, 4517.960538353074, 3860.2562088977193, 1864.6522634449138, -832.4530329548325, -3066.220010897221, -3720.8043555860804, -2033.6934724112998, -960.146453305355, -1430.536684538376, -2421.577244222186, 303.2081272667947];-0.5633772067831166;0.8790444314093282;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2143.6909722398987;0.17051614463152798;72.72727272727273;17.369850325974404;25476.078709404104;0.9652004060922394;10617.38611917477;8668.231975328355;8598.847960773026;7991.979908591357;8383.928075564065;8196.817348031385;9474.012869115475;10934.061090870073;10568.750638565878;9898.813252524102;8017.050630257035;7258.726133905546;[1897.7778808252315, 3902.414024671645, 1908.527039226974, 1312.9220914086427, 3301.9699244359344, 3148.8256519686147, 1619.9621308845253, 1327.4299091299272, 767.6643614341228, 1275.176747475898, 582.2703697429652, 1785.893866094455];-0.7662687916652041;0.8288301516482526;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1928.4239978149208;0.18648070015778276;45.45454545454545;6.354617460367345;45707.32650614562;0.6814417542171869;12921.979015084808;9434.797311190572;8777.5360950347;6451.133765531377;7757.376320480826;7664.261245167607;8366.777316120053;8052.555577639653;8300.73782856083;7921.277808817065;7130.369905318506;8065.180505083376;[-2432.031015084807, -2729.797311190572, -1517.6370950347, 2672.800234468622, 236.6236795191744, 1425.6817548323925, 2256.1626838799475, 1865.2584223603471, 208.14717143917005, 3036.237191182934, 569.5940946814935, 1252.062494916624];-0.409254328868249;0.9085421315265614;8;352;-3.4490648539347544;-2.8697861692116478;-2.5711631253228306;False
1990-01_2019-02;2019-03_2020-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4234.08246363341;0.33014538734305227;45.45454545454545;36.08902046940227;100617.35296893107;1.4946947057309798;7046.157722692692;6282.834756248767;5486.858313551273;4923.041658161146;5577.885051128518;7053.85316968219;7680.821792873087;7548.177541862806;7170.737205420163;6016.7622204322115;4842.061875441531;4838.936159061031;[-18.75772269269237, 1748.2342437512334, 1318.0356864487276, 6372.840341838853, 5785.498948871482, 794.1008303178096, 1825.1102071269133, 3124.4234581371948, 5041.038794579837, 3515.0157795677887, 4529.90512455847, 8014.946840938969];-2.1397602541784213;0.22883014127825257;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2881.617081188786;0.261408979799592;63.63636363636363;28.535594830905204;45703.997934473926;0.5089854016360817;4782.672357681847;5396.128870825043;4959.067373849761;5155.71003465297;5070.929716542633;5267.8009388993005;5394.405745769995;5902.212963461289;5548.0634921441315;5525.384659446401;4415.952637949825;3904.8213414720667;[1807.7086423181536, 1279.9001291749573, 1986.7026261502397, 1234.2899653470304, 305.0702834573667, 3262.1990611006995, 4118.4202542300045, 5182.49803653871, 5814.799507855868, 63.39734055359895, -890.9526379498247, 322.1786585279333];-2.3947002900154732;0.14323780321738172;9;327;-3.45050711373316;-2.8704195794076743;-2.571500856923753;False
1990-01_2017-02;2017-03_2018-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1905.3997633551278;0.3498183083372061;36.36363636363637;27.3704255582488;52802.22579252687;0.22914470682179258;2226.1498801774496;2430.4956107595553;2606.6370967129033;3131.650885148133;3092.1513139572803;3298.4544662976036;3043.3139008794205;3179.5971150515106;2665.04238923081;3074.9497029240347;2434.624215962984;2764.992994734167;[-12.149880177449631, 1183.5043892404447, -596.6370967129033, -1072.150885148133, -767.1513139572803, -272.45446629760363, 2176.0220991205797, 1976.6668849484895, 1861.3756107691897, 1042.3452970759654, 4054.649784037016, 3219.292005265833];-2.6474041803997292;0.08359012769521906;1;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2016-02;2016-03_2017-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2958.381409472497;1.1088036029556718;63.63636363636363;-95.19971729271019;48020.28154044782;0.37801981521741257;5644.257613090776;5511.508290445641;5783.555808017581;5842.173326996922;5744.681898438709;5945.0793292827;5907.079462431454;6171.047737311662;5952.871693666238;6398.012670597261;5608.505393304175;5572.075230489483;[-1891.5646130907762, -2770.7102904456415, -3586.5558080175806, -3813.173326996922, -2544.681898438709, -1414.8823292827, -1912.217462431454, -3265.688737311662, -4043.8746936662374, -2346.0126705972607, -3277.5053933041754, -3311.8552304894833];-2.495096989006633;0.11667184259258029;1;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2015-02;2015-03_2016-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2329.1280917216964;0.3160246978683178;81.81818181818181;30.554482668239114;18658.34039161814;0.4904716084962243;6013.86644314533;4834.638255474925;4391.262399738367;3500.0977427173257;3789.7316827851955;4072.3560803250116;4132.943257185343;4349.641490802147;4384.660732178964;4685.754526940208;3982.686168336264;4110.326055763422;[1254.1335568546701, 1941.8517445250745, 2367.1376002616325, 3207.9022572826743, 3043.2683172148045, 2882.6439196749884, 2869.316742814657, 3544.358509197853, 1993.3462678210353, 916.995473059792, -786.686168336264, -246.32605576342212];-1.5696853036565508;0.4988012812553545;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;AM;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;845.4735949822108;0.1256586531309963;54.54545454545455;9.652150877744385;16689.42271300893;0.0978436927566894;4412.723855234036;4130.131504214522;3786.211843085853;3676.597502105019;3602.6302749421175;3926.2140470872564;3982.7948657552697;4267.443845515491;4132.594032382628;4421.352598041998;3751.4193723201906;3568.7751053200855;[-686.7238552340359, -358.9285042145216, 402.41715691414674, -7.597502105018975, 577.6647250578826, 355.3359529127438, 325.2051342447303, 110.55615448450862, 276.4899676173718, 992.6474019580019, 728.5806276798094, 2375.904894679915];-1.800214497022975;0.3803552069893401;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
