train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13676.004272874605;0.04262194054560799;63.63636363636363;3.612421514091171;215594.29370101646;0.9643625758353623;260284.5090741271;248446.24485503882;240718.1575240303;234247.7814327852;240540.8138258121;246483.77466509858;244233.15070964096;248886.11451464758;250621.18183214802;244385.59205085662;238570.51120051756;240991.90207661677;[16421.129925872927, -9825.59185503883, 20483.15247596969, 8682.673567214777, 1324.5891741878877, 30489.336334901396, 9042.602290359035, -1584.6395146475697, 2110.157167851983, 10627.020949143392, 11594.849799482443, 10760.678923383239];-1.6514426011517807;0.4562881743697601;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11016.819799229475;0.0405948023527737;63.63636363636363;-1.4099775197030155;173664.2174874011;inf;266104.956198303;254950.55581801865;248690.77763960656;247591.68147298408;249771.33111362703;253314.88248876916;256128.64572125857;255351.72850422302;250451.8509899138;243997.97846596042;242563.6395606389;246802.8742452222;[-6135.419198303018, -10325.052818018652, 7295.107360393449, -17885.631472984096, 7542.439886372973, 9986.097511230822, -6458.427721258573, -6033.782504223025, 10367.198010086198, 2937.0055340395775, -12338.563560638897, -20880.757245222194];-1.4220880295170109;0.5716422350583966;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;30367.74212665188;0.11525958056255192;54.54545454545455;11.630732193665366;599227.8002581523;3.6831010344051838;227909.51077145225;215994.63566407518;205723.2532661628;217163.41167514832;220963.05993080811;222540.4641316851;229874.79487165352;228388.58042254258;214892.95548170913;213074.44484777036;211283.67754598983;214034.90584780395;[39391.59322854775, 39702.72533592483, 34575.90173383721, 17646.69132485168, 42058.76306919186, 34257.704868314904, 11785.799128346494, 16338.742577457422, 31817.53951829087, 32476.69515222966, 21389.149454010156, 23632.979152196058];-2.042031990257466;0.268452884281436;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15945.13642206886;0.05811858643770617;45.45454545454545;-1.87244640555857;377008.82778110745;0.3945239679021103;234630.19518157287;220604.57272880006;213940.534504268;221309.20099291482;221153.20248408557;228264.61371992447;218297.07525116627;223410.81704702388;224541.8061275693;211403.35456494664;212923.45105270058;222001.50071254643;[-22007.708181572874, -35170.22272880006, -12069.251504268002, -20550.26899291482, -1237.4184840855596, -6341.42071992447, 12662.732748833718, 21528.086952976126, 3406.547872430703, 9003.216435053357, 1862.28294729942, 160.03228745356319];-1.9087579613250882;0.3279523723420761;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13494.812022108574;0.05180775596555411;45.45454545454545;2.964081531025375;319036.2319355858;0.3765506630565543;231120.21423076963;216239.96286742203;195268.23694532385;211356.4183868662;232820.8359074596;221799.0801108038;209720.52984407413;208697.7158743056;213072.09023223745;187859.51529524516;200302.0626335538;205808.4069964879;[-10491.553230769641, 5864.1831325779785, 19645.91905467614, -10193.447386866203, -8827.832907459611, 9410.260889196186, 1790.3211559258634, 28965.685125694406, 4121.530767762568, 13280.785704754846, 17609.778366446175, 6230.505003512109];-2.0692886875288923;0.25704169196064053;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17952.553389959146;0.057713483277862916;72.72727272727273;-0.7725233422779983;212458.88199553094;0.2541972435771493;221557.43302278526;213317.11477056984;211041.91482992284;204510.94417502664;209058.2634746699;218214.04373506593;205196.01334416613;208869.56315736892;203890.5576020048;191199.49860600298;196487.19133501375;206732.50030799638;[-5315.091022785258, 291.466229430167, -54694.640829922835, 23312.605824973347, 5767.623525330098, 4264.972264934069, -9424.202344166144, 837.2578426310793, 9637.985397995217, 4204.373393997026, 6045.068664986262, -4016.363307996391];-1.9466077424312491;0.31046276507086035;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8051.358061660243;0.028683087630392932;90.9090909090909;0.2548640004671993;31794.114716591466;0.1393771336334111;207703.49076452132;200131.59580689113;204547.92977051772;200998.05497689036;199483.18588345547;213347.98085450468;206359.18631588138;207373.0112626315;209799.90801450406;199699.91620215296;202024.39191997924;204821.37753517486;[20835.824735478673, -9846.797406891128, 1894.629729482287, -3213.3639768903668, 8432.016316544526, 4561.07334549533, 1179.5136841186322, 1641.8932373684947, 219.67638549592812, -6745.425802152953, -8678.128919979237, -4004.71653517487];-1.9310772980927107;0.31758552189856887;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9376.518191831645;0.035181026141161115;63.63636363636363;-2.384462807971634;147785.2661286077;0.14461721854219317;214789.293196411;205010.45898047072;201351.45215287985;204095.3953724998;199660.16685782993;208770.12501800183;216389.76088843073;209036.37445656213;203366.6327818211;202986.80344319573;193014.39536825026;205320.63976542122;[5362.345803589007, 1502.822019529267, 2878.0778471201484, 503.52862750019995, 2089.6621421700693, -431.762018001813, -10411.034888430731, -15187.420456562133, -4484.3337818211, -15327.156443195738, -3818.0443682502664, -20056.671965421207];-1.4777544607785287;0.5444857902016801;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18153.556724290513;0.07727145302796154;63.63636363636363;-7.6002282196886926;286453.0131483324;0.3332565096962173;234371.88615154018;226518.9182845294;213345.7602503649;216270.72528304587;211661.66830367778;221234.8574148364;232451.66790022518;230532.08827787795;212479.8198793615;207914.23354555247;199742.65772525867;199054.89960280224;[-2005.041251540184, -15877.291284529405, -15661.82325036489, -11567.407283045875, -14096.738803677785, -8442.15451483641, -34695.68920022517, -32136.496877877944, -21173.9990793615, -15544.750545552466, -10918.114725258667, -1922.8206028022396];-0.4185477000587863;0.9069556123373623;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;SC;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12752.427628603304;0.0527855635460436;63.63636363636363;-1.0132656334498815;201090.9708442459;0.29792895676022524;226245.64568296293;232204.32635519374;213372.59816739598;205769.25482513919;210803.72977610683;210448.50733370022;215297.42894212558;225353.05940524305;210634.4829908859;205288.72317616377;204289.60253141733;204396.91917799987;[-10998.537682962924, -15694.763355193747, 5109.627832604019, -14613.709825139173, 10059.429223893181, 10565.30566629977, 6169.496057874407, 14243.008594756946, -1111.4669908859069, -6876.613176163781, 5853.085068582674, -28425.431177999853];-0.0039844333017640165;0.9582013332101905;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
