train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;284.49743055399995;MS;etanolhidratado;ARIMA;{'p': 18, 'd': 1, 'q': 6};12;12;11324.56898098039;0.3350058723919957;54.54545454545455;42.14663490917421;224544.00206548715;0.919395639787505;12538.434750872198;11290.62456604257;11206.52379818488;11841.218070809333;11309.559710452491;10955.920079915428;11240.071328742466;11031.261063900954;11282.421179583878;12156.288039293533;10590.828243214843;11253.607508711408;[-348.67275087219787, 545.0924339574303, 79.83520181511994, -652.446070809332, 1159.084289547509, 6077.681920084571, 10216.305671257534, 13271.164936099045, 13525.166820416121, 18285.410960706467, 19629.60575678516, 17796.44249128859]
1990-01_2022-02;2022-03_2023-02;178.39568758899986;MS;etanolhidratado;ARIMA;{'p': 13, 'd': 1, 'q': 9};12;12;2239.2131100919887;0.15863100459895182;63.63636363636363;-4.2346334276547735;35414.77014300239;1.1919418812856861;11941.578364233406;11762.226953257024;12749.3714688023;12128.182728411279;12998.566603864252;12379.960423051922;12655.579738978055;12896.614623847932;12274.799316089437;14106.851956252553;12860.614066756229;13193.252850158962;[4159.987635766594, 3339.374046742976, -455.21046880229915, 868.2432715887207, -1333.177603864253, -2272.492423051921, -1482.0287389780551, -1454.5006238479327, -393.06031608943704, -1154.446956252552, -3131.7650667562284, -2863.9418501589626]
1990-01_2021-02;2021-03_2022-02;351.1294933520003;MS;etanolhidratado;ARIMA;{'p': 21, 'd': 0, 'q': 24};12;12;2548.2530272260115;0.16200515575525273;63.63636363636363;-9.907458516165445;40305.89082446698;0.3853825965450201;16276.893828594968;17372.72692914735;16881.219259007987;15880.608843203836;15178.326833935182;12824.224503469357;12960.36678450053;14137.649480049702;14620.826946735133;16298.959281134234;14654.558862395445;13502.84071919065;[4123.3991714050335, -230.0009291473507, -1434.3182590079869, -3111.595843203835, -2606.9948339351813, 55.52649653064327, 287.7532154994715, -720.8374800497022, -2853.4729467351335, -3143.9402811342334, -4223.719862395445, -2420.7667191906494]
1990-01_2020-02;2020-03_2021-02;200.66651497900057;MS;etanolhidratado;ARIMA;{'p': 13, 'd': 1, 'q': 9};12;12;6252.249893049491;0.31531114965200796;63.63636363636363;32.377692618490116;99306.01221032278;1.0353339678539653;9785.527883954444;9749.37217781211;9465.794157719805;9212.462478201693;9336.669742398346;8929.327276968712;8952.665747809233;8832.378805039256;8529.330804012454;9307.531263310459;8805.758911772526;8849.243779783652;[-509.0718839544443, -1910.0691778121109, -1156.8701577198044, -94.96847820169205, 1372.1542576016545, 3317.5367230312877, 7173.438252190766, 9410.270194960745, 7284.414195987547, 9743.44573668954, 7876.273088227474, 10044.864220216348]
1990-01_2019-02;2019-03_2020-02;340.05418869000005;MS;etanolhidratado;ARIMA;{'p': 23, 'd': 1, 'q': 5};12;12;1405.6003336449496;0.13386111638990886;54.54545454545455;-9.088201738911101;27749.690050633577;0.4040204531484703;9366.399485360836;8513.171932816505;8945.30528838159;9265.460903023528;9880.123848159044;10536.2212651685;11039.850951743194;11044.961716472868;10265.001991472076;10832.30710944617;9605.344750681314;9013.720409654798;[-814.6354853608373, 712.8990671834945, -26.43828838159061, -1328.4949030235275, -1460.795848159045, -2659.9122651685, -2640.2189517431943, -1583.7357164728674, -1079.8529914720766, 648.6788905538306, -273.1047506813138, 649.3135903452021]
1990-01_2018-02;2018-03_2019-02;303.18451104601263;MS;etanolhidratado;ARIMA;{'p': 23, 'd': 0, 'q': 23};12;12;3712.1435114574997;0.26207092257798087;72.72727272727273;28.531321489470642;44262.675235377035;0.9571580852589067;7446.490419382746;6706.708323630463;7150.53054389526;6902.555413177718;8501.407855400943;8583.429551342013;9103.341129884744;8513.050736487514;9011.50494268545;9532.170956531154;7943.56021686395;7417.758116919516;[358.5415806172541, 789.1726763695369, 1735.2034561047403, 4475.532586822282, 3884.753144599057, 4302.397448657986, 4585.904870115255, 6916.740263512485, 4052.0660573145506, 3783.5950434688457, 2679.737783136051, 1085.296883080484]
1990-01_2017-02;2017-03_2018-02;179.40680727100698;MS;etanolhidratado;ARIMA;{'p': 24, 'd': 1, 'q': 1};12;12;1052.281783584743;0.12174401403220415;72.72727272727273;-6.915177092812281;12483.766326873876;0.4318868560086179;7255.753549806397;7455.445988287105;7406.992132224409;7394.436616965664;8123.315597004692;8577.462720608914;8834.850341561832;9173.74656762788;9133.635751286336;9877.830151139824;9409.78999195673;9014.47183513232;[-312.8035498063973, -910.4799882871048, -998.9421322244089, -1569.216616965664, -1606.4355970046918, -1116.5377206089133, 50.94865843816842, -736.76956762788, 427.2402487136642, 1577.491848860176, -17.130991956730213, -1362.494835132321]
1990-01_2016-02;2016-03_2017-02;143.971827922971;MS;etanolhidratado;ARIMA;{'p': 1, 'd': 1, 'q': 3};12;12;4927.472874614332;0.5688598903826565;36.36363636363637;-53.85413922314108;137007.68597351864;0.5150988651013879;14396.289484303026;13804.568872331005;13683.07877029871;13741.582133191827;13681.797388854071;13699.749224108582;13666.614133143958;13667.052348905825;13645.426858589228;13638.301194872454;13621.646534953627;13611.254140862162;[-4923.275484303027, -4266.268872331006, -3999.5497702987104, -4914.332133191827, -4099.947388854071, -4083.0992241085823, -4256.714133143958, -4369.352348905824, -4313.276858589228, -4271.701194872454, -6720.746534953627, -7487.374140862162]
1990-01_2015-02;2015-03_2016-02;164.26027830701787;MS;etanolhidratado;ARIMA;{'p': 20, 'd': 0, 'q': 8};12;12;4153.424143211286;0.19583471838913669;63.63636363636363;14.715429240695999;65754.75894847607;0.5166879607120888;17489.371011619507;15801.76852013217;15416.37625293283;14215.909038574173;15593.815571517896;15030.679690984456;14685.421388627037;16298.726515712026;15368.376945532209;16688.17168552986;14814.059495276628;15524.045647380868;[2231.9789883804915, 5453.13847986783, 3182.4587470671686, 3727.840961425827, 3498.1844284821036, 5053.270309015545, 6775.243611372964, 6354.173484287976, 477.07305446779174, 908.7283144701432, -638.6619952766287, -4770.150647380868]
1990-01_2014-02;2014-03_2015-02;221.71178434602916;MS;etanolhidratado;ARIMA;{'p': 18, 'd': 1, 'q': 9};12;12;3955.2916659591106;0.18020928736000522;63.63636363636363;12.433401607832502;62591.17251879264;1.3079561595188727;13292.189315106147;11882.80928600527;12507.107387712655;11620.010488115715;12143.788814380392;11821.938353074629;12152.670317552309;12600.827401250004;11379.77637011488;13124.515572834878;11394.620618162164;11072.624773359974;[-896.0683151061476, -10.030286005268863, -2263.1073877126546, -1746.760488115715, -1134.0888143803913, -776.0083530746288, -3.9843175523092214, 1868.0225987499962, 3734.9736298851203, 6836.08442716512, 6977.829381837837, 8000.379226640027]
