train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;166.83659613398777;RR;querosenedeaviacao;ARIMA;{'p': 1, 'd': 1, 'q': 5};12;12;79.55379206802164;0.10023312808467207;54.54545454545455;-2.3109045655665605;1571.2348413022528;0.9984136899596631;723.3684919128311;717.9245237007231;719.9624380889852;718.5368164462055;721.6593722827188;718.7042534241274;721.5004819720675;718.8541689806816;721.3581723088505;718.9883941509609;721.2307105713516;719.1085686220246;[72.01050808716889, -113.51852370072311, -63.82243808898522, -3.0158164462055765, -16.9083722827188, -86.59225342412742, -145.76748197206757, -58.79016898068164, 60.380827691149534, -17.177394150960822, 61.479289428648485, 116.54243137797539]
1990-01_2022-02;2022-03_2023-02;306.2670674920082;RR;querosenedeaviacao;ARIMA;{'p': 1, 'd': 1, 'q': 2};12;12;85.58971531848782;0.09891352204997052;63.63636363636363;-5.516363667504921;1352.9118658915609;0.4804210562687363;788.7672697398502;768.6692176261832;757.1517748624314;750.5497357474972;746.7634865194491;744.5902630474844;743.3410616774196;742.6211865388667;742.2045360296711;741.9615878053337;741.8181449669171;741.7317038071793;[7.219730260149731, -151.17321762618326, -61.07577486243133, -86.40673574749712, -181.31348651944904, -98.25126304748437, 1.0579383225804122, -7.936186538866764, -17.233536029671086, 73.72841219466636, 71.06785503308288, -20.73270380717929]
1990-01_2021-02;2021-03_2022-02;268.0562815669982;RR;querosenedeaviacao;ARIMA;{'p': 16, 'd': 1, 'q': 11};12;12;396.560057084805;0.47527371927829476;54.54545454545455;42.507299667407935;7896.218308661297;1.1478773594576184;658.1388531890317;625.1668533335217;533.8013875567086;481.51623015735754;451.87027946121634;395.0904248940886;338.8318372569213;358.4236808837441;337.4914913336694;316.5178528885641;334.1446305871001;344.3533309391687;[-104.04585318903173, -193.15485333352166, 142.9676124432914, 437.98876984264245, 503.53372053878365, 300.62457510591145, 310.9271627430787, 422.16431911625585, 502.49150866633056, 462.9391471114359, 532.6033694129, 507.35966906083127]
1990-01_2020-02;2020-03_2021-02;301.35735571999976;RR;querosenedeaviacao;ARIMA;{'p': 21, 'd': 1, 'q': 23};12;12;215.5637266879255;1.028737352629387;63.63636363636363;-17.209796332257252;3506.4710675361775;0.5438623762306839;457.2243960768559;474.7644092878099;446.8638394617201;352.2908245768716;486.6267301172659;506.8514698342863;506.6037796550689;514.7215688530445;522.2438701970673;554.1854217594883;627.4855268923864;586.9853557564016;[-174.05939607685588, -340.9054092878099, -369.8448394617201, -181.53582457687162, -303.1437301172659, -207.88246983428633, 13.516220344931128, 139.68643114695556, 45.595129802932775, 212.42057824051165, 150.27647310761358, 129.4926442435983]
1990-01_2019-02;2019-03_2020-02;260.2336078399967;RR;querosenedeaviacao;ARIMA;{'p': 9, 'd': 0, 'q': 24};12;12;132.39674904589646;0.2594969189658716;45.45454545454545;3.645277043026089;3148.068066682465;0.9822722184997302;560.8826743575357;535.2595807040195;505.25093637356684;498.77580770542517;487.80036133852474;492.2745206883008;471.1454439860494;488.6434828052153;471.9591731237997;481.88976525313166;484.391012963654;539.0199494355647;[114.50132564246428, 30.531419295980527, 80.15806362643315, 78.36219229457487, 162.32963866147526, 64.30047931169923, 218.4515560139506, 81.2035171947847, -131.3491731237997, -138.22076525313167, -106.058012963654, -226.56494943556476]
1990-01_2018-02;2018-03_2019-02;79.946914989996;RR;querosenedeaviacao;ARIMA;{'p': 5, 'd': 1, 'q': 3};12;12;162.75720747897157;0.30939129022840756;54.54545454545455;-29.292678152992984;3231.34593786672;0.6235504072553174;592.8237614787582;645.7743909389789;643.6992134349464;664.7283400143566;681.4568179135094;678.5995940971294;687.0451615027491;685.3421360760011;688.0743330067332;688.3327295352334;688.0106463376687;689.1962619875429;[-111.03076147875822, -122.94739093897886, -119.99321343494637, -139.80434001435663, -301.2028179135094, -136.29859409712935, -42.4931615027491, -180.68513607600113, -185.67133300673322, -128.93672953523344, -169.66164633766869, -181.25826198754294]
1990-01_2017-02;2017-03_2018-02;152.53605172300013;RR;querosenedeaviacao;ARIMA;{'p': 19, 'd': 1, 'q': 13};12;12;188.25675818671564;0.27453189915693305;72.72727272727273;8.725659891221433;2248.827626568499;1.043259250140321;694.1370301968698;672.9594486361126;675.1874831683665;653.6759894077887;614.7854461048643;620.7498240711327;634.0198287074155;624.5792252429949;655.1440549128985;639.5875450773193;634.917965793804;647.8713594666907;[101.36296980313023, -24.960448636112574, 46.023516831633515, 2.0360105922112552, 184.1065538951358, 258.58417592886724, 142.70417129258453, 157.79277475700508, 266.1999450871016, 176.0514549226807, -325.225965793804, -242.1053594666907]
1990-01_2016-02;2016-03_2017-02;97.60794199904194;RR;querosenedeaviacao;ARIMA;{'p': 2, 'd': 1, 'q': 4};12;12;120.88988614352633;0.12711977597129775;45.45454545454545;12.552417570051416;2864.939813806364;0.7136516619969187;587.8005039854792;576.73968176408;588.484117586885;578.7576970544308;589.0771287927498;579.8103697272617;589.1200024667937;580.466015651956;588.9644389415713;580.9491018632075;588.7470770952881;581.3490427451513;[46.601496014520876, -44.987681764080094, -6.854117586884968, 26.513302945569194, 67.47387120725023, 86.38563027273835, 102.55799753320628, 266.782984348044, 98.74056105842874, 205.77389813679247, 156.93192290471188, 0.34895725484864215]
1990-01_2015-02;2015-03_2016-02;112.46394181199139;RR;querosenedeaviacao;ARIMA;{'p': 1, 'd': 0, 'q': 1};12;12;92.34607391212123;0.10573522313692214;45.45454545454545;4.6235850057978976;2187.8357278048225;0.5743367670687047;524.4236461524962;544.9687250281921;557.8008934951213;565.815686164447;570.8216133931793;573.9482454163966;575.9010959797247;577.1208190857287;577.8826410516579;578.3584643798501;578.655656965228;578.8412792909326;[216.33935384750384, 175.71427497180787, 64.40810650487867, -58.54868616444702, -20.417613393179295, 33.11575458360335, 71.50890402027528, -19.94281908572873, -44.08364105165788, -89.97046437985017, -1.8356569652279404, 3.577720709067421]
1990-01_2014-02;2014-03_2015-02;79.888656058989;RR;querosenedeaviacao;ARIMA;{'p': 1, 'd': 0, 'q': 6};12;12;152.82895035291347;0.17728188659028876;27.272727272727273;0.46070664168425934;4830.178654526309;0.8082423833578001;581.1267153733966;575.8406797180314;582.1955327769584;574.8044308549133;573.3588941669234;575.0693996337977;576.225409900642;577.3181835250267;578.3511797088846;579.3276684271824;580.250740779107;581.1233187730164;[-23.625715373396588, 128.81432028196855, 97.59746722304158, -18.91043085491333, -45.19589416692338, -66.72339963379773, -97.33840990064203, 431.5898164749733, 9.83782029111535, -103.65366842718242, -119.127740779107, -161.16631877301643]
