train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;218.36380202500732;TO;querosenedeaviacao;ARIMA;{'p': 20, 'd': 1, 'q': 1};12;12;271.4065216103168;0.19237969593326967;63.63636363636363;9.170092017771132;4299.182540393168;0.8560928138067525;711.0466693916419;737.5765788560041;741.1357468152946;802.8509163501504;793.6238435702115;832.9304504887556;811.4511501079993;789.9288440371702;785.8191763030648;796.7920318491156;820.5886696499136;763.2153659596527;[-15.808669391641843, -32.152578856004084, -15.419746815294616, -146.92691635015046, -92.9038435702115, -92.28345048875553, -256.9321501079993, 99.8851559628298, 22.927823696935206, 643.5309681508845, 469.03133035008625, 364.74963404034725]
1990-01_2022-02;2022-03_2023-02;361.3620760199992;TO;querosenedeaviacao;ARIMA;{'p': 24, 'd': 1, 'q': 24};12;12;212.8283555895596;0.25440315424809934;72.72727272727273;19.043452306888735;2539.8326127692335;1.0254968494773675;772.574587597904;641.5850608002205;608.7939744960001;577.2819099080523;616.200129401391;657.8325162818879;632.5351743717367;722.8324500990666;723.1250839320301;759.2194776450945;749.910823158559;746.9392161631993;[148.34341240209596, 264.3519391997795, 238.81702550399984, 112.3050900919477, 240.38587059860902, 171.001483718112, 236.78182562826328, 162.73454990093342, 163.19091606796997, 174.63552235490556, 287.72717684144095, -269.30721616319926]
1990-01_2021-02;2021-03_2022-02;311.37302806299704;TO;querosenedeaviacao;ARIMA;{'p': 23, 'd': 0, 'q': 21};12;12;273.6169549106401;0.35517601844822627;54.54545454545455;32.13758649750594;5434.508966643402;1.1817350501718988;581.3962056074665;526.8612727002757;502.46302009701134;386.9284100926828;258.1800620567532;306.71243811271347;369.47074127498126;463.25540091871875;440.94594812865813;522.5713220864623;599.6662144687592;565.5148137276475;[127.30779439253342, -162.21327270027564, 8.688979902988649, 144.32358990731717, 386.2459379432469, 403.1205618872865, 288.4392587250187, 310.97959908128126, 348.2070518713419, 301.7186779135377, 342.8817855312408, 116.28318627235251]
1990-01_2020-02;2020-03_2021-02;267.8968384129985;TO;querosenedeaviacao;ARIMA;{'p': 11, 'd': 1, 'q': 17};12;12;215.81835300141168;0.6193933178990149;27.272727272727273;-20.447743612010303;6873.904931685389;1.2187757552616352;588.5503599880543;550.8300999515998;532.6372153625626;541.8225476171824;554.7009092903692;529.4557878052364;577.0144564163799;577.5747462655327;613.9424044158158;602.1021384543885;606.0607415202013;621.1478803418437;[-112.35935998805434, -369.27509995159977, -279.91421536256263, -293.7385476171824, -267.1719092903692, -163.14478780523638, -214.63245641637985, 112.54725373446729, -66.48940441581578, 200.89486154561143, 185.2472584797987, 97.36811965815627]
1990-01_2019-02;2019-03_2020-02;186.97860031499295;TO;querosenedeaviacao;ARIMA;{'p': 16, 'd': 0, 'q': 15};12;12;140.34906404753144;0.23722220268587876;72.72727272727273;-18.72880578044108;1674.6616238416293;1.191035675858875;765.9393846925441;730.7866930993249;667.7110069429838;660.1246245795156;666.182888387711;670.8930726841199;639.3514850181241;678.6182279403819;657.2660952847262;718.8606564332354;653.075920450749;636.2567227020213;[-166.1073846925441, -174.11069309932486, -111.43800694298375, -247.21062457951564, -125.74088838771104, -223.88007268411997, -127.0244850181241, -41.07622794038184, -23.660095284726253, -70.68365643323534, 100.46707954925103, -74.37372270202127]
1990-01_2018-02;2018-03_2019-02;202.16384783701506;TO;querosenedeaviacao;ARIMA;{'p': 15, 'd': 1, 'q': 1};12;12;119.78477070241782;0.133301070681572;54.54545454545455;12.278508439592427;2367.1890246500648;1.1277570819187903;599.1200587643737;575.9645534644604;556.9888791275969;575.6525379932156;575.4600411244736;594.8609412645615;596.0671374802605;591.8182514650296;587.1364665009836;588.1192687023166;599.0434401290713;596.7470022883501;[76.87994123562635, 41.57844653553957, -43.5838791275969, -29.895537993215612, 189.1939588755264, -10.295941264561407, 56.8848625197395, 75.2697485349704, 85.96953349901639, 257.46473129768333, 178.1765598709287, 107.33399771164989]
1990-01_2017-02;2017-03_2018-02;202.08363066997845;TO;querosenedeaviacao;ARIMA;{'p': 17, 'd': 1, 'q': 1};12;12;119.90621263271015;0.15425487176094768;36.36363636363637;14.814423248777386;3316.317708082641;1.0991271267887874;516.9755889973477;472.394453194841;470.67839996771977;476.00189278254595;479.84030276217584;502.0970313915572;525.726493087581;524.2092590495765;512.741608775552;506.9342482384679;506.52097833984425;502.8225313241086;[116.94141100265233, 101.58054680515903, 62.659600032280196, 22.978107217454067, 96.40369723782419, 26.077968608442745, -61.30449308758102, 31.12774095042346, 123.38839122444801, 234.98775176153214, 237.4280216601557, 50.64546867589138]
1990-01_2016-02;2016-03_2017-02;254.07447070803028;TO;querosenedeaviacao;ARIMA;{'p': 5, 'd': 0, 'q': 23};12;12;68.33155535335734;0.09912099042971112;45.45454545454545;0.7874345623242881;1619.188401313803;0.38830442646691193;496.1917159153205;533.9026465561597;481.68333054428905;503.2775479453356;463.7594194672126;448.0678071605906;503.61650707444835;511.57214588791925;486.59161606234727;463.57699258621756;517.9960366900518;551.5197164328108;[0.36628408467947793, -150.05464655615964, -18.09233054428904, -36.32454794533561, 65.42358053278741, 12.30019283940942, -24.38250707444837, -10.925145887919257, 16.13438393765273, 132.6560074137824, 89.48296330994822, -29.266716432810767]
1990-01_2015-02;2015-03_2016-02;216.25280678400304;TO;querosenedeaviacao;ARIMA;{'p': 24, 'd': 1, 'q': 22};12;12;164.62728379531035;0.3370184927096124;54.54545454545455;-14.969465917709377;3270.9172485423887;1.068895715749504;621.5570443370611;627.5059351068098;626.8164869912107;581.5495273818651;617.3846317552116;596.5943526403863;577.8828065139616;567.0977735313122;565.4281815291196;638.1009735181004;597.0241876146273;617.0576125618219;[81.14695566293881, 26.56706489319015, -210.6554869912107, -219.2085273818651, -226.93663175521158, -298.82635264038635, -121.82980651396156, 149.62422646868777, 140.1698184708804, -50.928973518100406, -66.94518761462734, -144.0716125618219]
1990-01_2014-02;2014-03_2015-02;177.24771663703723;TO;querosenedeaviacao;ARIMA;{'p': 20, 'd': 1, 'q': 6};12;12;55.94432680545075;0.07830892472083954;45.45454545454545;-0.7672722692950152;1325.0886134981236;0.3920963678899589;616.2759187699346;632.0993648468814;587.5906978230053;570.3894546275219;614.4137534186659;645.4855254047295;600.537815174277;554.9207093580723;579.357297635841;652.3366563593274;646.9252253811461;643.6780824045833;[7.782081230065387, -35.7663648468814, 49.953302176994725, -73.8944546275219, 10.674246581334046, -118.90252540472954, -26.13281517427697, 27.175290641927745, 82.76670236415907, 56.78534364067252, -48.61522538114616, 12.254917595416714]
