train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;99.41498322226107;RN;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.1191452282939146, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;2724.7514563863238;0.042922504827960534;81.81818181818181;0.5324988730447319;21502.834495549057;0.5322334456167894;55239.52654940931;54991.50892599109;56449.350593765324;53456.831069439424;55286.51768983525;58825.12849853663;57255.73793943468;56633.954658888404;52520.12048125126;58346.881735739575;54791.40588932107;53372.643120817374;[-1556.026549409311, -4355.508925991089, 1767.7334062346781, 3471.668930560576, 548.932310164746, -516.4684985366257, -1983.237939434679, 449.5453411115959, 3696.1355187487425, 3469.965264260427, 2538.0941106789323, -3959.1431208173744]
1990-01_2022-02;2022-03_2023-02;87.96203241636977;RN;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.010547875702483625, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;4938.58706609913;0.0765910266485045;63.63636363636363;3.2642002834000623;77927.57291696421;0.8802582201312369;49800.16108578067;49285.527756687115;50197.0099714762;50718.04893765546;51993.242116054724;51500.09456873711;51730.72602575859;51796.25904936548;51715.04973919911;52394.960520508605;51112.408509312416;51042.241172144495;[-4443.856085780673, -3518.016756687117, -390.23397147619835, -5159.87993765546, -963.7421160547237, 5792.720431262889, 6240.06497424141, 4211.03795063452, 2207.9772608008934, 10988.229479491398, 3406.2644906875867, 2323.814827855502]
1990-01_2021-02;2021-03_2022-02;64.79412563564256;RN;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.2654116983161034, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;4593.770140954605;0.08508807233140907;72.72727272727273;-0.6258559184097237;54420.09926403676;0.845529952386838;49228.340362729614;47104.95986613543;44745.05341884763;48774.69745404965;49239.67201040424;45704.92053308712;48412.04932468715;51638.11341470475;46429.52518117089;61851.742699007875;52788.966052809476;50133.509716518485;[-4931.485362729611, -4557.136866135435, 4971.449581152367, 1003.3025459503478, 4951.693989595762, 5918.384466912881, 4042.4506753128517, -247.61341470474872, 2167.4748188291123, -5553.959699007872, -7337.3180528094745, -4134.464716518487]
1990-01_2020-02;2020-03_2021-02;114.63063999311998;RN;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.1967002677154543, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;7709.97865029353;0.14620034438871385;72.72727272727273;-11.173307517915992;91540.32876816497;1.1708417392603983;52500.01377305106;51522.274374306544;52303.86174956592;52077.751139665794;52721.11308317453;53451.204845690736;51785.6998420803;54430.75009514454;53220.522796201636;56167.25133576206;53353.89901395581;51798.91800064425;[-9310.24077305106, -13540.555374306547, -12092.277749565917, -10521.321139665793, -5773.2930831745325, -7372.704845690736, 403.8441579197024, 1447.8809048554613, 929.9322037983657, 2784.9486642379343, -1571.5170139558104, -9237.918000644248]
1990-01_2019-02;2019-03_2020-02;82.29900709167123;RN;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.29189934449068555, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;2080.0985522341584;0.034715451532544635;72.72727272727273;-1.7135636073541995;24596.47197390296;0.6567533870141756;53768.29961384238;50207.547905150575;52173.282759352056;50538.739535634064;51993.23976172142;55347.723760959474;53670.925998566534;55744.22121034644;52367.337791900216;55233.98621467514;51133.86187425489;51382.117635431874;[-4587.799613842377, 1381.1220948494229, -2707.282759352056, -1925.8355356340617, 1229.7932382785802, -712.723760959474, -2442.125998566531, -1723.2212103464408, 1378.162208099784, 1306.1637853248612, -34.71187425489188, -1835.117635431874]
1990-01_2018-02;2018-03_2019-02;69.1217475021258;RN;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.2619104346659575, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;5739.225702370023;0.10472079274430024;72.72727272727273;-10.212802533135228;68038.51059289442;1.3132227204631843;55380.3874975988;53816.33845855196;55369.392053503674;56526.13686791577;54449.23205437406;56716.16366648242;56232.97135218707;56165.13841619706;54661.50334046538;59564.998257603715;56206.6861644727;54700.558456218765;[-919.3194975988008, -3740.6554585519625, -2577.109053503671, -9306.522867915766, -5020.732054374057, -2913.9066664824204, -9765.017352187075, -5431.209416197067, -5230.8913404653795, -4536.620257603718, -5604.596164472707, -7019.058456218765]
1990-01_2017-02;2017-03_2018-02;99.4435671926476;RN;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.08430846349690663, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;3277.815245195184;0.047176765473378374;54.54545454545455;-3.2124566530174268;64583.14438096257;1.1249909816837271;56689.37986296478;55890.044417939695;55388.13564603366;55812.65617876383;56676.08209132283;56808.91342934167;57743.44686106896;56486.52524619244;54995.31913870737;56860.570257468346;55702.18141108324;55152.68957718404;[489.620137035221, -2774.5444179396945, 1131.0463539663397, 390.24882123617135, -2687.197091322829, -106.3074293416721, -4234.780861068961, -1265.3792461924386, -1876.943138707371, 2155.8047425316545, -3852.6044110832445, -8353.420577184042]
1990-01_2016-02;2016-03_2017-02;118.68976037809625;RN;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.22778455945420567, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;2182.852000415036;0.032741176027420084;72.72727272727273;2.493562954255461;25809.587588163726;1.006472237386422;52822.185615925984;52232.06990335232;50915.77014912532;53053.80267439621;50626.29344380211;51590.08374292223;56286.57032686785;53410.29915001342;52157.30959008653;58608.02769142252;54408.5638423898;52870.25377798241;[2447.353384074013, -193.81590335231886, 1992.7168508746836, -1263.302674396211, 3339.4385561978925, 4812.873257077772, 1358.429673132152, 1163.4808499865758, 1355.640409913467, 2159.3723085774836, 366.4361576102019, -1197.7537779824124]
1990-01_2015-02;2015-03_2016-02;171.87630591820925;RN;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.1517149524772698, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;3156.7268931415124;0.04718187064357803;72.72727272727273;-4.630568891775383;37344.2186189689;0.9391680913269241;53557.84148784134;53229.59132894145;55399.116831871914;54472.69455400037;55782.023050749514;54274.78010783773;54295.774760588836;57767.86353972888;54941.26956850986;64175.95574270888;58919.7212057576;55152.67847433133;[-882.7774878413402, 221.78567105854745, -3002.977831871911, -1104.3165540003756, -1035.5730507495173, -1068.17010783773, -850.7987605888338, -2755.9635397288803, -3624.4195685098603, -4368.95574270888, -6702.621205757605, -4564.132474331331]
1990-01_2014-02;2014-03_2015-02;170.92848076717928;RN;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.11429183189458984, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;4112.6790722368405;0.054908398523723236;81.81818181818181;3.217457626023126;32477.165981437378;0.8068676196846394;51551.58180984324;52492.2250964178;52012.55926184377;51874.0281123817;52977.28164252213;52288.196260434066;53561.14837274521;54042.50337409955;53250.939110731044;53671.167965528555;52539.21117920937;52311.407162536096;[-177.6128098432455, 695.0069035822016, 3331.229738156224, -1770.046112381693, -50.23164252212882, 2304.303739565934, 2213.80162725479, 5338.758625900453, -522.4391107310439, 9158.199034471443, 5965.340820790632, -5456.956162536095]
1990-01_2013-02;2013-03_2014-02;163.19338259799406;RN;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.11962397920943636, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;2646.1776559741943;0.04510710859513494;81.81818181818181;4.574263906318148;20885.286256794105;0.6232590741387564;47359.08430961323;46451.148375923534;48671.13410414954;47226.389742291925;49827.7647541758;48619.51866418299;47875.47759880043;51749.707029570345;48837.911841377536;52658.24647195336;50784.05444046437;46999.910656734966;[1007.9276903867722, 3394.6416240764665, 1748.3658958504602, 569.7612577080727, 248.81024582419923, 3398.5483358170095, 1814.0474011995684, 2176.1979704296537, 3338.588158622464, 4124.75352804664, 2746.6985595356236, 3572.5893432650337]
1990-01_2012-02;2012-03_2013-02;80.21100981906056;RN;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.18170788275484082, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;5062.638471486017;0.08806056653540976;54.54545454545455;8.345419691043482;99839.63132584526;0.7466840305919262;46734.01942476662;44450.28660231056;40353.01971960196;41316.161189794475;42799.460623445455;41572.75721938277;45691.25900056191;44655.01228443737;44075.23583764254;44776.99585912634;43823.57588816915;42229.17156597516;[-1336.2744247666196, -735.4366023105613, 5078.582280398041, 3165.7018102055226, 2990.5453765545462, 7940.23778061723, 1201.0179994380887, 7801.939715562628, 4548.383162357459, 8468.450140873661, 6098.07011183085, 2351.8494340248435]
1990-01_2011-02;2011-03_2012-02;69.55647352803499;RN;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.13505238373950829, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;6716.534232419602;0.14332082296731966;63.63636363636363;14.66403045242837;106177.06980364054;0.812066100235363;36969.20642738131;36533.78984428893;34345.482956416534;35121.44430174793;34734.815767252345;34460.88959631199;36371.59069437433;36861.80080415577;35563.43883839465;35919.28988966901;35700.37530152655;34770.57866230811;[3850.4935726186886, 1689.630155711071, 4127.143043583463, 4356.825698252069, 4670.184232747655, 7856.000403688013, 5991.059305625669, 4954.049195844229, 7176.011161605347, 12879.06811033099, 8212.624698473453, 7672.685337691895]
