train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;75.22652887785807;RR;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.21455281293228634, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;942.3976226262153;0.053081329232854045;72.72727272727273;-4.766759864903189;11151.473425131122;0.9496296966985515;16136.567504541734;15322.912323967534;15869.460813741754;15210.942615492891;15254.907013521746;16243.453720705835;16784.34178486992;16187.087006236761;16047.949689478579;17137.81391273781;16306.955298504423;15327.063699189193;[-609.5175045417345, -923.6023239675342, -218.76081374175374, -215.34261549289113, -1473.4570135217455, 351.09627929416456, -1710.6527848699207, -150.58700623676123, -728.9496894785789, -744.1139127378083, -730.3552985044225, -1573.763699189194]
1990-01_2022-02;2022-03_2023-02;201.10115344589576;RR;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.04158120647216099, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;1572.0330627996298;0.0762069023600128;63.63636363636363;6.9342481552435595;24806.176005545873;0.8447143326124997;14483.483569841315;14401.879955261234;14310.975919500248;14505.975571729632;14316.05429530207;14589.181993343149;14642.848267695563;14571.044766051058;14656.563069629876;14893.184883658269;14574.352067803697;14573.07986916789;[360.11643015868503, 320.9200447387648, 896.2240804997527, -737.7755717296313, 562.1457046979303, 2369.4180066568497, 3087.0517323044387, 2045.4052339489426, 1211.0369303701245, 2555.5651163417315, 601.6029321963033, -268.4798691678898]
1990-01_2021-02;2021-03_2022-02;58.93177581299096;RR;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.17867185358259804, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;991.3238489721801;0.06529660831689325;63.63636363636363;1.8523593588607734;15638.359587377772;0.6845274747480483;14933.540001531954;14235.249866725255;13043.349048353994;12552.242154480506;12827.839392879723;13280.60744905691;13746.519709312692;14177.2406694827;14061.602838576051;15001.086327807514;14617.630697790635;14128.571481209787;[-1744.7400015319545, -1064.049866725254, 612.9509516460057, 1155.5578455194936, 851.3606071202776, 858.5925509430908, 1132.130290687308, 1124.9063305173004, 492.1971614239483, 645.413672192486, -1098.0306977906348, 178.08851879021313]
1990-01_2020-02;2020-03_2021-02;148.3682998851873;RR;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.04841897080234797, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;1876.2252432797952;0.12813320541766224;63.63636363636363;-3.1981377905353923;29649.002642193143;1.3745522898041562;13534.669862053885;13511.644013607984;13413.569840279111;13103.363154772447;13427.82933857459;13424.38576420733;13522.250225104266;13568.23978998373;13368.900564024665;13560.956478714299;13767.101985498974;13417.728676194802;[-1087.769862053885, -3424.3440136079844, -2813.969840279111, -1939.3631547724472, -1013.0293385745899, -513.1857642073301, 1071.4427748957332, 2320.8402100162693, 840.7994359753357, 2796.3435212857003, -110.10198549897359, -1136.328676194802]
1990-01_2019-02;2019-03_2020-02;216.14292875584215;RR;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.0815460441317434, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;827.940608631272;0.05618770270294642;72.72727272727273;4.877903131708227;9798.320056922767;0.6362478489155323;12309.225600333573;12405.011708291982;12185.95270524821;12229.949771464933;12092.77408163805;12464.709208957596;12559.573574315986;12580.952967593763;12471.325170726472;12808.080824204997;12512.891165062485;12188.7803437404;[376.57439966642596, 743.6682917080179, 549.0972947517894, -647.2497714649326, 872.0259183619492, 107.69079104240336, 609.7264256840135, 1345.5470324062371, 1097.374829273529, 1396.6191757950037, 641.7088349375153, 538.2196562596]
1990-01_2018-02;2018-03_2019-02;57.36612189374864;RR;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.22137376489378957, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;668.4742642068779;0.05019724662349064;72.72727272727273;1.9365593807707981;7909.427714266269;0.9383066324462669;11761.523502957461;11425.92341005453;10711.126527061688;11372.89481455973;11380.068615160973;11588.93883885819;11659.925178209935;11817.03688224815;11673.392273426565;12381.782692407622;12001.367396146186;11880.017092512166;[616.9844970425384, 655.7655899454694, 467.082472938313, -395.09481455973037, -1031.0686151609734, 852.9611611418095, 359.1598217900646, 1275.5671177518489, 523.5037265734354, 196.91430759237846, -267.86739614618637, -496.0170925121656]
1990-01_2017-02;2017-03_2018-02;151.74297271016985;RR;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.1120256173473556, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;934.5583973296823;0.06161147002025936;54.54545454545455;5.145790486523587;18420.49335540407;1.0712658900175531;11371.744773157843;10948.443740864523;10294.012613657964;10370.29565172802;10702.0646424523;11162.015997681017;11039.592070730148;10506.401796573471;10952.407176483988;11594.317757884608;11338.808826573406;11092.822413100224;[45.55522684215612, -18.043740864522988, 1262.5873863420366, 1123.1043482719797, -69.2646424523009, 359.58400231898304, 1291.8079292698512, 1765.7982034265297, 781.3418235160116, 1341.9022421153913, -334.4478265734051, -423.0134131002251]
1990-01_2016-02;2016-03_2017-02;160.00672743888572;RR;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.10750343496809946, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;503.9905302896399;0.03253308696124215;81.81818181818181;1.7861620515652803;3975.252353476734;0.6325810701248729;10645.484323590568;10468.539466478283;10269.396511214401;10575.573582635056;10518.275860414655;10795.438071714423;10988.06628418418;10835.637442378875;10590.578537123596;11186.557442031724;10619.853817323386;10449.669106775567;[550.315676409431, -83.1394664782838, -210.7965112144011, -213.57158263505517, -66.67586041465438, 510.2619282855776, 416.73371581581887, 44.662557621124506, 514.7214628764032, 1335.742557968275, -81.5538173233872, -389.86910677556807]
1990-01_2015-02;2015-03_2016-02;51.238389337901026;RR;gasolinac;CATBOOST;{'iterations': 100, 'learning_rate': 0.17100645490065866, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;771.3909341512866;0.05518985757179911;72.72727272727273;-4.772245568951583;9128.779281195726;0.7902520674637041;11088.905027762645;10726.457144803144;9698.523692797764;10934.828647996379;10490.579081113221;10464.639072926055;10666.878978121278;11228.485438851048;10607.28911916476;11375.976649898666;11891.746349010893;11236.902403995035;[-787.9050277626447, -479.4571448031438, 9.076307202236421, -414.52864799637973, -168.936081113221, -148.03907292605436, 402.5210218787215, -595.6854388510492, -699.2891191647595, -200.97664989866644, -2114.1463490108927, -742.7024039950338]
1990-01_2014-02;2014-03_2015-02;65.03598098969087;RR;gasolinac;CATBOOST;{'iterations': 200, 'learning_rate': 0.08940554784280043, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;1267.2063569061042;0.09512364901891712;54.54545454545455;8.766523143817597;24995.724920271554;0.9126004207463368;9404.084874603266;9296.094271564421;9321.684413157665;9259.583183727627;9211.381446851165;9481.893273893495;9395.252571598347;9515.626448334997;9480.755039248821;9564.984142825131;9693.794430982327;9662.923653294356;[273.3151253967335, 595.5157284355791, 988.915586842335, -82.51218372762742, 549.518553148835, 802.7067261065058, 2193.7474284016535, 1967.6735516650024, 792.8449607511793, 2469.815857174868, 1015.8055690176734, -681.6236532943567]
