train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;194.1988300094381;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.23677736402053198, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;13610.989694988679;0.08740136493459215;72.72727272727273;6.197740918948169;161254.28205700614;1.119524145728255;121912.67476669168;122113.00996095862;123364.77720188438;127238.16691994714;133676.2375225994;137483.52274921484;139761.28361596816;144996.59867350524;138777.7734742921;139961.2770786917;133641.4004466189;123078.09014892089;[12217.050233308328, -7436.7959609586105, 16354.37379811563, 17092.71108005286, 18478.716477400594, 24228.259250785166, 10377.88838403183, 11991.78332649477, 11531.3595257079, 5305.853921308299, -7740.877446618906, -7609.16914892089]
1990-01_2022-02;2022-03_2023-02;240.47114358935505;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.01048283825480836, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;6584.885766761323;0.04060995433267193;90.9090909090909;0.22380387054888495;26037.217864176728;1.3722912656993644;122990.91065239358;122075.6873940615;124679.37962881173;128894.32250625378;134943.10182860075;136704.7688638285;134708.76711077656;137327.4256057614;133192.91312059917;133415.35855101913;125966.55680053045;118101.91620058884;[2790.413347606416, -10637.995394061509, -2155.3746288117254, -1836.8085062537866, 4657.468171399261, 11603.934136171505, 10941.174889223446, 1901.2573942385789, 338.02887940083747, 726.1834489808534, -8079.146800530449, -6765.662200588835]
1990-01_2021-02;2021-03_2022-02;86.31418409897014;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.24247140547747983, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;7689.169247954702;0.050701097991691015;72.72727272727273;-0.9884681336413474;90974.17077025691;0.5972489602614132;113219.2705638746;113659.2772619614;116319.99350736754;119036.97571136226;134283.80481632345;142682.40403926838;139025.92657785813;144308.08302492672;141453.51320216787;138013.1506159781;127700.91700093201;111676.68540963726;[7762.056436125407, 5344.575738038606, 5988.72349263246, 8106.512288637736, 2936.30218367654, -664.5960392683919, -1113.0985778581235, -9255.432024926704, -10457.807202167867, -6671.769615978119, -16395.009000932012, -667.3784096372547]
1990-01_2020-02;2020-03_2021-02;105.32125433301553;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.2680785855255254, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;10178.197158902418;0.0697354036645097;63.63636363636363;1.3183858751086348;160573.48399808333;1.0311058851414292;108771.70613867861;109281.85827889142;108981.56147472814;118917.91649313239;124451.26307378747;129110.06100533101;126789.79340655611;125951.49828163008;125448.76392354845;123747.03004414556;116712.97461859626;106565.21827229073;[-7861.902138678604, -15817.985278891414, -11189.87447472813, 871.7445068676025, 8024.334926212527, 7226.486994669001, 13532.688593443876, 20401.684718369914, 7892.093076451536, 713.9459558544331, 365.06738140374364, -5123.903272290729]
1990-01_2019-02;2019-03_2020-02;192.04364738985896;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.29121046712564236, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;8644.520435568145;0.0660472855799376;90.9090909090909;-5.3888005367104554;34276.461438712686;1.5390034271883848;114395.06769493844;112289.8211602157;116424.23049378612;119066.58423020654;126006.19519576365;128004.41876223867;126524.82305748161;128255.73194668404;127708.01502238198;125029.54824351368;118491.50810909801;111498.37496182202;[-12631.508694938442, -19526.3871602157, -4724.267493786116, -7392.094230206538, 2630.6068042363477, 1528.5262377613399, -6361.943057481607, 709.2410533159564, -3183.969022381978, -6880.910243513674, -9496.15210909801, -9002.272961822018]
1990-01_2018-02;2018-03_2019-02;209.06659026583657;MA;oleodiesel;CATBOOST;{'iterations': 200, 'learning_rate': 0.26232090402299363, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;8329.586568850615;0.05861424060416775;81.81818181818181;4.4423479408688875;65790.35930933282;0.824121316532011;107809.3271502517;102111.76652430705;105041.50077808321;108046.99027450908;111708.83823035343;118939.11180289918;115093.97950220363;122328.44499213464;118856.52697505521;122303.7100687826;111704.89433598558;100685.3122714456;[6315.1678497482935, 5480.84747569295, -3538.3787780832063, 10149.108725490922, 16684.269769646562, 12245.461197100827, 4462.217497796373, 10632.301007865375, 7322.893024944788, -3968.4860687826003, -3996.4413359855826, 721.1157285544032]
1990-01_2017-02;2017-03_2018-02;103.8149801841937;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.2222571725396924, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;7856.889828899533;0.06407057297596636;45.45454545454545;4.579128843237949;185790.38588861976;0.8640571155223442;100177.49164614454;100945.83409519633;101240.1818959675;102503.71076187227;110350.98267935734;110213.95530108185;110229.85350647572;109466.42697169243;106788.75890685632;107956.23114475768;102739.93355275263;97960.57759714861;[8702.074753855457, -440.17639519633667, 6605.223504032503, 8044.828738127733, 128.21312064265658, 7186.857498918151, 4192.048693524281, 9293.195428307561, 11845.723693143678, 8768.670455242318, 7473.20844724738, -11306.493597148612]
1990-01_2016-02;2016-03_2017-02;76.75458533596247;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.015180540455983457, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;12553.746709955705;0.11732865685922057;45.45454545454545;-11.55980035479202;297145.93165912334;1.3209550805193344;108910.85657205734;108794.24032732281;110563.18882419699;113972.74476690487;119073.52018479996;119975.6934837346;118861.16218570017;120662.43080905585;117946.78092654495;119568.00840878594;113074.6857243942;105930.13142636167;[-6282.091572057339, -5140.2253273228125, -14485.392824196984, -14865.765766904864, -13455.154184799962, -17383.922483734612, -12291.379185700178, -14585.865809055846, -8551.707926544943, -7071.531408785944, -11555.318524394213, -17050.61346636167]
1990-01_2015-02;2015-03_2016-02;126.8030119058676;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.29455533341191614, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;5712.6914776543235;0.04201641126655442;72.72727272727273;0.018002659369191203;67568.10279962761;0.7487317326262174;108915.79079605687;106245.17704002484;107304.5182731692;104899.45011697174;115582.99429378552;115606.90154388969;116282.1988265355;119427.60513111562;114045.69038703514;119637.9950671627;112017.25160014363;102042.42419391422;[-5872.424596056866, -59.072040024839225, 1926.1277268307895, 10650.879883028261, 6156.831306214473, 112.98305611031537, 4083.6748734644934, 4992.7298688843875, -2526.171987035137, -2989.157667162697, -10701.431600143624, -5533.328193914218]
1990-01_2014-02;2014-03_2015-02;63.33362121833488;MA;oleodiesel;CATBOOST;{'iterations': 100, 'learning_rate': 0.06388324561183448, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;7591.769582279509;0.05453028427050418;90.9090909090909;4.462734018955686;30064.31619594643;0.9145384258607047;97978.24980410661;96454.14367848942;98273.69959021492;100637.92176129748;106419.63849280853;107652.82330748698;106137.03972245743;108899.60993822636;106921.00229839927;108459.22696455219;101942.06441751898;95241.54786625277;[385.6721958933922, 1421.515321510582, 2488.802409785072, -1640.8707612974686, 3435.799507191463, 10600.49469251302, 11109.460277542574, 16018.121061773636, 6950.582701600739, 6900.974035447813, 6352.230482481013, -6332.704866252781]
