train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;251.83664483297616;MT;querosenedeaviacao;CATBOOST;{'iterations': 200, 'learning_rate': 0.2337392044424419, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;3190.895647824442;0.3436321688028416;45.45454545454545;30.87967126286649;75848.27652730122;1.79242662243674;6946.503436996157;6002.705278966105;5439.147558244361;4733.398799571499;5085.720674431923;4312.278692443603;3743.236109635358;3007.657473755379;1513.9526067668444;3259.8638067104666;1740.797902923613;3316.6019854252777;[1191.9365630038428, 684.2427210338956, -562.4105582443608, -473.4837995714988, -1723.4586744319226, 126.76030755639658, 80.52389036464228, 1800.6285262446208, 4795.459393233155, 4013.2941932895337, 7092.246097076387, 4910.636014574722]
1990-01_2022-02;2022-03_2023-02;229.87992349779233;MT;querosenedeaviacao;CATBOOST;{'iterations': 100, 'learning_rate': 0.21611096097533378, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;2106.4938428581886;0.2807385113336755;81.81818181818181;28.58958989348438;16842.620680124408;2.118177158998846;5642.580526099375;4248.383800582545;3538.4532040074305;2801.3429161526456;2898.9012953021406;2622.23403185647;2274.3076417674292;2655.1030646595373;2828.103311385553;3565.570444351422;4094.562245796191;3620.9149880546256;[1172.913473900625, 274.90519941745515, -17.551204007430442, -464.11391615264574, -547.3282953021408, -216.9760318564704, 700.4153582325707, 2853.2799353404625, 3043.9836886144476, 3327.750555648578, 4330.80575420381, 1872.6220119453747]
1990-01_2021-02;2021-03_2022-02;122.56512102484703;MT;querosenedeaviacao;CATBOOST;{'iterations': 200, 'learning_rate': 0.20059965936917207, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;2707.1022345108013;0.6381040659536574;63.63636363636363;13.724338045564947;43383.844837630764;3.612927533741949;5468.8466214736145;4986.906782958314;4853.5722310491465;4712.990014623849;4665.1812548124935;3781.522202930335;2919.910297966844;3272.558878345367;1462.9915146855133;2165.4123294041433;1596.2324058465704;1728.8694008261357;[273.2663785263858, -1303.9357829583137, -1652.1742310491463, -2382.042014623849, -2848.1732548124937, -2013.428202930335, -144.36729796684403, 729.2831216546333, 4060.7444853144866, 3798.165670595857, 4858.0695941534295, 3244.5145991738646]
1990-01_2020-02;2020-03_2021-02;171.71572548290715;MT;querosenedeaviacao;CATBOOST;{'iterations': 100, 'learning_rate': 0.15364212983632308, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;2314.6281175610934;0.7999950919265824;45.45454545454545;4.210393107563246;55489.612131616595;3.6842974495429153;4979.026105132799;4800.064644382133;4449.926404478781;4281.074189114363;4010.811651787636;3283.1868010882504;2537.166554590344;2453.0457395973935;1916.2334838951524;1837.9391990526817;2150.1443549134638;2265.200087934143;[30.393894867201197, -1537.1946443821334, -1751.3324044787805, -2822.2891891143636, -2705.533651787636, -1910.6338010882503, -733.3235545903437, 1118.1972604026064, 2447.7795161048475, 3200.560800947318, 4074.886645086536, 2301.1279120658573]
1990-01_2019-02;2019-03_2020-02;82.4780505169183;MT;querosenedeaviacao;CATBOOST;{'iterations': 100, 'learning_rate': 0.2577934265341545, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;1835.9000179340674;0.4303607391046837;63.63636363636363;15.305346546355317;29256.827712683942;3.206425370586799;4400.058491359554;4142.085514279983;3955.216024933687;3764.4986012793534;3511.137309834255;3174.0437051478957;2621.888305680167;3058.781351851177;1541.85074345345;1923.075873432293;1878.4224196060702;1786.3391675244607;[-163.85749135955393, -152.93551427998273, -545.0110249336872, -1898.8806012793534, -968.904309834255, -1331.9807051478956, -448.7173056801671, 442.6226481488229, 2653.9322565465504, 3180.526126567707, 2786.25758039393, 2908.7418324755395]
1990-01_2018-02;2018-03_2019-02;84.09432264091447;MT;querosenedeaviacao;CATBOOST;{'iterations': 100, 'learning_rate': 0.058759360362569985, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;1406.5217480664298;0.4778834048603071;63.63636363636363;-35.69060827985221;22445.54957830262;0.7440308764735758;4130.752171649806;4081.082664591375;3826.7942258484;4196.075685943099;4454.490584722305;4515.9367063624595;4041.5372651891266;4222.602242159598;4204.197551324062;4420.33473940549;4781.1362082035785;4573.240965678989;[-380.23917164980594, -411.02066459137495, -1438.6542258484, -1790.3526859430995, -2164.8165847223054, -2783.9387063624595, -1834.0202651891268, -1205.102242159598, -254.86255132406222, -288.8237394054895, -123.3462082035785, -857.2029656789887]
1990-01_2017-02;2017-03_2018-02;138.76889834785834;MT;querosenedeaviacao;CATBOOST;{'iterations': 100, 'learning_rate': 0.040834826784982764, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;513.1293981460745;0.08725932841495161;54.54545454545455;3.584791621613295;10120.721535595087;0.6294011609304453;4417.922998023998;4396.623731742884;4388.063127125202;4593.180685001508;4765.234217781427;4640.657741276608;4414.2802331229495;4462.528195607743;4178.482337696407;4266.104528128129;4200.3749299992505;3573.692193200309;[141.64300197600187, 69.16926825711562, 380.15787287479725, -241.6746850015079, -250.87321778142723, -327.6847412766083, 22.509766877050424, 386.4388043922563, 1124.8836623035932, 971.1854718718714, 251.62607000074968, -582.9331932003088]
1990-01_2016-02;2016-03_2017-02;147.13579091709107;MT;querosenedeaviacao;CATBOOST;{'iterations': 200, 'learning_rate': 0.1770623774821711, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;2160.7951324763426;0.5063928340182078;72.72727272727273;-48.99849705702864;25997.562237676524;1.0604401204827787;6435.537054036084;6082.005688385629;5763.495383988511;6155.411544662916;6358.519834900767;6422.842965475291;6269.037945184165;6571.969733198411;6725.302651834332;6852.784845443874;6837.255219933138;6045.973136845267;[-877.6810540360839, -1478.0726883856287, -1518.093383988511, -2215.2125446629157, -2546.666834900767, -2488.9739654752907, -2398.4079451841653, -2707.5337331984106, -2566.002651834332, -2121.6868454438736, -2120.6972199331376, -2124.793136845267]
1990-01_2015-02;2015-03_2016-02;166.62736696004868;MT;querosenedeaviacao;CATBOOST;{'iterations': 200, 'learning_rate': 0.2323544998518392, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;1162.1967410288569;0.17990520551901654;63.63636363636363;-17.537187656410353;18393.222100866056;1.3932462882220424;7256.838787875879;7371.812741741577;7354.123184595461;7444.637323135068;7661.5552008902705;7530.944645386518;7697.328432713796;7568.474262463797;7215.299854674026;7250.818553434894;7189.335812216238;6712.705193327122;[-389.0017878758781, -1411.985741741577, -1171.6631845954607, -1193.2873231350677, -1300.5192008902704, -1363.8076453865178, -1451.1364327137962, -1230.8962624637961, -650.288854674026, -524.2265534348944, -841.3818122162384, -1639.7631933271223]
1990-01_2014-02;2014-03_2015-02;189.4313439540565;MT;querosenedeaviacao;CATBOOST;{'iterations': 100, 'learning_rate': 0.010340620257194016, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;561.8890144109914;0.07066775810034302;72.72727272727273;-2.01516906432924;6653.6214699369;0.9382173481798085;7423.804276321528;7487.215293528632;7380.371224618612;7400.844594145289;7455.1263502731845;7321.2067762123115;7060.0516756295465;7098.321540484619;6970.7608428070935;7040.231236129604;6966.579475970646;6636.248095218926;[-4.904276321528414, 449.55970647136746, -491.37922461861217, -419.18159414528964, -683.1653502731842, -656.2497762123112, -577.1376756295467, -371.11054048461847, -185.13184280709356, 600.3437638703954, 1093.5975240293537, -458.8080952189266]
