train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AL;etanolhidratado;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;1788.1461554229886;0.25962729285135805;54.54545454545455;24.321159126308622;35401.136818528204;0.8661655952508549;4682.823152881767;4398.431137676726;3816.132002927663;5295.443682470191;3699.841293750168;3667.798609705836;4339.697916586403;4749.197439095011;4167.64327172236;5162.099236988837;3949.2511474937255;4513.538334781776;[1520.9068471182327, 1054.9078623232735, 1619.9679970723373, -1053.8796824701903, 298.17470624983207, 1789.3183902941641, 1427.5860834135965, 288.43256090498926, 1926.1847282776407, 1966.8727630111625, 3260.7358525062746, 2754.2176652182243];-2.202207265832122;0.2054453222960848;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;AL;etanolhidratado;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1827.835439036136;0.22160148297077528;45.45454545454545;11.402920183830714;43352.0423375638;inf;4731.403525307754;5444.3454950985815;4337.835511769658;4560.5277328726515;5034.2314519433685;4393.765440962756;4371.098714833367;5153.819397724748;4892.107795165684;5647.781084404929;4972.302271181355;4806.936021626695;[3750.6684746922465, 2783.0215049014187, 3499.3914882303416, 1453.1602671273486, -1182.3164519433685, -1040.2244409627556, -990.569714833367, -505.69639772474875, -191.30779516568418, 149.30791559507088, -355.51427118135507, 139.54297837330523];-1.7326882951861953;0.4143540216331677;8;376;-3.4478619826418817;-2.869257669826291;-2.570881358363513;False
1990-01_2021-02;2021-03_2022-02;AL;etanolhidratado;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;1221.8842838795013;0.18149232209910893;45.45454545454545;2.8931624764709403;28959.84441007145;0.9710803764307355;6173.408430928981;5096.540645777632;4690.560878429366;5103.002379013603;4371.207728698159;4182.0627045941965;5776.620742444076;4857.706180607493;4291.790329713013;6834.97901529811;7212.972723690332;4541.1592269428465;[2385.858569071019, 757.774354222368, 1006.0481215706341, -751.8623790136025, 138.73127130184093, -96.59070459419627, -2202.1727424440764, -405.11818060749283, 1617.7666702869865, -59.739015298110644, -1322.3827236903317, 812.6167730571533];-1.585472712102299;0.490886828797697;8;364;-3.4484434475193777;-2.869513170510808;-2.571017574266393;False
1990-01_2020-02;2020-03_2021-02;AL;etanolhidratado;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;2010.6330156183851;0.3976744935737571;72.72727272727273;8.28791108438238;24095.368091220316;0.6485276162814148;6269.875351412897;5784.447965845269;5531.824291781623;4126.622366905508;3786.172229268287;4570.597902639432;4921.960571149097;4134.511001246986;4463.324319519479;5386.558472223026;5052.048507200298;5915.122357858455;[-1465.1863514128963, -3077.643965845269, -2941.156291781623, -678.008366905508, 758.7177707317132, 506.43509736056876, 930.7814288509035, 2085.036998753014, 2035.653680480521, 2336.3135277769743, 2431.8564927997013, 2494.1826421415453];-1.5900370955986827;0.48859627053110105;8;352;-3.4490648539347544;-2.8697861692116478;-2.5711631253228306;False
1990-01_2019-02;2019-03_2020-02;AL;etanolhidratado;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;2393.0670349002703;0.3019966914019287;45.45454545454545;2.995411214235777;56841.6207003233;1.0280602138073784;11539.456612295086;5011.768467051677;6603.969252026147;4922.900971926691;4550.027279017447;5674.677442253603;5561.657199712786;5317.813246043225;5352.508237106264;5351.633614220504;4969.945998504756;4653.624257881739;[-4326.231612295085, 1365.9845329483223, -1919.068252026147, -1028.1809719266917, -269.0042790174466, -1729.2264422536027, -1106.681199712786, -155.34824604322512, 1070.4837628937366, 4411.675385779496, 3774.100001495244, 2057.9007421182605];-1.824314483802184;0.36845877940526706;5;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2018-02;2018-03_2019-02;AL;etanolhidratado;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;4607.384450982957;0.44375150121087703;63.63636363636363;46.51418935452617;73439.78690183892;0.9189081766699196;5809.994670432453;4233.5080634007045;3249.453576731658;4163.859009030005;3779.232191656336;2600.7094575416645;2559.2217240582886;3363.270947168584;3140.8024229901753;3390.683028137776;5447.191871038835;3270.1072440549274;[-1291.8326704324527, -899.6270634007046, -263.19157673165773, 736.0509909699949, 1102.5408083436641, 2902.939542458336, 5070.012275941712, 7175.059052831416, 7540.467577009826, 8378.122971862223, 4344.808128961165, 4346.100755945072];-1.9330397123767016;0.316681324109226;5;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2017-02;2017-03_2018-02;AL;etanolhidratado;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1604.9264042265984;0.26733201088573993;54.54545454545455;32.44301558378845;31779.84135745626;0.4955663071581206;2255.6332819918393;2297.2113821435228;2352.0965511651207;2226.359882076868;2236.9297501402425;2414.1705425971595;2276.358573770588;2252.3831544757395;2435.8935359668035;2358.4620675344995;2366.674664319151;2409.431788995734;[523.3667180081607, 57.28861785647723, 247.90344883487933, 36.14011792313204, -209.9297501402425, 365.3294574028405, 1474.436426229412, 604.2118455242603, 1711.8044640331968, 2521.3339324655008, 3358.5513356808488, 2699.198211004266];-1.7043244517035125;0.42888577791600735;5;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2016-02;2016-03_2017-02;AL;etanolhidratado;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1657.0014061239626;0.6611658682294016;54.54545454545455;-65.33688539781522;33101.15868117305;0.5358540401295707;4235.549069234819;4526.981199457825;4559.8048685138665;4355.7214699877795;4225.848722197913;3952.7267851807906;3782.003734616382;3804.764472711983;3384.9102828699897;3787.5478426734344;4321.707449535425;4124.499822598632;[-1773.5490692348194, -2232.982199457825, -1787.3048685138665, -1576.2214699877795, -2005.348722197913, -1410.2267851807906, -1339.0037346163822, -1238.7644727119832, -976.9102828699897, -1221.0478426734344, -2040.7074495354254, -1785.999822598632];-1.6270879364621977;0.46901536783708037;7;305;-3.451973573620699;-2.8710633193086648;-2.5718441306100512;False
1990-01_2015-02;2015-03_2016-02;AL;etanolhidratado;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;1709.229936972012;0.3175920474541824;45.45454545454545;29.453091387665115;40612.64447158054;0.8853795447903354;4067.664014079677;3304.199117710687;3468.539820415461;3570.913357956734;3086.863667816016;3061.477636753758;2750.170518766208;2927.7991589723333;3210.6084729353106;3137.329894627671;3555.868281604889;3436.616360781842;[881.3359859203229, 1930.800882289313, 1045.9601795845392, 954.5866420432658, 2159.636332183984, 1705.022363246242, 1510.3294812337922, 3310.7008410276667, 1704.8915270646894, 1978.670105372329, 260.88171839511097, -919.1163607818421];-1.5710898778932825;0.49809771548804094;7;293;-3.452867117291862;-2.8714554160827745;-2.5720532321867466;False
1990-01_2014-02;2014-03_2015-02;AL;etanolhidratado;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;744.6731280804624;0.13396150978103982;54.54545454545455;8.59008090688544;14702.784019152485;0.2085284061006197;2913.378618339959;2863.0415112470014;2893.8818452011587;2937.2843548723154;2852.7944978810433;2838.0513512412235;2835.367812270561;2787.0327657024036;2783.0740822638413;2877.7854828609143;2912.544757924395;2930.7384506621265;[-42.87861833995885, -78.04151124700138, -132.88184520115874, -457.28435487231536, -403.7944978810433, 95.94864875877647, -186.867812270561, -20.532765702403594, 353.4259177361587, 1013.7145171390857, 1177.955242075605, 1916.2615493378735];-1.463113143085615;0.5516734841405557;7;281;-3.4538376962008495;-2.8718811911083093;-2.5722803076202174;False
