train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;96090.22794730488;0.08637438663668717;36.36363636363637;3.149710648895913;2651396.4941953104;0.7130148786153353;904736.0685119933;853044.9213803719;802845.4312579444;778476.0884808311;786337.088614384;772358.2482886087;783205.6186739213;803569.5805213922;811417.1898903286;855280.5107670256;851381.913410989;853956.2498640405;[31.91348800668493, 11629.640619628131, 200877.39374205552, 112753.47051916888, 71217.8803856161, 106589.77871139126, 54583.11432607868, 23439.97647860786, -11984.193890328519, 12723.377232974395, -90716.59941098897, -170594.65986404056];-1.6977441986333157;0.43227510679895875;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;SP;gasolinac;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;139983.5277554219;0.14484512354399368;45.45454545454545;7.76963369760457;3315036.551838965;inf;937766.9352868232;888052.0917836901;873158.927053078;801501.2563154043;749904.303536382;700973.4463914601;701187.6618936434;700019.396334771;725266.843085315;772287.5430337341;745050.7773376524;758611.3007554607;[-148785.08628682315, -113046.37678369018, -39679.01505307795, -57295.9373154043, 29112.89946361794, 155553.19360853988, 134500.03910635656, 183133.34366522904, 149301.02791468508, 263101.66596626595, 104765.97466234758, 127315.71224453929];-1.6738019276456713;0.44465853365051417;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;186310.18428386023;0.19130456935769227;81.81818181818181;19.373455085702183;1482247.2364614813;2.0235600613194933;576162.0273923819;588954.4594442201;626132.5575870218;630140.3839870569;636376.2327893126;615629.2391378671;619982.7797884921;610113.6794141512;610921.880468522;660615.2561976686;619712.7357474375;645194.297858099;[-119.04839238186833, -57842.80644422001, 36788.893412978156, 78608.59501294314, 155955.74321068742, 176326.38086213288, 205850.71521150786, 246381.9175858487, 255587.14053147798, 353856.91880233143, 162144.42725256248, 174175.78914190107];-1.8864610131809922;0.33845683635902035;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;SP;gasolinac;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;109176.809428099;0.16913226001610263;72.72727272727273;-12.97722296733598;1297314.4038982724;0.36205976325606076;640209.7060381903;654139.8073940768;669673.5799063067;670954.358936651;681780.316106011;686619.1003661114;681485.5871553193;683079.8856642598;676133.7839433397;681350.9266902694;673896.6456698781;672241.4133264562;[-95892.4050381903, -217439.7283940768, -186053.22290630668, -134241.72893665102, -74529.49210601102, -94511.09436611133, -48672.70615531923, -10557.154664259753, -20524.046943339752, 79034.55230973067, -25621.028669878142, -98139.00432645623];-1.8479942390236945;0.3569074168852318;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;SP;gasolinac;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;40888.158942565366;0.049372499114556025;45.45454545454545;-2.6780948359726464;966607.6114500083;0.17447488558908106;648507.0899039727;661356.266912307;677676.1837806149;697787.9303787858;682120.8481557146;679068.6605685658;663446.3759323192;667875.2150566686;681476.5930984403;698602.4262429231;690477.1533993472;711612.0514632448;[11274.720096027362, 12556.082087693037, -19262.96078061487, -75814.74537878577, -18998.87615571462, 6280.866431434173, -18440.451932319207, 25770.532943331404, -18151.353098440333, 29151.265757076908, -62623.41339934722, -84574.5214632448];-1.8264040327281086;0.36743383870585966;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;SP;gasolinac;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;150855.37063461565;0.21300322352626588;36.36363636363637;-20.09822417716998;4170792.832011855;0.8155123864516441;832988.7931115286;840650.1840933168;862675.8032418494;853527.161334246;829243.3665750881;792700.3183520122;795549.8396934492;814934.8001788893;792153.6852523793;813184.8491589426;798553.35145235;827366.3419703676;[11252.636888471432, -64703.04609331675, -164056.06724184938, -145340.55533424602, -205753.24957508815, -105924.81335201219, -175300.53669344925, -186982.61517888925, -156438.27325237927, -85212.71415894257, -161632.85845235002, -208878.37297036755];-1.5670718536324084;0.500110064224613;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;SP;gasolinac;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;98725.51749346229;0.09672103083792188;54.54545454545455;-7.29372667250876;1947291.355287108;0.7755732094035304;909719.3394509741;878721.719441087;883003.0778962597;892135.9615656065;895003.9792082338;912205.6526018896;920958.6879213542;914458.6000626379;931572.4420478067;950905.183431487;940819.5815379213;904260.6513205686;[52974.26554902585, 7969.516558913048, 28969.231103740283, 1753.1274343935074, -27639.93620823382, -35865.14960188954, -100902.29692135425, -89750.28906263795, -140740.45904780668, -71497.7094314869, -192402.05353792128, -176135.30432056868];-1.0557111162241697;0.7324069736713624;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;95481.66799839189;0.07958116837453276;72.72727272727273;8.516012952220418;1130875.979162583;1.684257706948647;767625.6221675125;775717.7928200957;772298.5995410763;758981.5677659492;755447.3815442501;763576.3444675471;760679.2141244998;785648.201716619;784159.6339926082;810765.9320104348;790877.4322518831;785868.4056639792;[130546.12283248745, 82950.65217990428, 2574.2324589237105, 4763.378234050819, 700.3874557499075, 29328.922532452852, 22834.446875500144, 67247.611283381, 129466.00700739177, 214973.27498956525, 83155.51574811689, 98257.03333602077];-1.3453554416758746;0.6081753450177612;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;91809.6318434258;0.11032736026573292;63.63636363636363;-10.78047690494474;1450014.563068511;1.230748488454405;914841.4269905464;892003.5948585735;885655.8512860315;840351.1871732011;844585.5061678297;832382.9417820825;844467.0869708552;893296.7059736538;871744.5367668496;911167.3154983156;836581.3365743546;850152.1585685853;[-131080.99899054645, -97739.77485857357, -123397.08728603157, -70798.65717320109, -81966.56016782974, -85121.48178208258, -100533.07497085526, -95688.86897365376, -113251.37676684954, 2339.314501684392, -84022.57657435455, -32479.786568585318];-1.2035016777992436;0.6720875674694381;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;SP;gasolinac;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;67549.83999836496;0.062359112048539556;54.54545454545455;3.232427442629869;1331367.8971324419;0.5844200639623778;906748.5842674363;906525.5268582279;913575.1793028496;882663.0264171382;861529.9789448504;844236.0992858167;842627.2359983561;856405.6103806418;848614.9849207426;863918.0582078453;836722.9115689159;836260.3101626941;[-3599.8782674362883, 50249.12614177214, 29169.924697150476, -30067.137417138205, 18366.09005514963, 68843.92871418339, 70958.0220016439, 108714.76661935821, -3102.157920742524, 107371.13979215466, 50622.82543108403, -120130.44116269413];-0.846717576909331;0.8050126480408343;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
