train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2317.0229608726013;0.060246735469316366;90.9090909090909;5.225987910320528;9181.595210650525;1.6789730700713272;33427.243431111805;31231.851594231197;32392.259601811216;29923.96220734703;30703.54934414385;32073.401441391834;30898.294352687815;30893.07081197293;29605.509948349016;29730.465033243414;28364.38013753995;29407.319859322943;[2056.756568888195, -1490.3525942311971, 803.558398188783, 2640.537792652969, 1602.6506558561523, 4030.201558608169, 3206.405647312182, 3178.7291880270714, 2354.190051650985, 2334.534966756586, 16.61986246005108, -405.81985932294265];-3.8333628877779145;0.002583832136313488;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
1990-01_2022-02;2022-03_2023-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2454.7862879739773;0.06292605304239778;63.63636363636363;1.5608288302834505;38720.738055649934;inf;31690.777399689672;30207.30112698401;32288.31457393528;32374.85068814541;34150.2086536333;34802.5702948159;34400.1796099846;34533.36088907244;32818.16982170445;32454.101123762975;30506.42388169426;30912.000772657004;[4046.722600310328, 2532.69887301599, 4195.305426064722, 1939.1493118545914, -866.2086536333009, 1662.7357051840954, 74.8203900153967, -364.36088907244266, -1627.6698217044468, 878.0298762370257, -3981.4238816942598, -2288.000772657004];-2.5876507521198393;0.09557656167941664;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3258.443121589093;0.09248869675528572;90.9090909090909;9.230262248076452;12957.65402619792;1.5975280624308987;26422.92091610434;25200.13429821985;27151.49328719565;28569.55160027988;31444.784457775353;31969.50406108496;31948.88229920262;32615.276506854654;29640.950374429955;29473.797246489154;27683.419862148923;28316.01310178333;[6243.34808389566, 4826.865701780149, 3124.3067128043476, 2818.7933997201217, 2071.215542224647, 3215.4949389150424, 2275.1177007973783, 2098.223493145346, 1659.9266255700459, 3520.102753510848, 1213.5801378510769, 2568.5018982166694];-2.670881790138611;0.0792139408702694;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4036.392456483351;0.11592221244209842;72.72727272727273;-8.433124887796744;47871.50261714798;0.6756720703982884;32483.30228323069;32411.827156801468;32716.15689711251;31406.171438540234;32520.819767300654;33086.42180065182;32001.4387922004;32196.249831261382;30411.444565584705;29295.714691330897;28360.782658018885;28810.682664177526;[-3277.3022832306888, -9548.445156801467, -6978.656897112509, -3931.671438540234, -2421.3197673006543, -1782.3218006518218, -828.4387922003989, 879.7501687386175, -1433.6615655847054, 2891.285308669103, 127.93434198111572, -2916.392664177525];-2.552364211320245;0.10324761099962187;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1010.590935037369;0.0254366373015364;90.9090909090909;-0.8451680166285225;3989.40127311503;0.32194119240802005;31316.871393800964;31195.664984714673;32069.286286265018;31236.760454472278;32406.083547982562;34448.030495474624;32994.39104576335;33823.92490732721;31644.07541827827;30103.341268520748;29641.341162702505;30077.259975118264;[-1634.3713938009641, -414.23598471467267, -123.78628626501813, -1723.760454472278, -62.08354798256187, -137.03049547462433, -987.8910457633465, 719.5750926727924, 517.4245817217306, 1785.0177314792527, -1204.3411627025052, 72.74002488173574];-2.518235330705681;0.11110027905061698;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2277.8574701124726;0.06229164136164442;63.63636363636363;-0.8952228836238502;35929.375021780004;0.7593036781680758;27764.95549260589;28135.764747455374;29910.792061195807;29880.50313145228;31060.10550478608;32822.86394685441;32777.01555104112;33677.583805344075;32816.65096511896;32010.61763314899;31351.538331818003;31467.564926620973;[4608.115507394108, 2178.9312525446257, -364.04706119580806, 1090.4968685477215, -638.6055047860791, 1290.1360531455866, -1118.1015510411198, 515.2341946559245, -2208.6809651189615, -2420.9266331489926, -3870.038331818003, -2378.064926620973];-2.5050957828876244;0.11423938384240995;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3508.4378873662326;0.10398074753686683;63.63636363636363;-7.703920818764841;55403.17441632389;0.9084514159107062;29269.110826356075;29902.61120518482;31623.71077422734;31418.064869419042;32103.600617394775;33604.601843295066;33862.1033931965;33891.32003121132;33246.697751611784;32394.304351803552;31608.512293749372;32751.009282909876;[4247.552183643922, -1540.921265184821, -189.7677642273411, -949.1730894190405, -2942.9019873947764, -1059.3552132950645, -3408.4921431964976, -2864.9700212113203, -3867.346981611783, -3258.488581803551, -4850.096293749371, -6902.914282909875];-2.3950773453669205;0.14313061472944794;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4282.352459156698;0.12524091239447893;45.45454545454545;-12.16328521036015;101379.53983672791;2.559130557015369;34146.18368504038;34662.197311626725;35489.83911214416;35482.299723822776;36451.436641287364;38112.67301674943;39612.056275128365;38332.626695584346;35440.16496009326;34165.467221985135;32438.141139001076;33735.38196533431;[205.0163149596192, -2161.347311626727, -2977.73111214416, -2719.0997238227756, -4667.786641287363, -3922.257016749434, -6257.069275128364, -5650.5946955843465, -4656.364960093259, -2582.438221985136, -4609.606889001076, -6421.60456533431];-1.5847905859373796;0.4912290584010052;11;301;-3.452263435801039;-2.871190526189069;-2.571911967527952;False
1990-01_2015-02;2015-03_2016-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1952.1868502473772;0.045228985408858696;45.45454545454545;0.15761255280642775;46147.75780745853;0.4555941024339354;37824.72056295615;38023.84929030741;37649.287100523296;36876.974293631916;37522.459771912574;38347.17420087939;38739.152279937625;38103.704161334266;35389.95931058035;34040.99068880854;32894.024705626114;33098.38915226049;[-546.152292956147, -1547.848290307411, -856.2621005232941, 32.35770636808593, 2127.3477280874285, 900.481349120615, 1339.1026500623775, 2501.535178665734, -383.69175058035034, 2981.532621191458, -4096.974705626115, -1759.1891522604892];-1.3736459417433373;0.5948433610924868;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2780.6740768590325;0.06344583029852528;54.54545454545455;2.65672881684876;54807.968858964115;0.6064519665907722;38415.943100640725;38790.01524573291;38052.266653065926;36731.77175675526;37274.81384916734;37170.313966078946;36498.222687680834;36343.65983921857;34212.55778167082;32923.48535908071;32250.131191458728;32666.197658050984;[-2773.0001006407256, -1941.1102457329107, 950.7333469340738, -2942.4497567552608, 233.36315083266527, 1315.0890339210528, 4377.2773123191655, 5380.602160781433, 2027.342218329184, 2673.0106409192886, 3180.1419785412727, -708.9976580509829];-1.257249548207602;0.6484968526887835;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
