train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;gasolinac;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;5789.440925319432;0.06728288201531339;81.81818181818181;-0.40685769901233837;45749.22777063549;0.469128706512403;74602.88251509932;64623.00239943436;64817.67317676617;60285.100447609075;66745.86637940392;68612.09770972822;65823.1329632509;66121.98305043914;67553.3264682091;68668.51237021548;63597.76350284138;66216.42217925175;[-3049.9825150993274, 3690.7476005656426, 10607.090823233826, 6803.969552390932, 740.0866205960774, 22.401290271780454, -1419.1919632509016, -797.4620504391423, -5358.476468209097, 2200.9376297845156, -3606.26950284138, -13066.073179251747];0.044884878647681536;0.9620903292593654;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;10948.13381835062;0.12976723574864202;72.72727272727273;13.583052721993436;129908.01769389411;inf;55905.32107677823;57824.682400593316;56585.83975366554;53151.13679695846;56284.80782092322;61808.54396548594;55433.28883341815;58577.24151165859;55136.607391823585;61709.00428729061;55158.74786255735;56485.78135771482;[1788.6279232217712, -868.0324005933144, 2504.7102463344636, 1773.5602030415394, 8746.373179076778, 8664.54103451407, 15407.941166581848, 12933.658488341403, 13248.417608176409, 21119.355712709388, 11693.201137442644, 10508.64664228518];-0.5442359931578035;0.8830912776158442;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;4301.714089313514;0.05186624740207924;90.9090909090909;-0.4222489420994501;17030.422907217737;0.33280912485721553;55624.86115108773;52949.13719248682;63294.62631616396;53515.8343671446;57970.57795754913;58092.43558760037;59800.710910592024;59915.91078257814;54511.662305252474;64092.32886414259;55121.15772516124;54163.86152712224;[-1884.2111510877294, -4611.164192486824, -10640.176316163961, -1856.489367144597, 180.6720424508676, 452.6364123996318, 311.4200894079768, 464.33921742186067, 5330.635694747529, 6854.071135857404, 380.8922748387631, 2120.08847287776];-0.8260309548024148;0.811355843096332;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;MS;gasolinac;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;9543.84500007712;0.15660864043595793;45.45454545454545;-14.791899775765598;226065.77946730403;0.873487358428828;66421.53851186496;65449.08482070882;63460.79478832789;62928.94736186555;64931.295178454966;65935.41356891544;65261.69041988583;64788.554456568745;63379.39967945744;69086.27603717039;62631.31219724517;62804.78418542115;[-11198.488511864954, -15654.984820708822, -10154.210788327888, -8438.197361865547, -7825.295178454966, -11620.163568915435, -6099.104419885829, -457.854456568748, -3992.8996794574414, -1277.5480371703889, -8326.462197245171, -15087.95418542115];0.15714326037028375;0.9697528187778068;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;MS;gasolinac;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;4909.527126853688;0.06599970607739535;63.63636363636363;6.271265685137638;77446.35104527678;0.8612289069947026;59228.10010503154;60985.837397369236;61249.56193297686;59155.140084173385;58676.46211624786;61090.40497570741;62311.85927209986;62038.46518022954;58017.84973755454;64567.81725705763;57820.52727408128;57427.60226449065;[4317.824894968464, 4167.426602630767, 1179.1180670231406, -1796.340084173382, 4249.087883752145, 4148.34502429259, 1452.6407279001432, 6437.384819770465, 8379.12426244546, 8020.982742942375, 5461.685725918724, 2328.897735509352];0.18052754198523385;0.9711480503173693;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;MS;gasolinac;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;4716.370097382624;0.06802626463947976;90.9090909090909;-4.208065558745505;18705.08665215914;0.46176921518658776;62721.08247974741;62495.578243217824;62774.019249854246;60809.24377251537;62813.721617632604;62959.17433851908;62897.00199653225;64275.764849772284;61572.7724827035;65589.124350132;61405.395250103065;59603.37295586945;[4131.1505202525805, 649.8377567821735, -5789.681249854242, -7934.133772515372, -6922.431617632603, -3751.044338519081, -7455.39399653225, -3908.653849772287, -2340.9024827034955, 3776.259649868007, -600.4342501030624, -137.22595586944954];0.36182746679212935;0.9800099115359602;11;325;-3.450632157720528;-2.870474482366864;-2.5715301325443787;False
1990-01_2017-02;2017-03_2018-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;3327.766781402954;0.045920586269432545;54.54545454545455;0.9744564352968567;65565.49585613047;0.3507753066236886;64516.71224598649;63930.30549319564;60909.78492429758;60172.62588412332;61835.11050498632;64264.56785016598;61811.26017687324;63716.50505925981;61052.08386604961;65308.10437956563;61081.147603599005;62179.48369445781;[3514.106754013512, -868.4254931956457, 3826.0380757024177, 4109.224115876677, 4056.715495013683, -1566.8078501659766, 2454.118823126759, -1127.2000592598124, 201.96213395039376, 2724.4976204343693, -3351.359603599005, -6584.875694457813];1.2231451927907644;0.9961419576652568;11;313;-3.4514162625887037;-2.8708187088091406;-2.5717136883095675;False
1990-01_2016-02;2016-03_2017-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;7632.22512971569;0.10988877069246543;72.72727272727273;11.184748824253491;90496.74798964;1.226700402382077;56502.27692647582;54858.612159186414;57541.58470916307;53878.919248673716;54260.78930701487;56441.347278482004;57655.35210715728;56500.93773893334;53618.53475267366;57870.342929487575;53544.517012553195;54180.61700870676;[6792.17307352418, 7517.187840813589, 1094.1042908369272, 3880.930751326283, 6737.060692985127, 6370.202721517999, 6135.397892842717, 7603.652261066658, 9457.20524732634, 14333.907070512425, 8607.341987446802, 5449.572991293244];0.34744946844811153;0.979419723776103;2;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2015-02;2015-03_2016-02;MS;gasolinac;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;5172.055078837648;0.08715461320055173;63.63636363636363;-7.497657255996246;81635.30785335967;0.46315787489994303;61851.84301362797;59704.13883570838;58914.111481087835;58791.07310219823;59387.42728485853;61065.87917641138;59852.24003475836;61112.77804621349;57308.57331353586;62033.31614465973;57855.43291886357;60173.36253791333;[-8320.47901362797, -5522.638835708378, -6441.861481087835, -5930.72310219823, -3805.7272848585344, -7740.767176411377, -5483.170034758361, -2618.2280462134877, -2596.4443135358597, 3585.367855340264, -2355.4329188635675, -2851.86253791333];0.27676065588939036;0.9762527935670469;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2014-02;2014-03_2015-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;6409.444265098848;0.09130970181221208;81.81818181818181;6.917410429721841;50715.42404403101;0.8150435272908194;59375.48402780522;55908.16979644318;55035.508335147824;54852.05705022352;55438.54692862762;56399.98416180536;55546.99340638748;56154.97996243065;53834.70932182936;58505.20764616841;54129.49634747786;53576.40489045484;[-2281.6840278052186, 5271.130203556822, 4206.043664852179, 250.8929497764766, 3444.0530713723783, 5336.3938381946355, 8501.156593612519, 11809.820037569356, 2866.940678170642, 9392.992353831585, 7280.253652522137, -6379.435890454843];0.8523014840097094;0.9924351811711805;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
