train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;16246.801425783602;0.12128568552971843;18.181818181818183;9.941298806319685;576454.2998785188;1.2007300802391452;106762.1941216022;108935.57988959274;107287.6970743046;106364.78631944515;108762.35370672368;106053.98008333673;107826.22850711463;107172.46104801277;104527.64781162069;106769.45588943362;106244.33631516031;104581.49203000321;[12317.6228783978, -16867.244749592748, 22723.571025695404, 25320.66118055486, 19516.653493276317, 27013.757216663274, 7394.43269288537, 8778.848751987229, 10108.636588379319, 6942.218010566372, 11887.381084839682, 6300.866669996787];-2.6687101298663425;0.07961104297029925;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;MG;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;6627.305723725278;0.04594115709560182;36.36363636363637;1.3642015590878795;182750.8572821293;inf;104098.2631848899;104750.50325720792;111041.10321108466;107569.45692796001;104742.50196685018;100837.31023170114;105487.43260300168;111627.25885125362;102069.99219207703;102876.90257771689;106900.96362934628;102110.34787642083;[4320.354615110104, -10303.274997207918, -1450.742711084662, 1002.1698720399872, 5339.599433149822, 15835.747768298868, 1134.974996998324, -6711.217151253615, 2917.7071079229645, 7717.8619222831185, 11.21757065372367, -2330.85149642083];-2.625587555219214;0.08782330956052076;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;MG;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;8886.633928111667;0.07718894741328762;45.45454545454545;-4.937923583172211;210191.14094050037;1.2449042638003938;108697.56055528701;109967.59168206906;113290.2223060126;114197.55643476546;110950.43057160516;107062.86834426194;111912.04938390906;111107.90813562306;107454.02053412508;107455.05471213622;112869.51453185172;107380.0215692118;[5895.729344712992, -5480.441282069063, -10163.093706012602, -1748.3897347654565, 6268.567628394841, 3988.2421557380585, -11387.23058390907, -11184.919005623058, -8318.681764125082, -2814.9406121362117, -16586.161271851714, -10692.492579211801];-2.6625305264344727;0.08074955929876482;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;MG;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;6840.294519518215;0.05044866378208402;45.45454545454545;0.9115927174514211;161710.67599040447;1.1432202246852612;105675.49697535085;109909.05620664383;111021.47878410667;111759.26546944823;109566.35012683751;106732.70398333685;110329.71647627458;108906.03553296321;107016.90797679592;107999.40068721819;109633.08469791172;108495.9803603459;[12294.472224649158, 3094.8223933561676, -2272.884584106665, 1874.7907305517729, 11556.521273162492, 8538.04961666315, -3381.9646762745833, -542.0264329632191, -4510.907976795919, 2089.7134127818135, -6184.1299979117175, -10531.909710345906];-2.5974030767263616;0.0935351874215512;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;MG;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;6947.375808060917;0.053414537332646415;72.72727272727273;-2.659303421510151;82205.91702738422;1.3701998740342873;103747.4054184735;112362.84649542521;118886.41581248402;115778.6208699969;112586.13282625584;109978.00467519804;111202.57855208863;114144.76429349555;106518.969411027;108339.75756344612;114234.98322436203;109922.05578971865;[451.33738152650767, -4539.922595425218, -6039.584312484018, -9133.466869996904, 9092.445073744166, 5960.812324801955, -5176.933652088628, -1585.3204934955575, -1607.3625110270077, 1622.5033365538693, -13426.785724362038, -10269.787669718658];-2.5298628733115356;0.10837638695838814;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;MG;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;12305.416043286126;0.092772674152719;27.272727272727273;-4.333403674750767;388017.3570010007;1.3816880312650859;108648.23644706828;119932.41361878127;120735.30138097839;115273.27339744894;116173.34409767491;112848.29605968349;118082.07979964338;119807.65805995672;113411.34621251644;110551.77494792965;113773.84400130415;116611.97411743959;[706.893952931714, -10020.227018781268, -23718.169130978393, 20966.541802551073, -2295.1103976749146, 10528.359740316504, -9580.009099643386, -10360.21055995673, -2392.549112516441, -5030.262247929641, -10004.04510130416, -16361.354517439584];-2.227857100029451;0.19629071080197774;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MG;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;11099.480762102936;0.08278272411831993;36.36363636363637;-3.9044433312541926;306250.2716895044;1.0709155124501668;113906.31734217638;121952.7459495148;121659.02973171658;122071.57996179056;119451.5987931575;117198.07116536367;116914.36380994353;124586.72076361926;118061.47117952471;116466.29201100624;121018.33600156297;119181.9847782968;[10302.08335782362, -17075.3781495148, 132.42316828342155, 990.1346382094489, 5762.236306842504, 10623.068534636332, -1705.7744099435367, -15830.434863619259, -6454.002279524706, -5829.762211006237, -16684.064301562976, -18058.7583782968];-2.110977680142575;0.2401233942586566;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MG;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;10908.995701103288;0.08102870518024753;9.090909090909092;1.2564959147870483;429816.28438232635;0.7643384803068745;111480.28276696103;120740.20619315254;117600.07416807275;118236.77692300882;119362.32702809574;112419.13840370423;114484.53427862911;120944.84928852269;114961.61839674016;113066.98011156516;121914.82622828067;113626.73647674608;[7569.557833038969, -8444.881893152546, 2805.090731927252, 8556.30817699118, 6267.937471904268, 18704.841696295756, 3867.98022137089, -6680.6680885226815, 4045.1914032598434, 13426.757188434829, -21196.851628280667, -11121.260076746083];-2.22666779535984;0.1967093280094362;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;MG;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;8071.693766998449;0.05475769327306459;45.45454545454545;1.1654418486053248;190837.00272886213;0.6843576391441334;111405.90815295163;116113.06101384769;115319.17965481975;116148.63012396074;116079.8773538628;108091.99691133233;117848.13361559527;116899.51889810279;111813.92770368795;112340.62373081216;124522.27258351837;111556.17319674;[3118.5429470483796, -1905.0791138476925, 3180.1210451802617, 6409.103576039255, 11367.696946137192, 15656.620888667676, -4282.644515595268, -3890.8648981027945, -4484.291803687956, 6989.215069187834, -15502.455583518371, -405.1586967399926];-2.232114490576021;0.19479685099327637;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;MG;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;7382.859448534132;0.047622392611866314;63.63636363636363;0.9655345629576141;116402.88045689998;0.6760990306223197;108216.92979977392;115214.93724317905;116750.17149185053;112627.66283964622;114484.59750805142;111489.16201361605;115753.04356684962;113566.2781179859;107350.22992545967;113481.06558004611;118489.90892891945;111259.76262741505;[622.2423002260766, -4538.401043179052, 1751.518708149466, 1599.2791603537771, 13131.23579194858, 11764.761886383945, 100.36583315038297, 2753.9410820141056, 1288.9403745403251, 6380.526819953884, -14879.02672891946, -6728.923827415056];-2.1457450862792977;0.22652231505792114;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
