train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1900.300063590387;0.04501279777300646;36.36363636363637;3.8146843382846054;52401.719803448184;1.1777213270162357;34322.97124332126;33517.814925489096;32166.34168781789;33454.84596706253;32423.252750856132;32240.28500783582;32660.684852403207;33059.67528043412;32468.771919076662;31950.909346531058;31710.154352900307;32175.562255411274;[1113.083106678736, -1209.3910154890946, 2802.7235321821063, 936.6232329374689, 517.8414491438671, 2435.457742164177, -336.01637240320633, 524.5928395658775, 350.89112092333744, 3182.6776134689426, 3442.0594170996956, 1792.073614588724];-0.6511854723177087;0.8589918264201445;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PA;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1508.5907208513138;0.03708898081456196;36.36363636363637;-0.6958908913739187;41595.0009539014;inf;34702.87818790272;33050.744234886944;33208.63792438681;34032.89846047846;32282.085774799292;31460.28178622251;33101.473206258364;33474.48466462665;32781.20334007638;31815.850494866823;32669.07684509533;32833.98900227342;[-1146.273117902725, -950.7514848869432, -1.8045943868055474, -1141.2716504784548, -1066.2198347992926, 2819.4247337774905, -1008.2014662583642, -1031.093364626653, 442.04665992361697, 2675.9158051331797, -29.32503509532762, -2295.0777722734165];-0.9461441034951533;0.7723971178792162;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PA;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;1293.3854718459402;0.03394857994382834;63.63636363636363;-1.3096233990444905;20385.08708768747;0.8385742992432984;36010.775660726846;33785.56981220012;32921.86744450001;33534.61719474679;33009.23803602618;32262.95738980179;33455.87860794439;33862.11924980551;32849.45452665616;32042.078720513255;32460.54253522962;32617.0900789402;[-78.63254072684504, 261.1946777998819, -690.8982445000074, 290.3067152532094, 758.9177639738191, 748.5172501982088, -2195.240927944389, -1592.4489598055115, -1920.5106866561619, 1902.2781594867447, -1038.3957952296187, -1600.5085589402006];-0.5291700648779912;0.8861973620915252;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PA;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;2456.269295719031;0.06269964395669249;27.272727272727273;6.393209270403734;77421.08373689406;1.640130512409882;31576.803563624104;31717.87127943712;31009.73082222505;31448.81285087441;30697.458288368114;31059.385427820092;31510.682064557677;32100.54584141919;30802.89250579042;30514.949060641477;30134.307059762694;30585.11814122323;[3219.1837563758963, 1696.567130562882, 3148.013747774952, 2439.3646891255885, 3528.456571631883, 753.3247121799068, 84.80163544232346, 2472.374448580813, 1243.4680042095788, 4316.319059358524, 1859.4447502373077, 724.8746087767722];-0.7650105007327622;0.82918457619948;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PA;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1595.6260265217277;0.04087447803014328;18.181818181818183;0.053661320609345094;56560.026026989406;0.7359926301868845;32508.550584050343;31389.611888405165;30720.381478535175;31483.11058913471;29883.183936956862;31038.02649861244;31616.15405446948;32115.282729941693;30849.639957694024;29766.564256635273;30778.03256509769;30977.27643995722;[-1515.3658040503433, 702.3663715948351, 1600.4409814648243, -1928.3895791347095, 2059.0225830431373, 45.38473138756308, -1911.1051444694785, -182.0091799416914, -601.9515476940251, 3350.0371933647293, -14.485465097688575, -1403.6133999572194];-0.8852333317397065;0.7927963901899758;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PA;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1153.4256135094608;0.03163118276225464;72.72727272727273;-1.5819183436716515;13637.47916660361;0.6287213992958508;33296.58520556063;32207.294563811472;31982.317460468832;32216.3607529584;30965.12519161587;30948.84724869459;31762.47252912984;32718.56289913411;31430.528921547084;30778.04976726262;31031.95904276945;30841.577977866957;[-812.2953455606294, -136.40688381147265, -1425.3917404688327, 729.1845370416013, -228.55273161586956, 1373.7125313054094, -1938.5576691298374, -1066.584639134111, -1070.614061547083, 300.9429827373824, 460.9014672305493, -2106.8134878669553];-0.6939753350384467;0.8483038961816938;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PA;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;1580.3462198791167;0.04698535881818439;72.72727272727273;-0.08808995975873135;18695.707055322564;1.0668549041165758;32401.718764941757;31942.58926339232;32288.90285980119;32246.623013417462;29840.232246964722;30803.428003021036;32388.74705712293;32679.910397661228;32495.625169956646;31073.13184150054;30211.07361919014;31220.884117467183;[2363.502425058239, -1400.9461433923207, 1364.7565601988135, -1122.3350634174603, 1212.8873230352765, 2212.2076269789613, -1504.0052671229314, -1075.9845676612276, -2241.061439956644, 533.048468499459, 1072.4372508098568, -1748.596077467184];-0.7271863438373178;0.8395814417453423;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PA;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;1690.4924313947445;0.04824719126980683;63.63636363636363;-2.0281461688278712;26654.429421205088;1.083555241510927;32716.33137240423;31417.406817853418;33015.581072973626;32531.74719838032;30964.812545629804;31355.703571301645;32073.69854778197;32410.897094166517;31760.216991605383;32073.87807610903;31485.311036011004;32037.990332389283;[591.8316675957685, 704.4663721465804, -1602.2567929736251, -1022.4156783803192, -807.192975629805, 1840.2221486983544, -1210.573547781969, -1463.4387641665162, -2170.6898216053814, 1993.8628638909722, -928.8671960110041, -3555.106272389283];-0.4863464055674341;0.8946534769383675;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PA;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;1372.7173113337428;0.03620008981032447;54.54545454545455;-2.479704556129543;27040.59507086368;0.7489486919695454;34111.34368335243;32180.515080888097;32273.824904172416;32770.57742680786;32028.716716781215;32137.405556920417;32632.883871539358;32689.93664165682;32081.484201494448;32417.139211887115;31831.437876645105;32346.547512756246;[-1558.1244833524324, 508.2475991119027, -880.625624172415, -218.30387680785861, 631.3032132187836, -480.8240369204177, -1893.501621539359, -76.78265165682024, -2538.6726114944468, 858.2321681128815, -2422.899836645105, -1352.8355527562453];0.7771625172037344;0.9912584399636349;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PA;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;2124.696783607936;0.047719693849647506;36.36363636363637;4.541855218660131;58591.9895371488;1.1310932732430246;31642.775940419036;30613.29514186893;30181.70503970807;30530.754142858917;30258.64632554812;30486.299410668664;30800.20011810415;30758.927157866547;30240.995813984042;29706.436533998443;30104.803898010192;30089.096062685585;[23.963189580965263, 945.8189881310718, 2660.1790202919256, -419.73784285891816, 2974.110924451881, 659.6281293313368, 1050.1096618958509, 3088.3228421334534, -344.392553984042, 4668.59788600156, 2046.3935619898075, 33.235457314414816];0.7399436442651427;0.9906022149871271;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
