train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;oleodiesel;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;5026.698430213273;0.041683533320479325;54.54545454545455;0.4794864981769302;99029.01658857436;1.034542874196761;109968.62542633602;100102.0407195038;102646.5476298768;104128.82066690277;105503.69169660048;106140.95894221844;114197.69544888915;107633.44991155426;108208.42702613737;102963.59027173802;97502.53372017547;97324.62404675031;[10028.374573663983, -2475.6407195038046, 4415.2523701231985, 2519.8793330972258, 1648.708303399515, 4804.6410577815695, -3559.6954488891497, 5996.050088445743, -1265.827026137369, -7095.490271738017, -5917.833720175477, -3045.5060467503063];1.4902736717369498;0.9974880199193018;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;TO;oleodiesel;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;8268.831687935164;0.06462134286617337;63.63636363636363;3.575200935858753;130432.72758390117;inf;110005.47823295409;95980.88847888302;97047.38707670585;98557.19744993628;101200.5253036778;100695.4216755343;112867.68175563538;104539.70020946334;102719.48069739978;99246.65849681941;93583.85800377357;92788.80786879486;[-5281.8782329540845, 470.91152111698466, 8088.912923294149, 7970.902550063722, 13097.930696322204, 15754.978324465701, -1087.981755635381, 9225.599790536668, 157.71930260022054, -6257.658496819407, -6218.658003773569, 8914.692131205142];1.5825928989408826;0.9978044018465035;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;TO;oleodiesel;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;10516.268116382627;0.09151059764754714;36.36363636363637;6.825421504982021;290198.7195200933;1.9388877039772685;104385.88061667675;89099.69057201865;92039.24150665157;93830.7306918886;93582.21000100767;97062.84292918984;102011.26526208589;94625.2415486823;96202.28451774147;97382.3767817575;89011.48540290692;83646.55968553523;[7767.689383323261, 9788.059427981352, 8393.258493348432, 8713.969308111395, 18352.689998992326, 11435.657070810164, -1000.1652620858804, 13221.858451317705, 3404.615482258523, -6021.976781757505, -7646.0854029069305, 16578.54031446477];1.370250373548901;0.9969747132404372;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;TO;oleodiesel;ARIMA;{'n_estimators': 150, 'random_state': 42};36;12;11527.939710677303;0.09089335193960335;63.63636363636363;8.547416757973703;181973.1228951002;0.937644899822483;92435.98565662043;82999.74511456498;84038.34424822895;87551.0876014501;87106.41895530128;87160.47032078852;93257.73540494136;87923.88243231282;89608.5667821918;88100.0640094929;78081.71806718929;81852.26545944833;[-836.61565662043, -5287.645114564977, 2388.3557517710433, 6734.552398549902, 20191.331044698716, 16509.34967921149, 10767.414595058639, 23570.487567687174, 10302.503217808204, 3211.0559905070986, 4580.051932810718, 5081.364540551673];0.8942700986203901;0.9930150921135221;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;TO;oleodiesel;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;8555.783864607816;0.08174888022436695;45.45454545454545;3.6557256258157103;202382.7776697524;0.38889054711792903;92055.8519024929;75673.3239097909;81228.42634247047;80954.77841650863;87445.84222572067;82381.08707039118;90496.34208428607;83222.59931874738;85180.95956507928;85282.78914999093;81079.6885388805;71518.44550945888;[-9352.481902492902, 6166.5080902090995, 5373.993657529529, -327.3884165086347, 3281.5377742793353, 12553.842929608814, -415.1820842860616, 15210.580681252613, 4650.64043492073, -7561.079149990925, -6164.328538880494, 14395.714490541126];0.9097385186466368;0.9932161096025971;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;TO;oleodiesel;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;8712.52303027776;0.0976157384170988;81.81818181818181;5.740447892448737;68962.36666938743;0.35032807909205116;77682.32969055626;76697.2281944466;75806.15940428757;76763.56378415691;79970.77313059926;79985.00010397821;79427.87757078897;80327.87171844458;79503.6898321769;80372.81340871997;69951.37041568052;71624.76381907424;[11194.040309443735, 7705.5468055534, -14706.184404287567, 11140.366215843082, 3595.505869400731, 8868.519896021797, 2619.9934292110265, 10087.648281555419, 8376.303167823105, -4227.461408719973, 2248.309584319475, 9619.926180925759];0.45072731529513893;0.9832959971657785;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;TO;oleodiesel;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;9034.661847041047;0.0958067903483225;54.54545454545455;9.835469163832716;178200.48173614143;0.2910925645565059;67208.68255361388;69004.67823565133;70212.8832791275;69016.61062595491;71278.76925852205;71186.66856798582;73191.4790530308;78709.51072094106;74438.8504555714;68700.5461096196;64475.65396968757;65951.54379149404;[19014.191996386115, 2769.9245043486735, 7870.738270872491, 8109.139384045091, 8894.912571477951, 13285.473262014173, 7171.345046969203, 5204.528829058938, 9639.384194428596, 5934.7635403804015, 4489.585030312432, -385.5327914940426];-0.1952910289891013;0.9390805914877665;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;TO;oleodiesel;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;6554.968173261842;0.08103708941264655;36.36363636363637;-5.70641663087484;180856.71430116892;0.15907840369442752;72490.46776964556;69261.42541483667;75110.90298491021;71659.24489225539;75328.29245977337;74392.24109627925;81149.3643867245;79337.55579912658;75017.85759072978;74149.87769065546;69863.93538107125;68954.88678076409;[5521.012230354434, 2894.1745851633314, -3407.552984910202, 677.0551077446144, -4152.94245977336, -296.5410962792521, -12928.014386724491, -9099.855799126584, -5366.057590729775, -5389.467690655452, -9948.316281071246, -6371.6495007640915];0.5952498486354911;0.9874979590193739;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;TO;oleodiesel;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;5089.064276759551;0.057564253908824935;63.63636363636363;-2.334749603496;80259.73750960597;0.12820132360283318;74812.15321130824;71608.71718567457;74989.22064519287;75590.25198234408;75891.27727982673;76251.35832243174;82327.43331045081;78381.17099245425;75990.4761254424;76466.85941088639;69571.81330734579;70619.72165677507;[2133.5271686917695, 4978.78281432543, -3257.520645192868, -955.5739823440817, 590.732730173273, -1874.7239424317377, -5720.975180450812, 5857.36722754575, -1500.772985442396, -3159.089910886396, -12743.313307345787, -4938.8316567750735];1.318788887314142;0.9967120918378447;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;TO;oleodiesel;ARIMA;{'n_estimators': 100, 'random_state': 42};36;12;6055.690649281085;0.06151470347592225;63.63636363636363;4.97872420462921;95514.67080966358;0.16708012411708828;74253.1018645439;69173.89949420033;70493.08024672481;71468.00198191607;72315.28075748727;74318.46834345908;75617.64470716692;74338.36452003763;73778.69829304946;73241.61007097556;66985.77204926105;64134.91007380717;[-3511.3288645439025, 3809.150505799669, 5322.130753275182, 840.9280180839269, 8424.272242512729, 5261.641656540916, 6857.205292833081, 14264.685479962369, 4440.951706950538, 2458.0899290244415, -57.67590926105913, -3043.360073807169];2.062634413384323;0.9987490112999206;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
