train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7361.045887949962;0.07950873723244117;63.63636363636363;-0.9115088127294255;116161.09359057649;0.5428408439561285;72938.51837061567;66775.93988794257;68310.81067725587;64925.048896204695;64368.63309007414;71996.89945632785;62486.31401038768;64948.77068777222;69667.98827148034;61000.06502194989;60812.85605275353;73445.04654490521;[-1385.6183706156735, 1537.8101120574283, 7113.953322744128, 2164.0211037953122, 3117.3199099258563, -3362.4004563278577, 1917.6269896123194, 375.7503122277776, -7473.13827148034, 9869.384978050104, -821.3620527535313, -20294.69754490521];-1.0877230518868535;0.7199428958129106;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12256.603658345563;0.13003257934543347;54.54545454545455;13.110026338719042;241931.9979058536;inf;54832.39076967007;59204.10464330366;60456.11076967672;54641.60804963971;54232.5907030109;64737.597024683004;54817.31842643085;54916.5167548395;60485.73414147002;53746.26837095761;53692.20387639264;62042.95125296529;[2861.5582303299307, -2247.4546433036594, -1365.5607696767183, 283.08895036028844, 10798.590296989096, 5735.487975317003, 16023.911573569145, 16594.383245160498, 7899.290858529974, 29082.091629042392, 13159.745123607354, 4951.476747034707];-1.4362565381327863;0.5647762140419239;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6637.9352348685425;0.09429202313092;54.54545454545455;0.19261526837554474;130923.34728872987;0.6147381509138126;52752.70070806057;56403.05695881122;64771.90692284241;56779.5186200724;52164.34879617873;61671.66565557844;57810.20472707877;53735.97194963422;57060.61783554834;57734.152904898714;54351.46263008125;59598.57041897365;[987.9492919394324, -8065.083958811221, -12117.456922842415, -5120.173620072397, 5986.901203821268, -3126.593655578443, 2301.926272921228, 6644.278050365778, 2781.68016445166, 13212.24709510128, 1150.5873699187505, -3314.6204189736527];-1.5638675022042345;0.5017141747296054;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11297.004413468901;0.18017611028912858;27.272727272727273;-15.383919102356868;356650.4247784831;1.00328106921687;68812.31028639237;69867.417626922;64287.3161222769;64239.10360221088;63184.14802951212;66707.72478350648;62592.91940571216;64796.09864974581;64630.1403423389;62373.032515056315;61439.27168327541;68157.25888326962;[-13589.260286392368, -20073.317626922006, -10980.732122276895, -9748.353602210882, -6078.148029512122, -12392.474783506477, -3430.3334057121538, -465.39864974580996, -5243.640342338898, 5435.695484943688, -7134.42168327541, -20440.42888326962];-0.41168967968800435;0.9081286477454826;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6439.462693682391;0.08072321764866373;54.54545454545455;6.0134958959511025;126970.72676095726;1.054104683404593;62863.5010796276;60914.25485711981;63353.4764973142;62211.78855042021;56555.83131220189;61634.26725772008;60916.56800021084;61562.977544881454;59192.77831612415;57995.90758201846;54770.85446935478;62584.61017795818;[682.4239203724064, 4239.00914288019, -924.7964973142007, -4852.98855042021, 6369.718687798115, 3604.482742279921, 2847.931999789158, 6912.872455118551, 7204.195683875849, 14592.892417981544, 8511.358530645222, -2828.1101779581804];-0.4641935212817538;0.8988165323891668;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5741.313013562899;0.08299661562132034;45.45454545454545;-5.508253594333441;135811.6473602013;0.5628359995005172;65250.500258821216;62775.08030210499;64009.32718354788;64170.383265398545;61726.01195830471;64018.58909827699;63748.6902214509;63315.95014046373;62937.79862962837;62271.625475132925;61526.654838028946;63522.23015670686;[1601.7327411787774, 370.3356978950105, -7024.9891835478775, -11295.273265398544, -5834.721958304712, -4810.459098276995, -8307.082221450903, -2948.8391404637296, -3705.928629628368, 7093.75852486708, -721.693838028943, -4056.08315670686];-0.36220753957483204;0.9162201161627039;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4766.839009921783;0.06364722146197625;18.181818181818183;0.5765506440698522;169014.68882907022;0.48685360889503765;64890.189743459334;66523.30846690298;60999.31816837853;61553.31071896169;61599.16943223905;65636.41065455975;59135.65350445404;63728.98462895827;64038.81074166799;61012.73626516914;58244.6531265514;66431.93140294822;[3140.6292565406693, -3461.4284669029803, 3736.504831621467, 2728.5392810383055, 4292.656567760954, -2938.650654559744, 5129.7254955459575, -1139.6796289582708, -2784.76474166799, 7019.8657348308625, -514.8651265513981, -10837.32340294822];0.1288630708171782;0.9679773498460175;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8602.314531676557;0.1116492561705848;45.45454545454545;11.508759187000567;203595.50923543156;1.2622366176876834;56761.05545238842;54591.67921449812;57533.5935816925;56197.911774438464;52542.33170929297;56239.10968740203;54711.952368525795;56052.74196903801;55195.53854130412;52518.44892690448;53953.22481312361;58123.4678126992;[6533.394547611577, 7784.12078550188, 1102.095418307501, 1561.9382255615346, 8455.518290707027, 6572.440312597973, 9078.797631474205, 8051.8480309619845, 7880.201458695876, 19685.80107309552, 8198.634186876385, 1506.722187300802];-0.5052418965325245;0.8909895098898162;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6508.736177756418;0.10301604781368782;45.45454545454545;-7.8557353941643875;154021.7938955313;0.553266405745924;62219.04035092128;60153.83845890961;60403.26409018132;61324.60845450482;55731.85662207279;63166.4144826749;57970.996529126;61555.205253543434;57761.48021215831;57659.911477957736;56870.94493226158;65624.46315186717;[-8687.676350921276, -5972.3384589096095, -7931.014090181321, -8464.258454504823, -150.15662207279092, -9841.302482674902, -3601.9265291260017, -3060.655253543431, -3049.3512121583117, 7958.772522042258, -1370.9449322615765, -8302.963151867167];-0.1263143572387954;0.9467536244589129;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;MS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7092.992435662007;0.10086267918391041;27.272727272727273;6.249345585833623;223684.29382306093;0.8898556586019375;59913.32832510571;55457.16782971831;56205.71898660698;56631.5510262262;53818.55506610428;57148.64314269447;56465.828398716105;56759.14745276335;54468.98636184388;54304.61299463264;55398.02891342821;56985.72599315092;[-2819.5283251057044, 5722.132170281693, 3035.8330133930212, -1528.6010262262062, 5064.044933895719, 4587.734857305528, 7582.321601283897, 11205.652547236656, 2232.6636381561184, 13593.587005367357, 6011.721086571793, -9788.75699315092];0.14931751163139462;0.9692713366686418;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
