train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22098.515690742268;0.047746653324886305;81.81818181818181;2.0414780569419206;174437.95134590584;1.0270157298604017;262058.76298642764;246688.79478272208;260458.81999413445;246927.4494533285;244002.11978526713;267492.12665481796;248657.176121924;247855.8722774027;265576.2954671807;240189.0884935591;237428.7098466876;269718.3465685464;[2609.8530135723413, 966.7982172779157, 7723.849005865544, -405.0494533285091, 709.0002147328632, -9531.271654817945, 858.0568780759932, -8516.372277402697, -10173.285467180714, 62951.86950644088, 34807.17415331243, -18707.729568546376];0.1928089763252518;0.9718553750012537;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26181.86422924583;0.07416329017612898;54.54545454545455;4.71959216583156;516164.06259711564;inf;228355.72496672915;245951.863002204;248637.53385288743;222666.828519496;233978.029513271;263468.1511431167;219757.33887961402;229865.08760171745;254855.0292152627;229251.09200278905;233371.5725712466;257867.4491425838;[15346.15203327086, -13283.481002203975, -15841.485852887417, -1934.0885194959992, 10959.040486729005, -13273.632143116702, 33741.56112038597, 24330.64639828255, -1089.2782152627187, 68219.03599721097, 29037.99242875341, 5851.4928574161895];-0.10880468207824798;0.9485544607972568;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;34879.26043762064;0.11403602214807164;27.272727272727273;7.1712315329513;1100137.7359636289;1.9455605243946252;205314.21017741013;208199.38588193455;264086.66572951624;217316.51909726698;198579.04643425066;250267.16821047495;210485.33357204607;186121.8710887437;232359.60668652397;218653.89819238914;211387.70566685693;245609.5486181004;[10943.837822589878, 20827.45411806545, -41321.115729516256, 6775.855902733019, 50618.99556574933, -17786.614210474945, 23270.58442795393, 57286.26091125631, 4449.419313476043, 69610.85080761087, 26178.454333143076, -6260.586618100409];-0.6779597038619832;0.8523761759559724;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;42829.29658823755;0.1862077038404728;36.36363636363637;-12.826117899080522;1183634.8887355046;1.1228439853759937;256449.75676719478;246766.87485744848;247803.71049457416;241168.91394551966;242527.52918375947;262138.8539727775;238336.7401914378;228783.80846304566;250834.90543294064;239503.28025648126;228554.11810167998;257082.02258837668;[-62751.27376719477, -75722.10685744847, -55538.446494574164, -41008.26394551966, -30355.957183759485, -58520.44497277748, -17050.425191437796, 17714.72153695434, -20909.07343294064, 32399.050743518746, 9792.019898320024, -32264.542588376673];0.5117800757503619;0.9852267783157478;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22202.968906440885;0.07699101907893946;27.272727272727273;1.675796447377774;699954.8150520094;1.8728181888612725;262725.3248531772;228282.49726854434;239104.17039020592;244061.7111946785;221049.7543222514;244158.25628655896;243296.08214372036;224441.26204637802;242915.4332859604;240483.22332685257;216010.22753125118;245212.8288445576;[-25342.60685317719, 9857.927731455653, -9040.413390205911, -26916.975194678496, 17274.229677748604, -5056.606286558963, -17047.46214372036, 26551.859953621984, 6424.083714039589, 39049.25067314741, 38158.953468748834, -5308.368844557612];0.1995074815107894;0.9722339565410256;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20770.24734464877;0.07293125510248044;72.72727272727273;-2.792219171164698;245941.7232353495;0.7433402544496084;252073.59365732054;234656.8317030403;233985.48227369488;235175.14114809592;228752.52916514294;242440.72282402182;236508.79054690248;226721.46606101037;237880.75452033384;236703.7588556799;226099.2159402716;243844.90508265237;[-3519.7416573205264, -1468.702703040326, -41844.27627369488, -16537.481148095918, -12606.652165142936, -13828.756824021839, -28729.702546902496, 1272.4259389896179, -2670.7815203338396, 33825.48514432012, 24146.95405972842, -15043.660082652379];0.607146289225367;0.9877904547625135;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17530.120567727223;0.051231321216618546;54.54545454545455;3.563451647285813;345424.66015617456;0.658417957024757;228904.71751363866;228577.02401422773;224887.96793641496;219174.22856122119;224014.1034729028;237911.03088861817;217860.3756007071;221194.14780459952;233681.88974672783;221442.9352787588;213093.54446005286;238855.41938095613;[20748.753486361325, -6549.4600142277195, 423.7640635850257, 9225.53543877881, 3547.917527097219, -7592.296888618177, 6580.779399292893, 10917.590195400495, 114.02325327217113, 43233.34972124116, 30199.897539947153, -10726.825380956114];0.8224404557051538;0.9919898981020837;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15217.785262638354;0.048888253251106344;45.45454545454545;4.0017451382283395;359750.26610089495;0.4282442936720558;224487.8841282179;213059.54004459613;218165.944613916;215270.06232730357;208911.40401653346;220314.7100836805;207720.17953377863;213682.1276490658;220677.49591498158;205426.66918486066;209262.856287962;229555.57030391527;[7608.989871782105, 6805.811955403886, -4605.03461391601, -5155.640327303583, 8429.777983466542, 243.92591631950927, 18452.63446622138, 7412.243350934208, 8179.02908501841, 30549.962815139355, 33833.882712038, -3934.335303915286];0.802702219012385;0.991679661922657;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17427.867296626464;0.06430466568634537;45.45454545454545;-1.6214571080923335;412113.4062583758;0.38332384404724307;231012.1027013226;214528.40663906955;214439.66560052612;218263.93030172915;208888.42197226422;228287.3348950355;210481.60845985674;214339.57708210323;216986.36411944852;211303.76800099917;210927.9761507648;234747.02051628183;[-23733.560701322625, 3594.559360930434, -16453.543600526114, -13718.523301729147, 6141.466027735791, -22679.475895035517, -4777.392459856754, 1046.2689178967557, -12631.716119448538, 40166.270999000815, 12065.8588492352, -10732.103516281844];1.0913527694896492;0.9951421421054839;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;SC;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;24205.875847543306;0.07977094850617077;27.272727272727273;6.017868161808476;763126.0240164802;0.5069508395557325;218391.12135957275;197611.78150260416;200870.913518495;200122.14666957164;195383.49153856092;208961.24555250106;202032.03436151656;195357.52707383555;201488.5911781723;199914.34054102813;197295.89804458086;208145.2533469624;[-11782.518359572743, 16658.68549739584, 5599.3064815049875, -9326.389669571625, 12112.894461439078, 336.77644749893807, 11657.833638483426, 35923.65192616446, 8043.374821827689, 56387.791458971886, 39728.78795541913, -10025.707346962387];1.4337804093748092;0.9972623256386913;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
