train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9705.088966166288;0.09170629120504348;45.45454545454545;5.673123445187881;229610.83472089615;1.3269096781609613;89066.39136547437;86892.89621452134;97431.97449136655;89165.87138211177;87167.33095878898;96605.61320332912;91783.40437807573;89541.08110308833;93398.70510358515;88794.15105769642;91078.3141617612;95485.11966387433;[4126.408634525636, -10132.87221452134, -2910.774491366552, 4483.928617888232, 12042.869041211015, 9278.013796670872, 8403.095621924265, 14297.718896911669, 8224.794896414853, 16170.308942303585, 9487.685838238802, -7529.482663874325];-0.6377756883119803;0.8622158085459037;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8066.938037751426;0.07768530121232087;45.45454545454545;1.7000481511346242;190805.19463905905;inf;84363.70671823088;92051.84155540838;93976.01677663682;80586.0991447318;88952.05711888582;98497.87951457608;88519.63904500606;85385.47498576531;91541.44872814608;86274.6849472031;92542.88453352568;94547.12747044757;[3938.4032817691186, -8181.119555408382, -4505.864776636823, 7915.23885526821, 2251.04288111419, 3263.760485423918, 9454.360954993943, 12742.325014234695, 1484.6512718539307, 10299.3610527969, -5593.228533525675, -14438.627470447565];-0.6803826697070109;0.8517656455268663;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13394.305158753292;0.12955899128851278;45.45454545454545;7.060081247468321;317112.9043345275;3.3173616978848455;72817.73203021973;81310.13924339924;99026.28008547814;76274.51908902105;78677.31179607575;95895.54211619394;83970.45549987967;75483.7748524411;82125.80826542639;80829.39761628814;88255.06180677809;87963.45564607518;[12390.05296978027, -6152.090243399245, -17361.429085478143, 11535.924910978953, 18510.57120392425, 2103.757883806058, 11372.643500120335, 23756.7251475589, 11659.119734573615, 17548.802383711853, -4487.961806778083, -4712.443646075175];-0.9396040613641299;0.7746507013707321;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15413.137820383663;0.17071304930972497;27.272727272727273;-5.450887495878363;486532.68953802634;1.1501708427102455;83207.05822000589;85119.79546767754;90377.23437569938;83679.53866495997;85918.73190088471;91947.40410238369;87185.35959995772;84354.50771348462;87609.57420967493;84505.03664352308;88388.38880726697;90321.42310604955;[-13015.04822000589, -32694.807467677543, -29232.934375699377, -8548.658664959963, 1209.0450991152902, -2268.5041023836966, 6707.5284000422835, 16330.527286515382, 3638.8667903250753, 13546.205356476916, 3091.189192733029, -12657.426106049548];-0.5114714878423167;0.8897584052275134;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7103.69525664257;0.06922828003407568;63.63636363636363;1.2594170881855014;112068.22745160082;1.126104241210342;80223.42465301146;85025.53564381602;89230.32742260388;81732.9702027446;84799.2402233334;90375.67958567888;85018.81042214634;82456.81310545566;84347.57535475853;83527.06767982956;88696.4044598451;89981.02829049774;[-5898.852653011461, -6198.901643816018, -6169.809422603881, -2147.7172027446068, 5972.915776666603, 2927.3204143211187, 1490.0895778536506, 14936.436894544342, 7862.13764524147, 8472.282320170445, 1071.295540154897, -9238.228290497733];-0.532356156596437;0.8855462626871612;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8133.618707866819;0.08573904488186002;36.36363636363637;1.42068296236565;224429.072892489;1.1805811317927442;77739.90826680743;84358.02445815499;89164.4214693053;80600.23991528204;82576.64051548074;88353.92812583032;84394.77418829582;83239.83955198391;83499.78073936723;81804.43632658859;85741.96972145131;87225.98441851386;[4067.1947331925767, -8512.991458154997, -16223.189469305304, 6194.460084717954, 5158.959484519262, 5179.371874169679, 3458.98381170418, 12764.708448016085, 6994.997260632779, 6323.940673411402, -1763.5987214513152, -9105.884418513859];-0.5549389371407024;0.8808424245331781;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6667.16030190231;0.05804544317149454;45.45454545454545;-1.5175184467222076;157639.76956967637;0.6340473782974869;78902.82927953539;86376.98106128594;89933.18783256477;83316.24020912281;83115.42254133796;88246.89302529307;85304.65779512718;85686.52195508283;86764.0617200636;83589.40874036004;85832.61254046361;87698.43390912397;[2359.528250464602, -15285.016201285951, -5982.556302564772, 29.898240877184435, 968.7800286620331, 3276.4625447069266, 2021.7318148728227, 4731.433574917173, 896.1597899363987, 5415.828769639964, 38.2324595363898, -13789.052909123973];-0.482958844343804;0.8952992824994155;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6557.780120934877;0.057362414409251154;36.36363636363637;-3.1969645530511035;180866.41816490822;0.7892800676957741;80915.4504273458;87452.01731515671;93817.12052312834;85873.30284397994;86806.45610833734;91126.45552153881;88479.01816198432;88716.9119754441;89046.64167503893;85948.44439477318;89861.00229464308;90089.30955810015;[3921.0065726541943, -6785.0383151567075, -9850.427523128339, 1036.618156020064, -20.523108337336453, 1753.2304784611915, 1172.9818380156794, -1719.343975444106, -1538.284675038929, 3554.9926052268274, -7750.880684643082, -16554.47106810016];-0.11431176350385583;0.9479942366784905;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11390.171277068226;0.10869438609384874;36.36363636363637;-10.313858168790382;314399.2843707537;2.563791839315911;93779.50119263378;92852.25711933851;100441.24721585533;93273.59065978229;98406.39387914276;103852.30590834048;94642.74087763892;95449.74743660998;98958.5822910719;94710.53903644763;100899.3540605353;102049.92706879806;[-5465.845082633779, -10689.728119338513, -14127.321215855321, -4260.400659782288, -4268.655419142771, -13311.92845834048, -989.3778376389237, 863.2069233900256, -11757.457901071903, -4397.972366447633, -19239.34006053531, -21681.07506879806];1.3179658445912144;0.9967076576483072;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10578.399708168763;0.09507307942364578;63.63636363636363;3.1709270651864614;167003.58478957042;1.5299918720711763;94253.74980486587;92651.13915288677;93417.08011185087;92527.48469646192;93417.1536072915;94359.13600145456;91786.83132009534;93119.44012876558;93065.15885947435;91743.95676654446;94500.6124639505;94490.61613896891;[-10808.122804865881, -4895.555152886765, -2577.406111850869, -5433.036696461917, 5237.151392708489, 9426.007998545436, 16419.98367990466, 19657.98587123443, 9118.83414052565, 10810.20423345553, 3231.091526049495, -13531.60513896891];1.8217368113476693;0.998391168100416;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
1990-01_2013-02;2013-03_2014-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7041.088484920849;0.06073885243623992;54.54545454545455;2.988358259361163;138771.86960029695;1.1511117583350567;98930.06517592276;88101.59078878585;88275.30572983137;86388.16976557412;88990.67637555009;94139.1927317994;89362.15382666631;87628.38255412946;88647.88410120412;87411.9080803823;91564.9376723565;93844.50017699433;[-13085.227175922759, -649.6687887858425, 7465.119270168638, 5851.475234425889, 2257.498624449916, -1612.0647317994008, 2510.227173333682, 13196.348445870535, 8298.817898795882, 7673.536919617705, 3590.6003276435076, -2127.0291769943287];2.36556808354309;0.9989931735101961;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;False
1990-01_2012-02;2012-03_2013-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15385.699007508167;0.1218576378749529;72.72727272727273;12.485766899778437;182509.72752289497;1.2722012513513816;79871.82001930056;75024.90529665492;79664.03863423393;76501.84970512179;75722.43432927283;80284.92482158211;77313.17903206822;76318.43535544894;78200.26381849259;75935.26304298427;77578.05946793586;79436.25131329805;[-1236.6068893005577, -2775.7561666549154, 5080.135955766062, 3007.7149748782103, 7438.409470727172, 7767.39857841788, 6478.748947931774, 24248.09144455107, 28213.626581507415, 23881.968397015735, 25642.116532064145, 5202.579686701953];1.1862852431012734;0.9958897438861567;13;251;-3.4566744514553016;-2.8731248767783426;-2.5729436702592023;False
1990-01_2011-02;2011-03_2012-02;CE;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8160.656746763614;0.0884831433185106;63.63636363636363;6.406273737598886;128811.082471068;0.4923022316948165;73272.87124154845;71853.42825157497;71958.55056315598;69553.28566888913;71615.2276716003;74747.99938565711;71408.64790140718;71021.03205451215;73301.937696655;69629.18520334041;72050.53361741359;74872.5353305445;[-4087.3828515484493, -5755.464271574965, -457.57255315597286, 4440.421751110873, 5590.175058399705, 9087.228114342885, 10843.833368592823, 10057.755115487846, 8202.878383345, 16612.84055665959, 6958.008582586408, -2265.951520544506];0.5997522887448746;0.9876095219178959;13;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;False
