train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;571.8673187424761;0.03500932505043558;72.72727272727273;0.8550725158450463;6762.5139115253605;0.7748968937492065;15335.7774370921;14856.326612756475;15269.28247618458;14697.62795568713;15147.767653126777;15030.555242156173;14521.950266518103;14887.178442782759;14706.179476843045;15428.479379521885;14627.309024896704;14115.0996319176;[200.47256290790028, -527.0838627564754, 417.58890381542005, 780.8774743128688, -424.0176531267771, 655.9175878438273, -541.2346865181025, 520.2219172172408, -432.6631768430452, -471.8435095218847, 1075.4101751032958, 286.8876880824009];-5.267214579109185;6.400138254104232e-06;5;391;-3.4471856790801514;-2.868960436182993;-2.5707229006220524;True
1990-01_2022-02;2022-03_2023-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;585.758979604495;0.03115205841680095;54.54545454545455;-1.5219750202129607;11537.654516835193;inf;15517.20516347414;15073.779591801456;15462.150812033118;14900.030151865178;15351.7346408035;15210.567222252657;14701.572767759371;15110.818968128644;14889.080278933809;15618.890859348801;14855.004016454377;14304.499459705721;[222.4941165258606, -711.3031418014561, -86.60371203311843, -182.14609186517737, -637.8107308034996, 202.98349774734197, 483.0993322406284, -1070.8008481286433, 355.0084910661917, 72.60008065119837, -1244.3174264543777, -116.6099697057216];-5.197635007565212;8.890357600653915e-06;5;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2021-02;2021-03_2022-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;634.8219394261185;0.036479276594899114;72.72727272727273;-2.17275933850342;7507.348346579055;0.7575904679680278;15819.236304394633;15372.451876154144;15760.595501563195;15152.906234506936;15641.14751047317;15509.321632954969;15001.169928663776;15402.58117459418;15194.797126974338;15906.43388178137;15144.277860195993;14573.062176879665;[-725.1457243946334, -396.11129615414393, -616.6009315631945, 1203.7658654930638, -151.4101904731706, -445.6296029549685, -606.5521786637764, -502.14820459417933, -1091.4003869743374, -265.41576178136893, -452.64199019599255, 126.26572312033568];-5.249773590520498;6.951885074865351e-06;5;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;True
1990-01_2020-02;2020-03_2021-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;1026.2491165020256;0.06015837377924447;90.9090909090909;5.445566266014553;4066.778131140552;1.017927978395844;15127.921154528252;14642.183938644781;15060.066112543374;14403.205780004686;14915.153561117246;14780.969798628503;14301.869382587158;14715.18969110035;14545.465399039134;15184.748273173162;14449.509571999393;13881.340007809522;[426.3252254717481, 1112.0153413552198, 711.5625074566251, 1327.4282799953144, 1520.984118882754, 1580.0573713714966, 729.5146774128425, 451.6363988996509, -597.5396790391351, 1320.5017268268384, 556.8762980006068, 997.2451321904773];-5.030455149152729;1.9310636480117054e-05;5;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;True
1990-01_2019-02;2019-03_2020-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;545.1734029272924;0.027900995765416676;100.0;-0.4424850198098188;6.586504596179681;0.5143891420591022;15199.502562925672;14655.099359411259;15112.130786513086;14416.59570689357;14893.277424234007;14825.92419628048;14313.768944983913;14683.918488113379;14568.315392051501;15181.563686146072;14456.67823308251;13915.152627722975;[-166.05328292567174, -323.29500941125843, -96.24672651308538, -1127.20621689357, 711.8131557659926, -496.7991962804808, -343.0370649839133, 1100.894921886622, 165.00706794849793, -120.06187614607188, -155.8557730825105, 74.51947227702476];-4.886142530382217;3.710632041869389e-05;5;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;True
1990-01_2018-02;2018-03_2019-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;206.2115610038906;0.01177494506530056;81.81818181818181;-0.4044609486280915;1624.6391181824686;0.33110738396241374;15222.51515039037;14739.386433701082;15132.403985426747;14521.2890197468;14967.124759938664;14855.859562000485;14400.429938661671;14753.372122238443;14640.933734828339;15275.6805860728;14504.34727843329;13975.352151201885;[-180.71261039037017, -61.67629370108261, 4.0217345732526155, 45.381270253199546, -104.15736993866449, 257.09876799951417, -200.86109866167135, -322.99893223844265, -51.59859482833963, -221.1534160728006, 370.7940215667095, -247.10396120188489];-4.736633791892847;7.17823500913432e-05;5;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;True
1990-01_2017-02;2017-03_2018-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;668.0185438596338;0.035261517936326134;100.0;1.9030030357940049;10.199764823513226;0.7552475380418627;14976.062615956627;14545.318910968797;14923.153334860459;14283.283473130985;14747.186256055335;14645.323307025317;14187.952223809178;14507.526547595222;14466.903481940284;15061.652857898109;14284.761856793286;13786.740022691196;[1430.279104043373, -599.2790509687966, 286.9408651395406, 522.4570768690155, 321.29744394466616, 368.1718629746829, 69.5002861908215, 1229.524722404778, -727.1446819402845, 150.01579210189084, 507.37401320671415, -175.60959269119667];-3.977104698604836;0.0015352585835432411;9;315;-3.451281394993741;-2.8707595072926293;-2.571682118921643;True
1990-01_2016-02;2016-03_2017-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;617.6308410333827;0.038496521432125196;54.54545454545455;-2.8385887310807982;12167.507801682605;1.1692355788983064;15281.410845604569;14899.898698827394;15252.360767691707;14619.634229703386;15070.474707870662;14955.952676046167;14480.010486446048;14849.97769794278;14795.091709773988;15362.049827752677;14620.317914636056;14099.999830947712;[-310.89454560456943, -759.0762388273943, -942.355337691708, -209.1233597033861, -559.0544178706623, -389.85122604616663, 392.4478435539513, -1160.725887942781, -357.5101897739878, 448.281692247323, -762.9483446360555, -310.3386009477126];-6.922726840527987;1.1355514605131849e-09;2;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;True
1990-01_2015-02;2015-03_2016-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;1529.2822619041356;0.09619794378012457;63.63636363636363;-9.387960093084601;24145.1675702901;1.9652141805852832;16616.516950115103;16239.015544557695;16618.394850824603;15951.301080360165;16418.39896624215;16312.414593855903;15819.049971086057;16199.958630062567;16173.520339280863;16710.821854095786;15968.730136049146;15437.77570167319;[-628.3937601151029, -492.87967455769467, -1780.3332608246037, -635.9043403601645, -1023.6435362421525, -1564.6682138559026, -854.1659110860564, -1564.0926900625673, -2632.4623692808636, -1578.1823640957864, -1870.871436049145, -2063.9731616731897];-7.566333179098119;2.9191088318328264e-11;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;True
1990-01_2014-02;2014-03_2015-02;AM;glp;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;752.4509228494184;0.04100651274579455;63.63636363636363;1.3170857288095186;11862.035810906455;0.44408238345267337;16513.848447975648;16134.405457935878;16531.182676988403;15914.68907077431;16312.012854584264;16232.202092495874;15718.511438500045;16108.123861007074;16146.906048860292;16633.721056197162;15893.801090234037;15386.715159867077;[560.1280020243503, 1116.1724420641222, 258.34631301159607, -918.8376207743095, 1178.1936654157362, 124.43558750412558, 778.2421814999543, 750.7656289929273, -986.6487988602912, 303.8387238028372, 216.92173976596314, -798.6336398670774];-7.350279237270077;1.0102257899310564e-10;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;True
