train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;14597.981216346097;0.15815123178239895;63.63636363636363;-10.381304644055916;230860.7740875927;0.8673146138889197;82724.95455542732;82789.18353118373;83627.96498729831;83623.5242239639;85613.99753833411;88894.66313655063;87544.98726173182;88829.85261368893;86404.55882108421;85694.62771673528;82712.73878530363;80556.59819445747;[5573.14044457268, -4487.238531183728, -1991.2749872983113, -1660.6402239638992, 2954.1164616658934, 2345.3588634493644, -4054.234261731821, -8340.628613688925, -26700.727821084212, -27602.410716735285, -30363.843785303638, -1509.7001944574731];-5.011246813225835;2.1083376298129986e-05;8;388;-3.4473167281607155;-2.869018036958473;-2.5707536074503134;True
1990-01_2022-02;2022-03_2023-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;5716.066022180859;0.05778334737801937;63.63636363636363;-3.022977843508766;90148.62900928668;inf;83603.75141961836;82680.48089310304;84912.961432906;84989.02466354772;91592.69502494282;100159.75319381764;96346.44138181611;100383.07667072695;93547.3256390966;92160.49515507223;83479.39334210372;77136.54169211964;[-3124.5924196183623, -1234.0528931030422, 6755.399567094006, 1188.9723364522797, -4798.234024942823, -1972.5131938176346, -3062.583381816119, -9719.251670726953, -5974.181639096598, -9683.480155072233, -5963.191342103717, 6161.856307880356];-5.979985511606607;1.8483556272269386e-07;6;378;-3.4477686860685;-2.869216670067509;-2.570859500573892;True
1990-01_2021-02;2021-03_2022-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;31232.420627167783;0.35734377031998754;63.63636363636363;36.335196904402935;496621.44148400356;4.3793015259679775;51216.80077571225;50484.79663118429;51461.5663862849;51491.23004551511;54109.785371407204;56899.823452062425;55608.189856421974;56973.129242917115;54730.875949471585;54254.47058922435;50942.73485622976;48616.23105458491;[10565.018224287756, 41654.6183688157, 29928.408613715103, 35922.06595448489, 23302.6586285928, 32366.18654793757, 33490.58014357803, 37642.628757082886, 29855.92605052841, 25238.050410775642, 32515.79214377024, 30950.85194541509];-5.74114475387897;6.27144447989343e-07;6;366;-3.448343869853195;-2.869469418606909;-2.570994248260623;True
1990-01_2020-02;2020-03_2021-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;8550.615444828243;0.13008894937412666;63.63636363636363;-11.645606628594733;135120.9822098079;0.28929888671673654;65524.80076063066;64831.55620153421;66135.51611676712;65924.6242611909;69452.66259566924;73769.52551850348;71686.48119330779;73522.77675089167;70031.54267171292;69570.29329395144;65127.63434447426;62075.406309610866;[337.78023936934915, -8419.78020153421, -8319.648116767115, -3683.8942611908933, 1454.6084043307492, -9689.074518503476, -7113.968193307788, -8269.102750891674, -4415.652671712916, -8292.081293951444, -13140.618344474256, -15736.860309610864];-5.77641250535593;5.24686972623517e-07;6;354;-3.4489583388155194;-2.869739378430086;-2.5711381780459;True
1990-01_2019-02;2019-03_2020-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;10616.398812081656;0.11688471646928668;63.63636363636363;-9.996846286555273;167704.09216050594;1.008846701498736;82943.21635657905;81612.96161717805;83635.76850867005;83638.82877520476;88546.35663209319;94819.61671843997;91955.86480469345;94411.87535419282;89484.95288240134;89315.41049808112;82221.56512052078;78191.48864665508;[-4805.269356579054, 2810.294382821943, -1871.4605086700467, -7704.21477520476, -2979.9996320931823, -1603.3037184399727, -7142.3768046934565, -4751.433354192821, -14219.564882401333, -22296.285498081124, -11583.056120520778, -18442.375646655084];-5.741392768392309;6.263598360372547e-07;6;342;-3.4496162602188187;-2.870028369720798;-2.5712922615505627;True
1990-01_2018-02;2018-03_2019-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;10778.20672771643;0.09781017997887537;54.54545454545455;-5.093448454688176;212599.34310317956;0.6852435150872763;90751.43948387656;89251.45523546463;93079.15590894234;91814.11256751519;98209.43940706707;107160.09749945489;103444.63363824393;106476.63340492707;99608.87300283903;99967.73225318124;89607.02366788073;84720.73792012336;[3921.078516123438, 7384.320764535369, -28723.92490894234, -6614.107567515181, 1321.994592932926, -3673.3054994548875, -11338.701638243932, 1074.1685950729297, 3295.766997160972, -13566.602253181234, 1608.785332119267, -10623.54692012335];-5.632925836812275;1.079173340074866e-06;6;330;-3.4503224123605194;-2.870338478726661;-2.571457612488522;True
1990-01_2017-02;2017-03_2018-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;26532.657462846146;0.25372147520269756;63.63636363636363;26.485801905768685;420700.00258748507;2.5195678544023448;64590.46753131863;63265.94089024992;65383.57959080691;64397.696181521664;69026.20435773794;75508.90182761473;72719.66736873594;75075.89097860994;70258.81079799046;70339.29796741437;62980.48364720848;59929.24688050349;[862.4305086813692, 8541.145479750085, 32010.153449193094, 37619.435818478334, 31971.21624226206, 28437.77977238527, 30287.58573126406, 19729.044061390057, 18361.362222009542, 31195.544032585633, 30566.49735279152, 23498.186119496517];-5.413382469564106;3.1747406442337865e-06;6;318;-3.451082300831733;-2.87067210822307;-2.5716355136268345;True
1990-01_2016-02;2016-03_2017-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;13523.51551390527;0.15467298387183567;63.63636363636363;-5.2226049533201655;213848.32303271827;1.198729464241498;82412.28163120901;81368.82992988735;82717.76707835516;81948.56764882558;85702.01791641921;90523.02892319238;88726.2335227277;90802.90980045684;87273.72318533128;86898.50267121615;81332.84296805793;78602.68064049093;[-2320.819631209015, -3568.413929887349, 9157.90292164484, 9660.671351174416, 5344.732083580791, 18776.822076807613, -2682.7775227277016, -14559.995800456833, -21760.427185331282, -7450.4176712161425, -24013.288848057928, -17126.622150490926];-5.37257357013807;3.866683083456679e-06;6;306;-3.4519023023726696;-2.8710320399170537;-2.57182745012602;True
1990-01_2015-02;2015-03_2016-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;7744.782442230001;0.0730519631848144;63.63636363636363;-3.1488016359369757;122194.83366557128;0.7969309350465676;92585.24233362595;91068.74180411988;93352.6839379705;92127.10449647548;96466.67729711281;101046.61940487845;99757.30859225409;101669.85726787089;97693.46640556694;97132.38364505825;91452.18997435294;88294.12531511947;[-727.8107736259553, 9007.699195880123, -9538.050937970504, -5777.95449647549, -8637.812267112808, 9849.25239512154, -6716.032302254098, 171.33513212911203, -541.9435955669469, 2146.6601149417547, -12861.340974352934, -11255.32631511947];-6.4719245964615135;1.3604388653966168e-08;3;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;True
1990-01_2014-02;2014-03_2015-02;AM;oleodiesel;ARIMA;trend='add', seasonal='add', seasonal_periods=12;12;12;10469.493333710207;0.07412854015252296;54.54545454545455;0.9548473510802445;206402.22400359568;0.3877162021165373;103472.91837787484;102153.35811354796;103410.96710621334;103021.12154011491;106141.631670049;110079.31496101356;108413.15587142025;110137.39743034894;107163.51065908898;106472.92440286212;102379.14964762545;100363.69603833204;[-4201.87637787484, 1637.2788864520408, 22586.007893786664, -379.9645401149028, 8792.183329951004, -12669.589961013553, 11056.102128579747, 1019.5835696510621, -4172.667659088984, 7629.117597137883, -469.25544762545906, -18648.91903833204];-6.420801483369006;1.793609664242061e-08;3;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;True
