train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;etanolhidratado;ARIMA;{'p': 18, 'd': 1, 'q': 2};12;12;11351.098574784379;0.33692600798309086;54.54545454545455;42.43026471232856;225079.49204030272;0.9231699553151399;12079.751616396714;11374.615381546359;11086.438365386512;12063.326527507157;11373.372419930824;10681.899613924461;11284.109159706206;10816.899852267235;11161.665110970835;12108.954969439723;10792.12546798873;11203.435299859957;[110.01038360328675, 461.101618453642, 199.9206346134888, -874.5545275071563, 1095.2715800691767, 6351.702386075538, 10172.267840293795, 13485.526147732764, 13645.922889029165, 18332.74403056028, 19428.308532011273, 17846.614700140042];-4.791227087534794;5.652697935051441e-05;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
1990-01_2022-02;2022-03_2023-02;MS;etanolhidratado;ARIMA;{'p': 22, 'd': 1, 'q': 18};12;12;2183.242901948562;0.14398989422320374;81.81818181818181;3.3850386261641496;17325.837770339764;inf;11801.174209508537;11343.312266150444;11148.36938655875;10400.261427891926;10163.901990090655;10784.11528677582;11532.93103939389;12382.50854300795;12833.4336095715;13624.09379147268;12311.440818763702;12514.511790685585;[4300.391790491463, 3758.2887338495566, 1145.7916134412499, 2596.164572108073, 1501.4870099093441, -676.6472867758184, -359.3800393938909, -940.3945430079511, -951.6946095715011, -671.6887914726794, -2582.5918187637017, -2185.200790685585];-4.288008558042387;0.0004659382375386666;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;MS;etanolhidratado;ARIMA;{'p': 24, 'd': 0, 'q': 16};12;12;2998.2587976759064;0.17409957084019567;45.45454545454545;-7.923975198241479;71045.64145462574;1.4588874031662937;14556.512438242025;15477.096795272346;15458.578260109773;15113.939576467686;16395.647566181182;13296.23135056179;13266.41380311508;14271.606921068344;14978.87992086451;17752.447143960555;14587.29219207023;12175.49022241902;[5843.780561757976, 1665.629204727653, -11.67726010977276, -2344.9265764676857, -3824.3155661811816, -416.48035056178924, -18.293803115078845, -854.7949210683437, -3211.525920864511, -4597.428143960555, -4156.45319207023, -1093.4162224190186];-4.180394199443177;0.00071110131598653;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;MS;etanolhidratado;ARIMA;{'p': 2, 'd': 1, 'q': 23};12;12;6360.028215459088;0.30785607602527926;63.63636363636363;34.43150309911257;100997.14758643204;0.9593036193607911;9438.471964147775;9136.77611333192;8812.881357070506;9042.178544886117;9202.515553808496;8503.932268242917;8666.208664455162;8483.183877914105;8067.762386456968;9227.617819653764;8930.07269021421;8910.973753526543;[-162.01596414777487, -1297.47311333192, -503.95735707050517, 75.31545511388322, 1506.3084461915041, 3742.931731757082, 7459.8953355448375, 9759.465122085896, 7745.982613543033, 9823.359180346235, 7751.959309785789, 9983.134246473457];-3.8555031921929372;0.002387850505800899;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;MS;etanolhidratado;ARIMA;{'p': 20, 'd': 0, 'q': 18};12;12;1835.5921474402746;0.1764197284799852;72.72727272727273;-16.25650818616086;21819.618360626377;0.48488378407691607;9739.748893432161;9667.32311408135;9857.392728632816;9728.592317340688;11214.97984697139;11190.643942753408;11296.970932966631;11538.253424949558;10850.191298920716;11247.544664013567;9949.546938226165;9800.822577911687;[-1187.9848934321617, -441.25211408134965, -938.525728632816, -1791.6263173406878, -2795.65184697139, -3314.3349427534076, -2897.3389329666315, -2077.027424949558, -1665.0422989207163, 233.44133598643384, -617.3069382261656, -137.78857791168775];-3.8066724641515486;0.0028397800007275427;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;True
1990-01_2018-02;2018-03_2019-02;MS;etanolhidratado;ARIMA;{'p': 13, 'd': 0, 'q': 20};12;12;4072.934252433257;0.28490117821566924;72.72727272727273;31.22303014139446;48604.88721316458;1.2016553873400373;7218.1325059133405;7002.780238775641;7178.186030203358;7106.41116520621;8132.067177147097;8213.464635824937;8317.025876720367;8103.7652733634095;8188.887597067487;8745.375931198556;7666.769992729719;7293.414212379897;[586.8994940866596, 493.1007612243593, 1707.547969796642, 4271.67683479379, 4254.093822852903, 4672.362364175062, 5372.220123279632, 7326.02572663659, 4874.683402932513, 4570.390068801444, 2956.5280072702817, 1209.6407876201029];-3.523648348734121;0.007400123826118304;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;MS;etanolhidratado;ARIMA;{'p': 20, 'd': 1, 'q': 2};12;12;901.5571366642456;0.10043955961968369;72.72727272727273;-3.3889164243996786;10687.278801377843;0.18081683988633848;7030.172408968621;7043.621431514841;7140.2618108363495;7114.435907053974;7834.897644714188;8322.576177723584;8629.204822405827;8788.673279720348;9073.172747495262;9710.186267655086;8910.245378279214;8707.42300566812;[-87.2224089686215, -498.65543151484053, -732.2118108363493, -1289.2159070539738, -1318.0176447141876, -861.6511777235837, 256.59417759417374, -351.69627972034687, 487.703252504738, 1745.1357323449138, 482.41362172078516, -1055.446005668121];-3.652899953291437;0.004826606155597866;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;MS;etanolhidratado;ARIMA;{'p': 21, 'd': 0, 'q': 20};12;12;7885.743627972333;0.878687141456539;63.63636363636363;-83.41760186121802;127182.48488180393;2.314261673588134;15436.928287750308;14336.320931869335;14801.752327735867;14520.309234538825;15833.16982597579;14552.77707463853;16281.504861048144;16669.60933645748;16998.315862769974;22191.73354843764;18625.88817547754;16286.811212875722;[-5963.914287750309, -4798.020931869336, -5118.223327735866, -5693.059234538825, -6251.31982597579, -4936.127074638531, -6871.604861048145, -7371.90933645748, -7666.165862769974, -12825.133548437641, -11724.98817547754, -10162.931212875723];-3.1041511388866097;0.026247506949053895;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;True
1990-01_2015-02;2015-03_2016-02;MS;etanolhidratado;ARIMA;{'p': 22, 'd': 0, 'q': 19};12;12;4473.556183597818;0.20819585416345462;72.72727272727273;16.54893535074232;53235.93761660158;0.6340375089911047;16975.40708676258;14873.064321803548;14198.267719900212;13430.635478860335;15394.223070472957;15002.937804713634;15197.243012828296;15333.058983533097;14857.601396745848;18477.55500529281;14159.892751759799;15008.15644831455;[2745.942913237417, 6381.842678196452, 4400.567280099787, 4513.114521139665, 3697.7769295270427, 5081.0121952863665, 6263.421987171705, 7319.841016466904, 987.8486032541532, -880.6550052928069, 15.50474824020057, -4254.26144831455];-2.988038591931352;0.036026645206007464;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;True
1990-01_2014-02;2014-03_2015-02;MS;etanolhidratado;ARIMA;{'p': 2, 'd': 1, 'q': 2};12;12;3419.783845401319;0.22832508936382923;63.63636363636363;-2.8913278617370257;54189.33187417351;0.8062300825307822;14423.440221001454;14033.10439784577;14131.176743550841;14168.526294052866;14141.093351132926;14180.067733158574;14180.851173924284;14196.804239265892;14209.540030696322;14221.32950158802;14234.65744242128;14246.993014419379;[-2027.319221001455, -2160.3253978457687, -3887.176743550841, -4295.276294052866, -3131.393351132925, -3134.1377331585736, -2032.1651739242843, 272.0457607341086, 905.209969303678, 5739.270498411979, 4137.792557578721, 4826.010985580622];-3.128507826754309;0.024514160558656732;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
