train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SP;gasolinac;ARIMA;{'p': 19, 'd': 1, 'q': 4};12;12;71659.3745890656;0.06853243242335326;81.81818181818181;-1.0655117532291953;566298.3230819302;0.5558663605807642;895724.8323851138;867765.759742375;872841.8627122119;811540.9958496523;828649.7459757508;853916.6690512742;827545.4795140959;865522.339241673;859847.8531046077;929813.7144735198;847988.9452760203;824440.6406399559;[9043.149614886148, -3091.197742374963, 130880.96228778805, 79688.56315034768, 28905.223024249193, 25031.35794872581, 10243.253485904075, -38512.782241672976, -60414.857104607625, -61809.82647351979, -87323.63127602031, -141079.0506399559];-4.3003587727548656;0.0004435773065499256;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;True
1990-01_2022-02;2022-03_2023-02;SP;gasolinac;ARIMA;{'p': 16, 'd': 1, 'q': 9};12;12;90033.11946008255;0.0886826881049113;45.45454545454545;5.840345256514296;2129940.3948877216;inf;856885.7952394232;830145.0883772756;794680.887238471;789565.2292487348;775870.4004565154;776216.6828006718;798684.2834817708;783332.8216742186;791314.2878578845;865490.6452660341;753816.3695337946;733441.7549837091;[-67903.94623942312, -55139.37337727565, 38799.02476152906, -45359.910248734755, 3146.802543484606, 80309.95719932823, 37003.417518229224, 99819.91832578136, 83253.5831421155, 169898.56373396597, 96000.3824662054, 152485.25801629096];-4.368969210848514;0.00033670274488229986;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;True
1990-01_2021-02;2021-03_2022-02;SP;gasolinac;ARIMA;{'p': 11, 'd': 0, 'q': 11};12;12;215479.5598323418;0.2554295855988677;63.63636363636363;20.582141348233403;3416760.120176565;2.569972994143965;688441.7985439814;677923.5246076963;597540.6957170687;554672.6995265282;600745.0244911406;593859.2490282757;617300.9263316955;632871.9803049373;557613.3364318167;664294.4504975402;588668.1002855778;554470.4037724854;[-112398.81954398134, -146811.8716076963, 65380.75528293126, 154076.2794734718, 191586.9515088594, 198096.37097172427, 208532.56866830448, 223623.6166950626, 308895.68456818326, 350177.72450245987, 193189.06271442212, 264899.6832275146];-4.250998169517107;0.0005394889130862108;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;True
1990-01_2020-02;2020-03_2021-02;SP;gasolinac;ARIMA;{'p': 13, 'd': 0, 'q': 7};12;12;107778.82236358814;0.14714847563890243;54.54545454545455;-11.42447554451279;2128215.6692529717;0.30009678027891995;686920.4716282644;690488.891536934;669064.6451336889;642510.3669508429;651105.273780893;658211.7911608781;647147.7860449587;679118.0600360286;648850.7840347928;730190.3073479292;643589.8654899407;613432.100889101;[-142603.17062826443, -253788.81253693393, -185444.2881336889, -105797.7369508429, -43854.44978089293, -66103.78516087809, -14334.905044958694, -6595.32903602859, 6758.952965207165, 30195.17165207083, 4685.751510059228, -39329.69188910106];-4.295070305652073;0.0004530254888220276;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;True
1990-01_2019-02;2019-03_2020-02;SP;gasolinac;ARIMA;{'p': 24, 'd': 1, 'q': 6};12;12;44308.185629304484;0.06441819195479037;90.9090909090909;-6.392437720892377;175654.4285219954;0.23148721962307414;691172.0122629328;692408.3375938743;712709.9426529902;678448.2326154081;699767.2653271594;708194.8672487735;688815.1611092435;728603.1556804841;705404.3364066621;781519.0589550973;686974.2674533698;681175.4473794939;[-31390.202262932784, -18495.988593874266, -54296.71965299023, -56475.04761540808, -36645.29332715948, -22845.340248773457, -43809.23710924352, -34957.40768048412, -42079.09640666214, -53765.3669550973, -59120.52745336981, -54137.917379493825];-4.232827103011084;0.000579482102461792;10;338;-3.449846029628477;-2.870129281376164;-2.5713460670144603;True
1990-01_2018-02;2018-03_2019-02;SP;gasolinac;ARIMA;{'p': 24, 'd': 0, 'q': 23};12;12;152956.13989800127;0.2158073296458174;72.72727272727273;-20.63987444111906;1820621.8366311719;0.8262143361380125;848412.3927770194;815895.3264501797;845709.1208253759;815705.0720946193;804501.1670376904;835427.1320228627;789332.6586785142;818638.267306643;818924.3945371483;878966.235298851;800969.3451017363;825487.3925037127;[-4170.962777019362, -39948.188450179645, -147089.38482537586, -107518.46609461925, -181011.05003769044, -148651.62702286267, -169083.35567851423, -190686.0823066429, -183208.9825371483, -150994.10029885103, -164048.85210173624, -206999.42350371263];-4.351980884478808;0.0003606267187606043;10;326;-3.4505694423906546;-2.8704469462727795;-2.5715154495841017;True
1990-01_2017-02;2017-03_2018-02;SP;gasolinac;ARIMA;{'p': 23, 'd': 1, 'q': 18};12;12;24251.980080204947;0.02418599626781615;63.63636363636363;0.9706356028400938;382124.0196890614;0.2030657945276227;945604.5859196432;905969.7604600257;892672.1355120301;888437.2802725391;828109.0716549574;845859.166295694;813170.0871854546;788678.2230754788;798924.4836801002;870858.559986683;740699.6073347665;772602.2576847703;[17089.01908035681, -19278.524460025714, 19300.173487969907, 5451.808727460913, 39254.97134504258, 30481.33670430607, 6886.30381454539, 36030.08792452118, -8092.500680100173, 8548.914013317088, 7717.920665233512, -44476.91068477032];-4.054234384397511;0.0011516884044177075;10;314;-3.4513486122290717;-2.870789013306053;-2.5716978530569192;True
1990-01_2016-02;2016-03_2017-02;SP;gasolinac;ARIMA;{'p': 8, 'd': 1, 'q': 19};12;12;86263.54170207212;0.07454312881324975;63.63636363636363;5.809505087980566;1361084.117647376;1.5540931724612295;847862.1248303695;841941.9243755842;809621.9021725684;783138.8424402018;777315.7489521077;778111.8427835427;812448.5334636109;798478.9770747274;776426.4838077686;848544.137824552;762102.3910202796;751133.5988707141;[50309.62016963051, 16726.520624415716, -34749.07017256832, -19393.89644020179, -21167.979952107766, 14793.424216457293, -28934.872463610955, 54416.83592527255, 137199.1571922314, 177195.06917544804, 111930.55697972036, 132991.84012928593];-3.8455682577665593;0.002474029828330447;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;True
1990-01_2015-02;2015-03_2016-02;SP;gasolinac;ARIMA;{'p': 5, 'd': 1, 'q': 4};12;12;99281.11753423918;0.12068332457073151;63.63636363636363;-11.861837222518767;1568462.2545904159;1.347980307447292;870463.8408684969;887058.8200324908;865403.6498824583;858882.991739154;881552.7159871631;864182.3565042422;878723.0518156592;906232.7636921155;859259.3432552743;956738.9292563807;869683.7803981238;820733.0006541365;[-86703.41286849696, -92795.00003249082, -103144.8858824583, -89330.46173915395, -118933.76998716313, -116920.8965042422, -134789.03981565917, -108624.92669211549, -100766.18325527431, -43232.29925638065, -117125.02039812377, -3060.6286541365553];-3.819416132093855;0.00271479396701752;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;True
1990-01_2014-02;2014-03_2015-02;SP;gasolinac;ARIMA;{'p': 20, 'd': 1, 'q': 16};12;12;53399.56455299236;0.04879258706136305;90.9090909090909;1.7650261134035825;211334.67816767885;0.44902430127536147;888353.6630117213;893345.0081074507;874423.4640141411;850500.0014294626;877543.2124010406;880937.4912453516;863494.5324917085;897478.4021176216;884474.552245312;941660.0094258589;868993.2279380675;836328.845536611;[14795.04298827867, 63429.644892549375, 68321.63998585893, 2095.887570537394, 2352.856598959421, 32142.536754648434, 50090.72550829151, 67641.97488237836, -38961.72524531197, 29629.188574141124, 18352.509061932447, -120198.9765366111];-3.6614311602158343;0.0046895528416650185;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;True
