train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;querosenedeaviacao;ARIMA;{'p': 24, 'd': 0, 'q': 19};12;12;1887.3190016457152;0.1924100330469519;72.72727272727273;-18.753645471206525;22447.691563007425;0.5625428805116542;9998.178618880282;9856.180028466026;10071.367980356425;9457.794455947835;9949.63015378969;11177.373019793;11229.184936692202;11457.645088428622;12314.472325240831;12427.235709276834;12766.522163698954;10634.324048250124;[-382.68861888028187, -1395.4680284660262, -1822.9309803564247, -1625.5494559478348, -1871.3931537896906, -240.065019792999, -2987.352936692201, -1843.9730884286218, -1805.3133252408315, -2545.398709276835, -2387.082163698953, -1834.060048250125];-5.077624301683637;1.5546454344488495e-05;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
1990-01_2022-02;2022-03_2023-02;RS;querosenedeaviacao;ARIMA;{'p': 24, 'd': 1, 'q': 21};12;12;5298.016282160874;0.3851801748061446;54.54545454545455;40.27142876894443;105168.87836770233;inf;7869.735453992652;6730.156818163691;8153.033073685036;6982.610638255672;6945.001261347413;6858.335132230772;7284.087073080307;7896.347964089261;6992.278498380272;6843.3569518105105;7376.812942051634;7090.357650425878;[4020.3865460073475, 4595.550181836309, 3703.014926314965, 3591.410361744329, 3719.4387386525877, 6423.172867769228, 6109.147926919693, 5231.374035910739, 8692.413501619727, 7846.364048189489, 3918.286057948366, 823.2843495741217];-5.241028223865807;7.245631869254627e-06;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;RS;querosenedeaviacao;ARIMA;{'p': 23, 'd': 0, 'q': 7};12;12;3988.2574573435663;0.35524871267406394;81.81818181818181;37.800975015691144;32015.68367263307;0.700596113759999;5261.5321775244765;3674.1904304920618;4115.203290662976;4516.365734257896;4863.458161005161;4319.025109755317;4514.3318252474555;5686.993811819831;6852.579869345585;5674.201248884169;5257.53709778773;4739.294531125719;[-1053.0361775244764, -604.0434304920618, 61.11270933702417, 649.573265742104, 2107.657838994839, 3675.806890244683, 3639.5121747525445, 4383.120188180169, 5167.173130654415, 5783.140751115831, 7249.171902212271, 5086.106468874281];-4.863206938755051;4.1105412289565356e-05;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;RS;querosenedeaviacao;ARIMA;{'p': 4, 'd': 0, 'q': 17};12;12;6777.42041060039;2.173343374277232;27.272727272727273;-157.3778042847305;219879.96402177148;0.8142266895459558;10585.958279900033;11168.351918359447;10677.889495095147;10168.797403133542;10521.488819707567;10967.178939580022;10842.11292334696;10258.441384972082;10430.135349614315;10468.353388028396;10920.697025136982;10848.841237498322;[-5411.900279900033, -7949.162918359447, -8777.421495095146, -7781.601403133542, -8346.991819707568, -8853.714939580022, -7731.85392334696, -5762.627384972082, -3513.989349614315, -3611.621388028396, -4914.2080251369825, -5525.891237498322];-5.0215193279662955;2.0116658795244155e-05;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;RS;querosenedeaviacao;ARIMA;{'p': 10, 'd': 0, 'q': 23};12;12;1741.0228317661874;0.13645438887709124;45.45454545454545;-9.820886547913835;41227.09384007666;0.673506659017405;12284.878615101456;11954.375547793583;12216.299143912525;12664.019749107993;12518.141544259763;12472.668179840448;12600.742633006497;12468.25141559155;12485.644220652495;12296.173373903313;12616.409422813267;12701.910765463404;[346.7513848985436, 476.4674522064179, -901.7691439125247, -379.6717491079926, 597.5054557402382, 404.61282015955294, -2858.4176330064965, -2860.34741559155, -1779.687220652495, -1435.7393739033141, -1900.4664228132679, -3058.7677654634044];-5.216877503738469;8.120678308319247e-06;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;True
1990-01_2018-02;2018-03_2019-02;RS;querosenedeaviacao;ARIMA;{'p': 10, 'd': 1, 'q': 24};12;12;2336.494039415335;0.15670142381368438;45.45454545454545;-14.794675458139542;55347.600727354875;0.9713503644954469;13675.978466709419;13130.03984657721;14056.451081234443;13018.03339736972;13230.13783068925;14968.634529575935;15274.577752605957;15030.17970380795;15187.21908873345;15267.541889357868;15898.208947390442;14194.79575557361;[-1019.8634667094193, -25.703846577211152, -1097.9730812344442, -216.10839736972048, 256.70216931075083, -2453.3835295759345, -2956.388752605957, -1438.5247038079488, -4042.5010887334483, -3458.9318893578675, -3622.704947390441, -2211.9747555736103];-5.164047808752723;1.0406237061798184e-05;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;RS;querosenedeaviacao;ARIMA;{'p': 24, 'd': 1, 'q': 24};12;12;2009.853365608395;0.11730902364838879;54.54545454545455;7.133930057412043;39663.13095208628;0.5674379059664578;14214.147848703535;14072.927856239246;14049.731475496812;12951.516574280537;13710.57217337485;14462.427719234594;14602.061168213972;14343.372571929804;14294.326676726632;14867.513536728291;15088.615056789611;14235.173488396422;[2069.015151296466, 105.15214376075346, 268.2455245031888, 891.4194257194631, 2790.638826625149, 2429.707280765404, 1753.204831786028, 2181.6854280701973, 2736.097323273367, 2212.1044632717076, -1903.7290567896107, -2405.664488396422];-4.826134016231468;4.845932914595363e-05;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;RS;querosenedeaviacao;ARIMA;{'p': 11, 'd': 1, 'q': 8};12;12;2583.138456776105;0.1773818887997458;63.63636363636363;-17.44740425232515;40875.0825909476;1.0823254653465146;16527.61027719638;16530.945043344364;16750.911804619915;16458.85213409754;16994.94511763835;17002.532390780023;16942.140123371813;16336.720673190524;16660.642560754724;16733.04047634811;16986.31804286902;16580.805278815773;[-1830.7272771963817, -3187.103043344363, -2735.7508046199146, -3366.154134097538, -3757.919117638352, -1799.5903907800239, -2527.255123371813, -1261.6956731905248, -1849.4115607547246, -2418.3854763481086, -2092.1370428690207, -2959.9682788157734];-5.1337483826671075;1.1986123050967677e-05;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;True
1990-01_2015-02;2015-03_2016-02;RS;querosenedeaviacao;ARIMA;{'p': 24, 'd': 0, 'q': 15};12;12;917.5027160215008;0.03917958681057223;54.54545454545455;3.1900317725511607;18074.9881853693;0.13823498835443757;16974.150057375362;16795.405468655903;16761.15297631789;15888.32951104902;17155.57320654885;16521.4567690464;16380.40882957567;16467.106236494026;16674.07096213876;16917.52803596218;16566.428067287838;15868.539877632245;[374.8659426246377, -57.553468655904, 855.1720236821093, 1417.1184889509805, 594.6187934511509, 2234.262230953602, 1108.4201704243314, 479.38076350597476, -529.1419621387613, -270.4620359621804, 165.49893271216206, 184.18112236775414];-4.959476619977422;2.667803724067726e-05;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;True
1990-01_2014-02;2014-03_2015-02;RS;querosenedeaviacao;ARIMA;{'p': 7, 'd': 0, 'q': 10};12;12;1776.463477859798;0.08575918107043225;54.54545454545455;8.836911245005055;35032.713422795074;0.30366996845384003;16393.555167282728;15892.73650077168;15469.320990725482;15245.50213334692;15638.658750130306;15550.142164140523;15210.820993156529;15199.402723625095;16017.0076825725;16046.222536542557;15486.643577410585;15186.580634610045;[145.09083271727286, 987.8374992283207, 1649.7940092745193, 272.18286665308005, 2004.3452498696952, 1739.5008358594769, 949.0640068434714, 2936.3912763749067, 2074.7583174275005, 2109.1164634574434, 2938.186422589417, 353.2403653899546];-4.819404529938689;4.992321817929563e-05;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
