train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RN;etanolhidratado;ARIMA;{'p': 13, 'd': 1, 'q': 1};12;12;1337.501846808263;0.22017443377443047;54.54545454545455;6.075000343290092;26457.08913310392;0.69240451650884;6375.980084600996;5717.357110116992;5230.417207177423;4672.268087192547;4179.734383062566;2845.1239935839462;4138.33972075711;3584.6014996138656;4425.196029177255;4649.167941466499;3892.0536744537403;4592.508212823861;[-1283.9200846009953, -1850.3571101169919, -276.967207177423, -402.7680871925468, -88.23438306256594, 1725.8760064160538, 697.1602792428903, 430.8985003861344, -890.1960291772548, 1125.3320585335014, 2898.9463255462597, 1426.491787176139];-3.4897971449891223;0.008253024027841229;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
1990-01_2022-02;2022-03_2023-02;RN;etanolhidratado;ARIMA;{'p': 12, 'd': 0, 'q': 1};12;12;1352.3864205824207;0.26144421201419393;63.63636363636363;-8.655278692404842;21451.78210232662;inf;6673.74203088988;5906.904834746002;6092.909986688415;5683.568089301585;5628.608294977665;4412.060856916281;5921.46914712773;4733.34722879362;5698.720293992326;5572.723029425113;5523.186042072972;5577.12767221788;[967.25796911012, 2195.431165253998, 739.0900133115847, 1.9319106984148675, -1099.208294977665, -1650.5608569162814, -2720.96914712773, -604.8472287936202, -1216.4892939923266, 183.27697057488695, -1288.6860420729718, -877.12767221788];-3.3947083143261487;0.011140592992216484;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;True
1990-01_2021-02;2021-03_2022-02;RN;etanolhidratado;ARIMA;{'p': 24, 'd': 1, 'q': 6};12;12;2599.195942585031;0.4280393476552877;54.54545454545455;-26.000795831896756;51648.57927346116;2.0319345238903312;7066.374938673187;5799.973978295191;5354.702012763179;5350.737936469429;6449.990113197841;6293.129160098405;6809.375244092192;8337.817773000359;8016.890097874846;9557.01975757944;9095.867362521836;8752.111512209834;[1732.125061326813, 578.9260217048086, 1031.7979872368214, 148.41406353057118, -1786.430113197841, -2692.129160098405, 627.1247559078083, -3610.317773000359, -1793.890097874846, -4433.519757579439, -3972.867362521836, -3758.1115122098345];-3.3288895570259043;0.013635474490211418;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;True
1990-01_2020-02;2020-03_2021-02;RN;etanolhidratado;ARIMA;{'p': 19, 'd': 1, 'q': 8};12;12;1813.4666870524557;0.3265174906798623;54.54545454545455;-19.390269855470457;35956.19448211716;0.48907879848155333;7784.53494226448;6730.108172578033;6761.530868535759;6346.024423490579;5785.427014190337;6043.803566583332;7053.440073263122;7867.409226256549;7859.675853050958;10262.018337413174;9609.697604271823;8059.128656696228;[-1141.0349422644804, -2833.608172578033, -3856.0308685357586, -2700.5244234905786, -518.4270141903371, -555.8035665833322, -1256.217073263122, -516.4092262565491, -129.6758530509578, -1578.742337413174, -991.1106042718238, 1434.1713433037712];-3.106571393428349;0.02607068270918871;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;True
1990-01_2019-02;2019-03_2020-02;RN;etanolhidratado;ARIMA;{'p': 1, 'd': 1, 'q': 21};12;12;1466.2359910924622;0.1566640706369644;36.36363636363637;-12.688187422176705;40506.43419108135;0.3773281741294529;10180.66465928686;8686.827914877062;8864.219663453068;8935.865073393245;8061.987389881128;8369.937008727738;9432.321354121626;8963.160306570193;9790.20871682575;10211.890204949957;10013.003648852335;8857.990308685654;[-1312.6646592868601, 192.67208512293837, -194.02866345306757, -2280.3650733932445, -847.512389881128, -1925.4370087277384, -2794.3213541216264, -1124.660306570193, -2274.2087168257494, 252.06779505004306, 112.49535114766513, -230.99030868565387];-3.123824915449499;0.02483954668396829;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;True
1990-01_2018-02;2018-03_2019-02;RN;etanolhidratado;ARIMA;{'p': 14, 'd': 1, 'q': 21};12;12;3519.4969758355387;0.2919157603101875;54.54545454545455;32.90929285891106;69722.75297674332;0.7001764868198959;6381.4579336117295;5801.2570747110785;5732.5846780898055;5661.052759522015;5425.14489023337;5924.1568534712615;5769.92588114626;5586.265436252437;5767.777065774986;6417.518549312294;6233.196870286567;5410.078268137909;[744.8390663882701, -65.45707471107835, 552.4373219101944, 2734.897240477986, 922.5481097666307, 1510.8431465287385, 3968.1271188537403, 5934.869563747563, 5089.415934225013, 5787.085450687705, 4239.803129713433, 2971.1097318620914];-2.551541884667536;0.10343176500412599;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;RN;etanolhidratado;ARIMA;{'p': 17, 'd': 1, 'q': 23};12;12;1464.6343722634508;0.16047669121819993;72.72727272727273;16.839394519600376;17400.178127718;0.44561690809646337;4101.662489425446;3686.25831245394;3744.032712075369;3650.314497957986;3590.9234629769308;3761.7963052787313;3873.2917433257862;4891.965897405178;4453.0682567442645;5373.133351956368;4788.669535550563;4505.154379585457;[324.83751057455356, -57.25831245394011, -62.53271207536909, -304.8144979579861, -168.92346297693075, 681.3516947212688, 667.8242566742138, -350.4128974051782, 1433.527743255735, 2018.2276480436321, 3312.8264644494375, 2715.0706204145436];-2.688481261011947;0.07605281178933898;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;RN;etanolhidratado;ARIMA;{'p': 8, 'd': 1, 'q': 15};12;12;1907.5628869130744;0.42523450581281536;72.72727272727273;-42.03144327846216;22883.50939489503;1.425278215609401;6893.887329760174;6873.456291567501;6427.896793076145;6392.553891013781;6425.344493087632;6107.692515526012;5863.702145064036;6548.910277831735;5621.699932345532;6465.743486060654;6140.4001567513915;5640.167871879242;[-1949.2203297601736, -2690.4682915675003, -1961.3967930761446, -2118.553891013781, -2369.344493087632, -1854.1925155260124, -1638.702145064036, -2221.9102778317347, -1313.199932345532, -1446.2434860606536, -1275.9001567513915, -1474.4618718792417];-2.6673488021664813;0.079860764745524;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RN;etanolhidratado;ARIMA;{'p': 12, 'd': 1, 'q': 2};12;12;2017.3835819704366;0.3074041401317495;72.72727272727273;31.62035421384691;24096.328961738156;1.164437136355747;4237.727397969798;4319.598269734142;4152.024802693085;3719.6798938038964;3706.0052684314073;3619.216462164046;3532.87749410121;3789.1605164389134;3538.3356264594795;4259.859251205103;4189.651343405168;4878.359567959633;[1705.3226020302018, 1500.0627302658577, 1345.475197306915, 1790.8201061961036, 1679.0447315685929, 1737.7835378359541, 1783.1225058987902, 3712.8394835610866, 2543.1323735405203, 2697.393748794897, 1434.3486565948324, 240.39043204036716];-2.393801172809116;0.14349363100405077;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RN;etanolhidratado;ARIMA;{'p': 22, 'd': 0, 'q': 24};12;12;638.7668642646697;0.15728736093056891;54.54545454545455;-10.351069883924696;12619.062639092332;0.3410550494311649;4408.837886057115;4026.7341807357334;4113.245856796389;3841.575496745445;3870.459681481818;3979.9328778595864;3501.6047772046095;3909.2181052984247;3660.6765330958415;4577.986005946553;4409.161141552412;4301.1781954928065;[-898.8378860571147, -447.2341807357334, -607.2458567963886, -657.8204967454449, -547.1316814818178, -887.2648778595862, -269.63177720460953, -394.48010529842486, -245.32653309584157, -422.9860059465527, -364.1611415524121, 1183.3218045071935];-2.2295093568531317;0.19571008825630454;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
