train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.20250907214514405, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;9917.826459612355;0.3144886710731999;45.45454545454545;38.288070113337305;235605.91350244763;0.8203976477097112;9038.661787681007;9099.42146601528;9960.934445019137;11279.127460034259;11384.09133547287;13679.560019593378;15060.96009037113;13588.701632605254;14617.825969618974;12837.773232626683;12440.444059418352;12826.328918347665;[3151.1002123189937, 2736.2955339847213, 1325.4245549808638, -90.3554600342577, 1084.5526645271311, 3354.0419804066205, 6395.41690962887, 10713.724367394745, 10189.762030381025, 17603.925767373315, 17779.989940581647, 16223.721081652335];-2.8798797901798574;0.04773823006865106;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
1990-01_2022-02;2022-03_2023-02;MS;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.010660723375917587, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;4211.16772666652;0.3162064633444615;54.54545454545455;-17.700327710480725;83468.69162869811;inf;11308.90511556822;11426.577836994227;12221.695310726875;12412.69053866764;13054.729209410274;13461.495364404811;14512.29684277834;15235.936948151113;16805.42310976748;17625.36029974398;17040.174801121222;16471.873001242704;[4792.660884431782, 3675.0231630057733, 72.46568927312546, 583.7354613323587, -1389.3402094102748, -3354.02736440481, -3338.7458427783404, -3793.8229481511135, -4923.684109767479, -4672.9552997439805, -7311.325801121222, -6142.562001242704];-2.975378483620668;0.03725859642364373;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;MS;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.29799995153058273, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;6780.8461128656645;0.45974540941500114;54.54545454545455;5.145141014104611;134822.24520545625;3.795544506840284;12606.638878553755;9975.3173929422;5622.3650327860705;5895.437542505916;8191.384004375801;9197.809487344806;12268.427659993751;14203.631149921668;17539.621877641253;19653.996369174845;20999.810125145847;19701.801239708828;[7793.654121446247, 7167.4086070578, 9824.53596721393, 6873.575457494085, 4379.947995624199, 3681.941512655194, 979.6923400062497, -786.8191499216682, -5772.267877641254, -6498.977369174845, -10568.971125145847, -8619.727239708827];-2.5392497980341853;0.1062140853050253;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;MS;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.013398863700786967, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;5886.377562009652;0.2948111046135965;81.81818181818181;34.75828020772096;47096.96264963607;0.9083248461291615;8461.630687337662;7948.315133294067;7954.764910797173;8017.384269280506;8279.149950580959;8487.712850818825;8710.93578436462;8887.192576565232;9311.635210978682;9600.94485670519;9996.170522250266;10236.354550536176;[814.8253126623385, -109.0121332940671, 354.159089202828, 1100.109730719495, 2429.6740494190417, 3759.1511491811743, 7415.16821563538, 9355.456423434769, 6502.109789021319, 9450.03214329481, 6685.861477749733, 8657.753449463824];-2.707768449240283;0.07270360821060859;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;MS;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.1414821987239681, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;3642.802552269511;0.3523003077760969;36.36363636363637;-23.9815635157506;100944.13213391812;1.0354487302166608;7414.716966874983;5866.2849899292105;7096.860733967664;8457.269034388448;9302.915776217651;11236.310492578636;12976.738581631;14016.42339401051;15177.98663939484;14903.92361921632;14557.717913387907;13452.806481412827;[1137.0470331250162, 3359.7860100707894, 1822.0062660323365, -520.3030343884475, -883.5877762176515, -3360.0014925786354, -4577.106581631, -4555.197394010509, -5992.83763939484, -3422.93761921632, -5225.477913387907, -3789.772481412827];-2.6735842511806918;0.07872194899296991;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;MS;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.17981792193796836, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;4322.324159686607;0.3211860752189231;63.63636363636363;31.230922019398417;68665.15106916803;1.299996685173149;6182.699875033728;5818.433002392656;5554.599678213258;6460.543795754582;6963.5968345196625;7009.894024667438;7792.554225594531;8177.455888096611;8929.058449333941;9867.332073977805;10171.032581169049;10228.389755400363;[1622.3321249662722, 1677.4479976073444, 3331.1343217867425, 4917.544204245418, 5422.564165480338, 5875.932975332561, 5896.691774405468, 7252.335111903389, 4134.512550666059, 3448.433926022195, 452.2654188309516, -1725.334755400363];-2.5019520464260454;0.11500009294956909;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;MS;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.010514666973513876, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;1480.6705071786012;0.18395283985713415;54.54545454545455;-14.421462182332181;29264.704424588315;0.31421570992862796;7770.429187410149;7826.750700672047;7979.177256773987;8214.518279840207;8577.682955524084;8868.038449955819;9212.262998096421;9590.215617411657;9954.688028859182;10347.36458801035;10409.276010272913;10044.498272365989;[-827.4791874101493, -1281.7847006720467, -1571.127256773987, -2389.298279840207, -2060.8029555240837, -1407.1134499558184, -326.46399809642026, -1153.2386174116564, -393.81202885918174, 1107.9574119896497, -1016.6170102729138, -2392.521272365989];-2.445489888835291;0.12930653347605864;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;MS;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.010138756735055527, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;9437.144029637002;1.0835837041706897;63.63636363636363;-103.44228381141878;153041.5032235457;2.8698081401509294;16600.232898630424;16756.09675533096;16750.55574508001;16976.59516052154;17496.233319589464;17739.750590945358;18595.939807328316;19195.954638234634;19390.442540402033;20045.298012490617;19922.236341051444;18522.576604880494;[-7127.2188986304245, -7217.796755330961, -7067.026745080011, -8149.345160521541, -7914.383319589464, -8123.100590945358, -9186.039807328316, -9898.254638234634, -10058.292540402033, -10678.698012490617, -13021.336341051445, -12398.696604880493];-1.9708274112637256;0.2995088899873254;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;MS;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.297950736403722, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;7221.870645243536;0.3586832187097862;45.45454545454545;24.86163377740936;171702.58962431995;1.0609495146511843;10472.415672120384;10235.991659054627;8843.676132712095;10668.843511230025;12896.743375522234;12559.612577635437;15151.618931813739;14726.598805660054;15978.735655596623;16664.169844096792;18300.391684689548;18189.472860850783;[9248.934327879615, 11018.915340945372, 9755.158867287904, 7274.906488769975, 6195.256624477766, 7524.337422364564, 6309.046068186262, 7926.301194339947, -133.28565559662275, 932.7301559032094, -4124.994184689549, -7435.577860850783];-1.9251907753089028;0.3203049334772282;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;MS;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.2774518989301302, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;3264.861984128407;0.17776913865621136;72.72727272727273;18.18842629129554;38809.599307027456;0.7060292007424609;8745.91743029274;8419.557944923961;8317.999434573794;9027.626100617232;10997.07732930919;11156.793086158314;12982.516218090605;11704.99853427337;11848.689588449415;13590.383694872526;14268.375838266173;14403.766720933985;[3650.203569707259, 3453.221055076039, 1926.0005654262059, 845.6238993827683, 12.622670690810992, -110.86308615831331, -833.8302180906048, 2763.8514657266296, 3266.060411550585, 6370.216305127473, 4104.074161733828, 4669.237279066016];-2.264956616573312;0.1835192928806853;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
