train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;gasolinac;ARIMA;{'iterations': 200, 'learning_rate': 0.17691154513974805, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;37504.862347794915;0.12598345441284323;45.45454545454545;2.5384965151471826;887871.5996979831;1.1260654520620907;241821.5750212281;231023.5127198694;243436.6121877876;246548.8329644882;260725.33244945662;265123.97940644494;281282.33155117027;294353.9440891607;292282.9542005917;286704.9759742922;304114.33611850423;282477.8309932897;[40911.67097877187, 47006.8502801306, 65242.2358122124, 35840.87003551179, 19767.797550543386, 20590.37659355509, -12489.907551170269, -31590.224089160736, -29727.997200591723, 20057.286025707785, -42948.61711850422, -48533.99399328971];-1.3736495368069737;0.5948416561839055;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;PR;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.2740298072934739, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;41580.502625315065;0.13660639619378598;72.72727272727273;13.665016664693994;493503.53547396185;inf;198574.48414524217;195232.6635040681;197285.25905491502;204225.9984831785;228977.57412835423;233426.62247871418;242422.57287506876;271872.5248263337;279296.5517181717;256714.4318740824;251576.42133343997;258913.64452994202;[40250.17285475784, 39505.86749593189, 54420.235945084976, 29457.60951682151, 40700.90987164577, 47146.33852128583, 40194.12312493124, 18566.22217366629, 3876.1382818283164, 81180.66012591761, 26175.544666560047, 24638.566470057995];-1.576643382431695;0.4953147759783277;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;PR;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.24395859846640966, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;38392.61111199463;0.1305594907564346;54.54545454545455;13.70605190907826;757831.6121871973;1.0014999875282744;181990.0157063756;178515.2204543762;189647.60183095728;193725.51584814722;198175.71118692076;206015.95396505197;213278.31880440493;225655.22891939568;226984.26626571684;226359.59447620006;223782.63678612397;213915.51760969323;[2452.7472936244158, 21663.01754562382, 28474.19416904272, 25549.31415185277, 55972.52781307924, 42330.29203494804, 35428.01619559506, 27998.839080604317, 25730.30173428316, 83522.78952379996, 13330.206213876023, 31135.278390306776];-1.9285256666309536;0.3187629921082064;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;PR;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.21682379605883478, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;18971.292629096537;0.06744452915171024;63.63636363636363;-0.9184129198283761;299275.49436748493;0.2106948730819806;202591.21935499614;199105.39609702033;201333.40587087322;200894.28240840943;202001.89674004892;201653.95866227534;207468.27625430227;209490.1536578428;215506.44343710836;217888.66036429824;218317.92481457692;227930.2581631415;[-7968.672354996146, -34894.99709702033, -9851.12587087322, -3680.850408409431, 2148.9212599510793, 1019.7103377246531, 4944.123745697725, 20941.905342157203, 4464.225562891632, 37598.587635701755, -6079.47581457693, -31431.78116314148];-1.7886726930574668;0.38609971131414583;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;PR;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.015700639145943884, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;13511.084848065311;0.04790434321513354;63.63636363636363;3.8859959806269675;213025.43021487322;0.17530610123725504;200674.40504583795;200205.17338258348;200072.58191999627;199524.9971456074;200159.346699363;200540.82126347677;202212.8754754671;203991.47707571954;204451.2169104054;206756.87399784455;211898.18255213797;215681.95031412877;[2006.1879541620438, 11392.568617416517, 5493.218080003717, -4764.849145607412, 15254.583300636994, 15284.233736523223, 2261.549524532893, 16418.134924280457, 11309.784089594585, 33102.041002155456, -4581.332552137959, -4274.7523141287675];-1.921022208471357;0.3222371367359895;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;PR;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.011715659185321373, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;43739.568610492846;0.2004538075702945;63.63636363636363;-18.807347569547925;692519.3012371443;0.5985429438246384;245558.21907217408;245128.28106908596;245044.07465175464;244441.1229219843;244722.07377664244;244759.21158190822;245342.3186482238;246454.56083227057;247263.96050125762;248910.99376036628;249737.43650702017;252021.84208157085;[4090.5089278259256, -9894.844069085957, -37028.211651754624, -44650.966921984305, -47589.44977664243, -37537.36158190822, -62693.38964822379, -52195.79983227057, -48230.292501257616, -19599.82576036628, -52182.50650702018, -60961.96108157086];-1.6133806251115528;0.4762012430488994;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;PR;gasolinac;ARIMA;{'iterations': 200, 'learning_rate': 0.24730013212132232, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;32242.56660348109;0.11284436755473082;45.45454545454545;2.665603016299285;763111.2741822324;0.6727320511631715;226488.60617249476;226070.5426925128;231618.30306830103;229437.12778242602;237538.0068645628;242675.4105520294;245357.22443872737;252250.21876219107;251097.65336007197;254284.8121312946;259169.7955911722;263127.2071144384;[51245.317827505234, 34378.10330748721, 35848.030931698944, 39695.082217574, 34025.71813543717, 9568.7704479706, -7838.445438727358, -15559.447762191063, -16332.210360071971, 3730.3088687054114, -40638.5735911722, -48179.67711443841];-1.0746490543195266;0.7250749807782338;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;PR;gasolinac;ARIMA;{'iterations': 200, 'learning_rate': 0.28357003378986323, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;35462.98256464472;0.12882886639489663;45.45454545454545;13.080827889613738;839577.0686655362;1.0963809979175072;203473.75632976016;198578.3824919047;201503.00087636348;202072.30539817014;204194.38651971178;207300.16380537947;211053.86322873284;218096.60538963057;226395.66935868547;222367.86689290244;230466.4123893824;236740.95950699062;[45737.08467023983, 43233.9095080953, 32486.182123636507, 23510.181601829856, 27818.528480288223, 31090.094194620528, 26492.90977126715, 23221.582610369427, 27275.13264131453, 72153.39710709758, 21763.178610617586, 10820.485493009386];-1.4232041731440277;0.5711025879606211;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;PR;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.22812305745432848, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;23927.064101103602;0.09847896739259866;63.63636363636363;-9.564541392909403;377775.4157217594;0.3698614344062023;228640.48933430246;223454.48231870806;221566.7232906555;225773.53172459383;228682.1418085389;231075.2898267153;231815.89705270756;238394.23086389765;245305.05311824332;249703.021474742;252757.69465374612;256667.76334651565;[-17742.111334302463, -7356.3133187080675, -15631.968290655495, -12935.385724593827, -11087.81680853889, -24350.769826715317, -24133.003052707558, -23206.60886389765, -36755.68711824331, 1724.583525258, -40928.99365374612, -34978.376346515666];-1.1907320579929348;0.6775697858470069;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;PR;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.012276428802709951, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;23280.250805038668;0.08174755583591277;54.54545454545455;5.86661982498933;459036.7816487582;0.5867287123783586;225518.26876904457;225073.332404135;224993.71833748362;224677.49997972918;225937.8006082285;226138.02055192483;226229.29194476784;226002.20006928104;225936.0863970824;226955.403937762;228238.04029450973;230098.13248654566;[8331.057230955426, 22187.923595864995, 19477.002662516374, 2744.6080202708254, 19322.0023917715, 18884.821448075178, 19250.797055232164, 37040.93693071895, 568.7856029176037, 41539.59506223802, 13982.185705490265, -34074.631486545666];-1.0089753366605423;0.7499766931399028;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
1990-01_2013-02;2013-03_2014-02;PR;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.010418568194087534, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;12285.941057461363;0.04380819761881007;63.63636363636363;2.1552697169611466;193687.14921774334;0.25433892098354455;226818.95564227478;225939.64042531062;225964.38002927043;225232.88964456753;225554.59791923128;225651.52697608806;225646.69707390998;225783.191292529;226082.01114813992;226755.190141636;228078.029701326;229183.67183865537;[-3205.291642274795, 4263.114574689389, 8610.309970729577, -9077.481644567539, 10074.98808076873, 16064.207023911935, -2470.8240739099856, 16314.502707470994, 9341.783851860091, 27323.210858364007, -6534.629701326019, -10862.124838655378];-1.0499692510729095;0.7346059639927413;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;False
1990-01_2012-02;2012-03_2013-02;PR;gasolinac;ARIMA;{'iterations': 200, 'learning_rate': 0.28152994723768704, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;39708.54601752872;0.15909270266155984;27.272727272727273;10.062465603213116;1253235.3930334589;0.856342547954123;186141.87192175933;184949.0153761998;181292.98749794855;186014.04145100742;193937.09185345782;191917.5674843049;201276.49021287958;218274.97504639364;221304.23394314904;219555.8588986103;239214.54882593066;255544.31693981076;[45377.46607824066, 35483.3956238002, 46335.56450205145, 35418.81654899259, 31400.852146542165, 48762.39151569511, 25340.242787120427, 27588.762953606376, 4655.503056850954, 55766.211101389694, -14824.42182593065, -63899.92993981077];-0.6462456025964343;0.8601863718715503;13;251;-3.4566744514553016;-2.8731248767783426;-2.5729436702592023;False
