train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.2531546224144448, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;15673.064774887094;0.11316826767416112;54.54545454545455;9.353208696062113;309253.71950829413;1.1258853730287433;106146.55734172158;107659.5686131159;107178.01136601472;106800.00270054734;107426.23058418016;107573.55248066393;106781.74543515209;107904.53982566475;108672.97807740787;107681.04920519768;108611.34241828512;107219.543401841;[12933.259658278417, -15591.233473115906, 22833.256733985283, 24885.44479945267, 20852.776615819836, 25494.18481933608, 8438.915764847916, 8046.769974335257, 5963.306322592136, 6030.624694802318, 9520.374981714878, 3662.8152981589956];-2.3865008156631085;0.14558275798348114;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;MG;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.20354459822574428, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;4659.481753497485;0.032521101755469975;54.54545454545455;0.5779671096687826;91776.01803520398;inf;105248.19552324893;106471.70485434345;105360.41694927597;107757.73189617986;108445.50351423793;110076.27142383573;108344.29190299999;106321.85951621197;106620.64947011843;105079.84432964078;105235.7253726655;99226.18773599053;[3170.42227675108, -12024.476594343447, 4229.943550724027, 813.894903820139, 1636.5978857620648, 6596.786576164275, -1721.8843029999844, -1405.817816211973, -1632.9501701184345, 5514.920170359226, 1676.4558273345028, 553.308644009463];-2.3307438869330466;0.16224405417538423;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;MG;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.15868197594922837, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;9622.272027653613;0.08283057197016434;54.54545454545455;-6.169496532676975;189736.11339686095;1.3284956683514286;108582.42737031703;110234.39338358401;109920.63282888052;111816.51608537516;112295.96805557658;112336.99029697277;112752.05884933588;112725.67732845366;112983.96119798851;113887.25914731066;111467.70991883754;108860.5135094608;[6010.8625296829705, -5747.242983584016, -6793.504228880527, 632.650614624843, 4923.030144423421, -1285.8797969727748, -12227.240049335887, -12802.68819845366, -13848.622427988506, -9247.145047310652, -15184.35665883754, -12172.984519460791];-2.3611205127523855;0.1530117883834609;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;MG;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.10923077498771014, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;6318.710135410351;0.05031842147385929;72.72727272727273;-0.25018919394368316;74758.68086159573;1.1252543042395196;108390.15782163097;109003.20256872596;110896.21477404085;109158.76402456641;112073.28548176208;111115.56245190158;110428.3532457811;111210.76987003117;109673.02311340936;110816.38484892165;110313.57820437296;109290.89780432842;[9579.811378369035, 4000.676031274037, -2147.6205740408477, 4475.2921754335985, 9049.58591823792, 4155.191148098413, -3480.601445781096, -2846.7607700311783, -7167.023113409363, -727.2707489216409, -6864.623504372954, -11326.82715432842];-2.3029108351288983;0.17103088787855036;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;MG;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.23921558409865062, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;7983.15517670287;0.061667593559076216;63.63636363636363;-4.230638510773311;125916.23829801148;1.56946832882949;107323.18535190092;110997.2547098161;111524.80958571134;110372.25243429578;111100.6202677689;116435.5577419435;119482.3979575553;118737.60907294031;115202.02296440769;112689.35821030158;112508.27761025428;111804.47827873792;[-3124.442551900909, -3174.330809816107, 1322.0219142886635, -3727.0984342957818, 10577.957632231104, -496.74074194350396, -13456.753057555296, -6178.165272940314, -10290.416064407691, -2727.097310301586, -11700.08011025429, -12152.21015873793];-2.2419321999284136;0.19137985061525592;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;MG;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.07802338670291917, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;10840.481130198226;0.08970280340791453;63.63636363636363;-5.793338894976831;171115.7932981718;1.326237294544621;115024.36933794661;114821.94173034852;116798.40544847699;119431.70511277317;119535.7187620206;120126.4137929125;119102.57407009507;117890.13679885566;118307.62194294765;116673.4545659195;115731.78510328183;111797.5802585463;[-5669.2389379466185, -4909.755130348523, -19781.273198476993, 16808.110087226843, -5657.485062020598, 3250.242007087494, -10600.503370095073, -8442.689298855665, -7288.824842947652, -11151.941865919493, -11961.986203281835, -11546.96065854629];-2.064794313820069;0.2589045020586741;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MG;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.2996890314163638, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;10202.114421474647;0.08255811211347348;63.63636363636363;-4.036766197350653;161007.65350988347;1.0719846891833238;114523.37392769639;115592.02001014874;117593.27176307647;121561.93639669319;119406.49159462794;122059.0162716305;120799.27790233822;120964.35788438014;121214.78569274888;122079.55851255212;119406.28604784483;119092.39181942923;[9685.026772303609, -10714.652210148735, 4198.1811369235365, 1499.7782033068215, 5807.3435053720605, 5762.123428369494, -5590.68850233822, -12208.071984380134, -9607.316792748868, -11443.028712552114, -15072.01434784483, -17969.165419429235];-1.9265460298710224;0.31967789648054257;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MG;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.25423520909707253, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;8520.567718894807;0.060756575244552836;72.72727272727273;0.9457634960130101;100847.99018296399;0.5714692967894652;115568.35319882852;116619.32579912564;117421.93530077998;119222.81097351998;116258.25609914822;117555.29143273397;116839.22845295779;116797.42856489446;117626.98663686725;117537.31324308012;116283.8504522441;115509.52472978873;[3481.487401171471, -4324.001499125647, 2983.2295992200234, 7570.274126480013, 9372.008400851788, 13568.688667266018, 1513.2860470422165, -2533.247364894458, 1379.8231631327508, 8956.424056919874, -15565.875852244106, -13004.048329788726];-1.8528339947803802;0.3545641323506305;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;MG;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.10828498107702078, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;5485.426314195665;0.03821147110532476;54.54545454545455;0.2563250926532983;108057.8446687967;0.47581516054900114;114250.01979450663;114345.65298091946;116743.73737259973;116835.88271478638;116037.00062761638;117642.28166213508;117024.18996722529;117736.93329006097;116303.299196219;115976.83576258241;113777.72362170086;114142.38007131778;[274.43130549337366, -137.67108091946284, 1755.5633274002757, 5721.850985213619, 11410.573672383616, 6106.336137864928, -3458.700867225285, -4728.279290060978, -8973.663296219005, 3353.003037417584, -4757.906621700866, -2991.3655713177723];-1.9533130081290346;0.30741114652719725;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;MG;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.10476202469675898, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;6959.692021288252;0.048132105390134156;36.36363636363637;-0.8683651214826906;191923.15458167574;0.6710165207958132;111460.91721073142;112833.05001033776;113646.23387136856;114719.68133709881;115936.81524295344;116885.87184623799;117298.96004213976;115848.41969524698;115968.8111081404;116669.36048162832;117281.02860705226;115294.42398178851;[-2621.7451107314264, -2156.513810337754, 4855.456328631437, -492.73933709881385, 11679.01805704656, 6368.052053762003, -1445.5506421397586, 471.7995047530276, -7329.640808140408, 3192.2319183716754, -13670.146407052263, -10763.585181788512];-1.8037413632434076;0.3786057990662145;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
