train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PE;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.011483338136098994, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;8309.605105293895;0.05078137859815283;54.54545454545455;1.9713034133054734;163736.6537240863;1.2862106927376273;126950.26035148454;126251.27143648722;126051.64223529215;126462.26584482478;126590.2730683174;127034.14778009441;127436.02683910968;128884.84284230976;129601.59195017518;129404.54156282131;129362.72144245746;129042.18085290765;[14963.689648515472, -13188.377436487222, 5251.262764707848, -2013.544844824777, 589.3709316825989, 12520.173219905584, 511.8731608903181, 9587.093157690222, 3794.789049824816, 7131.0624371786835, 840.6305575425358, -9158.788852907644];-1.131197019701424;0.7024719446543809;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;PE;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.26103648286699993, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;21123.03591535397;0.12247041375141236;63.63636363636363;-8.872108597524269;333723.6676192933;inf;122090.46977307218;119009.63146628732;116296.76836556998;116373.1994597438;123096.8220390754;131787.46297358457;152363.12022234773;171215.20588511776;177142.9005374262;169144.38256367372;142915.50789819178;130224.49844709651;[9336.794226927814, 3234.018533712675, 11465.798634430015, 1808.1715402561967, -2235.3460390754044, 2202.602026415436, -17811.277222347737, -31836.767885117762, -45986.79953742621, -33534.06356367373, -17346.287898191775, -15522.263447096513];-0.8512148158492;0.8036135015931392;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;PE;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.1127351292112819, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;28024.087332575047;0.1660263714942342;90.9090909090909;15.00292150330133;112331.58231881239;1.3261356005968;99224.10931994344;89059.59439019227;91443.2123429214;96824.5243322114;105288.01070283599;113203.85357323893;132310.7919465531;151876.5872669227;148976.68065535076;145851.72155557974;123812.56659676082;116404.52808750144;[24463.868680056563, 21302.507609807726, 21497.100657078598, 46622.48766778859, 40960.80129716401, 47691.30842676108, 32918.78605344691, 22704.037733077304, 2271.7443446492252, -11559.859555579751, -4398.072596760816, 5160.628912498563];-1.3578243595667265;0.6023204517219444;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PE;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.02607979450700016, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;15148.558911395427;0.11803632110841417;54.54545454545455;-0.8513973525294458;298936.51302406215;0.7878759042121716;113342.28914102595;111428.02599850057;110311.42066289953;110095.35228335152;111390.7960741283;113290.2913753905;117199.43267760439;123603.53845434074;127549.61291925883;127561.3712933428;124896.33391158025;117452.78440822719;[-8959.993141025945, -32884.168998500565, -21395.383662899534, -8329.05028335152, 3509.0539258717035, 5586.315624609502, 8667.677322395612, 15599.03654565927, 6025.008080741187, 5907.5457066571835, 23445.870088419746, -9059.408408227187];-1.042165183225629;0.7375766858657438;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;PE;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.18702599227263475, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;7123.617189891242;0.04899086003816163;63.63636363636363;4.1899138967238025;112319.77040106583;0.52269852509942;104127.58134863847;101124.08616574404;100706.63839667679;100550.30482918506;103596.26012869074;107125.98350767093;117500.89514629597;133570.6893462549;130167.30643810604;124007.83960168969;114772.88410701732;109166.2901127308;[1197.984651361534, 10209.535834255963, 12835.242603323204, 3346.480170814946, 10799.477871309253, 10363.156492329072, -224.09614629596763, -869.8083462548966, -3476.9354381060402, 3119.842398310313, 8401.365892982678, 3178.5098872692033];-1.0809194714416426;0.7226207138906314;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;PE;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.0905421259905475, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;8202.229746686095;0.05849856777549631;72.72727272727273;0.6801199556014311;97072.1765370056;0.39457593996579515;105268.60797899035;102271.28385638399;100471.68551699257;100871.99125371836;104475.74244060731;109002.81770032289;117725.9515525517;126597.58899612266;126567.11922175449;123135.89708372518;113233.94898295996;107491.0102037211;[5684.399021009653, 1425.8141436160076, -17403.764516992567, 14913.730746281639, 5046.954559392689, 11913.397299677104, -4662.066552551711, -2919.965996122657, -6276.144221754483, 2913.739916274819, -23.519982959958725, -1456.324203721102];-1.10861666381354;0.7116234749054962;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;PE;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.25919567289943035, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;6990.232558287863;0.04373860273793776;54.54545454545455;1.4318079914666346;137717.7736178118;0.2992106296067056;105840.9586149253;103302.2849248258;100277.60491756938;100680.86618396474;102694.66423651198;105876.86564209127;110290.10081185697;119769.44566201634;125077.82702918524;119131.59048067639;113061.53526577768;110927.17635799479;[17335.303185074692, -3816.1894848257944, 5578.607882430617, 468.36971603526035, -1575.0129365119792, 6416.646657908728, 333.16188814303314, 8448.300137983664, -4813.646729185231, 133.3238193236175, 678.5797342223232, -10057.619357994787];-1.0795834963096522;0.7231447241368427;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;PE;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.010989362614582767, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;17762.145631397423;0.15291609008291818;63.63636363636363;-14.700213563165946;280859.78211070417;0.8802123432781276;124596.46865874105;124037.60601397183;123994.29715272611;123758.58743031275;124290.64676250267;125343.04167496624;125837.9802647292;127042.6045137444;127873.57782235913;128069.4147753328;127574.40653425182;126694.70499652713;[-18206.91865874105, -23395.486013971837, -21079.590152726116, -19051.58743031275, -22210.296762502665, -13363.640674966242, -7966.084264729201, -6830.392513744402, -8874.388822359135, -3539.685775332793, -20494.87783425182, -28398.097596527135];-1.4148090258242645;0.5751562553663178;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PE;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.2605042838015629, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;38179.87768495693;0.2713246634918352;54.54545454545455;-20.553832060749265;755962.4348727638;2.28042925332743;132640.0259646013;129311.95511380723;126649.45206230042;126393.44372732485;131170.03976430098;144908.12406231833;166842.7812034961;186754.92071121113;182305.04857830974;172687.32106070372;144594.1912244627;142719.3491207158;[28347.605835398717, -6383.799113807225, -3720.2920623004175, 13869.07727267516, -3885.1030643009726, -34256.86596231832, -51567.02930349609, -60798.90991121113, -55429.91587830974, -51629.50466070372, -36295.2552244627, -42920.688120715815];0.8885591199064806;0.9929391885389357;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PE;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.03560376973239025, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;25154.717435135695;0.1360759389187771;72.72727272727273;13.61426293675723;298546.8475462501;0.920044905430278;125643.56548774787;124800.7757236731;123657.40748651727;122359.44626803689;123404.6422702127;125888.04314832794;128669.37645566763;134949.4206985485;138475.08341827596;140163.6940874052;136956.14542668813;128532.78012751942;[-3949.5154877478635, 7444.729276326907, 20667.422513482714, -3528.490268036883, 14120.169729787303, 30390.75685167205, 41943.37954433236, 42256.138301451516, 25471.046581724047, 29874.758912594814, 25894.165273311868, 14244.774872480572];-0.3004185015005939;0.9254450389575075;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
