train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.11026065264089985, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;14435.432831306909;0.04006011804920767;27.272727272727273;1.78538836644455;454849.90443475643;0.9162763221523731;242949.69613119712;243944.1501354415;239052.48117811792;244781.6675002479;246704.7321589168;253131.0118929564;248193.49856286924;258123.92015767278;258475.65487257869;253069.25213991353;257529.10091988888;248152.32574046752;[33755.9428688029, -5323.4971354415175, 22148.82882188208, -1851.2125002479006, -4839.3291589168075, 23842.099107043585, 5082.2544371307595, -10822.445157672773, -5744.315872578678, 1943.3608600864827, -7363.739919888874, 3600.2552595324814];-0.2047123414296113;0.9379575829234402;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;SC;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.10111826017325848, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;13068.965313853332;0.045490620215105804;54.54545454545455;-0.5573216116898028;257486.87267013334;inf;245053.62972614417;244010.94286872036;242260.74627093892;243723.3212718253;245911.69259572387;250257.2382337645;251270.9747176003;253836.62156343163;256375.04137150588;256822.2003931626;253665.67373077452;247176.6138323873;[14915.907273855846, 614.5601312796352, 13725.138729061087, -14017.271271825302, 11402.078404276137, 13043.741766235471, -1600.7567176003067, -4518.675563431636, 4444.007628494117, -9887.216393162613, -23440.59773077452, -21254.49683238729];0.13778753379617006;0.968548317396643;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;SC;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.25899621478262147, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;33790.49622437463;0.11592941970520615;54.54545454545455;11.828457262232016;666776.440089721;3.7457145820683566;209717.1699732991;206453.88545721985;210143.4715864693;209794.9367782533;210848.32581032638;213359.14931623885;216062.18130822948;222260.47564375706;228332.78865050583;231129.38278664625;230510.97953583565;227364.60700172605;[57583.93402670088, 49243.47554278016, 30155.6834135307, 25015.16622174671, 52173.497189673595, 43439.019683761144, 25598.41269177053, 22466.847356242943, 18377.70634949417, 14421.757213353761, 2161.8474641643406, 10303.27799827396];-0.6770077004323247;0.8526155181555332;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;SC;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.10194567354108987, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;12675.546274519947;0.0467050565334757;54.54545454545455;-1.1890186821619757;249742.3834963997;0.3213453212871817;216799.57428649865;210634.5080049145;212129.61263840512;216259.53785125256;219753.13648920693;219106.6913084636;219641.83766749324;221226.2029764228;223246.73486680328;227867.90396064115;227126.8169827212;220893.17563302998;[-4177.0872864986595, -25200.158004914498, -10258.329638405121, -15500.605851252563, 162.64751079308917, 2816.501691536396, 11317.970332506753, 23712.701023577218, 4701.619133196713, -7461.332960641157, -12341.082982721215, 1268.3573669700127];-0.6467168400641516;0.860072766518745;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;SC;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.16983807503219756, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;14724.287481480771;0.05320171519956382;36.36363636363637;3.32483259411137;406073.6200430609;0.3895039410765944;207139.62774174009;201352.25668996206;199098.77364000375;208317.50315510557;208112.6874564427;210229.4200320514;210914.8112097348;211529.82039767684;217164.47228748465;218624.3797826327;217611.11200755675;214549.29478993572;[13489.033258259908, 20751.88931003795, 15815.382359996234, -7154.532155105582, 15880.315543557284, 20979.920967948594, 596.0397902652039, 26133.58060232317, 29.148712515365332, -17484.078782632685, 300.7289924432407, -2510.382789935713];-0.9754198963916558;0.7621234399096515;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;SC;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.11406210289664241, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;18301.822704551025;0.07244703022135567;54.54545454545455;-0.6696458536140865;360799.27655701415;0.3324949788529856;203330.95423423673;203611.93520959822;204086.61341617844;202351.52322417832;205608.86216259983;207862.36641548816;207323.2169624311;209429.20263096865;210703.25150532342;210690.90285583952;212120.97474642697;210413.1465585823;[12911.38776576327, 9996.645790401788, -47739.33941617844, 25472.026775821665, 9217.024837400153, 14616.649584511848, -11551.405962431105, 277.61836903134827, 2825.2914946765814, -15287.030855839519, -9588.714746426966, -7697.0095585823];-0.888328875067521;0.7917915848740924;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;SC;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.052467840577233374, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;10872.999504015312;0.03680458402093446;54.54545454545455;1.1299618778363814;214180.6827405756;0.18102825934373176;199096.67542843483;200478.96236283862;201185.40885928564;201639.39859431336;203161.0620346564;204778.07325927675;206946.85853006347;205713.12041119646;206474.60220890777;205180.86951148047;199431.05871388735;200654.07463685406;[29442.64007156517, -10194.163962838618, 5257.150640714361, -3854.7075943133677, 4754.14016534359, 13130.980940723268, 591.8414699365385, 3301.7840888035425, 3544.9821910922183, -12226.379111480463, -6084.795713887346, 162.58636314593605];-0.9734278585147668;0.7628321037506058;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;SC;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.19056894435817257, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;10828.03957127298;0.04528363885718285;54.54545454545455;-1.3867601050593428;213334.96949272527;0.1890699938965161;201821.098205021;199704.96457993524;200286.69704589032;202465.14988535034;204030.8799311677;204878.37794129533;203702.52349408699;207374.36668842376;206176.52977085035;204739.18475572678;204261.229654545;200341.66364303738;[18330.540794978995, 6808.316420064744, 3942.8329541096755, 2133.7741146496555, -2281.0509311677015, 3459.985058704682, 2276.20250591301, -13525.412688423763, -7294.23077085035, -17079.53775572678, -15064.878654544998, -15077.695843037363];-0.6778387388220618;0.8524066045482128;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;SC;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.06038373513760256, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;18660.725074642407;0.08328799957502067;54.54545454545455;-6.779682809903437;367962.4059035719;0.3582085923000812;215541.99317729037;214624.80594399796;215706.23771874665;210636.8227805564;214638.67235265832;215846.89430479787;216761.7797079096;221407.74752638245;217621.61121325326;218563.8685208805;218322.89872028894;206036.0411407084;[16824.85172270963, -3983.1789439979475, -18022.300718746643, -5933.504780556395, -17073.742852658324, -3054.1914047978644, -19005.801007909584, -23012.15612638244, -26315.79041325327, -26194.38552088049, -29498.355720288935, -8903.962140708405];0.40167673347729443;0.9815575371427492;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;SC;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.055601281045997535, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;15863.289919772611;0.06001526675653515;63.63636363636363;0.06506785079482205;250195.22764493758;0.3378158845403857;209733.5974723497;210399.1400169782;210700.7556818131;208480.72308916028;213080.49996981226;211819.99697523672;211802.96865786647;211272.29813075403;211188.50733006131;212559.67423124815;213134.46190176674;212559.4134188411;[5513.510527650302, 6110.4229830217955, 7781.470318186883, -17325.17808916027, 7782.659030187759, 9193.816024763277, 9663.956342133519, 28323.769869245967, -1665.4913300613116, -14147.564231248165, -2991.774301766738, -36587.9254188411];1.0638679218241922;0.9948961408638614;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
