train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PE;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.04631234003305258, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;5705.57658850229;0.1925537968637759;27.272727272727273;14.502028394448322;180160.84912814348;0.5587826471483397;14212.840977733409;14922.7374095589;17275.088337641344;17258.040695327698;18307.008038476368;20784.369688536695;19678.36932520567;17763.64922834563;17405.732707130064;17495.639496190837;16477.163679986068;15244.223824666593;[2556.7760222665893, 1235.8625904411, -2156.4383376413443, -1301.2406953276986, -3598.8110384763677, -1208.8696885366953, 895.3306747943316, 3029.400771654371, 4246.567292869935, 8543.460503809161, 11376.986320013933, 11462.276175333407];-2.601669528075095;0.09265270065720882;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;PE;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.056888717804171984, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;4199.1778830263565;0.2156390935318928;81.81818181818181;4.778082932017095;33453.74572779021;inf;21332.945758864626;21143.942987896306;19689.65641999227;16238.018877866356;13058.574278449818;11230.166067359227;10169.154243993646;11365.407565348094;13397.199329146308;17077.53353782984;18335.01899368246;21523.308011640995;[6456.754241135375, 4039.257012103695, -296.58741999226913, 2790.9921221336426, -64.52727844981746, -2699.5660673592265, 927.8957560063536, 5441.248434651905, 3912.2486708536926, 2237.4664621701595, -5193.018993682461, -7789.408011640995];-2.492387425924421;0.11733755047658923;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;PE;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.08003245249726963, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;4176.331254907458;0.19304184243527833;63.63636363636363;1.1417156786884795;66112.30028751671;0.9372182307308481;27253.222052201123;24221.830647566945;19139.04080550181;11763.71620546531;11693.199494016979;10329.348613350556;13208.683704770967;15022.421696746442;17254.975968914892;20209.459969660995;24231.632393454413;27624.035759646533;[147.73194779887854, -5025.230647566947, -1393.840805501808, 2728.4947945346885, 4208.4005059830215, 3205.6163866494444, -420.78370477096723, 3264.0783032535583, 5240.606031085106, 3719.9920303390063, -4487.104393454414, -8624.638759646532];-2.4338382256775475;0.1324126538363405;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PE;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.2988929020127903, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;9582.240175028375;0.47446417770882277;45.45454545454545;-32.07039984621997;228301.59766798478;0.7430064598163737;31435.466772056607;28777.674691295837;28132.376900798983;24739.308479974956;21686.506714659845;20293.31243302973;21877.67216515333;23570.935973610784;27332.169300356316;30432.886180398185;36579.142238393026;41484.315135027064;[-10033.066772056605, -18437.499691295838, -17363.826900798984, -9246.308479974956, -2542.905714659846, 733.2375669702706, 885.1888348466709, 1057.8640263892157, -4365.709300356317, -444.7191803981841, -9236.760238393024, -12678.715135027065];-2.2911333752722736;0.17484358294935043;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;PE;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.27975098357103956, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;4417.670261994934;0.1018334841222216;81.81818181818181;-6.984922873933569;34975.73313534864;0.2591010425458255;34779.09643808812;33377.780161084935;25424.75676032709;23548.562469837183;19146.644599350257;20016.485565597904;21201.52403611195;28579.108552684014;34708.00804217558;40626.72705554469;40212.25851711069;42357.92191090507;[-1112.9954380881172, -3278.1231610849354, 362.20423967290844, -712.562469837183, 3527.9574006497423, 1073.8144344020948, 758.9479638880512, -1516.2085526840128, -5020.408042175579, -826.7270555446885, -4364.408517110693, -12655.253910905067];-1.863085899864092;0.349620851154647;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;PE;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.2985741715544168, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;16366.631796960199;0.4171290137854202;45.45454545454545;44.11426216777089;389527.4533594882;0.8740426845674423;23212.268430009965;18815.40493917969;16639.241087916933;13202.268708054962;10380.167401505361;12412.425769289242;16732.144617681963;17468.801650427886;18286.23538122179;19663.266507472694;21108.483212821186;28169.186382543143;[445.9395699900342, 4091.789060820309, 9097.942912083068, 15074.431291945039, 14373.132598494638, 12219.274230710758, 14522.145382318038, 26590.54034957211, 25277.72761877821, 24889.260492527308, 17799.316787178817, 6192.36361745686];-2.231154931873996;0.19513290849270626;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;PE;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.017304472778163826, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;5774.776120981576;0.18017772851583388;45.45454545454545;16.875630032481574;136848.51259402622;0.5041409435086259;14328.882079944113;14443.331090222046;14648.298104225662;15232.697355068574;15774.120491581856;16085.6379941668;16676.07671489346;17100.508589930454;17758.271775382404;18717.47517587793;19366.93250735688;19536.0217754224;[10.617920055887225, 1426.6689097779545, 817.3018957743388, -1702.937355068574, -3136.4844915818558, 4928.0250058332, 1365.084285106539, -397.1135899304536, 6576.603224617596, 10640.68882412207, 10953.08349264312, 9054.4392245776];-2.5252203064220065;0.1094579119739858;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PE;etanolhidratado;ARIMA;{'iterations': 200, 'learning_rate': 0.21971475449822028, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;7948.329083880129;0.4413294613517153;36.36363636363637;-40.65468068791893;220550.11639360385;1.8823520776000244;21252.882814676526;18444.35593519504;17733.423259785013;19214.965340655257;19901.776965396282;21937.98997851444;22769.903748894114;24508.323085633703;26872.02178354056;25878.358835852432;26571.211068266974;26702.747965013936;[-4271.682814676526, -2615.2559351950385, 376.0677402149886, -168.15634065525592, -2915.876965396281, -6368.989978514441, -8273.288748894114, -8756.923085633704, -10901.04478354056, -8122.04683585243, -12356.760068266974, -14183.347965013936];-2.6540186725804147;0.08233856479018359;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PE;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.052344125289173794, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;12208.634929301767;0.46150196226566775;54.54545454545455;47.98886200092737;242743.99250611398;1.333365826580529;14052.51986239175;14047.327489852243;14062.805378155785;12851.131293349363;11341.875300888978;10401.266389327186;10298.575452453946;10531.423070816018;10929.781990788333;11877.542966639734;12646.588217970208;14267.571395946967;[7859.290137608252, 5496.909510147758, 8082.894621844216, 13023.789706650636, 13385.74369911102, 13912.671610672813, 14891.403547546053, 19997.441929183984, 12309.818009211665, 14647.432033360265, 9721.433782029793, 2587.499604053033];-2.8056471580252125;0.057471628526052906;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;PE;etanolhidratado;ARIMA;{'iterations': 100, 'learning_rate': 0.20982779861439127, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;2092.9962671392104;0.09070689758314765;27.272727272727273;5.373075089111999;65997.35227223995;0.2250691036720212;12873.596716749475;12291.225876560338;13204.26620118025;11999.752232977118;10092.721808959308;10888.274950118235;10576.466364281134;11966.926272807734;12651.338477164893;12775.306548723664;12955.9338802701;14869.761038421435;[-520.4127167494753, 796.6491234396617, -1161.3162011802488, -645.1802329771181, 1484.7281910406928, 517.8750498817644, 1111.3596357188653, -411.6912728077332, -1114.6384771648918, 1443.7934512763368, 328.2661197299003, 6525.738961578565];-2.659508093105926;0.08131102345341484;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
