train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;gasolinac;ARIMA;{'iterations': 200, 'learning_rate': 0.21571212826372754, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;2350.568989155029;0.04283350750216348;54.54545454545455;1.891658303531182;46309.268723364694;0.8187172378994252;39147.18852938093;39258.87373286658;39163.64515224195;39171.51461185701;39524.35006184708;40138.19695287287;39925.06203303184;40303.974258881826;39864.34308333765;39137.3065417693;38279.26908076147;36604.2347630935;[48.45447061906452, -2915.423732866584, 4297.104847758048, -846.0646118570148, 1035.0999381529182, 2360.8530471271297, 670.0799669681583, -47.774258881829155, -320.0130833376461, 5089.293458230699, 1504.7819192385286, -1804.1847630934935];-1.6397913503203672;0.46236982044623987;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RO;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.29683381452244006, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;2774.9811170337034;0.05493413680437605;36.36363636363637;4.582679946625545;76533.1090503775;inf;35874.294541450734;35242.33259610742;34157.94557273363;34784.26500486957;35443.63014049077;36975.20251093006;39226.529930547375;40959.65351655197;41002.28211473717;39358.59955734533;38042.75858028536;34968.166228273236;[6.255458549268951, 880.5174038925761, 3382.5044272663654, 516.3369951304267, 4014.1708595092277, 4965.799489069941, 2920.870069452627, 281.6464834480357, -19.78211473717238, 4271.800442654669, -2375.9415802853546, 2577.9147717267624];-2.0832732770943556;0.25129347252921985;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;RO;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.2531709992187265, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;2965.926233744137;0.06653821231918237;45.45454545454545;1.132590691788952;70138.86543333408;0.9911860239040508;35071.1794929661;34356.87554204314;34198.54466625857;34173.55833738881;34795.98362314343;35488.57872039406;37080.50143831686;39590.97095189032;39982.8041376948;39894.71193019049;38366.401598418306;34448.62186568707;[-1904.5294929660959, -176.72554204313928, 1727.398333741432, 3115.6416626111895, 5087.3663768565675, 4640.3712796059335, 1146.298561683143, -478.67095189031534, -3875.2541376947993, 1570.138069809509, -4610.551598418308, -1230.2218656870682];-1.908365292925324;0.3281361041738018;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;RO;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.15513357206552605, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;4625.636284873589;0.11581040407187404;81.81818181818181;-5.061434786451349;36650.31648662154;1.0178945173105995;36799.12334714713;36436.24743328724;36277.44384505068;36304.76136656471;36417.26516012733;36379.033129634874;36724.53579635508;37429.463283662015;38303.361854035276;38438.07582447071;38241.64701828887;38125.11800412892;[-4624.377347147129, -7285.777433287236, -5340.443845050679, -4058.411366564709, 189.43483987266518, -355.9331296348755, 2008.1142036449237, 4230.341716337985, -474.86185403527634, 6203.474175529293, -4431.197018288876, -7540.868004128919];-1.583633596777411;0.49180947987049606;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;RO;gasolinac;ARIMA;{'iterations': 200, 'learning_rate': 0.262946884569312, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;1922.5946166181384;0.03975978265087352;54.54545454545455;2.0074016527855;37875.1506089345;0.720486536713323;35420.30636474899;34891.21888577961;34616.07022370373;34749.76461251378;35080.79026927479;35744.05791649788;36550.18130183406;37805.52090269977;37970.063595324486;38368.18177824442;37734.06574508046;35667.50083274506;[204.89363525100634, 1505.881114220385, 1624.7797762962655, -147.06461251378641, 4047.109730725213, 2918.5920835021243, 393.01869816593535, 10.579097300229478, -1082.8635953244884, 2753.5682217555805, -1818.8157450804574, -1506.8408327450597];-1.649878761440997;0.4571036550414892;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;RO;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.06112993521758875, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;2088.7538468873345;0.04997582093000791;72.72727272727273;-2.718341916997268;24712.798805514558;0.5457478693497616;36531.437398953625;36532.908795507865;36487.23333090947;36554.99881955377;36694.788372711475;36718.41188325272;36804.75547971084;36932.479669001616;36990.80335125953;37056.39096730339;36966.28709320952;36895.645548432505;[-340.55739895362785, -1482.9897955078632, -2363.0713309094717, -2218.7988195537764, -1161.1883727114764, 1102.0881167472835, -839.6114797108385, 705.0713309983839, -741.0723512595287, 2884.793032696609, -2964.0870932095204, -4255.612548432506];-1.5878888350473621;0.4896744579232882;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;RO;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.1878125587770943, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;2452.559960719328;0.057358648419016924;36.36363636363637;0.31915841034072767;67643.65215413751;0.7177585818620251;35458.714435242;35462.26531507165;34930.596822890286;35427.52048929564;35665.28899344977;35905.0358259964;36373.48848314081;37058.6181681503;37851.149392895786;37448.125228390585;37037.508908087686;36847.15532940327;[735.985564757997, -251.8653150716491, 2812.6031771097114, 1101.6095107043584, 1896.811006550226, 2162.9541740036, 1529.8115168591903, -489.1981681503021, -1831.6243928957847, 2691.150771609413, -3840.945908087684, -5123.017329403272];-1.4041615546904307;0.5802793987145535;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;RO;gasolinac;ARIMA;{'iterations': 100, 'learning_rate': 0.16468259350314057, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;2964.2861078524406;0.06723662453434355;54.54545454545455;2.886819569013104;58431.87819991636;0.7925956493790938;34838.1583915266;34790.01513253281;34726.734049538856;34351.6683267345;34389.301236724874;34552.88522350655;34465.66449613908;34479.34893311638;34523.51502776445;34999.91089014765;35881.269021381784;36442.60882782554;[1143.4416084733966, -248.01513253281155, 726.860950461145, 616.7816732654974, 2317.6687632751273, 3514.014776493452, 3176.8355038609225, 2404.012066883617, 950.1109722355468, 5945.489109852351, -3580.1690213817856, -4528.308827825542];-1.3884388572536255;0.5878059545568465;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;RO;gasolinac;ARIMA;{'iterations': 200, 'learning_rate': 0.0594303378323124, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;2100.517761547509;0.04718842295493946;54.54545454545455;-0.017854902779672447;41387.070475159635;0.38286263630113926;34109.34888600714;33651.48413324778;33481.59339199675;33431.21193284019;33723.97706656344;34342.385911126876;34930.25936414899;36078.186118613085;36687.39915570088;36913.15881544345;35962.891393566104;33453.04352155441;[-1293.448886007136, 167.62586675221974, -213.09339199675014, 1362.9880671598075, 2961.232933436557, 1015.1090888731269, 1435.640635851014, 751.9968813869127, -3742.499155700876, 1986.6411845565526, -4351.891393566104, -154.7015215544161];-1.0170654987113157;0.7469892774361263;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RO;gasolinac;ARIMA;{'iterations': 200, 'learning_rate': 0.1592651370053599, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;3321.384679709154;0.0840037519115756;45.45454545454545;5.106376873132596;78570.16682749559;0.6172617648123019;31944.604548859425;31635.279270640003;31443.607556303585;31538.87834921017;31208.88157077333;31718.283266124257;32328.68189828097;33446.134812977136;34121.47429052283;34324.801305070105;33973.35438430516;32434.236613652018;[-2193.704548859423, 934.9207293599975, 1722.0724436964156, 713.2626507898312, 4113.768429226671, 3572.4147338757393, 5362.2181017190305, 4957.662187022863, -1519.1742905228275, 4663.198694929895, 2095.245615694839, -3429.0026136520173];-1.3928402839543872;0.5857037224044144;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
