train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.01207528283120471, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;1522.9205137931863;0.036709134939436526;54.54545454545455;3.094603398982745;29999.654069098066;0.9636194248093044;32919.58999274822;32924.78372108732;32919.58999274822;32924.11412964173;32919.58999274822;32921.86849285901;32921.86849285901;32927.24604219297;32924.78372108732;32929.99674227966;32927.63754048291;32925.99869934766;[2516.4643572517816, -616.3598110873172, 2049.47522725178, 1467.355070358266, 21.504207251782645, 1753.8742571409894, -597.200012859008, 657.0220778070288, -105.1206810873191, 2203.590217720339, 2224.5762295170935, 1041.637170652335];-1.6769565540278006;0.4430225435852613;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;PA;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.10658447028617658, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;1211.9618879788613;0.03073390276775397;63.63636363636363;-0.8695235439079345;19100.06353606189;inf;32854.27442879411;32827.63458523837;32819.97457653879;32675.548760988167;32816.74958755361;32972.05315637868;32832.84163333729;33127.03076006054;32737.275116488752;33351.36096106796;33598.1761737098;33482.50657078665;[702.3306412058882, -727.6418352383662, 386.85875346120883, 216.07804901183408, -1600.8836475536118, 1307.6533636213208, -739.5698933372878, -683.6394600605381, 485.97488351124775, 1140.4053389320397, -958.424363709797, -2943.595340786651];-1.9170069576795252;0.3241032810532717;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;PA;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.16114718818395188, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;1630.736525889633;0.042003019824511593;45.45454545454545;-0.7132652644136157;38546.81323086111;1.054228857943521;32856.9596160921;32968.015727738464;32864.05126549579;32977.81543468057;32943.650129212525;32772.350396645124;33009.92287739514;32721.737526558543;33129.28523363494;33192.40793923245;33376.38519242141;33652.00375883483;[3075.1835039079015, 1078.7487622615372, -633.0820654957934, 847.10847531943, 824.5056707874755, 239.12424335487594, -1749.2851973951401, -452.0672365585451, -2200.341393634939, 751.9489407675501, -1954.2384524214103, -2635.422238834828];-1.3965726110569914;0.5839181443787894;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;PA;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.1301524488325317, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;2548.5579497637036;0.06475267910679276;54.54545454545455;6.526709860551663;50234.458447821526;1.69785671047332;30959.600826918217;31046.978933355676;31050.771800474988;31068.142102943344;31070.58599998086;30812.707077434974;30862.20429226758;30896.092151908746;31085.16402090298;31195.374058535697;31086.339039189512;31492.403507960564;[3836.3864930817836, 2367.459476644326, 3106.972769525015, 2820.035437056653, 3155.328860019137, 1000.0030625650252, 733.2794077324215, 3676.828138091256, 961.1964890970194, 3635.8940614643034, 907.4127708104897, -182.41075796056248];-1.8280307394191218;0.3666366658018654;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;PA;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.2999236207147715, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;1236.4122229560112;0.03442741460990368;27.272727272727273;-0.13596558850989124;38956.40308470476;0.6152227156743625;31064.2882685026;31046.141637499528;31038.802333584015;31061.617234909798;30962.91894184812;31044.137665466624;31043.41711220527;30981.831496153238;31252.7565041552;31267.633386369675;31260.854693242218;31809.34253851287;[-71.10348850260198, 1045.836622500472, 1282.0201264159841, -1506.8962249097967, 979.2875781518815, 39.273564533377794, -1338.3682022052672, 951.4420538467639, -1005.0680941552018, 1848.9680636303274, -497.307593242218, -2235.679498512869];-1.8874766072883848;0.337975249805152;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;PA;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.23908386238250762, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;1447.6159769904398;0.03830164805425975;9.090909090909092;-0.7593652403782841;57010.617092181084;0.7627255811547414;31011.44093662829;31156.811075091937;31291.266279317595;31154.8451444619;31335.22793851714;31275.467955856646;31292.924303779397;31231.19171967757;31379.386043083126;32054.264418707626;31634.520875327806;32283.854152779433;[1472.8489233717119, 914.076604908063, -734.3405593175958, 1790.7001455381032, -598.6554785171393, 1047.0918241433537, -1469.009443779396, 420.7865403224314, -1019.4711830831257, -975.2716687076245, -141.66036532780709, -3549.089662779432];-1.6603504325360015;0.45164811770486585;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;PA;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.22885202050710438, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;1925.887900181514;0.040748381490869436;45.45454545454545;1.984884386942028;45522.248790326004;0.9462316370060958;30493.552715843045;30653.397423891594;30653.34444618258;30498.340345494547;30845.634008963898;30689.50420184903;30459.512798069336;30842.37541115389;30994.830428111538;31543.89890112719;31410.535928772068;32646.002580829016;[4271.668474156952, -111.75430389159374, 3000.314973817425, 625.9476045054544, 207.485561036101, 2326.131428150966, 425.22899193066405, 761.5504188461091, -740.2666981115362, 62.28140887280824, -127.02505877206931, -3173.714540829016];-1.749567625261199;0.4057714917624325;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;PA;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.19707716831867195, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;1786.2106287733068;0.045011377955859855;45.45454545454545;-0.1796486491510246;42224.16219058081;1.016045507023709;31213.08803954316;31207.4656762296;31051.951796759025;31216.988047213512;31350.04711550841;31077.7501071652;31074.506893309303;30996.89147342734;31357.484159964053;31798.92144695926;31992.735026302966;32551.449198572784;[2095.07500045684, 914.4075137703985, 361.37248324097527, 292.34347278648784, -1192.4275455084098, 2118.175612834799, -211.38189330930254, -49.4331434273372, -1767.956989964052, 2268.8194930407444, -1436.2911863029658, -4068.5651385727833];-1.6584487875067362;0.4526379431401321;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PA;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.011454639868579699, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;1271.9554983522746;0.034907605792597794;45.45454545454545;-0.3269836279886532;30062.20811545165;0.7288700166458597;31745.688407676163;31717.353664531474;31737.84649716995;31704.168425270513;31715.47878302842;31677.09622706191;31689.180910571602;31737.562907611307;31776.603125628204;31813.660836939427;31843.376727450224;32161.798503766982;[807.5307923238361, 971.4090154685255, -344.6472171699497, 848.105124729489, 944.54114697158, -20.514707061909576, -949.7986605716032, 875.5910823886916, -2233.791535628203, 1461.7105430605698, -2434.838687450225, -1168.0865437669818];-0.8003323325413125;0.8190244279739397;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PA;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.2979743260518899, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;2582.7198320315924;0.0671269922398778;54.54545454545455;6.516902756840379;50910.50602934023;1.5760861117091596;29799.19789762917;29692.489746256895;29701.08178173953;29589.319554964684;29756.69916213322;29542.708300569502;29410.681509985745;29824.57696009212;29883.405106148555;29758.396872029134;30068.020516681667;30826.87294547062;[1867.5412323708333, 1866.6243837431066, 3140.8022782604676, 521.696745035315, 3476.0580878667824, 1603.2192394304984, 2439.6282700142547, 4022.6730399078806, 13.198153851444658, 4616.6375479708695, 2083.1769433183326, -704.5414254706193];-0.42406001788051745;0.9060034483304101;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
