train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.2936662752972083, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;2567.6397778996848;0.03340809769286066;54.54545454545455;-0.6392870427131772;50575.10307816022;0.9078031176524209;65026.42054409415;65689.1198879643;71088.01048287311;72147.81121620632;73213.4952208918;72110.70340172791;69533.52891525293;69381.86732343308;66593.23724608627;64692.24062199998;63165.71573149612;61280.24748295361;[4243.45626590585, -1966.4640879643048, -1151.8474428731133, 2038.1362437936768, -133.96805089179543, 3498.3038482720876, -2769.8966652529343, 843.3301365669176, -527.9238360862655, -3471.5051119999844, -1853.5255114961255, -3918.343492953609];-3.539477039442301;0.007029268676030632;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;RS;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.17648002843027855, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;3525.6277774604005;0.046505032534794793;72.72727272727273;-0.9112448343883011;41707.22598284592;inf;64919.684010468976;66370.93698759947;69896.18165388836;73149.01397828349;74465.17020738494;74422.22966208993;70959.30573833748;69942.92288113409;67236.61080232417;66339.64185041125;62864.19340708122;62552.138856148056;[1980.7851895310305, -2276.790247599478, 4233.033926111646, 3438.3900117165176, -3074.7662173849385, 3767.5475079100725, -348.367328337481, -1190.6312111340812, 1104.37470767583, -2772.3628604112528, -5578.477827081224, -6715.624366148055];-3.553468148224572;0.006715525145210741;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;RS;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.07923966650084767, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;5889.746841288602;0.0762338434432;81.81818181818181;-1.0509726372559742;46564.75282530244;1.931218660509549;66559.27526724586;66407.3352753387;67631.86717248966;70530.35265700548;73816.05396107357;73435.3648616382;72113.21333831934;70761.84995199241;69231.4188744733;67481.66828580812;66460.95458935111;64583.977834138714;[3499.766402754147, 13.729944661303307, 5071.279567510341, 7850.634662994518, 7546.813788926433, 1807.0155683618068, -2706.0684083193482, -2046.619881992403, -6498.935174473299, -4104.722635808117, -10995.19190935111, -8059.789424138711];-3.377664236994416;0.011744274980486089;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;True
1990-01_2020-02;2020-03_2021-02;RS;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.29845906445949466, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;3710.765597599838;0.04493677700666448;54.54545454545455;0.5762358310482559;73109.84551510087;0.8317635959359304;65510.34208417024;68000.70936528342;68178.21889166234;72038.81346524724;73089.60728157651;71704.69796507212;72105.70013297757;69026.74653855263;69319.47910890872;65740.72531857793;63180.92823596024;63524.02670257745;[3012.45863582976, -3955.5481352834177, -1428.8511416623369, 1209.1068247527583, 8379.615548423491, 3902.311094927878, 713.1295770224388, 2540.25346144737, -4854.716428908723, 1317.4775814220775, -2384.785115960236, -3689.702422577451];-3.3755915328800126;0.011819636345418324;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;True
1990-01_2019-02;2019-03_2020-02;RS;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.040918066035765976, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;3883.3808463475907;0.04759020669827966;72.72727272727273;-1.7918932109134977;45941.13019094225;0.937038527286577;67194.60421538519;67747.62806227789;70689.57345453327;73680.78207273653;73600.62339490565;74184.14197331097;70194.00070837297;70423.76631414877;67494.89074027291;66253.45600720494;63859.894459137075;62954.12401015725;[-2717.471965385186, -143.37444227788365, 487.3124154667312, -6157.85091273654, 7092.958125094359, 2539.7656366890296, -315.9970883729693, 1564.3731758512295, -3641.1226202729085, -2803.780287204936, -5180.682499137074, -5304.70915015725];-3.0898156185881924;0.0273161164749704;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;True
1990-01_2018-02;2018-03_2019-02;RS;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.1422209181021381, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;5287.560718782171;0.06408061150227884;72.72727272727273;-2.1466338079834544;62590.59141059859;1.1921439835062622;66532.50683235186;66878.35016152308;70590.0177859578;74223.4247957617;75160.67957999789;77133.885345869;73220.723215302;71787.72723191758;68441.74018608549;67073.55677461767;65542.53859978745;64717.01999949614;[579.0656276481313, 246.13353847691906, -4403.2080059578, 10014.531724238303, 1178.0052000021096, 5073.299434130997, -7122.8953153019975, -569.4917219175841, -3271.1767760854855, -5663.558584617669, -6702.279539787458, -7038.574349496135];-3.2736101969097877;0.01610010618216043;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;True
1990-01_2017-02;2017-03_2018-02;RS;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.046852538596570056, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;4018.3846411820064;0.05322747751925428;81.81818181818181;-2.5905521395488718;31729.609862269637;1.5195076760500832;68922.40309295274;69833.43317149731;72928.0932956695;76028.4898065254;77536.06336881168;77517.59799281682;74769.78877250123;73183.9095708314;70158.89607770836;68999.6473950147;65851.70515715782;64264.71005851786;[4224.269577047264, -4151.940421497304, 3536.569744330496, 1637.0741134746058, 944.2590911883162, -230.7974828168226, -5779.428602501226, -3394.7293408314, -1949.5969977083587, -4800.526615014707, -4943.833777157823, -6807.365858517864];-3.1570183132788787;0.022611372640659228;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;True
1990-01_2016-02;2016-03_2017-02;RS;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.06444877618537455, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;4760.13301103084;0.0523780183174652;72.72727272727273;0.914962699421548;56323.07247374078;1.0550077628556571;67567.03725660579;68270.15607698767;71960.3242731866;74581.58528054444;76237.06390938054;75809.32296965882;73651.54988720898;73090.23934952541;70124.89345312599;68019.42630464172;66021.5650683539;64584.13410890406;[2511.2978833942034, -257.28288698766846, 6257.442026813398, 8516.365809455558, 1427.941520619468, 6822.320150341169, 586.3196827910142, -2895.2665195254085, -741.5075831259892, -767.399134641717, -5631.657458353897, -7980.338818904056];-3.2056709044821585;0.019658762699665565;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;True
1990-01_2015-02;2015-03_2016-02;RS;glp;ARIMA;{'iterations': 200, 'learning_rate': 0.24085207281423657, 'depth': 8, 'loss_function': 'RMSE', 'random_state': 42};12;12;3890.304026233231;0.04790864451503992;72.72727272727273;-1.7259977920769571;46023.571902322445;0.8029597689912638;68980.68278489147;71167.6261246164;71276.08832249316;75039.75680074273;78080.16326137152;76391.84610371251;76980.37421508609;72294.68588183938;71548.61861349651;68663.04900766176;66335.88384379556;67027.30618186467;[1859.3498251085257, -1303.2148946164089, -581.8220224931574, 4134.370009257269, 4047.449058628481, -1961.1305237125052, -4566.405015086086, 2207.9209981606255, -3672.2744134965033, -821.3533576617629, -7680.398333795558, -6318.458351864669];-3.166689804838059;0.02199559690061901;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;True
1990-01_2014-02;2014-03_2015-02;RS;glp;ARIMA;{'iterations': 100, 'learning_rate': 0.07257814741282859, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;4230.444659775886;0.04882013256937758;81.81818181818181;-1.416575094421845;33395.928890980394;0.8268271873013893;70674.9590563713;71808.55737339039;74011.85133469357;76259.03069845292;77464.56703563208;76750.00151996364;74219.36944936383;73225.05002622443;70611.19848393234;69267.58406020884;68108.18594220532;66976.648244361;[-1943.3920263712935, -783.2258533903805, 3490.675835306436, 566.3461115470855, 5526.945644367923, 1778.1814500363544, 1282.7410606361664, 877.8630137755681, -5194.301743932345, -2207.4445702088415, -5627.068192205326, -9910.679044361];-2.811178565600006;0.05669464603375292;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
