train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.29835308394590143, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;21696.126699300326;0.0801120204777296;54.54545454545455;7.861837384567137;427785.9524641293;1.0614138242398234;206071.96391064758;205695.40896557877;203715.70950568997;200690.79438963387;205515.23196362844;214594.63061438783;217603.12677534937;218835.6108115946;218458.4718079198;218515.83039054458;220500.95257512288;210695.80655770452;[34563.357089352416, 959.5120344212337, 29067.267494310043, 20301.335610366135, 25458.382036371564, 28904.172385612183, 11639.732224650623, 9226.664188405382, 19789.11119208022, 31097.39360945541, 10528.37442487711, -4729.461557704519];-1.4844788396073816;0.5411749868938709;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;RJ;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.19084111201255383, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;24584.021144298877;0.10693797289497664;45.45454545454545;10.209987787025083;581787.8149272493;inf;181642.31748622935;177712.6640923843;177183.04215579064;177413.15948213264;184041.5729689098;188588.906430343;194020.48429046836;199774.72954700576;201902.92406190242;201026.4703238406;201337.5768865265;200086.70323043558;[23012.44951377064, 19172.12690761569, 34232.01784420936, 24132.322517867346, 26216.078031090205, 39157.115569657006, 14147.931709531636, 27750.63845299423, 21205.41393809757, 28346.159676159412, 9992.742113473476, -7569.1632304355735];-1.5499758797719971;0.5086602444519358;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;RJ;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.03669002257750985, 'depth': 4, 'loss_function': 'RMSE', 'random_state': 42};12;12;23282.928784118052;0.10676008560249033;54.54545454545455;10.804443335234325;459342.24921330175;1.0386886379353417;167577.56322474638;163602.58006293591;161467.74778170077;158811.77997867172;164399.10991479128;168396.80108614443;171438.53408925148;177342.7623005999;179221.59184330012;180363.06939341387;180251.6667328655;182890.63036992922;[27891.771775253612, 14876.073937064095, 26471.54521829923, 25092.23602132828, 38760.20108520871, 34481.89391385557, 21435.393910748535, 17381.1216994001, 10180.760156699893, 23338.53660658613, 8602.309267134493, 507.1066300707753];-1.6586027800892555;0.4525577733296876;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RJ;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.28614970335755957, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;33562.97565869489;0.18578504586823455;36.36363636363637;-16.714501466508167;927544.8370357242;0.6538957933002038;189806.39724913533;189291.2864459478;189592.32320564054;189149.23474147552;192175.88225614687;196026.61793679438;203974.82072685013;203363.42272136954;204254.81940592654;201932.04257915428;202051.19272400244;203623.93632384378;[-18291.091249135323, -67358.5714459478, -53423.117205640534, -35692.33774147552, -13481.955256146874, -18232.211936794396, -24373.58772685012, -12013.824721369543, -30627.222405926528, -6144.301579154271, -13047.886724002426, -46036.50132384378];-1.6080187584158014;0.47956428176395005;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RJ;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.16671086224866263, 'depth': 9, 'loss_function': 'RMSE', 'random_state': 42};12;12;11948.04667827794;0.04727674845959077;45.45454545454545;3.065061992528385;282445.12704638124;0.692813333945989;190678.95084369267;188956.8892073204;186779.13428265226;183995.2015365087;185683.96604631093;190022.5235093473;192859.73275457384;195728.39490025872;195819.69741197725;198139.19513736825;197716.6932688048;200276.8599106158;[-3472.0418436926557, 4418.569792679598, 18048.649717347755, 3825.761463491275, 21752.93595368907, 13826.938490652712, 1610.2032454261498, 17622.68309974129, -927.3174119772448, 9413.201862631744, 3082.998731195199, -16266.574910615804];-1.5698091048543492;0.49873927274540364;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RJ;oleodiesel;ARIMA;{'iterations': 100, 'learning_rate': 0.012309874649160585, 'depth': 7, 'loss_function': 'RMSE', 'random_state': 42};12;12;10252.57705553887;0.04076653629822765;45.45454545454545;-1.7212371670557527;242336.27803886525;0.3884114171595074;194464.65629937197;193112.58183384515;192884.0813557725;192371.23268466844;193272.99250522384;193955.02832014085;195026.9822125572;196954.21101022628;198415.9287217272;200096.33875301204;199185.14999281836;199228.40763825324;[-5397.439299371967, -3096.9708338451455, -25526.82735577252, -951.9476846684411, 4073.691494776169, 4412.832679859159, -10263.961212557188, 16027.924989773717, -5889.08472172718, -3279.4137530120497, 1309.7300071816426, -11165.694638253248];-1.6552533754137662;0.45430209430430385;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RJ;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.20907461098172747, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;27511.380194642967;0.12105458059579688;63.63636363636363;-11.528865212922339;434635.89583340724;1.3133972261127596;215892.035978221;214186.3080523328;212138.8979954614;210630.5168969614;213496.5792297613;215466.19223518024;218157.23557207294;223499.1499944152;224784.15631902276;228511.64640226882;227633.77057124753;227894.3210671464;[758.2533217789896, -27312.266952332808, -5667.04669546138, -17558.665796961403, -19240.166829761292, -7347.993835180241, -17539.65507207293, -19122.71269441521, -34517.81521902277, -28590.52330226882, -36053.38757124753, -59910.90406714642];-1.663079673863701;0.4502282381719066;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RJ;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.1726815447391498, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;32679.78912625508;0.14134970135742453;27.272727272727273;-13.745963825124678;1031151.1148202495;2.2355973227417505;245924.0247837691;245348.92288300538;243250.38550718204;244339.18411229103;246629.55890161882;247969.0411478287;248723.31612768766;250559.90686942748;251592.6342928878;250748.75057904352;248623.19871751394;249851.71896206265;[-22052.08628376911, -21856.18688300537, -17544.770507182053, -23028.974112291035, -17324.06690161882, -21321.3821478287, -24270.615127687663, -32794.706869427464, -43401.357292887784, -31686.675579043513, -39962.76621751394, -64105.04876206265];-0.9395052095965056;0.7746846474052809;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RJ;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.1324979514748409, 'depth': 5, 'loss_function': 'RMSE', 'random_state': 42};12;12;15810.149252398578;0.04787823117950459;63.63636363636363;-2.3876549290017612;249273.81695194182;0.3095221067812212;247762.91211098476;246758.20543135953;249111.69661547034;248300.16438889827;253544.04911358896;255866.064714661;257792.72323191218;262005.2138266552;258128.09058600134;259018.71506207963;257207.11405280195;258370.8075628131;[11464.573089015234, -6719.085431359534, -9094.28261547035, 6282.479611101735, 5525.6929864110425, 1999.6814853389806, -824.5996319121914, 6924.401473344798, -13650.741686001333, -3588.5999620796356, -35415.251052801934, -34119.6665628131];-0.4940543890193948;0.8931715297565953;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RJ;oleodiesel;ARIMA;{'iterations': 200, 'learning_rate': 0.257913407435062, 'depth': 6, 'loss_function': 'RMSE', 'random_state': 42};12;12;14309.309801358342;0.04508019094552507;63.63636363636363;-0.5762293201798431;225593.228119685;0.2738708822818472;250496.1856365019;249492.81940151606;250018.2163790235;250455.38023163733;251551.81833452728;256476.10781361544;256513.7222155475;257624.96574569977;257458.0394458309;256922.59348738773;257642.6935160674;256184.2043601684;[-10695.811636501894, -8486.904401516047, 10950.216620976484, -13219.631231637322, 6637.946665472729, 1955.4121863845503, 8975.81778445249, 24667.63225430023, -9262.086445830879, 5011.751512612274, -428.4501160673972, -33584.9893601684];-0.07349620501930149;0.9520152591351345;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
