train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;etanolhidratado;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;27209.17325207077;0.22395497713738477;45.45454545454545;23.575142535615417;645293.9609916363;0.8167402450189489;71429.82078751907;69996.85303944616;60650.897395435735;56304.214538612825;59121.24389687671;58960.434106422166;58263.51765330032;61419.853487623244;60239.89744074824;77360.82535069615;72442.43830465448;73648.4883736649;[-6464.433787519069, -2555.052039446149, 3629.9156045642667, 5963.624461387175, -1501.6288968767112, 17138.245893577827, 31093.61434669968, 35450.38751237675, 39997.47155925177, 42714.637649303855, 40983.51869534551, 34110.21862633509];-5.084294872824761;1.5075024177083511e-05;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
1990-01_2022-02;2022-03_2023-02;PR;etanolhidratado;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;11309.813731202576;0.11055134186154691;54.54545454545455;11.276842951913762;223147.80557559326;inf;62762.2300428146;63433.212506497395;62938.167115906;59192.13329763987;61428.81429548261;61625.460555847196;60846.77007294901;62244.63016066406;56701.817690906;66518.75042052966;57223.99309141675;59962.864499346855;[28365.703957185397, 18821.6684935026, 7590.2498840940025, 8997.358702360129, 7138.443704517391, 506.83644415280287, 6659.946927050994, 3386.6588393359416, 9234.714309094008, 6055.124579470343, -2881.8960914167474, -470.63449934685195];-5.30326493430289;5.391025078824741e-06;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;PR;etanolhidratado;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;23986.792119805683;0.3061521755404009;63.63636363636363;-24.850361099244946;380878.7206453834;2.37413997525664;101541.26091207557;99137.01762802001;99343.42527302001;95984.52980768667;93977.64147746445;86224.0104055021;80961.85694946446;84898.86856718668;86490.69478385334;104082.81630863113;100576.39117757557;102599.90858452002;[-2831.7989120755665, 9197.023371979987, -9292.746273020006, -23872.719807686677, -17930.681477464444, -13900.266405502087, -10034.645949464466, -12914.922567186688, -30620.597783853336, -32011.29830863113, -46420.84217757557, -35441.12358452001];-5.5449964433612315;1.6686105153201428e-06;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;True
1990-01_2020-02;2020-03_2021-02;PR;etanolhidratado;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;36412.33404784948;0.3430472378471357;72.72727272727273;-32.59586416161665;435422.05484475696;0.9310773621824423;138569.7224487056;137975.19591922287;138470.92960226885;139007.16189100448;142852.58216932055;142958.42766787612;141897.14930778608;143260.3663275562;139988.1136465217;149884.04824399296;138925.2651055447;136083.44392019988;[-22167.292448705615, -43484.84091922287, -46517.26960226885, -52835.482891004474, -48598.24916932055, -44008.310667876125, -30977.943307786074, -20466.3813275562, -32579.892646521694, -21336.005243992957, -27539.984105544703, -24907.42392019987];-5.292720555994716;5.669004643057945e-06;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;True
1990-01_2019-02;2019-03_2020-02;PR;etanolhidratado;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;22355.669155005682;0.13073007738157202;54.54545454545455;9.007740966733772;441281.20085498213;0.24046667065118577;124148.27450374607;121312.94606249606;120793.05864940083;119491.29804071035;119520.8418648606;131405.54398261922;152261.621972377;171544.76822946034;176394.93285446035;164499.46020541273;115968.39534029369;90846.45204416274;[14281.027496253926, 23541.960937503944, 25834.617350599176, 15470.509959289644, 25399.304135139406, 17218.98801738079, -621.0289723770111, -11352.94522946034, -20604.63385446035, -732.3592054127366, 22490.352659706303, 48276.07095583725];-5.2901284669589;5.739440261965812e-06;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;True
1990-01_2018-02;2018-03_2019-02;PR;etanolhidratado;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;53786.36748999699;0.3908051425600412;81.81818181818181;38.45193530103572;432562.82288068155;0.7738804477396614;62100.99199147744;59394.1825890546;61297.50180147744;65282.68365365337;70208.5948917949;72222.11817596157;82764.41173633854;111358.05337177066;109261.88587640028;119890.56179822127;106048.32644504226;93415.71110630769;[42126.444008522565, 46310.676410945394, 46680.985198522554, 54426.089346346635, 62568.498108205094, 79069.34982403842, 64197.435263661464, 51985.743628229335, 49705.59312359971, 48778.24320177872, 40848.79055495774, 46323.38889369232];-4.55053981644699;0.00015917835525293284;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;True
1990-01_2017-02;2017-03_2018-02;PR;etanolhidratado;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;23074.094582069705;0.17955202963274486;63.63636363636363;18.596517677455584;365119.5641014125;0.6369808713296434;70490.5832075457;64948.59932850724;67859.18848780211;74013.55632908417;83073.85617616631;84673.57731036385;83707.94706318673;87347.02401472519;81870.60148587903;89446.45445196878;74153.46081517391;69201.76070459698;[7504.637792454305, 10524.263671492758, 6176.278512197896, -231.02432908416085, -6505.04817616631, 7744.391689636148, 23930.543936813265, 25611.22598527481, 33850.442514120965, 40934.10854803122, 36060.26918482609, 27036.878295403018];-4.595526167013863;0.00013164455059576393;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;True
1990-01_2016-02;2016-03_2017-02;PR;etanolhidratado;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;68699.75036600698;0.7315972914097854;72.72727272727273;-66.26618821586398;833077.4930089982;2.365598480543561;123776.83497560961;130716.08931057628;150076.35499290962;153495.98153284294;160553.22117793525;164959.1588637686;167998.77012464294;171561.34393424296;171536.7317775763;181615.55860897628;171744.8190217096;165010.4247417096;[-20493.156975609614, -28712.433310576278, -45401.103992909615, -54596.33853284294, -52815.621177935245, -54243.70686376859, -53592.83312464293, -70302.84393424296, -89530.7507775763, -86069.46660897628, -106328.78202170962, -100366.3547417096];-6.478025678206878;1.3161922091559736e-08;1;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;True
1990-01_2015-02;2015-03_2016-02;PR;etanolhidratado;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;20156.836344897085;0.12472802866779335;81.81818181818181;12.948770525835046;159783.55925309396;0.25655905771403487;126505.78152308727;124200.86754649004;122476.85643780949;118741.84686308727;122930.87445810394;123161.11487470394;124633.48001600393;131461.4234131567;125632.27296697616;126891.61181912894;108566.84936364282;100569.03634280949;[4979.835476912733, 22753.317453509953, 14169.681562190512, 19450.653136912733, 22997.20554189605, 25597.925125296068, 29878.569983996058, 32212.13758684328, 7422.468033023848, 21510.171180871053, 7312.147636357186, 8260.304657190514];-3.951756885444756;0.0016852969369642874;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;True
1990-01_2014-02;2014-03_2015-02;PR;etanolhidratado;DeepAR;{'context_length': 36, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;20981.43371967411;0.1640643678357748;72.72727272727273;7.6357052572119475;249271.42606937466;0.47968317184539194;98149.60330663207;99223.23699047265;102140.17802199439;103645.2025010886;106549.18115687362;103707.13068093611;100185.66075123352;96176.78508232048;88793.64147271903;96463.0424035886;93675.28091018279;84967.43172195816;[-12339.701306632065, -11334.839990472654, -10280.552021994386, -13046.495501088604, -13146.635156873614, 5563.98731906389, 6385.169248766484, 20046.602917679527, 22226.983527280972, 38771.832596411405, 28722.37008981721, 35458.45627804185];-4.071574830724943;0.0010787788918166857;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;True
