train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1037.2732829720794;0.05076603756070486;81.81818181818181;3.599371454081879;8189.610587569055;1.2752605310183727;14474.26308042624;15050.333799144992;16237.318904415824;15722.459911717908;17065.764715665984;17158.908321519517;16701.110176019993;16907.988771676242;16453.20875176999;16772.697010155407;15224.412862384575;14667.678226353324;[2116.752919573759, 761.066200855008, 1281.3720955841745, 1495.7540882820922, -1211.7677156659847, 1308.7266784804815, 338.15282398000636, 473.2652283237585, -325.7957517699906, 387.2789898445917, 420.8621376154242, 139.44277364667505];-3.9670888877595836;0.0015929945093566824;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;AP;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1252.083265491266;0.06963705368530733;90.9090909090909;6.937481434689563;4966.828720211543;inf;14207.892663946965;13605.25071364589;14586.071632124384;15132.760933848847;15898.824346679996;16072.101668732079;17016.536709869008;16764.352027528956;16189.699536802475;16782.61281780382;14212.318351674116;13415.01512078097;[1397.0663360530361, 1674.6972863541105, 1705.4283678756165, 463.1920661511522, 539.7756533200027, 2062.6563312679227, 1279.2202901309938, 1033.1009724710457, 563.4834631975264, 502.11818219618, 1345.9816483258837, 1141.13887921903];-3.989386492337932;0.0014671177995789762;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;True
1990-01_2021-02;2021-03_2022-02;AP;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1522.364697879079;0.08821822422948533;63.63636363636363;8.840563526685694;24030.570129511703;1.6739160913121969;13918.512682704644;12545.676858018533;13781.144850862978;15033.673226012977;14868.611323228839;15934.555772269161;15711.884244393534;15555.900732364367;15052.725057832422;15381.188844554645;13404.2398443977;12271.3357821102;[935.0973172953563, 1621.031141981468, 1894.1121491370213, 1111.7317739870232, 2249.352676771161, 1021.7312277308392, 751.0397556064654, 1523.6972676356345, 953.1749421675777, 2042.7031554453552, 431.6561556023007, 2286.6202178898];-3.88098352522529;0.0021793416996335;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;True
1990-01_2020-02;2020-03_2021-02;AP;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;2386.696006770656;0.14746160681350853;63.63636363636363;4.421060984220349;37735.43489095969;1.00131837133315;14177.032457085057;13976.822733092242;13906.941297618821;13751.692660471552;13957.056024284147;14753.675942285536;14344.656558257471;14212.020983852299;13595.649191322844;14360.678658011064;12862.620752586494;13011.023834882471;[-1456.7984570850567, -2484.662733092242, -3888.0972976188223, -829.670660471551, 675.5999757158534, 1473.863057714465, 2123.4724417425296, 3752.4840161477023, 1979.2888086771563, 3779.5493419889353, 2153.4642474135053, 442.02316511752906];-3.9626654915451693;0.0016191302615578866;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;True
1990-01_2019-02;2019-03_2020-02;AP;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1600.4384499283653;0.09138873729384889;72.72727272727273;9.351865886778189;18964.69014049312;0.6334680389643367;13155.178422877121;13233.491299701525;13548.75098251105;13365.325711466407;13318.905987082479;13751.190212690955;13570.875236740216;13005.91848222236;12491.357359397954;13063.23950774617;11719.884572496168;11847.855857880097;[437.6255771228789, 387.8957002984753, 534.06201748895, 1.678288533594241, 1196.7890129175212, 1666.409787309045, 789.8807632597836, 2366.5815177776403, 2344.1426406020455, 2757.7844922538297, 1928.3774275038322, 1690.1981421199034];-3.676312210509892;0.004458953841823158;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;True
1990-01_2018-02;2018-03_2019-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;953.3112143683154;0.06075592449277309;100.0;5.662120644016521;25.079794385291994;0.25715785295733085;12714.659492506576;12030.332550050558;12973.115704040527;12790.58720189238;12702.185853616365;13289.671859696722;12915.497007905497;13012.101419597626;12234.246214967225;13016.164083605343;11415.973397184818;11242.276738373861;[482.7875074934236, 742.1704499494426, -40.27870404052737, -147.90920189238022, -215.9788536163651, 1115.6041403032777, 871.0079920945027, 1631.7645804023741, 1090.3887850327756, 1065.8169163946568, 1452.3496028151822, 975.4302616261393];-3.6633938489955713;0.0046585285824968315;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;True
1990-01_2017-02;2017-03_2018-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;691.2814422633749;0.04543851350829317;81.81818181818181;4.2238226101819665;5456.388921983173;0.16971984087325995;12451.724788207264;12362.941242896368;12603.56861865438;12595.526375838675;12651.905871887406;12990.718817525521;13038.374689114316;12886.339133768162;12440.106593042201;12501.381286255342;11502.182857588676;10921.651600221689;[174.77521179273572, -286.2412428963671, 695.4313813456192, 458.47362416132455, 267.59412811259426, 702.2811824744786, 352.16931088568344, 494.29486623183766, 858.6034069577981, 1538.8717137446583, 537.0071424113248, 775.4213997783118];-3.6997584667880714;0.0041165528025533995;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;AP;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;662.4191249713417;0.04631746883094831;81.81818181818181;3.525773236075796;5228.848260652992;0.15329117051452618;11438.459676192371;11380.402729173205;11805.865356211538;11900.638704933204;12218.610676886923;12918.426370534358;13005.087254594038;12821.012352554872;12290.880869574872;13128.184105204038;11776.177496057371;11945.878431520705;[1217.640323807629, 925.5972708267946, 721.2346437884626, 627.161295066795, 270.78932311307653, 518.5636294656415, 553.712745405961, 223.78764744512773, 724.5191304251275, 348.31589479596187, 43.32250394262883, -815.8784315207049];-3.4095609908175746;0.010637224267940093;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;True
1990-01_2015-02;2015-03_2016-02;AP;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;569.0779332462773;0.03611600892518154;63.63636363636363;2.845117895363779;8970.121893831318;0.1229803349941713;11968.042786277963;12504.199273215463;12244.18745350713;12467.96103181963;12733.154822316297;12370.711199855463;12932.227468423796;12696.614687979352;12325.852466125185;12809.335960812685;11587.446278541853;10983.438446125185;[474.85721372203625, 34.30072678453689, 154.51254649287148, 531.4389681803696, 237.06617768370234, 831.3888001445375, 416.67253157620326, 678.8853120206477, -246.55246612518567, 1282.5640391873148, -398.64627854185346, 326.5615538748152];-6.202998059421792;5.7466105271355075e-08;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;True
1990-01_2014-02;2014-03_2015-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1308.5157140434212;0.08393581256198329;72.72727272727273;7.608526623149372;15501.383908448106;0.3208635286176976;11906.452972108695;12020.49306026721;11873.390155440218;12178.961036636776;12406.834854539553;12481.483742275665;12487.061798609602;12364.296928299818;11896.001538058877;12094.25841781884;11145.129864058878;10828.050670948369;[-607.1529721086954, 273.80693973278903, 1080.3098445597825, -227.0610366367764, 513.3651454604478, 1572.1162577243358, 1789.9382013903978, 2203.7030717001817, 757.3984619411222, 2143.3415821811595, 1483.2701359411221, 849.3493290516308];-5.896350408173573;2.845421948183337e-07;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;True
1990-01_2013-02;2013-03_2014-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1559.5119681542258;0.11458768257175343;63.63636363636363;11.606879894885964;24635.12915727411;0.29291654741700907;10540.97136570578;10667.770564760705;10010.288908696311;10612.808120075098;10366.906204962697;10617.436464176466;10653.469794997447;10694.735995923584;10082.435719336463;10978.117021069416;9884.32064774934;9509.658137859189;[-108.97136570578004, 507.7294352392946, 1458.6110913036882, 177.4918799249008, 1267.893795037302, 1889.6635358235344, 1127.9302050025526, 2150.3640040764167, 1901.564280663537, 2176.982978930584, 2067.579352250659, 1746.841862140811];-5.856467935349925;3.4906498998471214e-07;2;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;True
1990-01_2012-02;2012-03_2013-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1854.8877657179266;0.1564337918652046;54.54545454545455;15.997279227291653;36637.359731486846;0.3023674755911751;9277.398074169463;8920.63767407224;8881.210611766684;8663.93252368732;8970.471742543199;9275.664373861382;9529.650973556367;9314.734733529582;9171.042907313311;9180.09643993236;8809.909778621843;8556.422041946249;[683.9019258305361, 861.3623259277592, 1428.7893882333155, 2002.5674763126808, 1498.7282574568017, 2597.7356261386176, 1595.7490264436328, 2853.165266470418, 1547.8570926866887, 2843.1035600676405, 1550.8902213781566, 1208.3779580537503];-5.654066397018925;9.711387832747568e-07;2;262;-3.455558114028747;-2.872635586277424;-2.572682677000175;True
1990-01_2011-02;2011-03_2012-02;AP;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1417.87725601996;0.1354450147015562;63.63636363636363;13.795515627060418;22411.067157669415;0.18425749744047165;8423.961950597817;7901.758497943651;7956.585740074901;8413.78280358115;8279.682513040278;8298.673396829465;8413.873660318652;8235.243701389485;8056.229464851984;8006.222405872818;7957.404175168651;7461.356104393651;[459.2380494021836, 636.0415020563487, 965.7142599250983, 549.2171964188492, 882.9174869597227, 1880.526603170536, 1426.4263396813476, 1344.4562986105157, 1706.670535148016, 2268.777594127182, 1586.8958248313484, 1881.043895606349];-5.756072952984099;5.81587833267223e-07;2;250;-3.456780859712;-2.8731715065600003;-2.572968544;True
1990-01_2010-02;2010-03_2011-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1215.080184623175;0.12696691480075303;54.54545454545455;13.018975259376115;23984.99084719231;0.1367767993146101;7314.204619210818;7373.741752039218;7330.4941481559945;7611.6735235298975;7531.0254002044585;7534.435849341959;7677.791922878034;7435.1178005540205;7226.918004555117;7464.028542800731;6934.896163852266;6619.433991627486;[1148.095380789181, 506.35824796078214, 666.0058518440055, 264.32647647010253, 665.9745997955415, 1414.964150658041, 1669.2080771219662, 1633.8821994459795, 1279.8819954448827, 2075.5714571992694, 753.7038361477344, 1101.5660083725143];-5.618537496927583;1.1593174023674847e-06;2;238;-3.458128284586202;-2.873761835239286;-2.5732834559706235;True
1990-01_2009-02;2009-03_2010-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;563.3934947016818;0.06660676077224587;63.63636363636363;0.948223538790195;8888.444825501005;0.05328892646196311;7213.826789915072;7313.984515323637;7303.969891850258;7371.182576207897;7286.272433207836;6946.919630632178;6718.072273757665;7004.879745506508;7062.012812626878;7589.866824896554;7359.747766703267;7130.782317497249;[-285.64401491507215, -263.18451532363724, -657.419891850258, -406.182576207897, 139.477566792164, 344.3803693678219, 688.2277262423349, 1125.6202544934922, 254.48718737312174, 804.1331751034459, -616.447766703267, -301.2823174972491];-5.441314103034513;2.77221005255522e-06;2;226;-3.4596204846395824;-2.8744153028455948;-2.5736320761218576;True
1990-01_2008-02;2008-03_2009-02;AP;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1255.4480470071026;0.1669693592801392;72.72727272727273;17.0322769123759;14918.875549014254;0.12359756701990116;5303.911079523409;5553.17352734939;5553.21729115515;6170.569902165566;5762.525035061808;5702.231241080326;6392.977261115321;6103.734929740321;5232.2503696091935;6384.287850584684;5300.895528571204;5478.00186294988;[873.7385174765905, 872.6768156506105, 934.0998868448505, 377.55779383443314, 1235.1347069381918, 1608.486326919674, 1632.7311528846785, 1728.4439182596789, 1559.4846583908065, 1659.5770244153164, 950.6027954287965, 719.5636860501199];-5.261209503113428;6.585136699086962e-06;2;214;-3.4612821203214907;-2.875142613826617;-2.574020122281422;True
1990-01_2007-02;2007-03_2008-02;AP;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1055.6331212071177;0.1557348633887379;54.54545454545455;15.822341863709974;20851.640675672385;0.09432439727167398;4833.554698774714;5286.096693566381;5073.797447472631;5093.617654503881;5203.306016486111;5141.864201495915;5500.747515180964;5641.463257368464;4862.896521691381;5871.733397993464;5040.782909712214;4572.08841622263;[995.0877002252864, 178.745358433619, 883.3658465273693, 617.0755634961197, 687.8369295138891, 1628.0016825040848, 659.8190258190361, 1175.9966606315356, 1704.9812043086185, 889.8124160065363, 1084.076363287786, 1171.87094777737];-5.130031064803477;1.2195239179374315e-05;2;202;-3.4631437906252636;-2.8759570379821047;-2.574454682874228;True
