train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;3694.0856468436787;0.08459887402783754;81.81818181818181;8.601359177849742;29219.371163246287;1.1577555651235796;32606.385637691368;31807.703247378868;34253.106384410115;35554.010389722614;37508.129566949574;34699.35326004301;32085.092797535115;31265.971457170534;30073.34785399345;33394.15269128512;29150.30895461845;29865.914321701785;[2475.0143623086333, 427.70375262113157, 4085.993615589883, 520.389610277387, 1117.7704330504275, 2413.246739956987, 3246.4212024648878, 4035.0285428294665, 4653.707146006549, 6453.847308714881, 6504.991045381554, 981.0856782982155];-4.560250518534801;0.00015280640104515793;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;TO;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;4534.781539313402;0.11708855014729043;45.45454545454545;12.033350165810152;107339.11942138168;inf;29053.026659429604;26935.67885094842;27542.989452245463;29132.564603058636;30712.420775834173;30633.54014781334;30461.461848623152;30986.054525840893;31897.53540270245;33868.61338024278;28273.90003731939;27177.4428315667;[848.6733405703962, 2693.72114905158, 4201.910547754538, 1397.5353969413627, 5271.253224165826, 6123.350852186664, 6413.6381513768465, 4200.845474159109, 1015.7645972975515, 6342.244619757221, 4432.69996268061, 5849.557168433301];-4.530707241100225;0.00017298716894989226;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;TO;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;5138.854202207165;0.15383956138340982;81.81818181818181;12.393965963102273;40801.5177073859;1.611124697364356;30215.493388549134;29644.459213882466;24391.70510831302;25565.92275668802;28600.040995621268;27349.449415554063;26006.974138563022;25714.921915438023;25533.3807230908;31451.913766549133;27364.829811326912;22681.818922674134;[-3109.463388549135, -2829.699213882468, 5241.22589168698, 5381.577243311978, 6712.659004378729, 5873.450584445938, 6521.525861436978, 5985.378084561977, 5507.119276909201, 4273.38623345087, 340.09318867308684, 6013.981077325865];-4.389184637324831;0.0003101916018545629;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;TO;gasolinac;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;2649.1317988622213;0.07989463193506179;72.72727272727273;-2.9259596176586697;31377.347202120996;0.4837107264787578;29397.22306737947;29009.212536474297;29124.632993895273;28795.80932285361;31228.396830626116;30173.72875344556;30349.342911143838;30092.655185712803;29736.22045458493;32573.602755288954;30723.52636033924;28929.726953255908;[-2716.1130673794687, -3341.712536474297, -4201.092993895272, -1403.9243228536106, -236.40683062611424, -1672.7787534455601, -115.65291114383945, 2463.614814287197, 1981.1395454150697, 3876.2772447110437, -660.9263603392428, -4210.246953255908];-4.424880174751428;0.0002681414240361033;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;TO;gasolinac;DeepAR;{'context_length': 36, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;2577.548778954376;0.0743859272031037;81.81818181818181;6.952909356223176;20376.542452731457;0.7042001130700591;29773.652517498802;29146.435314730945;28809.351238451185;27859.955290653565;30910.894674933123;29324.103176269327;27055.84336089166;27928.08032309404;26860.874345058328;29539.852833957135;27749.658953361897;26231.450314849993;[-1161.4825174988036, 844.1646852690537, 2500.5887615488136, 377.00470934643454, 3719.3853250668762, 1917.2368237306728, 2904.5166391083403, 3164.789676905959, 3032.565654941671, 4305.727166042867, 1974.3910466381021, 1916.4196851500055];-4.114020618597315;0.0009181127271877499;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;True
1990-01_2018-02;2018-03_2019-02;TO;gasolinac;DeepAR;{'context_length': 36, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;2114.287214698475;0.05799349684427164;72.72727272727273;-4.118756572946067;25022.32103118787;0.34138786399004173;32319.532301861957;29058.09908695455;31764.846448821834;32187.456231159795;32443.16033500349;31027.822498961825;29060.45997433109;29799.04863517214;28324.815313814117;31122.58546800393;29366.45993384498;26703.84267832029;[-1764.3503018619558, -159.22608695454983, -3106.362448821834, -5112.106231159796, -1297.53833500349, -1160.050498961824, -2454.3329743310896, -1752.8536351721414, 796.6366861858842, 1125.1325319960706, -270.2799338449804, 788.637321679711];-4.300368312126301;0.0004435604332054249;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;True
1990-01_2017-02;2017-03_2018-02;TO;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1955.4765089760601;0.05373048117028703;63.63636363636363;4.0076773114579;30837.111810574006;0.5242520988942955;29862.598049800174;31326.4264448162;30345.9739704412;29197.23994532902;32530.16246032724;31164.757869555637;30025.34102297325;29845.070389319404;29102.549805601455;32118.23686576171;28330.480312861073;28663.397238213634;[2319.661950199825, -1431.8464448161976, 2577.856029558803, 3454.01005467098, 2762.0375396727577, 1101.5321304443642, 644.0679770267488, 1148.1466106805965, 330.27019439854485, 2471.7851342382855, 1114.9206871389288, -1357.5642382136357];-4.0611983166028915;0.0011218716517874805;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;TO;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;3768.6050242998813;0.11584858228967566;81.81818181818181;11.73349965848256;29860.029915129708;1.0834095269685267;26518.108187686965;26826.256307878633;27156.10899327863;26913.758145911965;28857.707797561965;26756.366027818378;26935.172036036965;26741.0906509953;26027.23511267863;28131.338113578633;27127.460282936965;25685.380765511967;[3859.1918123130345, 2613.9436921213673, 2611.09100672137, 2750.7418540880353, 3734.4422024380365, 4824.333972181623, 4530.127963963034, 2695.2573490047034, 3318.775887321368, 6462.94288642137, 3404.7997170630333, 2221.4572344880326];-3.7314935785885064;0.0036913557074620693;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;True
1990-01_2015-02;2015-03_2016-02;TO;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;2703.0045076546567;0.0813296227441145;54.54545454545455;0.7803559923835226;53298.39568954971;0.4926576066620414;30491.628732896992;29938.892769771992;30703.198579216434;29263.507787688657;30211.5269399831;31040.6128640331;31041.763940813657;27645.846334216436;24812.2266202581;28737.68296928588;27149.877266577547;23925.2664452581;[-3200.753732896992, -1286.5927697719926, -3118.9985792164334, -481.7577876886571, 2552.523060016898, -2764.1628640331, -1581.0139408136565, 1787.7636657835646, 2219.2233797418994, 4367.7170307141205, -445.82726657754756, 4664.983554741899];-3.839538034621367;0.002527729236567639;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;True
1990-01_2014-02;2014-03_2015-02;TO;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;5683.488470182353;0.16876371168745471;72.72727272727273;17.05238802126988;67536.1252018357;1.2005214286880712;26573.245731180807;26100.554754939865;25003.111888753272;24168.48913550146;26270.092621449527;24491.986716380085;24246.81826607211;24801.597636950733;22936.204813372835;24949.30846992175;23202.61962705943;21110.069947793127;[-529.094731180805, 2303.6452450601355, 4084.4891112467267, 4023.340864498543, 4463.754378550475, 5700.223283619915, 6858.281733927888, 6839.702363049266, 4808.795186627165, 10367.541530078248, 7521.580372940571, 3968.330052206875];-3.632649797424053;0.005166651293005959;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
1990-01_2013-02;2013-03_2014-02;TO;gasolinac;DeepAR;{'context_length': 36, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;3779.1059035266762;0.12743908036464988;72.72727272727273;11.000051222802467;44839.16071400267;0.4736873178604474;27170.833798458774;24949.95087325044;23417.111036110287;23445.204280579983;25144.1423647483;23739.918286270036;22918.030437682257;23309.09945444362;21680.90495067468;23738.662922341347;22437.907706886803;21347.57177917847;[-3134.1337984587735, 233.74912674956067, 2345.188963889712, 1548.5957194200164, 5077.2076352517, 3002.981713729965, 3074.1195623177446, 3837.1505455563783, 4504.145049325318, 6427.833077658652, 4396.942293113196, 3700.92822082153];-3.7901950537338602;0.0030092406656413565;12;264;-3.455365238788105;-2.8725510317187024;-2.5726375763314966;True
1990-01_2012-02;2012-03_2013-02;TO;gasolinac;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;4547.725981556093;0.16018407839418256;63.63636363636363;16.502884133657457;71926.07369813735;0.46722550182577927;21720.56443453433;20992.66914656806;20412.541983353774;19840.719343135523;21284.15090599086;20718.019858983287;20307.863945714886;20173.576036935126;20441.694214286315;22632.74705340338;21516.616001796236;20143.73355967322;[1078.2355654656676, 2433.6308534319396, 3752.858016646227, 4129.830656864477, 6721.449094009138, 5784.9701410167145, 5227.536054285116, 7160.4239630648735, 3594.7557857136853, 5381.152946596623, 3112.833998203765, 1070.4064403267803];-3.7681832385516847;0.0032501420979929785;12;252;-3.4565688966099373;-2.8730786194395455;-2.5729189953388762;True
1990-01_2011-02;2011-03_2012-02;TO;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;4125.86797873067;0.16279279288964713;90.9090909090909;16.547823265960773;16532.871923294057;0.287610350695266;19240.215966054893;18640.791270721562;19421.61756184656;19091.114922429893;20270.139629447753;19521.336026878307;17971.94786347156;16370.518791284061;15832.132092346561;17798.246460138227;15678.531572096561;14953.358038596562;[1559.1840339451082, 2139.408729278439, 1114.2324381534381, 821.6850775701059, 2451.7503705522467, 2078.5639731216943, 3308.7021365284418, 4709.88120871594, 5163.2679076534405, 7463.353539861771, 5634.718427903439, 6146.18596140344];-3.8424185410539433;0.0025019454146498936;12;240;-3.4578942529658563;-2.8736593200231484;-2.573228767361111;True
1990-01_2010-02;2010-03_2011-02;TO;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;3339.406123540706;0.16371852340895263;54.54545454545455;16.68317257628551;65967.47241417883;0.19462082393720784;16135.779715137061;15869.589125476974;16060.254895877193;15572.055698958333;15323.747018233553;13807.15743527522;14387.212230975878;14921.350995942983;13138.065828338817;16292.185556222588;15506.788822510965;14882.853692675439;[3349.1302848629384, 1400.5008745230261, 908.4951041228069, 1248.8943010416679, 4350.0629817664485, 4058.906564724779, 4810.085769024121, 2745.939004057018, 4626.134171661184, 4608.064443777412, 1818.8411774890355, 2497.596307324562];-3.240607689408285;0.01775123076218094;12;228;-3.4593607492757554;-2.8743015807562924;-2.5735714042782396;True
1990-01_2009-02;2009-03_2010-02;TO;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1417.5240264242161;0.07624620526740743;63.63636363636363;-0.5872881328105137;22368.215798741658;0.06416822786331729;14633.919558222264;14868.770655988466;15484.525925155132;15642.387293708374;16727.63889554317;15972.454327500407;15858.662147689854;15618.525936277818;14791.063169958374;15978.011923488466;15567.886417597263;14325.65765512041;[-653.9504082222629, -958.4606559884669, -1891.4959251551318, -1255.207293708374, 233.99010445683234, -1512.7543275004064, -1107.1621476898545, -31.65593627781709, -223.90316995837384, 2563.9980765115324, 1444.7285824027385, 2308.9923448795907];-3.26109925197997;0.016709447830902724;12;216;-3.4609922013325267;-2.875015740963014;-2.5739524288408777;True
1990-01_2008-02;2008-03_2009-02;TO;gasolinac;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;2148.553596253751;0.12426717258820648;81.81818181818181;12.900160461950295;17032.06312689753;0.09812889259568915;12743.122277814202;12674.235604486996;13177.249075975966;13184.757150804398;13600.345197211669;12696.622121239448;12881.001771937976;12662.089742274986;11852.433717538466;13047.901822305623;12670.755522716163;11388.110995694104;[208.59224218579766, 1029.9523955130044, 1035.2498740240335, 1011.929179195602, 3038.2861527883306, 2428.426938760551, 3550.6690480620236, 2964.2521677250134, 1405.0315824615336, 3097.7266176943776, 1642.1819372838363, 1185.7773143058967];-3.3188549192957315;0.0140564105604532;12;204;-3.462818103072159;-2.8758145932936805;-2.574378674548251;True
1990-01_2007-02;2007-03_2008-02;TO;gasolinac;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;2433.6546023387114;0.17266532957307013;63.63636363636363;17.407293418526724;38504.79607127627;0.11221429221719056;11535.192700112848;10859.309246987847;11607.30776000868;11408.362593342013;11570.447120223142;10971.700597398387;11007.757663654515;10476.49333032118;9434.717629800347;11262.485036050348;11361.976598550347;9767.392301675347;[1053.976979887153, 1837.1523630121537, 1727.8901599913206, 1667.764116657987, 3246.060119776859, 2531.860752601613, 1327.988606345485, 3014.65124967882, 3207.910550199653, 3376.6594639496525, 1884.7801714496527, 2788.412138324653];-3.0377503209222434;0.03151624657125376;12;192;-3.4648754262570978;-2.876714157488788;-2.574858699001736;True
1990-01_2006-02;2006-03_2007-02;TO;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1501.976133777917;0.09689283122617949;72.72727272727273;9.850334417772586;17801.653914603292;0.0529145522755184;10541.225400622106;10101.775786038774;10877.398619372107;11039.018098191551;11590.192520760995;10790.561859302663;10407.311880483217;10315.124471281828;9609.069476490162;10658.542300274885;9955.30530114294;9225.582684476274;[-79.78540062210595, 47.60721396122608, 175.0563806278933, -140.74609819155012, 1179.2354792390051, 1490.0621406973369, 2425.3741195167822, 739.049528718173, 1050.1205235098387, 2042.456699725115, 2847.8951688570596, 1894.1215955237258];-2.8429104554282;0.052400909871989663;12;180;-3.4672111510631;-2.877734766803841;-2.575403364197531;False
1990-01_2005-02;2005-03_2006-02;TO;gasolinac;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1155.626812566133;0.09394175602552358;72.72727272727273;6.007475761565738;13695.420369568357;0.04428965152596688;9930.112105853175;9625.099996850198;9497.42041984127;9520.247096180556;10654.243767485119;10155.38369109623;10177.58019625496;10317.203853993055;9653.215825347223;10469.214033680555;10213.143098412698;9197.199391567461;[687.5098941468241, 616.441003149801, 1536.4885801587297, 1578.5429038194452, 1922.5782325148812, 1640.8273089037684, 1137.63980374504, -904.986853993054, -435.33782534722195, 861.6419663194447, -938.9750984126986, -70.34739156746036];-2.715051585111967;0.07146970619386038;12;168;-3.4698858990744115;-2.8789026251889647;-2.5760266680839004;False
