train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AC;glp;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;183.79933316020845;0.04684908496233812;54.54545454545455;2.766917442636662;3622.261876583412;1.0250600400102985;3333.1335;3185.603;3184.2583;3175.092;3094.7646;3086.6467;3020.232;2989.9626;3164.7603;3063.887;3061.4983;3047.18;[-32.92521192187496, -164.2896213437498, 132.74169921875, 75.8391179843752, 136.61759756250012, 226.0471124843748, -39.058020593749916, 289.3634405156249, -55.06641290625021, 380.08586310937517, 207.2209119843751, -92.10203264062511];-4.442249920441027;0.00024969251830344485;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
1990-01_2022-02;2022-03_2023-02;AC;glp;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;161.08752788997398;0.04840647227951981;81.81818181818181;-0.6379016942161662;1271.9929723980324;inf;3163.3994;3116.2993;3326.1768;3306.1226;3190.1365;3251.8145;2982.3782;3267.305;3098.0657;3169.2036;2866.8215;2860.5698;[142.7889919375002, -191.98953340624985, -164.25827981249995, -174.59900759374977, -247.5893736093749, -24.564453125, 191.83921717187513, -170.17268564062488, 150.1372251718749, 148.08986471875005, 149.32882879687486, -47.33069421875007];-4.400108339198362;0.0002967016038911056;11;373;-3.448003816652923;-2.86931999731073;-2.5709145866785503;True
1990-01_2021-02;2021-03_2022-02;AC;glp;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;237.46461921477825;0.065136328855036;36.36363636363637;-3.4659811999143084;6551.91409757106;1.3788128073731758;3263.3591;3163.6272;3356.6355;3273.7097;3149.4072;3407.0364;3249.4473;3417.82;3289.979;3158.7983;2939.4565;3103.914;[201.7441301406252, -26.328284265624916, -245.2912950468749, -104.18254279687517, 133.90074443750018, -317.68130495312516, -186.46719362500016, -458.2421693593751, -354.06052590624995, 217.9824571562499, 6.313385031250164, -166.54087449999997];-4.449901403749846;0.0002419538279712296;11;361;-3.4485948978753314;-2.86957971128312;-2.571053050314224;True
1990-01_2020-02;2020-03_2021-02;AC;glp;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;294.6447246048316;0.08142846946667932;54.54545454545455;7.789608483311941;5811.305764764493;1.343867900431278;3128.8206;2882.2754;3161.0034;3006.3672;3016.5957;3044.0005;2784.4622;2940.0657;2726.4097;3216.2676;2975.5762;2890.379;[211.82799435937523, 473.3025083749999, 152.03462503125002, 372.4389715000002, 409.86987687500005, 161.23864171874993, 349.32950879687496, 413.8002681718749, 240.30410003125007, 212.36829187500007, -88.9203748750001, 114.31674574999988];-4.251193529174267;0.0005390734229799937;11;349;-3.449226932880019;-2.869857365438656;-2.571201085130664;True
1990-01_2019-02;2019-03_2020-02;AC;glp;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;229.83444544695033;0.06854515207146854;36.36363636363637;-0.592818610382865;6341.879933830483;1.2407903428551612;3216.1265;2867.4458;3201.2312;3117.054;2943.258;3251.5547;3045.3289;2963.5098;3167.0723;3052.4268;3094.5774;3075.5432;[-124.46885584375013, 222.6484022187501, -38.64786817187496, -320.3329410781248, 339.3125953593749, -143.69236850000016, -97.6730604218751, 284.6387853750002, -131.8041496249998, 301.06056118749984, -274.44152257812493, -234.6211118906249];-19.934366707238034;0.0;0;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2018-02;2018-03_2019-02;AC;glp;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;168.9938281552823;0.04487876124679884;27.272727272727273;1.0081751915217076;5326.622775423717;1.2333272041032157;3086.1904;3123.899;2939.8843;3039.8928;3108.9705;3088.2588;3216.7432;3001.0923;2881.454;3111.1572;2822.974;2983.1836;[46.90920831250014, -95.64530278124994, 321.58854865625017, 39.069134734374984, -40.79473398437494, 24.514761937500225, -290.8120050624998, 138.85698984374994, 234.3810434375, 64.7866144374998, 135.06754590624996, -207.17091274999984];-3.5955997198506555;0.00584571103603238;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;AC;glp;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;209.65039157463644;0.04915263793661955;63.63636363636363;3.8872693886715526;3306.3736386034047;1.0096038304472021;3072.7407;2968.115;2847.234;3173.4153;2830.9517;3253.2646;2973.1948;2891.4832;3016.757;2946.415;2977.0552;2842.7578;[537.2798893437498, -116.05520723437485, 249.99980928124978, 34.25847079687492, 156.93602084375016, 4.410822562500016, 61.76682078124986, 55.403278703125125, -100.90478207812521, 138.3603569375, 142.58975221875016, 283.61447050000015];-19.024115349766852;0.0;0;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2016-02;2016-03_2017-02;AC;glp;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;204.09496414822806;0.060929711825018905;45.45454545454545;1.0395485253807848;4827.3171725235325;1.767686921445118;3337.16;3025.6863;3249.7737;2992.1685;3170.6367;2962.3108;2942.8691;2995.2075;2738.502;3041.2117;2810.5386;2752.6748;[-247.6128111093749, -125.95439529687519, -169.23020364062495, 113.13226796875006, -258.0026607499999, 133.814208984375, 164.091004375, -131.60969353124983, 209.48717687499993, 362.663330078125, 272.0936717812501, 55.49367331250005];-11.805712068003386;9.106940689631708e-22;1;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;True
1990-01_2015-02;2015-03_2016-02;AC;glp;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;240.47132606587078;0.055705010460666886;45.45454545454545;4.496431317159414;5686.778199954265;0.9708113024090432;3154.03;2971.5168;2839.7952;2676.6855;2781.563;2841.046;2670.3135;2947.2158;2904.6865;2917.9153;2926.4802;2817.2476;[-22.120609296875045, 90.20054529687513, 75.63418198437512, 399.17496012499987, 442.6290407187498, 46.59359456250013, 436.74630643750015, 37.418237687500095, -21.197393437500068, 315.3419627968751, -173.4240656093748, -5.117123593749966];-11.516183921688866;4.1447790726206155e-21;1;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;True
1990-01_2014-02;2014-03_2015-02;AC;glp;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;221.0539199483542;0.058627410612031416;81.81818181818181;6.005149551091243;1746.421612651458;0.8721821363915407;2850.1394;2652.0923;2849.6177;2623.994;2708.5;2880.104;2668.3755;2976.362;2795.5073;3046.1553;2989.7285;2793.7815;[112.04718970312479, 210.1867008437498, 49.75913621874997, 60.721683515625045, 415.4692030000001, 50.82172109375006, 394.13538171875007, 178.89156245312506, 54.90934278124996, 336.9715385625, 154.43996237500005, 143.258360859375];-11.311364687265465;1.236684273125108e-20;1;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;True
