train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;oleodiesel;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;28283.025743244933;0.06787382086131606;81.81818181818181;5.304819248621264;223502.8588070244;1.0444499229963289;360232.78;362350.06;323927.56;289339.88;282156.0;308433.8;307698.1;337206.3;326994.25;285924.75;279936.0;266560.75;[35310.53675000003, -12753.797499999986, -3398.6734999999753, 9052.896000000008, 10632.463999999978, 50770.806500000006, -16047.781750000024, 15604.88949999999, 8762.630000000005, 58549.14299999998, 29477.756999999983, 23036.130999999994];-5.341472718337552;4.490321741904876e-06;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
1990-01_2022-02;2022-03_2023-02;RS;oleodiesel;DeepAR;{'context_length': 36, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;19454.42013325805;0.050823576311006036;90.9090909090909;1.7702727445996862;77010.25684813914;inf;359479.8;355005.16;327053.4;278280.8;298635.1;311483.38;306031.03;345721.12;332075.0;304970.75;276197.12;267488.8;[-6961.006500000018, -28591.787249999994, -13091.636249999981, -1240.7964999999967, -15802.129750000022, 13749.427000000025, 16382.946750000003, 13829.107000000018, 42295.139000000025, 22303.87699999998, 10560.139000000025, 14372.184499999974];-5.273427695450463;6.214038104784058e-06;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;True
1990-01_2021-02;2021-03_2022-02;RS;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;43962.961081755166;0.11274856366894022;72.72727272727273;11.69231927679482;521325.5053347145;1.9246790866222592;341585.75;313910.06;295819.06;272664.16;283375.28;291247.1;280831.28;305753.6;316541.38;277607.66;259867.22;250431.97;[36267.61599999998, 88796.80349999998, 14935.525499999989, 9652.249750000017, 36050.61875000002, 42882.87024999998, 24541.183750000026, 68496.21525000001, 42516.53100000002, 28461.26575000002, 24350.699250000005, 45091.13825000002];-4.898189675345099;3.5158430774559244e-05;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;True
1990-01_2020-02;2020-03_2021-02;RS;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;15672.186997425979;0.04311545589617555;81.81818181818181;-2.8231736147953845;123679.40535657182;0.5021413771822436;363695.47;335185.72;295978.97;287250.72;284046.5;304704.16;298673.03;331648.3;309838.7;279122.94;280670.88;271174.34;[-6924.2967499999795, -38570.35475, -7583.785749999981, -14201.434750000015, -10302.715000000026, 987.212750000006, -17052.326249999984, 14578.866500000004, 4573.340499999991, 4364.635499999975, -9631.75900000002, -20233.99775000001];-4.860207761815136;4.1658027169467387e-05;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;True
1990-01_2019-02;2019-03_2020-02;RS;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;15034.497664638428;0.042063387431591166;100.0;3.430576052105252;273.83805544712226;0.7261620673168995;339236.25;324268.2;299515.72;275190.3;283687.84;299433.22;294511.7;331249.3;307481.62;270960.88;266317.03;254157.69;[15875.766999999993, 19181.92749999999, -14543.308750000026, 4636.212500000023, 4369.589250000019, 19354.669249999977, 1487.1504999999888, 2324.5034999999916, 23906.543999999994, 11855.472000000009, 14171.345749999979, 23350.1875];-4.751962580770751;6.714081787115058e-05;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;True
1990-01_2018-02;2018-03_2019-02;RS;oleodiesel;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;29396.40489884873;0.07521585041088032;54.54545454545455;2.4129121040111583;579550.5729344054;0.6983937594516312;328018.4;312846.1;310482.56;273714.4;286463.5;286420.4;286146.9;323358.38;309201.62;260543.75;255366.88;253091.28;[20607.636750000005, 36419.343249999976, -78548.47450000001, 29727.012749999994, 134.2150000000256, 22162.399749999982, -5614.530250000011, 6286.120999999985, 15194.944000000018, 17821.901000000013, 688.1179999999877, 21306.66175000003];-4.697240506624281;8.51629887224076e-05;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;True
1990-01_2017-02;2017-03_2018-02;RS;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;31688.059335959504;0.05539704866645851;72.72727272727273;5.63139928330271;374978.9261728826;0.5975384352124254;285084.34;316746.2;271803.62;258559.9;261225.6;272377.7;279343.2;303625.3;312893.94;261812.44;261669.06;266579.25;[100464.42174999998, 1481.2486999999965, 14649.411499999987, 22985.14035, 25915.980749999988, 17510.24099999998, 4703.939899999998, 5506.108999999997, 9798.370600000024, 3993.038600000029, 1206.8724999999977, -8202.51999999999];-4.063080971714072;0.0011139356071610104;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;RS;oleodiesel;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;15828.925635600655;0.04582828251886642;100.0;3.5126895766112822;314.11281621840664;0.4585615052445838;341347.9;327257.1;291938.4;268134.25;267666.3;281089.6;274571.5;304544.22;305394.25;263401.7;243424.86;234027.75;[-9262.173249999993, -3319.691749999998, 18592.72875000001, 32550.51899999997, -1464.1275000000023, 19843.968249999976, 21450.754000000015, -4453.614750000008, 11404.117000000027, 12394.981499999994, 11789.539025000005, 14354.289500000014];-3.8359850233385973;0.0025598704488660673;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;True
1990-01_2015-02;2015-03_2016-02;RS;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;23763.866193345584;0.055080529211641756;72.72727272727273;1.69516094703362;281205.32058923226;0.5872088900575309;315362.94;324521.88;279100.5;269475.6;265055.06;288028.3;272999.66;339277.94;323756.75;285396.38;261203.56;259889.66;[60469.67910000001, 11712.27899999998, 1387.753000000026, 6566.82024999999, 1524.044200000004, 8744.213199999998, 32421.51734999998, -23737.415399999998, -29098.218400000012, -4274.706000000006, -16301.374500000005, 10664.407750000013];-4.444001298419849;0.0002479007141392578;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;True
1990-01_2014-02;2014-03_2015-02;RS;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;21497.32775780805;0.06258572906974744;45.45454545454545;1.741202232530166;508326.7543149373;0.7071494167272605;337146.5;320682.97;286907.25;266089.94;255985.7;290377.1;297154.62;315577.03;324093.53;281793.66;266652.78;266923.22;[-70.48399999999674, 22972.350250000018, 18463.722999999998, -5598.7895000000135, 27900.00787500001, 18293.49325, -4351.070999999996, 26853.858750000014, -13873.919249999977, -6631.350250000018, 23167.345450000023, -44936.86275];-4.260572420585086;0.0005194774786231972;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;True
1990-01_2013-02;2013-03_2014-02;RS;oleodiesel;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;32645.07223532227;0.0964770843817964;81.81818181818181;8.750897010155567;258377.82334023394;1.0838773004970619;321382.56;308122.62;284767.8;257818.25;262294.8;274073.9;265923.56;290940.66;286622.16;255840.28;240189.16;230093.33;[-19768.088500000013, 54971.29700000002, 5243.337500000023, 16865.612000000023, 28223.68849999999, 34378.18075, 24151.577500000014, 45484.724749999994, 41619.433750000026, 18021.408750000002, 21362.18174999999, 43817.35487500002];-4.0984393449800045;0.0009742934252182649;11;265;-3.4552699038400827;-2.8725092359464526;-2.5726152830188678;True
1990-01_2012-02;2012-03_2013-02;RS;oleodiesel;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;23064.56153204483;0.06472055443380022;45.45454545454545;5.598094673212605;545406.8965132346;0.4575561316560259;303476.47;304916.94;273017.66;244649.48;245608.86;236967.11;265697.03;305037.25;278081.7;243894.52;234415.53;226905.88;[20517.30534999998, -7703.820300000021, 15783.806050000014, 24594.821924999997, 6550.0592250000045, 51247.071925, -5776.811350000004, -2561.034400000004, 34675.80940000003, 7449.279574999993, 30541.009750000027, 12230.806000000011];-4.238256782096402;0.0005672483783338893;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;True
