train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;gasolinac;ARIMA;{'n_neighbors': 9};12;12;1467.0892751354356;0.07226899815775509;27.272727272727273;0.22542947809760747;46249.516336594985;1.7930301173459287;13815.706588560868;15645.738854422636;15490.46928903202;16608.433820836493;16802.947600245472;16813.497262288598;17695.72900501684;17992.490795641876;18141.412174205572;16955.081155625925;17821.449936229936;15388.293364575362;[2775.3094114391315, 165.66114557736364, 2028.2217109679787, 609.7801791635065, -948.9506002454727, 1654.1377377114004, -656.4660050168422, -611.2367956418748, -2013.9991742055718, 204.89484437407373, -2176.174936229936, -581.1723645753627];0.7135239931410264;0.9901039354683296;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AP;gasolinac;ARIMA;{'n_neighbors': 9};12;12;1122.5268784094048;0.06002855405098128;63.63636363636363;2.563030303260067;17705.337608218524;inf;14005.102556765773;14143.31028049117;14787.693899344742;15153.644480441319;16007.405444647336;16500.622493374212;16764.282834108762;18047.015911147293;17344.831185600695;17166.786668890905;16604.61654719395;16001.65890490955;[1599.8564432342282, 1136.6377195088298, 1503.806100655258, 442.3085195586809, 431.19455535266206, 1634.1355066257893, 1531.474165891239, -249.56291114729174, -591.648185600694, 117.94433110909449, -1046.31654719395, -1445.5049049095487];0.6712942988695558;0.9892472388150362;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AP;gasolinac;ARIMA;{'n_neighbors': 7};12;12;2617.955293972061;0.13869295525383946;18.181818181818183;6.030856114449273;92911.87397259058;2.6139078959900686;13540.343009006163;13646.99133143586;12469.556722319921;12336.324615098334;12656.137247474293;13370.359299279467;15246.974880229875;16556.130306713592;18097.19460774983;17186.851454269156;17593.632413035244;16105.303847754272;[1313.2669909938377, 519.7166685641405, 3205.700277680078, 3809.0803849016665, 4461.826752525707, 3585.927700720533, 1215.9491197701245, 523.4676932864095, -2091.294607749829, 237.04054573084431, -3757.7364130352435, -1547.3478477542722];0.5664470978608691;0.9867587371464664;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AP;gasolinac;ARIMA;{'n_neighbors': 9};12;12;1921.5308760332812;0.11765122002703148;54.54545454545455;0.1356570400332939;37920.537780514096;0.7711404184318993;13632.191019337959;12862.070220048085;14037.615076819173;14063.248856442155;13881.558924065132;14279.744089608239;14206.742681431879;15941.919591125818;15621.603791878873;15614.69731646712;14764.458839654868;15487.638179117817;[-911.9570193379586, -1369.9102200480847, -4018.7710768191737, -1141.2268564421538, 751.0970759348693, 1947.7949103917617, 2261.386318568122, 2022.5854088741835, -46.66579187887328, 2525.5306835328793, 251.6261603451312, -2034.5911791178169];0.5475015548282032;0.9862475537910335;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AP;gasolinac;ARIMA;{'n_neighbors': 9};12;12;1141.1108188956205;0.06254292753306999;36.36363636363637;6.007325652444439;31476.339111434736;0.4327680548739301;12670.308919155344;12354.753217230176;12873.35746420344;13182.736760973472;13331.750642972425;13172.28729603114;13866.314753139563;14562.091470426105;14743.327389316906;13780.572960400352;13976.780539431695;13316.100821906866;[922.4950808446556, 1266.6337827698244, 1209.45553579656, 184.26723902652884, 1183.9443570275744, 2245.3127039688607, 494.4412468604369, 810.4085295738951, 92.17261068309381, 2040.4510395996476, -328.5185394316941, 221.95317809313383];0.007333108987488581;0.9591343438704057;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AP;gasolinac;ARIMA;{'n_neighbors': 9};12;12;740.8657840233897;0.04789104757871484;45.45454545454545;1.1814625830314884;17514.910870733558;0.2005656700734716;12349.674271222413;11642.939687752587;12630.353609348169;12673.442750078384;12738.198472136168;13147.812562163908;13967.052309287614;14173.285352626623;14237.17272505751;13314.509077574918;13746.684243121663;12856.061580822969;[847.772728777587, 1129.5633122474137, 302.48339065183063, -30.764750078384168, -251.99147213616743, 1257.4634378360915, -180.54730928761455, 470.58064737337736, -912.5377250575093, 767.4719224250821, -878.3612431216625, -638.3545808229683];-0.03360674218723888;0.9556630070532948;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;AP;gasolinac;ARIMA;{'n_neighbors': 5};12;12;893.0381135863556;0.061522838352249865;27.272727272727273;1.3331123066536132;28149.135169555626;0.22391338456919427;10963.522351330264;12593.919545577422;12574.178717381654;12733.574757918932;13531.727321694716;12622.81294215678;12954.080996961835;12979.499836543331;12986.665675348613;13220.99894704238;13186.213036973386;13094.718880941522;[1662.9776486697356, -517.2195455774217, 724.8212826183462, 320.42524208106806, -612.227321694716, 1070.1870578432208, 436.46300303816497, 401.13416345666883, 312.044324651386, 819.2540529576199, -1147.0230369733854, -1397.6458809415217];-0.18434312638048309;0.9403623243552454;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AP;gasolinac;ARIMA;{'n_neighbors': 1};12;12;1227.7879111727705;0.0814049558595736;0.0;0.020944445248577876;53211.579777239094;0.2664238960734291;10150.030448862923;13217.058885036782;13173.786770360428;12717.45085907861;13509.370173465597;12611.422575224953;12202.933755807182;12722.773496862437;12900.278459413206;12510.382756870245;12966.710909494035;13274.357784395854;[2506.0695511370777, -911.0588850367822, -646.6867703604275, -189.65085907861067, -1019.9701734655973, 825.5674247750467, 1355.8662441928172, 322.02650313756203, 115.12154058679334, 966.1172431297546, -1147.2109094940351, -2144.3577843958537];0.4880291970592304;0.9845046758851571;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;AP;gasolinac;ARIMA;{'n_neighbors': 5};12;12;1315.0647561161927;0.08155914469697222;63.63636363636363;-4.474668464224849;20754.626994947666;0.25758946303341557;11308.287366028995;13036.585712690485;11950.041785338324;12997.368075719949;13417.014098089221;12308.102410061938;13721.783805293722;13618.551965712386;14436.08515224997;14555.382618141064;13467.197547337273;13928.910097005064;[1134.6126339710045, -498.0857126904848, 448.65821466167654, 2.031924280050589, -446.79309808922153, 893.9975899380624, -372.8838052937226, -243.05196571238594, -2356.7851522499714, -463.48261814106445, -2278.397547337274, -2618.910097005064];2.6332631215805753;0.9990805692692996;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;AP;gasolinac;ARIMA;{'n_neighbors': 5};12;12;1360.7901987679666;0.08802260020307456;72.72727272727273;8.237560289246094;16123.072449008105;0.33257834186613744;9763.344313363747;11746.989525810788;11585.06540732184;11216.299467909606;12132.93097546648;11334.948972957884;12784.751908944807;12709.01916697538;12245.48039513497;12542.47213393368;12373.919392221995;12268.95293125834;[1535.9556866362527, 547.3104741892112, 1368.6345926781614, 735.6005320903932, 787.2690245335216, 2718.6510270421168, 1492.248091055193, 1858.9808330246196, 407.9196048650301, 1695.127866066321, 254.48060777800492, -591.5529312583403];3.1036490834168835;1.0;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
