train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1600.6067498618;0.06192715952286477;63.63636363636363;-1.3251189379594372;25246.91588922101;1.2939245520220612;21740.327384018587;20046.726611616494;22287.935115382366;22271.65470366738;23060.294680938503;23806.429279065967;23479.082539948417;24346.933232491094;23528.04250468621;24926.00233670545;23333.03518091034;21510.35430023403;[-602.434264018586, 695.762518383508, 1715.9743046176336, 2142.0699363326203, 844.4335790614969, 1204.141370934034, -1200.022759948417, -1830.7430124910934, -1684.0135146862121, -3385.4878467054477, -694.1619909103429, -793.2655302340318];-3.114154479176104;0.025523272808363376;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;True
1990-01_2022-02;2022-03_2023-02;ES;glp;ARIMA;{'n_neighbors': 5};12;12;1577.9417768061203;0.05497985661435933;54.54545454545455;1.1409877672472428;31096.322348773134;inf;20630.856389181503;21526.10156807647;22429.787314799094;22900.46597714785;23672.257439109264;23642.913550873687;23835.33235480651;23292.652128969537;22647.45000638916;23782.394807569188;22506.267826150197;21148.181465690082;[3799.8555708184977, -1178.188528076469, 2009.9771752009074, 1590.8438028521487, -686.2266391092635, 1096.2657991263113, -350.23815480650956, -789.762638969536, 19.3597736108386, 614.5617124308119, -1159.7062361501958, -1827.2666056900816];-3.0799603505904627;0.02807219752235278;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;True
1990-01_2021-02;2021-03_2022-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1347.5837230791662;0.054905522057003005;63.63636363636363;0.10073369981882511;21251.84374502997;1.2441033185717434;21355.024326994855;21146.20529295753;21986.004469731404;22663.931051629697;23300.173020012968;23330.81390706051;23370.697117915475;24054.60982677984;23469.7378304012;24576.08070725077;22816.827062929395;21380.736548873654;[2206.037263005146, 1225.6316670424712, 746.8868302685951, 960.4004683703024, 1497.0208199870322, 997.3165229394908, -621.3003779154751, -1617.03554677984, -1198.2324004012007, -1243.3596972507694, -2093.7038729293963, -583.9267688736545];-3.144561868286346;0.023426402305565263;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;True
1990-01_2020-02;2020-03_2021-02;ES;glp;ARIMA;{'n_neighbors': 5};12;12;1865.2714603612485;0.05945741067454371;63.63636363636363;4.825192527122598;29419.367682250886;1.223482641412643;20325.407069371482;20025.363527005156;20981.060943053195;21717.018747788235;22168.498734384397;22276.150596497602;22481.936280815204;23103.89096819769;22464.210460989554;23769.481033425065;22214.22818183046;20061.16354306916;[3481.2143106285184, 3713.1437229948424, 1198.2560869468034, 1759.642482211766, 2803.5954656156027, 1159.7570135023961, 843.0274891847948, -51.58661819769259, -870.8716909895556, 57.90302657493521, -794.1394118304597, -37.877313069158845];-3.1884378118396315;0.020663774844453652;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;True
1990-01_2019-02;2019-03_2020-02;ES;glp;ARIMA;{'n_neighbors': 5};12;12;907.1052838776277;0.035441998964771376;63.63636363636363;-1.6742568150870971;14297.683257903203;0.4853519615775845;20231.249538073473;21134.259841471594;22178.992648485728;22643.192478690125;23269.853022330986;23292.892461620977;23621.168059926367;22964.315434812812;22337.71081063185;23473.06003956528;22478.19907585145;21017.299150902163;[-295.2930180734729, 416.94667852840576, 450.6396015142709, -1715.967838690125, 808.3371976690141, 324.9100783790236, -1667.260449926369, 415.6465251871887, -650.0278406318466, -518.8390295652789, -1192.0831358514515, -800.7049509021635];-3.2780508619901556;0.01588856724774946;10;338;-3.449846029628477;-2.870129281376164;-2.5713460670144603;True
1990-01_2018-02;2018-03_2019-02;ES;glp;ARIMA;{'n_neighbors': 3};12;12;1491.4736470313835;0.053964754811679255;63.63636363636363;3.1496195396487505;23520.321029393202;1.3222936767461313;19409.638640263074;20181.55077855606;20902.96773552862;21637.921647099898;22365.78439295255;22860.813369466134;23123.68463411612;22671.90611712916;22357.715705874587;22734.976266620197;21931.890562789515;20805.645953507654;[2065.0117197369254, 1569.9383514439432, 1997.4543644713813, 3152.8917629001007, 794.3333570474497, 1346.0290205338679, -231.1592741161221, 389.4851828708379, 212.45277412541327, -248.60126662019684, -1307.5028827895148, -1252.9955935076541];-3.2776924198730133;0.015905551173657054;10;326;-3.4505694423906546;-2.8704469462727795;-2.5715154495841017;True
1990-01_2017-02;2017-03_2018-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1224.5366311425862;0.042507878242493045;72.72727272727273;3.242562311821098;14484.12996470781;0.9238523763936225;20023.677657833865;19935.99733261828;20857.20981408053;21185.101140259783;21882.142276846247;22066.74112806844;21526.27497352268;22015.671457183653;22039.077922578566;22935.907101733068;21498.982467612735;19840.520511977713;[2614.6880021661345, 440.69288738171963, 545.9195309194729, 1244.467329740215, 1206.0708781537542, 1680.1167119315614, 1894.5810264773208, 222.64166281634607, -1.3151225785659335, -931.6704017330667, -541.1672476127351, 197.6606480222872];-3.3518950407948096;0.012712244572852483;10;314;-3.4513486122290717;-2.870789013306053;-2.5716978530569192;True
1990-01_2016-02;2016-03_2017-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1051.6281044716065;0.042492666679271957;54.54545454545455;0.17980770173756272;20718.746485779244;0.5932968165610479;19382.06594469096;20249.968566405914;20950.13353024716;21211.441472303213;22212.11296724605;22052.203252840998;21844.640432076918;22434.665543707237;21896.883204773665;22806.18085778374;21324.50074492663;19916.8292299885;[1278.1514453090422, -443.0718264059142, 905.7414697528402, 1332.317587696787, 161.47217275395087, 2014.693487159002, -208.07159207691802, -1192.8648237072375, -425.7382747736665, -638.6011477837383, -1095.7851649266304, -1226.5991599884983];-3.373984113334833;0.0118783759939291;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;True
1990-01_2015-02;2015-03_2016-02;ES;glp;ARIMA;{'n_neighbors': 5};12;12;1289.555228596428;0.052517505469763553;81.81818181818181;-0.5564413015426795;10182.35334949549;0.598856600199361;19528.44248736565;20428.285673416085;21446.257475647453;21519.76799984962;22342.801152906944;22316.522286653264;21932.546869717713;22337.17320010462;21812.01852325982;23113.081904184208;21399.674719255716;19732.06028291206;[1492.887222634352, 682.0078065839152, 343.12658435254707, 803.5399701503811, 1572.1734870930559, 952.5646733467365, 68.71581028228684, -1106.48117010462, -2028.1000432598194, -1546.9623341842089, -2290.595009255714, -370.0457929120603];-3.3619936848414786;0.01232478411102365;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;True
1990-01_2014-02;2014-03_2015-02;ES;glp;ARIMA;{'n_neighbors': 5};12;12;830.8434830823963;0.03360092217369006;100.0;1.2609751358753083;12.088462023562355;0.44378482295255667;19071.826436693136;20149.580532022374;21389.58020960191;21106.454087065034;22167.471256559915;22061.060968300877;21823.850902753715;22592.123723542965;21376.156940261433;22163.429069047885;21437.411818851786;20042.81795599009;[1131.2623333068623, 904.8741779776283, 700.0266703980888, 30.73975293496551, 1347.1483134400842, 969.3901216991217, 103.38822724628699, 120.14076645703608, -594.2837502614348, 628.4459309521153, -1082.9897188517862, -996.7165059900908];-3.3499749684435023;0.012787122858536216;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;True
