train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;glp;ARIMA;{'n_neighbors': 9};12;12;1061.9840353196166;0.06709404944151397;63.63636363636363;-0.46557451582267384;16753.821701531833;1.4725876311755646;13380.837382921;13413.014725193174;14623.080666953372;14285.919413805384;14530.92875233739;14793.385957581588;15508.8410437223;15155.707037482458;14131.454893406299;14389.834047609556;14025.728170046794;15122.759561226238;[1387.8618970790012, 749.4128148068266, 448.9936130466285, 1280.9809461946152, 602.0114676626108, 781.483612418413, -1298.7577137222997, -1579.0729774824576, -844.732063406298, 76.20037239044359, -739.124910046794, -1668.6436212262379];-1.6115522298568754;0.47716082453706277;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;DF;glp;ARIMA;{'n_neighbors': 7};12;12;1143.1144484425013;0.0634106119170877;36.36363636363637;-2.0441112196591114;31532.057492891054;inf;13220.099826471209;13671.836757579964;15060.045913665825;14554.20567612859;14324.094686982447;15134.983024909361;15501.26660867585;15476.11238284168;14540.737041137427;14184.173954837363;14394.894167541353;15371.220286536329;[1541.2552435287907, -200.5106675799634, -744.804973665825, 217.7653338714099, 115.46509301755214, 265.29777509063933, -1087.9894386758515, -916.4004228416798, 26.868028862572828, 1385.561555162638, -1774.4394575413535, -2342.292746536328];-1.4543453897305934;0.5559631451201895;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;DF;glp;ARIMA;{'n_neighbors': 3};12;12;1080.855355604612;0.057339356083100944;54.54545454545455;-1.5607871119981733;21301.787407428234;1.6188668685067782;14075.095415409358;14165.842688082943;14138.52102156478;15557.286945762145;15701.95834170795;13669.616575045471;16190.666039050637;15696.636545412319;14172.322286411283;14921.03705834574;13314.076017435522;15601.127860990584;[1278.542264590642, 6.836661917057427, 546.0514384352191, -508.9119457621455, -250.29711170795053, 1829.3182049545285, -1995.9196590506363, -1247.3756754123187, -385.5668564112839, -63.14575834574134, -311.4673174355212, -1621.3398209905845];-1.4602992606004548;0.5530514149947641;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;DF;glp;ARIMA;{'n_neighbors': 5};12;12;1496.1645558521332;0.09172947127948929;27.272727272727273;-1.9186719091765385;47179.280555804864;1.6816371041897307;13840.390732011565;13962.013775821239;15372.584284397959;14804.056708595495;14816.236491918567;15272.61554738676;15400.914681288956;15600.634273757874;14847.511796877265;14441.157563429573;14766.148709654439;15581.614940676209;[2170.9425979884345, 1925.4789741787608, -1909.3089243979593, 521.6480014045046, 873.6783680814333, 85.87539261323946, -1463.4635912889553, -1333.1831837578738, -1022.5063668772655, 630.2283065704269, -1212.9892896544388, -2630.631240676208];-1.280243209955257;0.638161906315184;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;DF;glp;ARIMA;{'n_neighbors': 1};12;12;1316.775107140217;0.06975181207796415;18.181818181818183;-1.0018937449369671;46693.361595412185;1.6226912574986077;12064.605425981972;15285.546429040807;14486.607877083583;15334.958128238408;15581.220721619318;15745.197293952777;16501.57640384246;14122.695989791262;15836.460400221851;14733.501822393117;15557.463379217004;13754.684333530702;[2519.0050840180284, -364.7312090408068, 1185.3323429164175, -569.4671882384082, 276.3789183806821, -140.83859395277614, -2458.87350384246, 417.32756020873785, -1580.3354002218512, 643.664847606884, -1831.488739217004, 128.38088646929828];-1.1733540182059576;0.6849518503838541;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;DF;glp;ARIMA;{'n_neighbors': 1};12;12;1220.8261952633775;0.06356483390968426;45.45454545454545;-0.32438243289572855;28869.644688272536;1.1173429676224913;17244.544156805274;15098.791692812109;15061.417965882527;15299.619781184112;14834.05806962169;14489.89808919614;14593.226674650912;14782.02858967709;14300.88517193951;14636.342581286986;14200.301609013255;14640.827994725954;[-2362.803216805274, 437.0470771878918, -1942.9777458825265, 2216.242538815888, 126.37852037830999, 1192.74865080386, 254.23528534908837, -208.4579396770896, 800.8883780604901, 376.23531871301384, -645.711029013255, -823.1812547259542];-1.1909158496036407;0.6774912254424558;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;DF;glp;ARIMA;{'n_neighbors': 3};12;12;895.8206116934757;0.05318215519901772;27.272727272727273;1.6337453117187644;28233.33723251264;0.955867095990473;14091.401626450317;14253.928551425293;14091.401626450317;14387.21460108326;15243.839670857471;16209.134774483902;14667.689201761521;15216.952088336633;14736.21610064211;14689.718089004553;14154.655334367288;13626.53664284711;[1608.4322135496823, 1161.3678985747065, 1039.3574335496833, 653.82707891674, 424.78713914252876, -780.2840344839024, 860.0339382384791, -1361.2099483366328, -651.9094206421105, 262.83514099544664, -515.6480843672871, 211.07386715289067];-1.1855299220050073;0.6797891954232718;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;DF;glp;ARIMA;{'n_neighbors': 1};12;12;989.5274606059922;0.05030649484544012;36.36363636363637;0.05215760775149108;27289.72066655724;1.480906855049588;12238.8027494556;14964.469780188356;14288.381497732038;15006.283597736543;15214.6791663122;15353.441576613233;15993.514648614064;13980.427197314108;15430.671441936332;14497.311337235044;15194.574915764822;13669.003536513686;[2210.8077605443996, -521.7270301883564, 444.8612522679614, 245.84683226345624, -21.06322631220064, 430.2015433867673, -1266.9349386140639, 23.795632685892997, -961.8218019363321, 1085.5872127649563, -1560.9843357648224, -16.811506513686254];-1.1190198814313972;0.7074277063410404;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;DF;glp;ARIMA;{'n_neighbors': 3};12;12;1210.597345571089;0.07125973529638775;27.272727272727273;-3.7841521203315005;38163.52801331818;1.8378563941155859;14423.451011461582;14652.825074550681;15745.44013193329;14485.611611953882;15018.017685609357;15889.298037551758;16105.845149130313;16120.248606634006;15387.509123123093;15406.541538376408;15409.990206184155;13989.917476329076;[591.8642085384181, 180.6133354493195, -949.3241919332904, 993.2162880461183, 841.302964390643, -400.47557755175876, -1619.0426091303125, -1723.9967966340064, -1940.2555031230931, 158.58346162359157, -2159.9847761841556, -631.6819663290753];-1.171098193958837;0.6859033688865981;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;DF;glp;ARIMA;{'n_neighbors': 9};12;12;1202.2184710844876;0.07263776547212679;72.72727272727273;-0.6147339516703019;14236.194963408125;1.5149401354929877;14088.502327090719;14607.810286223586;14702.675080597233;14352.63823579929;15065.718273790339;15066.401157302493;15847.56820713091;15233.585486901571;15159.089096071044;15615.922628609524;15154.673331857093;15176.981399954162;[845.9795529092808, 829.0302937764136, 1474.060429402767, 1219.5465442007098, 1231.057086209661, 208.41587269750744, -1439.9866871309096, -422.4949069015711, -972.4948960710444, -205.04581860952385, -1946.3816618570927, -1921.8835699541614];-0.5737827429524844;0.876796695994292;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
