train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 7};12;12;109.98866507320545;0.2903347572976584;27.272727272727273;28.55804219892563;3486.7154563059107;0.9394378257254423;146.59969351935837;139.18518871225112;181.7761762065254;167.74434110764892;190.344041491202;257.018667876574;274.5570691628219;260.15268106846605;237.10776973343252;230.256184636462;232.1730771574046;221.08352163751644;[103.00030648064163, 152.81481128774888, 114.2238237934746, 134.25565889235108, 73.655958508798, -9.018667876574, -30.557069162821904, 33.84731893153395, 10.89223026656748, 84.743815363538, 122.54892284259537, 224.12647836248354];-2.366082629299056;0.15153900509897716;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 1};12;12;85.92178447257822;0.4017309523442079;72.72727272727273;1.1446079722240048;1034.378635114864;inf;139.86649533284583;137.02546787614642;144.4566154138536;155.72584753297832;175.4035577011527;278.9455584073012;248.90411009378644;253.45878268971958;220.25690304763657;219.42442933517623;223.79845342055864;207.2340101511714;[83.06450466715418, 72.90953212385358, 129.5433845861464, 100.20115246702167, 110.59644229884731, -114.03055840730119, -94.90411009378644, -84.62678268971959, -43.31390304763656, -46.47642933517622, -26.888453420558648, -58.23401015117139];-2.287886272682939;0.17590465903067604;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 3};12;12;109.50100374803114;0.47907008107767446;45.45454545454545;34.47397202613469;2620.320841448991;3.0019715089479244;129.1731137792613;161.2059465849689;103.36852256301115;97.21757593638912;97.873574623643;84.0043653896059;108.39359771937052;117.98029946302445;123.67100938544915;136.52189768942426;216.63803935050458;220.4799686327016;[162.22688622073866, 115.59405341503111, 167.43147743698887, 162.78242406361088, 106.726425376357, 113.9956346103941, 50.60640228062948, 73.01970053697555, 35.32899061455085, 25.426102310575743, -70.70703935050457, -102.4799686327016];-2.2429559605459435;0.19102577914157304;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 5};12;12;40.39088482455873;0.3470242634937932;54.54545454545455;-3.99712732393799;807.8890133899561;0.34473118521591556;98.56950642990154;118.99922005596616;114.2206918945829;103.41174870078166;118.56952439073481;112.35294882730275;119.73927766605973;162.29565318330464;205.01248968744008;208.05087123795252;193.35058906422194;173.0277579670092;[0.8304935700984686, -58.79922005596616, -72.0206918945829, -0.6117487007816607, -12.36952439073481, 7.647051172697246, 56.66072233394027, 14.904346816695352, -63.21248968744007, 35.349128762047485, -16.75058906422194, 41.972242032990806];-2.1033977918031885;0.2431505291933636;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 1};12;12;54.8454884207281;0.2783236799636431;81.81818181818181;3.96691790555281;440.5973208856133;0.8590029238948532;87.77139433030283;95.58911343712359;109.68079270506308;105.726124886739;95.68512076469821;111.79120914715563;133.48772727275406;232.56058464412817;202.77429560968181;207.29895650347518;174.3853820476495;173.5733718289784;[2.228605669697174, 87.01088656287641, 107.91920729493691, 41.47387511326099, 47.1148792353018, 20.808790852844368, -1.2877272727540685, -66.96058464412818, -63.37429560968181, -41.69895650347519, -17.58538204764949, -44.17337182897839];-2.0299599830693946;0.27359311849350343;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 1};12;12;90.82279281766317;0.4117587733926558;45.45454545454545;46.47951053711748;2171.0508490751267;1.0620399251608603;119.38372929109737;120.00010301480232;111.95476465267313;109.75808271846522;112.34042913092553;102.64654439333057;46.12126329783522;41.70393495363588;49.869673525560614;58.863489858194;63.171978144769646;54.74322599774005;[17.01627070890264, 38.399896985197685, 57.245235347326854, 103.24191728153478, 51.65957086907447, 26.353455606669428, 159.8787367021648, 148.2960650463641, 168.13032647443939, 60.336510141806, 18.028021855230357, 11.656774002259958];-1.9964122012757846;0.2881484362830341;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 7};12;12;38.93979038285502;0.37691456539252527;45.45454545454545;-19.401228036594542;934.9716420116258;0.2890860920874418;82.83404426884081;49.42741595980965;63.35252871585367;81.8877506477714;74.619975332801;94.62115032374788;113.46142740024455;127.95348580187625;195.48400338579393;190.17522130383162;156.89002638321733;151.72038868390345;[-23.834044268840813, 21.57258404019035, 4.84747128414633, 6.112249352228602, 39.380024667198995, -43.621150323747884, -52.461427400244546, -41.35348580187626, -88.48400338579393, -34.97522130383163, -0.290026383217338, -11.520388683903462];-1.499761979225836;0.5336290810965362;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 7};12;12;121.34212612108368;1.136482107643087;63.63636363636363;-94.06404503384246;1988.2517477815486;1.1288968473435377;201.01062056454745;195.7843263843562;167.94041494362818;161.58050209579494;175.8189621926762;165.78167580963432;159.09873150887384;226.0655914754487;250.68848984671735;306.38575231140914;296.87065183560065;267.81603054033485;[-66.41062056454746, -63.3843263843562, -31.140414943628173, -37.58050209579494, -81.6189621926762, -54.58167580963432, -59.89873150887384, -124.86559147544871, -128.48848984671736, -190.98575231140913, -190.47065183560065, -218.61603054033486];-1.8609229872764532;0.3506614334940827;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 3};12;12;116.03367961034783;0.47614324351713083;36.36363636363637;31.908125188996657;3234.3927532016373;1.8321547945551568;207.0317284944938;223.86030049558505;162.6231964211117;94.00418806795571;142.7708942692775;98.89334041270999;63.73436249362483;140.94965740458736;121.54095566326808;136.19336269169372;206.0036059505023;257.897996235031;[97.76827150550622, -14.86030049558505, 38.77680357888832, 151.7958119320443, 94.6291057307225, 118.10665958729001, 173.46563750637517, 173.25034259541263, 120.45904433673192, 102.80663730830628, -64.0036059505023, -122.69799623503098];-1.6785381557260959;0.44220280134593914;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;RR;etanolhidratado;ARIMA;{'n_neighbors': 5};12;12;64.34613013787431;0.2292505453022716;54.54545454545455;20.84199131397444;1277.3857220465434;0.4855741904291129;94.75012228012699;130.3742052989158;113.33159794763522;114.0278333896605;127.00376012569754;126.11035869338224;127.4135629642374;133.29183060270182;166.96420997467214;191.82523419173864;197.41155483539524;171.63543159415545;[13.249877719873012, -42.3742052989158, 10.868402052364786, 15.172166610339488, 6.396239874302466, -14.110358693382238, 23.78643703576259, 149.10816939729816, 86.23579002532784, 112.17476580826136, 24.788445164604752, 60.76456840584456];-1.5246410065449663;0.521288487478445;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
