train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;gasolinac;ARIMA;{'n_neighbors': 7};12;12;4867.272063428676;0.11729267573004905;72.72727272727273;5.7482679995390775;57728.33447802967;1.5716363295459623;32953.547550467265;27998.835082107646;29573.468285866675;29479.50529230006;31915.21968732719;33003.466087594235;38275.998276756625;36258.3635105607;36039.5759840775;37140.13396859325;33516.83781491921;38353.38396607616;[2127.8524495327365, 4236.571917892354, 8765.631714133324, 6594.894707699943, 6710.680312672812, 4109.133912405763, -2944.4842767566224, -957.3635105607027, -1312.5209840774987, 2707.866031406753, 2138.462185080796, -7506.383966076159];0.3821548040824655;0.9808151897330996;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;TO;gasolinac;ARIMA;{'n_neighbors': 1};12;12;3454.5285568690456;0.0930046532055294;54.54545454545455;9.29479437406642;68134.34946853989;inf;26566.250882539323;26596.079520412502;28121.068360098063;28858.009902133876;35367.06943478272;32605.239606605064;32746.31232880744;33032.821773724914;31953.648651719417;35656.42942160853;28772.525404355692;27503.6974394801;[3335.4491174606774, 3033.320479587499, 3623.8316399019386, 1672.090097866123, 616.6045652172761, 4151.651393394939, 4128.78767119256, 2154.078226275087, 959.6513482805858, 4554.428578391467, 3934.074595644306, 5523.3025605199];-0.3825034730799782;0.9129793392865337;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;TO;gasolinac;ARIMA;{'n_neighbors': 5};12;12;4355.201907438337;0.11036953433184121;45.45454545454545;7.406571725094143;103075.71596677248;1.17454863586641;30597.203910397868;26399.050115558;24369.09978031666;25702.946234993495;26672.31425684574;27120.15648421404;28877.06591895033;32183.933003813356;30423.00396823961;30878.30411718286;30974.04458700352;28798.699184320496;[-3491.173910397869, 415.70988444199975, 5263.831219683339, 5244.553765006505, 8640.385743154256, 6102.743515785962, 3651.4340810496687, -483.6330038133565, 617.4960317603909, 4846.995882817144, -3269.1215870035194, -102.89918432049672];-0.4241057908449518;0.9059955069222987;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;TO;gasolinac;ARIMA;{'n_neighbors': 5};12;12;3041.454012482072;0.07508469736470273;63.63636363636363;-3.679906207515183;47990.54865293877;0.45154512965553484;28107.660694126615;26582.31731916151;27718.401146730364;27897.086440579762;28908.78145409348;29608.953347205734;34230.62715804093;32307.807415733558;31693.182584835125;32697.436191871984;30279.543499206156;32740.31175602293;[-1426.550694126614, -914.8173191615097, -2794.8611467303635, -505.2014405797636, 2083.20854590652, -1108.003347205733, -3996.9371580409315, 248.46258426644272, 24.17741516487513, 3752.443808128013, -216.94349920615787, -8020.83175602293];0.21236536733096525;0.9729466640926357;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;2571.9942359324505;0.06428911033439078;45.45454545454545;3.028622294501094;60820.72707107835;0.6180793318708879;29672.843812026695;28521.537017880197;27470.966778965056;27592.77848723094;28626.20884218273;28842.05065296696;31666.562602948587;32124.916052871748;30721.967795606946;30440.293319800592;30095.477359613804;29804.339685651852;[-1060.6738120266964, 1469.0629821198017, 3838.973221034943, 644.1815127690606, 6004.07115781727, 2399.289347033042, -1706.202602948586, -1032.0460528717485, -828.5277956069476, 3405.2866801994096, -371.4273596138046, -1656.469685651853];0.30355111385355715;0.9775068240128592;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;3997.139937661521;0.10785723137789917;36.36363636363637;-9.65832414812336;110332.25767141543;0.626557025279725;29768.447669070185;28372.042747677013;29049.778241617387;29738.765866863123;31925.058054115972;34441.20408314541;35521.45015048848;33398.437577063145;32504.59833686949;32655.25566559263;31650.6218200635;33475.113845454274;[786.7343309298158, 526.8302523229868, -391.29424161738643, -2663.4158668631244, -779.4360541159731, -4573.432083145406, -8915.323150488482, -5352.242577063145, -3383.1463368694895, -407.5376655926302, -2554.441820063501, -5982.633845454275];0.8698101670265276;0.9926834180400578;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;TO;gasolinac;ARIMA;{'n_neighbors': 3};12;12;4045.197170022681;0.11414409327850866;54.54545454545455;4.4838601746216495;79821.35464625167;1.0938672100435949;28538.377362812957;26486.125407978983;27156.676966428182;27605.584089069915;28617.58553016436;28780.718878189742;33723.583510017095;32126.776591378813;31496.093212160977;32538.912669297853;30320.478504798815;33323.03082212549;[3643.882637187042, 3408.4545920210185, 5767.15303357182, 5045.665910930085, 6674.614469835637, 3485.571121810259, -3054.1745100170956, -1133.559591378813, -2063.273212160977, 2051.109330702144, -875.0775047988136, -6017.19782212549];1.3721782903587767;0.996984013531386;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;TO;gasolinac;ARIMA;{'n_neighbors': 7};12;12;2933.7594309075425;0.08968360665065878;54.54545454545455;4.480500882660345;57859.108755081485;0.8307143469375302;27784.725496211682;25870.337258222396;26467.542117176512;27007.116626797964;28472.902819829822;29232.279008426693;33198.66459720395;31176.4533174687;30392.78463456961;30234.98647121162;28767.916651605596;31667.243906692718;[2592.574503788317, 3569.8627417776042, 3299.6578828234888, 2657.3833732020357, 4119.2471801701795, 2348.420991573308, -1733.3645972039485, -1740.1053174686967, -1046.7736345696103, 4359.294528788381, 1764.3433483944027, -3760.4059066927184];0.6161900642315287;0.9880079620990282;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;3254.790244668552;0.09600946871292738;54.54545454545455;-2.279767288803124;64199.271128045846;0.57680473159211;28186.85561053864;26479.082963817866;25756.396407180826;26628.715311998534;27933.469253301777;28660.186531154977;32602.666347133214;34902.04626266209;32152.664901171855;31385.98388161588;31155.947299704254;29757.304228752193;[-895.9806105386415, 2173.2170361821336, 1827.8035928191748, 2153.034688001466, 4830.580746698222, -383.73653115497655, -3141.916347133214, -5468.436262662086, -5121.214901171854, 1719.4161183841206, -4451.897299704255, -1167.054228752193];1.4801111791478616;0.9974493488144404;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;4086.1425833448143;0.11881665397400897;45.45454545454545;10.164244592256413;96723.12422986346;0.8373437166793141;25188.26927259205;23918.860695633368;23667.488402188737;24254.009195155526;24710.722824922173;25774.51729690455;28787.51814825218;29906.903669397485;28315.99001433259;28022.641902094456;27769.467721888417;27939.97036268197;[855.881727407952, 4485.339304366633, 5420.112597811261, 3937.820804844476, 6023.124175077828, 4417.69270309545, 2317.5818517478183, 1734.3963306025144, -570.9900143325904, 7294.208097905543, 2954.7322781115836, -2861.570362681967];1.117611759904193;0.9953641641046563;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;3037.0865578101207;0.08962147766861282;45.45454545454545;6.2755990160834605;71852.54440597545;0.3351806481683742;23606.46603346805;22022.463131351742;21421.543847512236;22374.470808365615;23272.86433839601;24095.39158281002;27123.614449833036;28248.655281886822;26649.705938720428;26671.68310542514;25883.2614771182;26967.81286628124;[430.2339665319523, 3161.2368686482587, 4340.756152487764, 2619.329191634384, 6948.485661603987, 2647.50841718998, -1131.4644498330345, -1102.4052818868222, -464.6559387204288, 3494.8128945748576, 951.588522881797, -1919.3128662812414];1.0847918317968135;0.9950847141036642;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
1990-01_2012-02;2012-03_2013-02;TO;gasolinac;ARIMA;{'n_neighbors': 1};12;12;5591.683187607926;0.17856582748558691;45.45454545454545;17.552520945468324;132505.837860536;0.5283439282751242;24460.457721735263;23066.068449477196;22398.13615809824;21924.60336568094;19061.401068481173;18358.059189814747;18368.26287610642;19305.136153027044;19454.467721265384;20492.83948865005;19653.671299824247;20496.73493380837;[-1661.6577217352642, 360.23155052280345, 1767.2638419017603, 2045.946634319058, 8944.198931518826, 8144.930810185255, 7167.137123893583, 8028.863846972956, 4581.982278734617, 7521.060511349951, 4975.778700175753, 717.4050661916299];1.114362448041356;0.995337355303845;16;248;-3.4569962781990573;-2.8732659015936024;-2.573018897632674;False
1990-01_2011-02;2011-03_2012-02;TO;gasolinac;ARIMA;{'n_neighbors': 5};12;12;3773.710347726725;0.15730128487399433;54.54545454545455;15.927958069095583;74535.7962331444;0.2768367496125839;18519.91589921627;17603.96503197747;15795.684866121182;16241.423235694836;17103.037388934612;17119.737971150604;18698.9250074927;20581.461284007102;19279.168292484344;18862.9181671892;18709.446801332888;17869.680773011256;[2279.4841007837313, 3176.2349680225307, 4740.165133878816, 3671.3767643051633, 5618.8526110653875, 4480.162028849398, 2581.724992507301, 498.93871599289923, 1716.231707515657, 6398.681832810798, 2603.803198667112, 3229.8632269887457];0.1516984620582984;0.9694186111155998;16;236;-3.4583663275730476;-2.8738660999177132;-2.5733390785693766;False
1990-01_2010-02;2010-03_2011-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;3074.5299151256613;0.1470013302068303;54.54545454545455;14.935235274730266;60712.71164434078;0.17422991829478698;15397.09974827322;13939.92746057724;13437.146157013984;13993.260424667073;14778.468313659794;14822.216559738406;16288.057708051101;17272.477582785385;16623.247960828667;16441.187700613576;16051.126366126877;16668.9163663982;[4087.81025172678, 3330.1625394227594, 3531.6038429860164, 2827.689575332928, 4895.341686340207, 3043.847440261592, 2909.2402919488977, 394.8124172146163, 1140.952039171334, 4459.062299386424, 1274.5036338731243, 711.5336336018008];-0.4560565398313293;0.9003102885840744;15;225;-3.4597521044060353;-2.874472927517147;-2.5736628197530864;False
1990-01_2009-02;2009-03_2010-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;1600.9954425976327;0.08351053715262448;63.63636363636363;3.7878336380233253;25268.34919145463;0.07207960920632311;13233.286292400431;12835.982508127368;13190.652669864934;13610.9057344709;14532.061611472012;15828.118735885391;16958.221497033966;15842.64977226449;15211.783515270718;15298.94737832497;15005.05979043328;15854.695108760538;[746.6828575995696, 1074.327491872631, 402.3773301350666, 776.2742655291004, 2429.5673885279884, -1368.4187358853906, -2206.7214970339664, -255.77977226449002, -644.6235152707177, 3243.062621675028, 2007.5552095667208, 779.9548912394639];-0.8758003850010778;0.7958372135827674;15;213;-3.461429147102264;-2.875206950587861;-2.5740544497344002;False
1990-01_2008-02;2008-03_2009-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;2005.7456944287405;0.11577545345403212;36.36363636363637;9.073347592993766;55372.77491806267;0.09014987281569291;12840.84289530821;12229.326274144403;11658.497496189288;12082.675094396418;12479.674297887637;13188.020379289046;14470.689991204126;14579.215765512994;13962.993760332873;13881.667114879845;13607.24746498319;14301.458982105994;[110.8716246917902, 1474.861725855597, 2554.0014538107116, 2114.0112356035825, 4158.957052112362, 1937.0286807109533, 1960.980828795873, 1047.1261444870051, -705.5284603328728, 2263.9613251201554, 705.6899950168099, -1727.5706721059942];-0.9378709253363816;0.7752453629509728;15;201;-3.4633090972761744;-2.876029332045744;-2.5744932593252643;False
1990-01_2007-02;2007-03_2008-02;TO;gasolinac;ARIMA;{'n_neighbors': 7};12;12;2305.7108187386148;0.14850668753715876;36.36363636363637;12.975295610003423;63687.038809936625;0.09700377249629359;10578.710048972494;9622.372683481748;9892.501242774566;10292.981645282915;10850.594950200664;11855.34018106495;13802.260999857292;12832.77948900279;12285.044631033694;12200.395798862679;11357.70633627988;12736.151095195784;[2010.4596310275065, 3074.0889265182523, 3442.6966772254345, 2783.145064717086, 3965.9122897993366, 1648.2211689350497, -1466.514729857292, 658.3650909972093, 357.5835489663059, 2438.7487011373214, 1889.05043372012, -180.34665519578448];-1.0932438597325882;0.7177586416589579;15;189;-3.4654311561944873;-2.8769570530458792;-2.574988319755886;False
1990-01_2006-02;2006-03_2007-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;1059.386534720632;0.07880840269795629;63.63636363636363;6.226675337490555;16718.4043631112;0.04071320546673591;8968.264418372355;8892.136074404103;9494.588491845727;9963.478351050104;11658.036289920768;12547.099230268637;12265.165326606128;11389.502180505448;11048.589135561928;10811.27658028513;11865.381587470987;11236.561178837732;[1493.1755816276454, 1257.2469255958968, 1557.866508154273, 934.793648949897, 1111.3917100792314, -266.47523026863746, 567.5206733938721, -335.32818050544665, -389.3991355619273, 1889.7224197148698, 937.8188825290126, -116.85689883773193];-1.6928253520061043;0.4348128110559375;15;177;-3.467845319799907;-2.878011745497439;-2.575551186759871;False
1990-01_2005-02;2005-03_2006-02;TO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;1739.425118465065;0.15186082202921825;72.72727272727273;-2.6252121182262664;20657.805841730293;0.0667185470445007;9646.482560688235;9251.939586213248;9408.903168484254;9648.42963516917;10465.489374677258;11323.179179993342;12971.792700582571;12039.083621400683;11484.359425551227;11489.995549410713;10643.896056971751;12003.659377776983;[971.1394393117644, 989.6014137867514, 1625.0058315157457, 1450.3603648308308, 2111.3326253227424, 473.03182000665765, -1656.572700582572, -2626.8666214006826, -2266.4814255512265, -159.1395494107128, -1369.7280569717514, -2876.8073777769823];-2.3815565392586495;0.14700974348584667;12;168;-3.4698858990744115;-2.8789026251889647;-2.5760266680839004;False
