train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;glp;ARIMA;{'n_neighbors': 5};12;12;1571.1895641242718;0.04632523918159561;63.63636363636363;4.193558192658138;24772.066156201705;1.000199637892767;25892.39558141448;25362.12009567283;25563.841468335937;25493.35502362685;26064.75292200215;25981.51281012019;25483.161460272593;26109.821762064927;25824.043853397045;27925.479979109885;26772.972367935683;25643.685752084337;[3293.2638385855207, 401.39620432716765, 1821.7962116640629, 1899.9004063731518, 984.2072179978495, 2396.1447998798067, 208.8385397274069, 901.8249779350735, 437.40904660295564, -897.1738191098848, 1687.527632064317, 526.5914179156644];-0.29695319950263105;0.9259347432321804;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;MA;glp;ARIMA;{'n_neighbors': 1};12;12;1260.847739677585;0.041109445229672116;54.54545454545455;2.969127610200187;24839.757300710065;inf;24627.900889093504;24163.681978855697;25006.783993371286;25249.940351527453;25893.26822769243;26039.648906791826;25012.079751309237;25493.70567453862;25217.543483759495;26700.207135806006;24832.10003831374;25310.22467250304;[2087.173390906497, 1495.392301144304, 851.6054966287156, 603.3023984725478, -622.1287376924301, 1548.081163208175, 238.62314869076363, -208.30712453861997, 2072.1304262405065, 554.7240241939944, 1691.6517716862618, -1023.7609025030433];-1.226319159397613;0.6621726584982279;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;MA;glp;ARIMA;{'n_neighbors': 3};12;12;1246.2039918480864;0.041059571847870256;81.81818181818181;-1.9912719441989066;9833.791871754254;0.8900146064946096;25304.87840788204;25344.37316420223;25933.57698494401;25667.430091675935;26182.217741521312;26238.6180531079;25529.144240308073;26054.85191261115;25665.18438089181;26907.793132370538;26311.865064244776;24994.58705092906;[2395.5273921179614, 159.46560579776997, 63.49366505599028, -266.5460316759345, 561.6971184786889, -846.5727631079026, -1266.6388103080717, -1027.456982611151, -1733.890900891809, -909.6463923705378, -1909.028104244775, -1275.4529909290613];-0.546499022637969;0.8826187213001209;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;MA;glp;ARIMA;{'n_neighbors': 3};12;12;1893.3256590014225;0.06620185291477067;72.72727272727273;6.699862424599861;22414.167044961432;2.1006928766560136;23714.654272812273;23748.7850194179;24321.07626310367;24040.284942763366;24842.724557019374;24633.470847921843;24256.21743098011;24663.92607079337;24073.86053521735;25176.454754571078;23898.826458677773;23579.21387514899;[2981.191737187728, 2183.9070105820974, 2244.43279689633, 2593.6516472366347, 2352.3026129806276, 1689.333502078156, 1502.786189019891, 904.211609206628, 1014.6467147826479, 1807.548865428922, 1321.485131322228, 297.52163485100755];-0.7949639387346633;0.8205968983116775;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;MA;glp;ARIMA;{'n_neighbors': 5};12;12;876.8915281665236;0.02684847790020912;63.63636363636363;1.1453400745085944;13818.077982579909;0.3353917296743854;23484.199336228452;22440.536375637945;23171.629225467437;23327.457797552273;24182.536363100768;24185.648922757653;23184.817820836775;24306.45172590965;24068.05502937702;25687.480010403466;24378.567696953807;23877.55412880197;[-74.68846622845376, 2183.9853643620554, 1241.0138945325634, -770.3092475522717, 1067.983566899231, 128.71158724234556, 453.5209491632231, 327.6678440903488, -703.4608293770216, -126.43834040346701, 150.13882304619256, -561.0831188019692];-0.8085370490243956;0.816601502564765;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;MA;glp;ARIMA;{'n_neighbors': 1};12;12;1399.0767529606242;0.048618396662932474;54.54545454545455;0.8086945958175076;27567.592869951022;0.5335018968660193;26225.299909482477;23090.217715208895;24886.22356701705;24040.601547999744;23626.22520265827;25499.63026475491;23522.824716603824;22793.960197779506;22472.128724561655;24061.932985856838;22717.79222484794;21703.634460436624;[-2297.825269482477, 1528.9362747911036, -2696.640237017047, 1236.0941020002574, 253.78022734173283, 31.643285245092557, -611.4098566038228, 1246.271682220493, 1121.6575054383466, -135.842405856838, 1713.9414751520599, 930.0322095633746];-1.3161423004082236;0.6217552158897864;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MA;glp;ARIMA;{'n_neighbors': 1};12;12;1359.096614939401;0.0415590578774628;90.9090909090909;3.11350155793847;5374.676785938273;0.412652765847091;22416.58816206238;22017.08729411645;22893.348211190132;22847.3066846958;23525.63219910851;23681.790596911767;22755.41701649082;23155.47243542045;22867.295730325386;24211.817369261484;22486.577803963748;21600.315284125467;[3544.975547937618, 675.7587158835522, 2040.8166488098686, 674.0791353042005, 597.9692508914886, 1528.7261230882323, 760.552743509179, -501.01890542045294, -585.0000403253871, -602.4379392614828, 514.1812560362523, 171.2789158745327];-1.3519549721120196;0.6050807091981163;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;MA;glp;ARIMA;{'n_neighbors': 9};12;12;1304.7058011588495;0.04802352561811318;63.63636363636363;-0.07382895103408996;20571.675780128593;0.36502542677009797;22144.302050667797;22100.839180070638;22711.603184947016;22367.52133610229;23078.552924133623;22859.446297196115;22651.878672467585;23415.70916133474;23436.99945024278;25083.421223239107;23849.754601686935;22722.415649728675;[1928.1617193322018, 428.74414992936363, 713.3279750529837, 677.8083738977111, -1130.1127041336222, 2705.9160228038854, 127.15574753241526, -1037.7290913347388, -1063.4251702427791, -762.2092632391068, -1037.4883016869353, -1754.0786897286744];-2.314818269489065;0.16723331393905916;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;MA;glp;ARIMA;{'n_neighbors': 5};12;12;1173.0416500258398;0.043711599454818444;72.72727272727273;-0.9061981795366951;13875.68100858558;0.32631308544631704;23546.66166972748;22594.68589011839;22403.01674455702;22091.783393104182;23357.09790000543;23579.86406466644;23114.893431101547;23365.827002654798;23300.829940619973;24511.63578651829;23817.859703035992;23290.93456204106;[734.0502902725202, 1443.9282398816104, 510.5665854429826, 1160.7727668958178, 831.3260099945728, -174.96913466644037, -797.8970511015468, -162.57700265479798, -2106.864360619973, -744.981796518292, -2226.2274530359937, -972.4907220410605];-0.9742939945460459;0.76252414931662;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;MA;glp;ARIMA;{'n_neighbors': 1};12;12;1301.2324642490098;0.04746935697182389;45.45454545454545;3.063843846567118;30761.51425263874;0.409885042463011;21534.81190391522;21309.554427720333;21980.776673281853;22749.08828169398;23421.973966938065;23647.69169360635;22807.355391666457;23012.185224256635;23055.68479387339;24268.94598241936;22304.491842092528;21515.753292563848;[1632.1174460847797, 2757.0198522796672, 1650.116446718148, -993.5031416939819, 1482.2017530619341, -384.10655360635064, 477.8402583335446, 879.4723857433637, -1019.9058038733929, 473.97792758064315, 1264.6675779074722, 364.7775074361525];-0.4881990611467416;0.8942988703408077;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;MA;glp;ARIMA;{'n_neighbors': 1};12;12;1915.6560240078172;0.06803808533503979;72.72727272727273;5.73335801851712;22680.06106449866;0.5198233003722449;23693.567406723832;20530.597983237283;22795.455205763876;20432.392728597424;22446.702742228892;21188.898857867593;20953.739437242984;22088.974933785306;21588.62123192127;23190.316821013796;20906.193531907265;20496.684740293545;[-1620.2612467238323, 3490.0664967627163, 61.19137423612483, 1071.0448314025743, 1975.9947177711074, 2385.296792132409, 1107.934472757017, 1721.784776214692, 472.6478780787329, 238.58888898620353, 3431.161538092736, 1496.902219706455];-0.19178666808372288;0.9394935697058604;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;False
1990-01_2012-02;2012-03_2013-02;MA;glp;ARIMA;{'n_neighbors': 5};12;12;2137.7477678506616;0.07482056730074634;81.81818181818181;6.229405671046476;16900.247211765367;0.3178209204652862;20302.645678175268;20342.451073718308;20716.483765131565;19972.220904308724;20790.524719809495;20793.898771252545;19672.256880731355;19361.325395069205;18300.34143146759;19544.46413306518;18446.910402587822;17757.00645017266;[1198.3144618247316, -747.3466937183075, -146.9415551315651, -36.05068430872416, -507.42902980949657, 547.6610087474546, -441.6720407313551, 2355.0785949307938, 2846.573238532408, 3361.4634069348213, 4276.531627412176, 2971.899349827341];-1.478609600103469;0.5440650838716955;14;250;-3.456780859712;-2.8731715065600003;-2.572968544;False
1990-01_2011-02;2011-03_2012-02;MA;glp;ARIMA;{'n_neighbors': 5};12;12;1599.1323521696709;0.0677563436704655;81.81818181818181;6.379161547925656;12637.353149382609;0.20798545126154433;18972.37744566875;18517.13302650682;19356.876388272154;18616.288539565896;19817.86915739902;18872.68730224952;18478.31523519478;18422.615167487435;17346.29856562894;18245.48803432835;17255.778707828085;16540.048249109946;[712.0192343312519, 625.2352534931779, 297.565531727847, 621.0401404341028, -535.9977773990213, 1918.0917177504816, 1156.9420148052195, 652.261642512567, 1939.7698743710607, 2854.952185671649, 2033.5999121719142, 2745.040520890052];-1.989940202264329;0.2910013147592784;14;238;-3.458128284586202;-2.873761835239286;-2.5732834559706235;False
