train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;glp;ARIMA;{'n_neighbors': 1};12;12;2388.5380087276108;0.08396708299014599;45.45454545454545;1.985718481280917;56503.407437659356;1.755178513092971;18980.378019998578;19520.925322908413;19589.81844096999;20033.474235557373;23247.13741030683;23764.099878764107;23760.61212035454;23430.08234064572;22140.379775511352;23145.832987227845;23071.08996087139;24688.925832891913;[2157.515100001423, 1221.5638070915884, 4414.09097903001, 4380.250404442628, 657.5908496931697, 1246.470771235894, -1481.5523403545412, -913.8921206457198, -296.350785511353, -1605.3184972278432, -432.21677087139324, -3971.8370628919147];-2.407800044548044;0.13954699556191436;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;ES;glp;ARIMA;{'n_neighbors': 3};12;12;2465.6297389432452;0.08433025123627132;54.54545454545455;2.0454028305871903;48621.194707789335;inf;19878.423526913186;19878.423526913186;20535.222022195674;21385.377100071608;22786.98623983041;23633.268465253415;24305.556704689116;24111.652300611375;23241.161559679244;23387.363832886247;22637.162505258286;23745.52759234009;[4552.288433086815, 469.48951308681353, 3904.5424678043273, 3105.9326799283917, 199.0445601695901, 1105.9108847465832, -820.462504689116, -1608.7628106113734, -574.3517796792439, 1009.5926871137526, -1290.6009152582847, -4424.612732340091];-2.4039674263859783;0.14061976166350315;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;ES;glp;ARIMA;{'n_neighbors': 5};12;12;2276.234550795889;0.08948341642265045;54.54545454545455;2.1129957131254926;44891.70831775944;2.0291823198522674;19878.312497413837;20324.658081665217;20474.116546925638;20777.286925781664;21437.700334993533;23505.712206207354;24133.873925611664;24594.77830469024;23300.540393179657;23233.124572838853;22736.90901271618;23545.732449931875;[3682.749092586164, 2047.1788783347838, 2258.774753074362, 2847.044594218336, 3359.493505006467, 822.418223792647, -1384.477185611664, -2157.2040246902397, -1029.0349631796562, 99.59643716114806, -2013.7858227161814, -2748.922669931875];-2.5192083529399643;0.11087039938235488;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;2230.356140703322;0.07782723973160273;36.36363636363637;4.5891111520619985;61535.560428697085;1.5740260323247748;19475.499816878146;20572.631232983946;20384.271982085418;21332.366211415556;21278.255973325537;22851.471530735398;23279.84393399597;23354.13067968197;22554.345818503978;22492.45677861094;22278.476302139585;22383.530605985063;[4331.121563121855, 3165.876017016053, 1795.0450479145802, 2144.2950185844456, 3693.838226674463, 584.4360792646003, 45.11983600402891, -301.8263296819714, -961.0070485039796, 1334.9272813890602, -858.3875321395863, -2360.244375985061];-2.6097237274432894;0.09100417828164248;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1356.4915672231193;0.05549452643574285;27.272727272727273;-0.7573500102393055;42752.74961028441;0.7651146031726102;19325.249088155637;20665.85860797421;20541.595562734994;21778.895424599894;22782.38757159829;24096.078559873007;24143.531542327815;22871.734571161003;23132.56882540484;22046.720920163843;23407.79148622031;21427.143029174225;[610.7074318443629, 885.3479120257907, 2088.0366872650047, -851.6707845998935, 1295.80264840171, -478.2760198730066, -2189.623932327817, 508.2273888389973, -1444.8858554048384, 907.5000898361577, -2121.675546220311, -1210.5488291742258];-2.744297382259346;0.06668151644411556;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;ES;glp;ARIMA;{'n_neighbors': 3};12;12;1492.5236443766419;0.0563528264179347;72.72727272727273;1.9580512058614103;17662.949728748586;1.3416909859245865;18844.85743600704;20281.145044134337;20557.047843143013;23366.396299117747;22741.398432704693;23933.485100822894;23126.905334832278;22532.907202813945;23000.75174297625;21545.88691597422;22918.12131092578;21346.534174768694;[2629.792923992958, 1470.344085865665, 2343.374256856987, 1424.417110882252, 418.71931729530843, 273.3572891771073, -234.3799748322781, 528.484097186054, -430.5832629762481, 940.4880840257792, -2293.7336309257807, -1793.8838147686947];-2.734195730848822;0.06830552362041971;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;2158.0572322421112;0.07644375474263065;45.45454545454545;5.06993911297553;51044.12287290632;1.6330756053534201;18370.751428665964;19287.394661586648;19172.123318116504;19526.58990814094;20045.50861980992;21041.658874760407;23145.305541280643;23487.29347843737;21672.363634268622;21999.317392944835;21013.8087116792;22213.969616134968;[4267.614231334035, 1089.2955584133524, 2231.006026883497, 2902.9785618590577, 3042.7045351900815, 2705.1989652395932, 275.55045871935727, -1248.9803584373694, 365.39916573137816, 4.919307055166428, -55.993491679200815, -2175.7884561349674];-2.8601488460089124;0.05018227868908201;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;ES;glp;ARIMA;{'n_neighbors': 1};12;12;2151.623018124967;0.08732371548812011;54.54545454545455;1.166185695434706;42432.17180448305;1.192624925192127;17911.678828612134;18385.737594354694;18446.15670354388;20256.416216282065;21545.763576663052;22285.79669943761;23199.078781560358;22984.247610179704;21993.737810704653;22323.200483407614;21499.27390695096;22918.078420504924;[2748.538561387868, 1421.1591456453061, 3409.7182964561216, 2287.3428437179355, 827.8215633369473, 1781.100040562389, -1562.5099415603581, -1742.4468901797045, -522.5928807046548, -155.62077340761243, -1270.5583269509589, -4227.848350504923];-2.9658756358238456;0.038206423061097;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;True
1990-01_2015-02;2015-03_2016-02;ES;glp;ARIMA;{'n_neighbors': 3};12;12;2393.2731614710624;0.10481870433115353;63.63636363636363;1.2880518993733205;37794.55514337915;1.20747163787439;18594.4869910741;19445.68849913365;19240.047420463114;19244.74844479071;20166.953830312603;21719.430745281486;22919.85466729742;23373.721448872824;22008.833046652504;22233.63422697454;21649.962566807048;22580.487526581222;[2426.842718925902, 1664.604980866352, 2549.3366395368867, 3078.55952520929, 3748.0208096873976, 1549.656214718514, -918.5919872974191, -2143.0294188728258, -2224.9145666525037, -667.5146569745411, -2540.8828568070458, -3218.473036581221];-2.8952123336520237;0.0459075772645984;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;True
1990-01_2014-02;2014-03_2015-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1544.3490990847629;0.06399192509173975;36.36363636363637;2.1107566736192163;42599.641927167635;0.8504377870334691;18728.46966913046;19818.12434834563;19652.951405402167;20928.704439635592;21026.75660920921;22686.53009470571;22633.740062552155;21727.22674518504;22102.850683356675;20985.89879346388;22266.821524068;20625.787446515184;[1474.6191008695387, 1236.3303616543708, 2436.655474597832, 208.48940036440763, 2487.8629607907897, 343.9209952942874, -706.5009325521532, 985.0377448149629, -1320.9774933566769, 1805.976206536121, -1912.3994240680004, -1579.6859965151853];-2.8670530192698065;0.04931561845801241;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;True
