train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;gasolinac;ARIMA;{'n_estimators': 150, 'random_state': 42};12;12;11392.61911822826;0.1428984512347276;63.63636363636363;2.582539123563165;180094.41797059312;0.9998916068023902;59764.96704837993;57838.16998930894;59099.22292655707;57940.19139347246;59023.690042004484;60388.55834183411;64784.14901242529;66369.71172764058;68395.414886149;70320.57415949296;71348.73271154371;78645.55010337578;[11787.932951620067, 10475.580010691061, 16325.541073442924, 9148.878606527549, 8462.26295799551, 8245.940658165884, -380.2080124252898, -1045.1907276405764, -6200.564886148997, 548.8758405070403, -11357.238711543709, -25495.201103375774];-0.02314268565387646;0.9565758408043472;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;11670.558963676705;0.14423077642322188;63.63636363636363;15.071528357451037;184494.78747523853;inf;52285.743766249456;51046.87344851377;52204.389124469926;52430.04099840634;52259.1906199921;54487.18196114092;55962.103526755905;57155.06175048636;58374.88146702917;59684.08289077607;61280.92541849162;65108.02282234916;[5408.205233750545, 5909.776551486233, 6886.160875530077, 2494.656001593663, 12771.990380007897, 15985.903038859084, 14879.12647324409, 14355.838249513632, 10010.143532970826, 23144.277109223927, 5571.023581508372, 1886.4051776508422];-0.5659795003458684;0.8784854754944378;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;MS;gasolinac;ARIMA;{'n_estimators': 150, 'random_state': 42};12;12;5558.912327065386;0.07532205801336735;63.63636363636363;1.1659165514731997;87712.66116485052;0.5044512540402041;52514.26636254516;52258.590827075976;52111.6794212403;52906.84006822465;54086.356581815824;54370.17377455565;56223.61172692717;57207.07397838083;58063.93136229922;59204.22004496482;64464.718756029295;64744.351833323606;[1226.383637454841, -3920.6178270759774, 542.7705787597006, -1247.495068224649, 4064.893418184176, 4174.898225444347, 3888.5192730728304, 3173.1760216191688, 1778.366637700783, 11742.179955035172, -8962.668756029292, -8460.401833323609];-0.8773762945228996;0.7953314094189881;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;9069.151697168909;0.1443390613244033;63.63636363636363;-12.501370096475902;143371.2053357835;0.8020980355273294;61591.9483085952;61312.098553628464;61699.64621874537;61707.648635654674;62472.54954334989;62661.52684328502;63422.530424262644;63484.97175300299;64533.85651846744;64993.528473067854;65784.20291160535;67908.93562863841;[-6368.898308595199, -11517.998553628466, -8393.06221874537, -7216.898635654674, -5366.549543349887, -8346.27684328502, -4259.944424262641, 845.7282469970087, -5147.356518467437, 2815.1995269321487, -11479.352911605347, -20192.105628638412];0.052966838005923805;0.9626992825646805;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;6534.458948133677;0.08738499933070527;63.63636363636363;7.906327195242323;103139.67666652268;1.1446796033802333;56484.93647823506;57605.37677608013;57013.42510763977;57404.93379142215;57594.375997285635;59388.51434200815;59109.23095462084;59490.49396362193;59862.38883040888;60311.136469985475;61948.4845936959;63751.38267279655;[7060.988521764943, 7547.887223919875, 5415.25489236023, -46.133791422143986, 5331.174002714368, 5850.235657991849, 4655.269045379158, 8985.356036378078, 6534.585169591119, 12277.663530014528, 1333.7284063041006, -3994.8826727965497];0.15243960651869667;0.9694643142409383;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;5221.457192765723;0.08292614073930911;45.45454545454545;-4.605708718498578;123514.3940036102;0.5699119384816433;61461.95298604752;61057.53702863576;61419.44648355697;61794.04791831475;62158.03407582954;62436.25209652682;62565.226848810176;63064.13464477616;63440.72540854733;64167.06188494538;64251.589236116066;64961.816752224535;[5390.28001395247, 2087.87897136424, -4435.108483556964, -8918.937918314747, -6266.7440758295415, -3228.122096526822, -7123.618848810176, -2697.0236447761636, -4208.85540854733, 5198.322115054623, -3446.628236116063, -5495.669752224538];0.2652722055687713;0.9756938775438385;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;4255.938830345505;0.057296390114903596;72.72727272727273;1.9345597959298724;50366.509628996835;0.4385288075344343;60917.10306213172;60482.98322560876;60952.96343448657;61171.08621279334;61698.03000907983;61455.27009930494;61971.67804869472;62479.517605115405;62369.006973709504;63631.27087064705;62519.59431155772;63850.013598978534;[7113.7159378682845, 2578.8967743912362, 3782.859565513427, 3110.7637872066553, 4193.7959909201745, 1242.4899006950654, 2293.7009513052835, 109.78739488459541, -1114.9609737095016, 4401.331129352948, -4789.806311557717, -8255.405598978534];1.0663546572238438;0.994918992546844;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;MS;gasolinac;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;8673.466236993092;0.12572485834019112;81.81818181818181;12.795350951292036;68759.01459719981;1.4033450734748565;53538.34893510136;53185.7091814606;53595.9730438338;53286.26148324281;53538.496406905804;53604.713249379594;54383.19396143063;55155.953795569294;55054.96078249154;56191.83898676816;55489.09783920433;57736.358202413634;[9756.101064898634, 9190.0908185394, 5039.715956166197, 4473.5885167571905, 7459.353593094194, 9206.836750620409, 9407.556038569368, 8948.636204430702, 8020.779217508461, 16012.411013231838, 6662.761160795664, 1893.8317975863683];0.7454236437089053;0.9907021193359263;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;MS;gasolinac;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;4740.989239884634;0.08134768849291886;27.272727272727273;-6.387266697131322;149472.0019105687;0.43607666384091837;58119.064151784056;57472.42867991947;58107.46355728668;58359.920738719746;58812.10251194674;59105.54948713661;59871.297756000204;59663.73892709167;60219.44668283606;59998.59381628317;61240.96686100478;59662.54679087236;[-4587.7001517840545, -3290.928679919467, -5635.213557286683, -5499.570738719747, -3230.4025119467406, -5780.437487136609, -5502.227756000204, -1169.1889270916654, -5507.317682836059, 5620.09018371682, -5740.966861004781, -2341.0467908723585];0.9185393888557569;0.9933275628959616;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;MS;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;7162.886287490265;0.09765006808993122;36.36363636363637;7.271404874322343;197681.4298304446;0.8681766592323841;55060.4232553449;54437.36408192123;55387.37602906558;55374.73595562507;55380.80468957205;55607.85631400646;55612.11740097114;55351.94927714812;56129.38312384266;55509.89708251045;55863.12321517583;56499.21677226437;[2033.3767446551064, 6741.935918078772, 3854.175970934426, -271.7859556250696, 3501.7953104279513, 6128.521685993539, 8436.032599028862, 12612.850722851887, 572.2668761573441, 12388.30291748955, 5546.62678482417, -9302.247772264374];1.3737285870477312;0.9969914650718361;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
