train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;BA;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;5879.244762423948;0.07630815477306677;81.81818181818181;-5.965078392379102;46481.9134871738;1.480356121417506;74120.9483981294;71267.65782849971;75629.89395354339;77210.51253585287;80713.5355438585;81559.6618496751;78315.52895111615;77945.5913553092;75120.94251502154;79617.69763605572;77350.93113137086;73049.14869309662;[5589.598701870593, -3508.108918499711, -6556.540693543386, 1012.2664541471313, -3556.439533858502, -2410.6020696751075, -6484.659381116158, -6168.613095309192, -6341.882735021543, -9566.184956055717, -6598.893091370861, -7306.453043096626];-1.2992023796533596;0.6295371469083213;8;388;-3.4473167281607155;-2.869018036958473;-2.5707536074503134;False
1990-01_2022-02;2022-03_2023-02;BA;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;5590.291600930892;0.06530263724663544;63.63636363636363;-5.379158011763039;88183.36858778147;inf;77051.18435754105;74894.15891961691;78842.3518898999;79819.83083962138;84715.4288356639;85430.12569161798;81755.64079910888;82357.06244754948;78224.6090634704;81847.81112567395;79668.65229538656;73992.41821652523;[2397.8790524589567, -6026.858199616909, 1677.1698501000938, -1218.8036696213821, -2593.736805663895, -5487.690911617989, -5577.376309108877, -9750.33237754948, -1733.360873470403, -3681.273085673951, -6792.420415386558, -10145.61386652523];-0.8570039760718873;0.8018018166704926;8;376;-3.4478619826418817;-2.869257669826291;-2.570881358363513;False
1990-01_2021-02;2021-03_2022-02;BA;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;3690.611972615441;0.03958226810999077;81.81818181818181;-3.2154429908869053;29119.601186952947;0.7697232011850776;80197.55417986572;78194.22729500406;81469.32996631603;83169.77340185933;86799.98794571837;86981.06211456521;83574.56708044015;83639.4977623743;80284.17439168932;84262.70972872121;79805.5141284198;75997.40515912036;[-1439.246209865727, -822.884905004059, -1847.9930063160282, 2620.2211681406625, 460.3653142816329, -504.65088456521335, -4844.105120440145, -7067.827472374309, -4104.85555168931, -4223.698858721211, -5521.48332841981, -3369.8363191203534];-0.29571835390379114;0.9261085561628227;8;364;-3.4484434475193777;-2.869513170510808;-2.571017574266393;False
1990-01_2020-02;2020-03_2021-02;BA;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;5527.426784312182;0.060108389768973446;90.9090909090909;6.117216821844896;21902.702858921963;0.7937353138820107;74366.56818109674;72845.47493684618;76388.59207022974;76828.59807319168;81205.37581731254;80867.91230325785;78252.26630281423;78923.93499493535;75765.37355228087;79572.72422440018;77240.08448275935;72468.49634464816;[6106.596678903268, 6779.316733153828, 3831.317349770252, 8007.563156808319, 8351.423092687459, 5480.884796742146, 5601.583337185773, 4926.539645064651, 3419.6083277191356, 5869.525775599817, 1725.1202272406517, 153.80256535184162];-0.7084876958494848;0.8445387666366078;8;352;-3.4490648539347544;-2.8697861692116478;-2.5711631253228306;False
1990-01_2019-02;2019-03_2020-02;BA;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;2591.7393588727;0.026928311096001342;72.72727272727273;1.0506819478298475;30637.521988194236;0.48537535753283584;75004.43543922358;71892.44520845855;75530.26844241572;76497.78790181022;79913.23000778466;81268.79361372454;77100.4731360437;78539.35669654033;73748.1495137039;78088.33239268088;73773.99559009461;70713.75003339483;[-4734.708989223582, 1922.6707315414533, 1000.8330075842823, -2454.1230418102205, 5095.269992215341, 2907.121246275463, 635.9996939562989, 3003.270113459672, 652.1964962960919, 1619.1820973191207, 557.8486099053989, -520.8388033948286];-0.8514780221287599;0.8035313917624695;8;340;-3.4497304638968043;-2.8700785273763487;-2.571319005190311;False
1990-01_2018-02;2018-03_2019-02;BA;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;3380.21274080969;0.03413808111613447;81.81818181818181;-0.33639109312079707;26662.509495671075;0.7540203763607493;73986.03320252914;72850.87684089123;76119.32240245078;76206.0884732625;79393.6393907417;80299.02683571671;76876.69225779208;78441.10580650711;74265.40242229344;78636.17890649308;74026.90753097789;69782.80876056953;[1552.8562874708587, 758.8206191087666, -6736.278922450787, 7570.440516737508, 1752.6269092583098, 1536.5800442832988, -2008.1216077920835, -2200.7652265071083, 795.6718577065622, -3174.4307164930797, -400.2952109778853, -2500.964560569526];-0.7948081486706333;0.8206423794261976;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;BA;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};12;12;3240.5945541564274;0.03532215468540389;81.81818181818181;2.179545597653126;25562.90831501356;1.0899181695865041;72748.42042721152;70936.54024774591;73635.22695597881;74802.03841028984;77313.96649867474;78718.65800885638;74648.46561573449;75484.57469058105;72777.83639533388;76585.69219732366;71967.37624440175;67584.19883735698;[6243.988912788482, -3112.984087745921, 2316.7223240211897, 1610.8436797101604, 3478.913931325267, 5303.438271143619, 4267.1039442655165, 818.1331494189508, 1241.1293846661138, -2718.75009732366, 962.0078155982483, -642.7042673569813];-0.8910244299737691;0.7909138293991362;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;BA;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};12;12;1838.4268252438706;0.019876015639991074;90.9090909090909;-0.9972180633976739;7252.829574962126;0.4678322763210936;72842.88469194536;70113.5016751003;73417.54219530417;74067.07970838863;78833.51754586078;79313.24923682703;76214.63738002742;77028.93473957783;73548.61041943693;75764.35059243436;72815.70879777009;67686.97730324198;[-581.7415719453711, 334.82803489970684, -778.73241530417, -595.4764483886247, -413.27116586078773, 2340.580473172973, 568.5727599725797, -3669.9691595778277, -1229.2082494369242, 948.8142675656418, -2198.016767770081, -3530.2508532419743];-0.794878813548406;0.8206217506894475;8;304;-3.452045317832011;-2.871094805558846;-2.571860921485457;False
1990-01_2015-02;2015-03_2016-02;BA;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;3465.61144015527;0.040080094656590924;72.72727272727273;-3.503656139637866;40987.54076165681;0.8215679778402571;74721.90451444441;73519.7774249819;76872.01721175807;77797.16299221224;80495.11231388336;80514.02203914698;77365.62060341993;78287.75010443866;74476.03711271173;78653.04325249547;73944.48895253237;69361.73662151697;[-1173.2396544444055, -2266.6904649819044, -3447.3813417580677, -788.1974122122338, 1820.0416761166416, -240.21225914698152, -2648.5499534199334, -4248.793584438652, -5607.526242711727, -5395.093972495466, -5907.378442532368, -1104.3797415169684];-0.2615251878084074;0.9307795159726603;8;292;-3.4529449243622383;-2.871489553425686;-2.572071437887033;False
1990-01_2014-02;2014-03_2015-02;BA;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};12;12;3125.9386938933694;0.03624335309238408;81.81818181818181;3.4853132879407953;24659.72802337914;1.071767333528337;71013.29966673434;70162.63638840834;73952.55475658708;73693.35011834963;77563.11815130203;77610.31102200107;73975.52587360439;75694.40306069615;71920.10697488447;75548.93564623075;71684.91671250107;67638.79525753883;[4216.924973265661, 3919.421581591654, 4423.341983412916, 1240.2821316503687, 4528.106488697973, 2355.004197998933, 3782.831006395616, 2057.566139303861, 278.09411511552753, 3367.8523937692516, 2497.262637498934, -871.8188075388316];-0.16392378706866273;0.9426874052549526;8;280;-3.453922368485787;-2.871918329081633;-2.5723001147959184;False
